,Date,NAV
1,2019-05-30,74.81
2,2019-05-29,74.26
3,2019-05-28,73.55
4,2019-05-24,74.16
5,2019-05-23,74.29
6,2019-05-22,75.68
7,2019-05-21,76.63
8,2019-05-20,74.98
9,2019-05-17,77.57
10,2019-05-16,80.27
11,2019-05-15,82.12
12,2019-05-14,81.29
13,2019-05-13,79.39
14,2019-05-10,83.93
15,2019-05-09,83.56
16,2019-05-08,84.58
17,2019-05-07,84.86
18,2019-05-06,86.49
19,2019-05-03,87.96
20,2019-05-02,86.93
21,2019-05-01,85.96
22,2019-04-30,86.62
23,2019-04-29,86.11
24,2019-04-26,86.47
25,2019-04-25,86.85
26,2019-04-24,89.11
27,2019-04-23,87.71
28,2019-04-22,86.82
29,2019-04-18,86.96
30,2019-04-17,87.09
31,2019-04-16,86.92
32,2019-04-15,84.84
33,2019-04-12,85.18
34,2019-04-11,83.98
35,2019-04-10,84.25
36,2019-04-09,82.79
37,2019-04-08,83.68
38,2019-04-05,83.43
39,2019-04-04,82.89
40,2019-04-03,82.74
41,2019-04-02,80.65
42,2019-04-01,80.50
43,2019-03-29,78.51
44,2019-03-28,77.80
45,2019-03-27,77.60
46,2019-03-26,78.80
47,2019-03-25,78.01
48,2019-03-22,78.73
49,2019-03-21,81.69
50,2019-03-20,79.32
51,2019-03-19,80.13
52,2019-03-18,79.10
53,2019-03-15,79.79
54,2019-03-14,78.00
55,2019-03-13,78.82
56,2019-03-12,78.48
57,2019-03-11,78.41
58,2019-03-08,76.28
59,2019-03-07,76.25
60,2019-03-06,77.22
61,2019-03-05,78.90
62,2019-03-04,79.40
63,2019-03-01,79.57
64,2019-02-28,78.65
65,2019-02-27,78.48
66,2019-02-26,79.27
67,2019-02-25,79.80
68,2019-02-22,79.16
69,2019-02-21,77.53
70,2019-02-20,77.78
71,2019-02-19,77.12
72,2019-02-15,77.28
73,2019-02-14,76.88
74,2019-02-13,76.28
75,2019-02-12,75.58
76,2019-02-11,74.15
77,2019-02-08,73.70
78,2019-02-07,73.53
79,2019-02-06,75.16
80,2019-02-05,73.42
81,2019-02-04,72.98
82,2019-02-01,72.33
83,2019-01-31,71.58
84,2019-01-30,71.28
85,2019-01-29,69.98
86,2019-01-28,70.90
87,2019-01-25,72.00
88,2019-01-24,69.73
89,2019-01-23,66.61
90,2019-01-22,66.75
91,2019-01-18,68.99
92,2019-01-17,67.88
93,2019-01-16,67.42
94,2019-01-15,67.75
95,2019-01-14,67.19
96,2019-01-11,68.64
97,2019-01-10,67.61
98,2019-01-09,66.69
99,2019-01-08,65.44
100,2019-01-07,65.13
101,2019-01-04,63.85
102,2019-01-03,61.34
