,Date,NAV
1,2019-05-30,36.57
2,2019-05-29,36.52
3,2019-05-28,35.98
4,2019-05-24,36.33
5,2019-05-23,36.07
6,2019-05-22,36.61
7,2019-05-21,36.32
8,2019-05-20,35.62
9,2019-05-17,35.53
10,2019-05-16,35.59
11,2019-05-15,35.38
12,2019-05-14,35.36
13,2019-05-13,34.50
14,2019-05-10,34.73
15,2019-05-09,34.31
16,2019-05-08,35.08
17,2019-05-07,35.15
18,2019-05-06,35.60
19,2019-05-03,35.75
20,2019-05-02,35.47
21,2019-05-01,35.27
22,2019-04-30,35.74
23,2019-04-29,35.83
24,2019-04-26,35.60
25,2019-04-25,35.68
26,2019-04-24,36.04
27,2019-04-23,36.64
28,2019-04-22,36.64
29,2019-04-18,36.15
30,2019-04-17,36.28
31,2019-04-16,36.08
32,2019-04-15,35.80
33,2019-04-12,35.79
34,2019-04-11,35.72
35,2019-04-10,36.34
36,2019-04-09,35.89
37,2019-04-08,35.94
38,2019-04-05,35.43
39,2019-04-04,35.12
40,2019-04-03,35.20
41,2019-04-02,35.34
42,2019-04-01,35.25
43,2019-03-29,34.49
44,2019-03-28,34.82
45,2019-03-27,34.75
46,2019-03-26,35.27
47,2019-03-25,35.32
48,2019-03-22,34.72
49,2019-03-21,35.72
50,2019-03-20,35.75
51,2019-03-19,35.29
52,2019-03-18,35.28
53,2019-03-15,34.58
54,2019-03-14,34.10
55,2019-03-13,34.20
56,2019-03-12,34.05
57,2019-03-11,33.92
58,2019-03-08,33.34
59,2019-03-07,33.76
60,2019-03-06,34.13
61,2019-03-05,34.17
62,2019-03-04,33.94
63,2019-03-01,33.90
64,2019-02-28,34.10
65,2019-02-27,34.32
66,2019-02-26,34.53
67,2019-02-25,34.44
68,2019-02-22,34.42
69,2019-02-21,34.08
70,2019-02-20,34.49
71,2019-02-19,34.02
72,2019-02-15,33.97
73,2019-02-14,33.55
74,2019-02-13,33.41
75,2019-02-12,34.61
76,2019-02-11,34.52
77,2019-02-08,34.38
78,2019-02-07,34.46
79,2019-02-06,34.87
80,2019-02-05,35.45
81,2019-02-04,34.96
82,2019-02-01,34.94
83,2019-01-31,35.25
84,2019-01-30,35.24
85,2019-01-29,34.36
86,2019-01-28,33.96
87,2019-01-25,34.29
88,2019-01-24,34.42
89,2019-01-23,34.17
90,2019-01-22,33.60
91,2019-01-18,34.01
92,2019-01-17,33.68
93,2019-01-16,33.56
94,2019-01-15,33.18
95,2019-01-14,33.04
96,2019-01-11,33.21
97,2019-01-10,33.41
98,2019-01-09,33.15
99,2019-01-08,32.56
100,2019-01-07,32.57
101,2019-01-04,32.53
102,2019-01-03,31.49
103,2019-01-02,31.42
104,2018-12-31,30.80
105,2018-12-28,30.92
106,2018-12-27,30.59
107,2018-12-26,31.03
108,2018-12-24,30.59
109,2018-12-21,30.75
110,2018-12-20,31.02
111,2018-12-19,31.16
112,2018-12-18,31.22
113,2018-12-17,31.64
114,2018-12-14,31.72
115,2018-12-13,32.31
116,2018-12-12,32.09
117,2018-12-11,32.23
118,2018-12-10,32.30
119,2018-12-07,32.76
120,2018-12-06,32.63
121,2018-12-04,32.42
122,2018-12-03,33.06
123,2018-11-30,32.04
124,2018-11-29,32.49
125,2018-11-28,32.32
126,2018-11-27,31.44
127,2018-11-26,31.04
128,2018-11-23,31.75
129,2018-11-21,32.31
130,2018-11-20,31.50
131,2018-11-19,32.60
132,2018-11-16,32.41
133,2018-11-15,32.67
134,2018-11-14,31.96
135,2018-11-13,31.32
136,2018-11-12,31.71
137,2018-11-09,32.14
138,2018-11-08,32.72
139,2018-11-07,33.45
140,2018-11-06,32.96
141,2018-11-05,33.08
142,2018-11-02,32.58
