,Date,NAV
1,2019-05-30,56.59
2,2019-05-29,56.65
3,2019-05-28,57.02
4,2019-05-24,56.97
5,2019-05-23,56.88
6,2019-05-22,57.71
7,2019-05-21,57.78
8,2019-05-20,57.28
9,2019-05-17,57.68
10,2019-05-16,58.10
11,2019-05-15,57.73
12,2019-05-14,56.90
13,2019-05-13,56.67
14,2019-05-10,58.19
15,2019-05-09,58.01
16,2019-05-08,58.19
17,2019-05-07,58.23
18,2019-05-06,58.96
19,2019-05-03,59.28
20,2019-05-02,58.62
21,2019-05-01,58.84
22,2019-04-30,59.19
23,2019-04-29,60.35
24,2019-04-26,59.95
25,2019-04-25,59.37
26,2019-04-24,59.14
27,2019-04-23,59.56
28,2019-04-22,59.21
29,2019-04-18,59.04
30,2019-04-17,59.04
31,2019-04-16,58.98
32,2019-04-15,58.58
33,2019-04-12,58.52
34,2019-04-11,58.00
35,2019-04-10,58.07
36,2019-04-09,57.68
37,2019-04-08,57.59
38,2019-04-05,57.63
39,2019-04-04,57.67
40,2019-04-03,57.32
41,2019-04-02,57.04
42,2019-04-01,57.04
43,2019-03-29,56.28
44,2019-03-28,56.08
45,2019-03-27,56.21
46,2019-03-26,56.55
47,2019-03-25,56.24
48,2019-03-22,56.48
49,2019-03-21,57.14
50,2019-03-20,56.92
51,2019-03-19,56.51
52,2019-03-18,56.53
53,2019-03-15,56.65
54,2019-03-14,56.33
55,2019-03-13,56.54
56,2019-03-12,56.38
57,2019-03-11,56.07
58,2019-03-08,55.07
59,2019-03-07,55.19
60,2019-03-06,55.57
61,2019-03-05,55.71
62,2019-03-04,55.23
63,2019-03-01,55.13
64,2019-02-28,54.90
65,2019-02-27,54.98
66,2019-02-26,55.23
67,2019-02-25,55.27
68,2019-02-22,55.30
69,2019-02-21,54.66
70,2019-02-20,54.86
71,2019-02-19,54.90
72,2019-02-15,54.81
73,2019-02-14,54.52
74,2019-02-13,54.55
75,2019-02-12,54.63
76,2019-02-11,54.16
77,2019-02-08,54.33
78,2019-02-07,54.17
79,2019-02-06,54.69
80,2019-02-05,55.37
81,2019-02-04,54.85
82,2019-02-01,54.54
83,2019-01-31,54.73
84,2019-01-30,53.37
85,2019-01-29,52.91
86,2019-01-28,53.07
87,2019-01-25,53.58
88,2019-01-24,53.07
89,2019-01-23,53.05
90,2019-01-22,52.89
91,2019-01-18,53.94
92,2019-01-17,53.50
93,2019-01-16,53.31
94,2019-01-15,53.35
95,2019-01-14,52.75
96,2019-01-11,53.11
97,2019-01-10,53.26
98,2019-01-09,53.16
99,2019-01-08,52.93
100,2019-01-07,52.33
101,2019-01-04,51.93
102,2019-01-03,50.16
103,2019-01-02,50.59
104,2018-12-31,50.18
105,2018-12-28,50.15
106,2018-12-27,50.02
107,2018-12-26,49.92
108,2018-12-24,48.09
109,2018-12-21,48.90
110,2018-12-20,50.07
111,2018-12-19,50.58
112,2018-12-18,51.38
113,2018-12-17,51.22
114,2018-12-14,51.90
115,2018-12-13,52.48
116,2018-12-12,52.83
117,2018-12-11,52.20
118,2018-12-10,52.10
119,2018-12-07,51.87
120,2018-12-06,52.71
121,2018-12-04,52.43
122,2018-12-03,53.95
123,2018-11-30,53.70
124,2018-11-29,53.54
125,2018-11-28,53.55
126,2018-11-27,52.39
127,2018-11-26,52.14
128,2018-11-23,51.11
129,2018-11-21,51.62
130,2018-11-20,50.89
131,2018-11-19,51.63
132,2018-11-16,52.65
133,2018-11-15,52.81
134,2018-11-14,52.52
135,2018-11-13,52.08
136,2018-11-12,51.86
137,2018-11-09,52.71
138,2018-11-08,53.59
139,2018-11-07,54.08
140,2018-11-06,53.15
141,2018-11-05,52.88
142,2018-11-02,52.96
143,2018-11-01,53.15
144,2018-10-31,53.05
145,2018-10-30,51.98
146,2018-10-29,51.04
147,2018-10-26,51.76
148,2018-10-25,53.09
149,2018-10-24,52.04
150,2018-10-23,54.22
151,2018-10-22,54.31
152,2018-10-19,54.34
153,2018-10-18,54.28
154,2018-10-17,55.07
155,2018-10-16,55.27
156,2018-10-15,53.94
157,2018-10-12,54.28
158,2018-10-11,53.22
159,2018-10-10,53.70
160,2018-10-09,55.54
161,2018-10-08,55.58
162,2018-10-05,55.78
163,2018-10-04,55.94
164,2018-10-03,56.75
165,2018-10-02,56.78
166,2018-10-01,56.93
167,2018-09-28,56.91
168,2018-09-27,57.33
169,2018-09-26,57.00
170,2018-09-25,56.79
171,2018-09-24,56.64
172,2018-09-21,56.63
173,2018-09-20,56.49
174,2018-09-19,56.24
175,2018-09-18,56.67
176,2018-09-17,56.23
177,2018-09-14,56.25
178,2018-09-13,56.45
179,2018-09-12,55.88
180,2018-09-11,55.34
181,2018-09-10,54.80
182,2018-09-07,54.49
183,2018-09-06,54.53
184,2018-09-05,54.29
185,2018-09-04,54.44
186,2018-08-31,54.98
187,2018-08-30,55.32
188,2018-08-29,55.82
189,2018-08-28,55.99
190,2018-08-27,56.18
191,2018-08-24,55.81
192,2018-08-23,55.48
193,2018-08-22,55.72
194,2018-08-21,56.09
195,2018-08-20,56.06
196,2018-08-17,56.00
197,2018-08-16,55.83
198,2018-08-15,55.15
199,2018-08-14,55.44
200,2018-08-13,55.00
201,2018-08-10,55.18
202,2018-08-09,56.01
203,2018-08-08,55.85
204,2018-08-07,55.64
205,2018-08-06,55.32
206,2018-08-03,55.10
207,2018-08-02,54.65
208,2018-08-01,55.00
209,2018-07-31,55.04
210,2018-07-30,55.24
211,2018-07-27,54.68
212,2018-07-26,53.89
213,2018-07-25,53.81
214,2018-07-24,54.50
215,2018-07-23,53.97
216,2018-07-20,54.00
217,2018-07-19,53.92
218,2018-07-18,54.27
219,2018-07-17,54.51
220,2018-07-16,54.74
221,2018-07-13,54.57
222,2018-07-12,54.85
223,2018-07-11,54.67
224,2018-07-10,55.00
225,2018-07-09,54.88
226,2018-07-06,54.68
227,2018-07-05,54.13
228,2018-07-03,53.47
229,2018-07-02,52.94
230,2018-06-29,53.17
231,2018-06-28,53.19
232,2018-06-27,52.87
233,2018-06-26,52.98
234,2018-06-25,53.09
235,2018-06-22,53.53
236,2018-06-21,52.94
237,2018-06-20,52.94
238,2018-06-19,53.18
239,2018-06-18,53.08
240,2018-06-15,53.68
241,2018-06-14,53.58
242,2018-06-13,53.40
243,2018-06-12,54.34
244,2018-06-11,54.66
245,2018-06-08,54.06
246,2018-06-07,54.10
247,2018-06-06,54.06
248,2018-06-05,53.35
249,2018-06-04,53.27
250,2018-06-01,53.12
251,2018-05-31,52.88
252,2018-05-30,53.36
253,2018-05-29,52.73
254,2018-05-25,53.42
255,2018-05-24,53.82
256,2018-05-23,53.84
257,2018-05-22,54.09
258,2018-05-21,53.87
259,2018-05-18,53.58
260,2018-05-17,53.77
261,2018-05-16,54.01
262,2018-05-15,54.07
263,2018-05-14,54.83
264,2018-05-11,55.19
265,2018-05-10,54.64
266,2018-05-09,54.37
267,2018-05-08,54.53
268,2018-05-07,54.95
269,2018-05-04,54.97
