,Date,NAV
1,2019-05-30,85.16
2,2019-05-29,85.10
3,2019-05-28,85.96
4,2019-05-24,85.95
5,2019-05-23,85.86
6,2019-05-22,87.00
7,2019-05-21,87.23
8,2019-05-20,86.42
9,2019-05-17,87.23
10,2019-05-16,87.59
11,2019-05-15,86.86
12,2019-05-14,85.18
13,2019-05-13,84.99
14,2019-05-10,87.31
15,2019-05-09,87.21
16,2019-05-08,87.29
17,2019-05-07,87.55
18,2019-05-06,88.84
19,2019-05-03,88.79
20,2019-05-02,87.64
21,2019-05-01,88.04
22,2019-04-30,88.58
23,2019-04-29,90.49
24,2019-04-26,89.82
25,2019-04-25,89.15
26,2019-04-24,88.53
27,2019-04-23,89.15
28,2019-04-22,88.33
29,2019-04-18,87.92
30,2019-04-17,87.82
31,2019-04-16,87.83
32,2019-04-15,87.60
33,2019-04-12,87.64
34,2019-04-11,86.79
35,2019-04-10,86.70
36,2019-04-09,86.20
37,2019-04-08,86.01
38,2019-04-05,86.08
39,2019-04-04,85.89
40,2019-04-03,85.33
41,2019-04-02,84.98
42,2019-04-01,84.63
43,2019-03-29,83.52
44,2019-03-28,83.35
45,2019-03-27,83.73
46,2019-03-26,84.31
47,2019-03-25,83.92
48,2019-03-22,84.03
49,2019-03-21,85.19
50,2019-03-20,84.36
51,2019-03-19,83.73
52,2019-03-18,83.74
53,2019-03-15,84.29
54,2019-03-14,84.29
55,2019-03-13,84.59
56,2019-03-12,84.35
57,2019-03-11,83.84
58,2019-03-08,82.42
59,2019-03-07,82.58
60,2019-03-06,83.20
61,2019-03-05,83.26
62,2019-03-04,82.81
63,2019-03-01,82.87
64,2019-02-28,82.05
65,2019-02-27,82.18
66,2019-02-26,82.22
67,2019-02-25,82.43
68,2019-02-22,82.69
69,2019-02-21,82.02
70,2019-02-20,82.77
71,2019-02-19,82.82
72,2019-02-15,82.57
73,2019-02-14,81.94
74,2019-02-13,81.80
75,2019-02-12,81.90
76,2019-02-11,80.86
