,Date,NAV
1,2019-05-30,66.90
2,2019-05-29,66.53
3,2019-05-28,66.79
4,2019-05-24,67.62
5,2019-05-23,66.86
6,2019-05-22,68.24
7,2019-05-21,68.86
8,2019-05-20,67.95
9,2019-05-17,68.09
10,2019-05-16,68.92
11,2019-05-15,69.04
12,2019-05-14,68.73
13,2019-05-13,67.91
14,2019-05-10,70.26
15,2019-05-09,70.33
16,2019-05-08,71.60
17,2019-05-07,71.41
18,2019-05-06,72.56
19,2019-05-03,73.34
20,2019-05-02,72.21
21,2019-05-01,72.51
22,2019-04-30,73.20
23,2019-04-29,73.32
24,2019-04-26,73.02
25,2019-04-25,72.98
26,2019-04-24,74.47
27,2019-04-23,74.77
28,2019-04-22,74.46
29,2019-04-18,74.10
30,2019-04-17,74.05
31,2019-04-16,74.80
32,2019-04-15,74.32
33,2019-04-12,74.66
34,2019-04-11,74.08
35,2019-04-10,74.13
36,2019-04-09,72.92
37,2019-04-08,73.34
38,2019-04-05,73.35
39,2019-04-04,72.99
40,2019-04-03,72.61
41,2019-04-02,71.94
42,2019-04-01,71.84
43,2019-03-29,70.71
44,2019-03-28,70.40
45,2019-03-27,70.18
46,2019-03-26,70.58
47,2019-03-25,69.84
48,2019-03-22,69.79
49,2019-03-21,71.55
50,2019-03-20,70.21
51,2019-03-19,70.70
52,2019-03-18,71.37
53,2019-03-15,71.40
54,2019-03-14,70.90
55,2019-03-13,71.29
56,2019-03-12,70.81
57,2019-03-11,70.91
58,2019-03-08,69.46
59,2019-03-07,69.70
60,2019-03-06,70.23
61,2019-03-05,71.22
62,2019-03-04,72.06
63,2019-03-01,72.46
64,2019-02-28,72.24
65,2019-02-27,73.02
66,2019-02-26,72.49
67,2019-02-25,73.08
68,2019-02-22,73.37
69,2019-02-21,72.43
70,2019-02-20,73.24
71,2019-02-19,72.87
72,2019-02-15,72.12
73,2019-02-14,70.53
74,2019-02-13,70.38
75,2019-02-12,69.97
76,2019-02-11,69.52
77,2019-02-08,68.77
78,2019-02-07,67.82
79,2019-02-06,68.83
80,2019-02-05,68.53
81,2019-02-04,68.91
82,2019-02-01,68.90
83,2019-01-31,68.44
84,2019-01-30,67.20
85,2019-01-29,66.83
86,2019-01-28,67.44
87,2019-01-25,67.87
88,2019-01-24,67.33
89,2019-01-23,66.79
90,2019-01-22,66.43
91,2019-01-18,67.93
92,2019-01-17,67.42
93,2019-01-16,67.24
94,2019-01-15,67.45
95,2019-01-14,66.92
96,2019-01-11,67.80
97,2019-01-10,67.29
98,2019-01-09,66.84
99,2019-01-08,66.91
100,2019-01-07,65.74
101,2019-01-04,64.74
102,2019-01-03,62.28
103,2019-01-02,63.44
104,2018-12-31,62.76
105,2018-12-28,62.30
106,2018-12-27,61.83
107,2018-12-26,61.52
108,2018-12-24,58.72
109,2018-12-21,60.03
110,2018-12-20,61.97
111,2018-12-19,63.34
112,2018-12-18,64.01
113,2018-12-17,64.32
114,2018-12-14,66.14
115,2018-12-13,67.33
116,2018-12-12,68.39
117,2018-12-11,67.58
118,2018-12-10,67.55
119,2018-12-07,67.37
120,2018-12-06,69.13
121,2018-12-04,68.80
122,2018-12-03,71.36
123,2018-11-30,70.51
124,2018-11-29,70.32
125,2018-11-28,70.80
126,2018-11-27,69.30
127,2018-11-26,69.53
128,2018-11-23,68.73
129,2018-11-21,68.58
130,2018-11-20,67.55
131,2018-11-19,69.04
132,2018-11-16,70.53
133,2018-11-15,70.24
134,2018-11-14,69.01
135,2018-11-13,69.47
136,2018-11-12,69.90
137,2018-11-09,72.23
138,2018-11-08,72.66
139,2018-11-07,72.93
140,2018-11-06,72.43
141,2018-11-05,72.15
142,2018-11-02,72.28
143,2018-11-01,71.12
144,2018-10-31,69.91
145,2018-10-30,68.60
146,2018-10-29,67.10
147,2018-10-26,67.83
148,2018-10-25,69.60
149,2018-10-24,68.27
150,2018-10-23,70.81
151,2018-10-22,71.25
152,2018-10-19,71.00
153,2018-10-18,71.22
154,2018-10-17,72.27
155,2018-10-16,71.96
156,2018-10-15,69.98
157,2018-10-12,69.41
158,2018-10-11,68.61
159,2018-10-10,69.98
160,2018-10-09,72.42
161,2018-10-08,72.78
