,Date,NAV
1,2019-05-30,93.93
2,2019-05-29,93.31
3,2019-05-28,93.19
4,2019-05-24,92.67
5,2019-05-23,92.45
6,2019-05-22,91.85
7,2019-05-21,91.54
8,2019-05-20,91.54
9,2019-05-17,91.79
10,2019-05-16,91.59
11,2019-05-15,91.84
12,2019-05-14,91.45
13,2019-05-13,91.52
14,2019-05-10,91.13
15,2019-05-09,91.15
16,2019-05-08,90.95
17,2019-05-07,91.44
18,2019-05-06,91.12
19,2019-05-03,90.81
20,2019-05-02,90.51
21,2019-05-01,91.06
22,2019-04-30,90.74
23,2019-04-29,90.49
24,2019-04-26,91.01
25,2019-04-25,90.63
26,2019-04-24,90.79
27,2019-04-23,90.10
28,2019-04-22,89.75
29,2019-04-18,90.12
30,2019-04-17,89.85
31,2019-04-16,89.88
32,2019-04-15,90.30
33,2019-04-12,90.32
34,2019-04-11,90.57
35,2019-04-10,90.96
36,2019-04-09,90.64
37,2019-04-08,90.27
38,2019-04-05,90.38
39,2019-04-04,90.22
40,2019-04-03,90.04
41,2019-04-02,90.49
42,2019-04-01,90.42
43,2019-03-29,91.29
44,2019-03-28,91.33
45,2019-03-27,91.09
46,2019-03-26,90.46
47,2019-03-25,90.47
48,2019-03-22,90.30
49,2019-03-21,89.24
50,2019-03-20,88.89
51,2019-03-19,88.24
52,2019-03-18,88.27
53,2019-03-15,88.27
54,2019-03-14,87.79
55,2019-03-13,88.27
56,2019-03-12,88.41
57,2019-03-11,87.97
58,2019-03-08,87.91
59,2019-03-07,87.76
60,2019-03-06,87.37
61,2019-03-05,87.08
62,2019-03-04,87.06
63,2019-03-01,86.61
64,2019-02-28,87.05
65,2019-02-27,87.18
66,2019-02-26,87.89
67,2019-02-25,87.63
68,2019-02-22,87.72
69,2019-02-21,87.24
70,2019-02-20,87.84
71,2019-02-19,87.99
72,2019-02-15,87.93
73,2019-02-14,87.66
74,2019-02-13,87.52
75,2019-02-12,87.75
76,2019-02-11,87.90
77,2019-02-08,88.03
78,2019-02-07,87.78
79,2019-02-06,87.56
80,2019-02-05,87.69
81,2019-02-04,87.17
82,2019-02-01,87.39
83,2019-01-31,87.74
84,2019-01-30,86.91
85,2019-01-29,86.69
86,2019-01-28,86.40
87,2019-01-25,86.48
88,2019-01-24,86.58
89,2019-01-23,86.18
90,2019-01-22,86.05
91,2019-01-18,85.76
92,2019-01-17,85.88
93,2019-01-16,85.77
94,2019-01-15,85.67
95,2019-01-14,85.82
96,2019-01-11,86.15
97,2019-01-10,85.95
98,2019-01-09,86.44
99,2019-01-08,86.41
100,2019-01-07,86.32
101,2019-01-04,86.37
102,2019-01-03,86.87
103,2019-01-02,86.42
104,2018-12-31,86.14
105,2018-12-28,85.56
106,2018-12-27,84.88
107,2018-12-26,85.06
108,2018-12-24,85.65
109,2018-12-21,85.57
110,2018-12-20,85.58
111,2018-12-19,86.01
112,2018-12-18,85.48
113,2018-12-17,85.07
114,2018-12-14,84.74
115,2018-12-13,84.64
116,2018-12-12,84.58
117,2018-12-11,84.59
118,2018-12-10,84.44
119,2018-12-07,84.21
120,2018-12-06,84.07
121,2018-12-04,83.94
122,2018-12-03,83.19
123,2018-11-30,82.54
124,2018-11-29,82.40
125,2018-11-28,82.23
126,2018-11-27,82.41
127,2018-11-26,82.55
128,2018-11-23,82.52
129,2018-11-21,82.50
130,2018-11-20,82.32
131,2018-11-19,82.38
132,2018-11-16,82.21
133,2018-11-15,82.18
134,2018-11-14,82.21
135,2018-11-13,82.47
136,2018-11-12,82.65
137,2018-11-09,82.51
138,2018-11-08,82.19
139,2018-11-07,82.45
140,2018-11-06,82.12
141,2018-11-05,81.95
142,2018-11-02,81.70
143,2018-11-01,82.31
144,2018-10-31,82.21
145,2018-10-30,82.50
146,2018-10-29,82.85
147,2018-10-26,83.01
148,2018-10-25,82.80
149,2018-10-24,82.99
150,2018-10-23,82.60
151,2018-10-22,82.54
152,2018-10-19,82.65
153,2018-10-18,82.83
154,2018-10-17,82.96
155,2018-10-16,83.45
156,2018-10-15,83.23
157,2018-10-12,83.41
158,2018-10-11,83.46
159,2018-10-10,82.76
160,2018-10-09,83.08
161,2018-10-08,82.46
162,2018-10-05,82.74
163,2018-10-04,83.40
164,2018-10-03,83.90
165,2018-10-02,84.94
166,2018-10-01,84.63
167,2018-09-28,84.94
168,2018-09-27,85.13
169,2018-09-26,84.95
170,2018-09-25,84.35
171,2018-09-24,84.54
172,2018-09-21,84.73
173,2018-09-20,84.72
174,2018-09-19,84.25
175,2018-09-18,84.58
176,2018-09-17,85.37
177,2018-09-14,85.39
178,2018-09-13,85.64
179,2018-09-12,85.53
180,2018-09-11,85.19
181,2018-09-10,85.57
182,2018-09-07,85.34
183,2018-09-06,85.82
184,2018-09-05,85.52
185,2018-09-04,85.69
186,2018-08-31,86.04
187,2018-08-30,86.26
188,2018-08-29,86.21
189,2018-08-28,86.15
190,2018-08-27,86.52
191,2018-08-24,86.94
192,2018-08-23,86.75
