,Date,NAV
1,2019-05-30,25.38
2,2019-05-29,25.28
3,2019-05-28,25.38
4,2019-05-24,25.34
5,2019-05-23,25.35
6,2019-05-22,25.33
7,2019-05-21,25.33
8,2019-05-20,25.32
9,2019-05-17,25.34
10,2019-05-16,25.31
11,2019-05-15,25.29
12,2019-05-14,25.30
13,2019-05-13,25.24
14,2019-05-10,25.25
15,2019-05-09,25.25
16,2019-05-08,25.30
17,2019-05-07,25.27
18,2019-05-06,25.29
19,2019-05-03,25.28
20,2019-05-02,25.23
21,2019-05-01,25.27
22,2019-04-30,25.21
23,2019-04-29,25.23
24,2019-04-26,25.26
25,2019-04-25,25.20
26,2019-04-24,25.20
27,2019-04-23,25.21
28,2019-04-22,25.10
29,2019-04-18,25.20
30,2019-04-17,25.21
31,2019-04-16,25.15
32,2019-04-15,25.14
33,2019-04-12,25.15
34,2019-04-11,25.16
35,2019-04-10,25.15
36,2019-04-09,25.13
37,2019-04-08,25.12
38,2019-04-05,25.04
39,2019-04-04,25.07
40,2019-04-03,25.07
41,2019-04-02,25.11
42,2019-04-01,25.12
43,2019-03-29,25.07
44,2019-03-28,25.07
45,2019-03-27,25.07
46,2019-03-26,25.04
47,2019-03-25,24.97
48,2019-03-22,25.02
49,2019-03-21,25.06
50,2019-03-20,24.95
51,2019-03-19,24.91
52,2019-03-18,24.96
53,2019-03-15,24.99
54,2019-03-14,24.96
55,2019-03-13,24.93
56,2019-03-12,24.91
57,2019-03-11,24.88
58,2019-03-08,24.82
59,2019-03-07,24.85
60,2019-03-06,24.89
61,2019-03-05,24.86
62,2019-03-04,24.90
63,2019-03-01,24.90
64,2019-02-28,24.85
65,2019-02-27,24.85
66,2019-02-26,24.84
67,2019-02-25,24.79
68,2019-02-22,24.80
69,2019-02-21,24.75
70,2019-02-20,24.74
71,2019-02-19,24.72
72,2019-02-15,24.74
73,2019-02-14,24.72
74,2019-02-13,24.71
75,2019-02-12,24.69
76,2019-02-11,24.65
77,2019-02-08,24.64
78,2019-02-07,24.62
79,2019-02-06,24.69
80,2019-02-05,24.67
