,Date,NAV
1,2019-05-30,63.67
2,2019-05-29,63.22
3,2019-05-28,63.07
4,2019-05-24,62.85
5,2019-05-23,62.76
6,2019-05-22,62.33
7,2019-05-21,62.19
8,2019-05-20,62.20
9,2019-05-17,62.32
10,2019-05-16,62.17
11,2019-05-15,62.35
12,2019-05-14,62.04
13,2019-05-13,62.02
14,2019-05-10,61.90
15,2019-05-09,61.94
16,2019-05-08,61.76
17,2019-05-07,62.09
18,2019-05-06,61.90
19,2019-05-03,61.74
20,2019-05-02,61.50
21,2019-05-01,61.80
22,2019-04-30,61.60
23,2019-04-29,61.43
24,2019-04-26,61.72
25,2019-04-25,61.48
26,2019-04-24,61.60
27,2019-04-23,61.11
28,2019-04-22,60.92
29,2019-04-18,61.18
30,2019-04-17,60.94
31,2019-04-16,60.94
32,2019-04-15,61.44
33,2019-04-12,61.28
34,2019-04-11,61.49
35,2019-04-10,61.69
36,2019-04-09,61.60
37,2019-04-08,61.32
38,2019-04-05,61.45
39,2019-04-04,61.34
40,2019-04-03,61.23
41,2019-04-02,61.54
42,2019-04-01,61.38
43,2019-03-29,62.04
44,2019-03-28,62.02
45,2019-03-27,61.85
46,2019-03-26,61.52
47,2019-03-25,61.54
48,2019-03-22,61.26
49,2019-03-21,60.63
50,2019-03-20,60.47
51,2019-03-19,60.02
52,2019-03-18,60.02
53,2019-03-15,60.01
54,2019-03-14,59.70
55,2019-03-13,59.94
56,2019-03-12,60.02
57,2019-03-11,59.67
58,2019-03-08,59.66
59,2019-03-07,59.54
60,2019-03-06,59.27
61,2019-03-05,59.25
62,2019-03-04,59.17
63,2019-03-01,59.04
64,2019-02-28,59.35
65,2019-02-27,59.38
66,2019-02-26,59.83
67,2019-02-25,59.67
68,2019-02-22,59.73
69,2019-02-21,59.40
70,2019-02-20,59.74
71,2019-02-19,59.85
72,2019-02-15,59.79
73,2019-02-14,59.64
74,2019-02-13,59.52
75,2019-02-12,59.66
76,2019-02-11,59.73
77,2019-02-08,59.86
78,2019-02-07,59.66
79,2019-02-06,59.51
80,2019-02-05,59.63
81,2019-02-04,59.33
82,2019-02-01,59.47
83,2019-01-31,59.76
84,2019-01-30,59.20
85,2019-01-29,59.11
86,2019-01-28,58.86
87,2019-01-25,58.92
88,2019-01-24,59.01
89,2019-01-23,58.79
90,2019-01-22,58.58
91,2019-01-18,58.50
92,2019-01-17,58.42
93,2019-01-16,58.37
94,2019-01-15,58.21
95,2019-01-14,58.29
96,2019-01-11,58.59
97,2019-01-10,58.45
98,2019-01-09,58.64
99,2019-01-08,58.59
100,2019-01-07,58.59
101,2019-01-04,58.50
102,2019-01-03,58.65
103,2019-01-02,58.32
104,2018-12-31,58.08
105,2018-12-28,57.86
106,2018-12-27,57.56
