,Date,NAV
1,2019-05-30,49.91
2,2019-05-29,49.85
3,2019-05-28,49.78
4,2019-05-24,49.77
5,2019-05-23,49.76
6,2019-05-22,49.69
7,2019-05-21,49.67
8,2019-05-20,49.70
9,2019-05-17,49.69
10,2019-05-16,49.69
11,2019-05-15,49.71
12,2019-05-14,49.66
13,2019-05-13,49.67
14,2019-05-10,49.62
15,2019-05-09,49.64
16,2019-05-08,49.58
17,2019-05-07,49.62
18,2019-05-06,49.57
19,2019-05-03,49.56
20,2019-05-02,49.52
21,2019-05-01,49.57
22,2019-04-30,49.61
23,2019-04-29,49.55
24,2019-04-26,49.59
25,2019-04-25,49.52
26,2019-04-24,49.54
27,2019-04-23,49.50
28,2019-04-22,49.40
29,2019-04-18,49.44
30,2019-04-17,49.42
31,2019-04-16,49.40
32,2019-04-15,49.44
33,2019-04-12,49.43
34,2019-04-11,49.48
35,2019-04-10,49.54
36,2019-04-09,49.46
37,2019-04-08,49.45
38,2019-04-05,49.46
39,2019-04-04,49.46
40,2019-04-03,49.47
41,2019-04-02,49.46
42,2019-04-01,49.46
43,2019-03-29,49.50
44,2019-03-28,49.51
45,2019-03-27,49.55
46,2019-03-26,49.50
47,2019-03-25,49.49
48,2019-03-22,49.44
49,2019-03-21,49.34
50,2019-03-20,49.34
51,2019-03-19,49.24
52,2019-03-18,49.24
53,2019-03-15,49.24
54,2019-03-14,49.19
55,2019-03-13,49.21
56,2019-03-12,49.19
57,2019-03-11,49.13
58,2019-03-08,49.14
59,2019-03-07,49.10
60,2019-03-06,49.06
61,2019-03-05,49.03
62,2019-03-04,49.02
63,2019-03-01,49.00
64,2019-02-28,49.02
65,2019-02-27,49.04
66,2019-02-26,49.10
67,2019-02-25,49.03
68,2019-02-22,49.04
69,2019-02-21,48.97
70,2019-02-20,49.00
71,2019-02-19,48.99
72,2019-02-15,48.98
73,2019-02-14,48.94
74,2019-02-13,48.93
75,2019-02-12,48.97
76,2019-02-11,48.94
77,2019-02-08,48.99
78,2019-02-07,48.94
79,2019-02-06,48.87
80,2019-02-05,48.86
81,2019-02-04,48.86
82,2019-02-01,48.89
83,2019-01-31,48.89
84,2019-01-30,48.83
85,2019-01-29,48.76
86,2019-01-28,48.70
87,2019-01-25,48.70
88,2019-01-24,48.70
89,2019-01-23,48.68
90,2019-01-22,48.67
91,2019-01-18,48.64
92,2019-01-17,48.68
93,2019-01-16,48.64
94,2019-01-15,48.67
95,2019-01-14,48.66
96,2019-01-11,48.60
97,2019-01-10,48.56
98,2019-01-09,48.57
99,2019-01-08,48.57
100,2019-01-07,48.58
