,Date,NAV
1,2019-05-30,101.46
2,2019-05-29,101.46
3,2019-05-28,101.43
4,2019-05-24,101.43
5,2019-05-23,101.42
6,2019-05-22,101.38
7,2019-05-21,101.39
8,2019-05-20,101.38
9,2019-05-17,101.38
10,2019-05-16,101.36
11,2019-05-15,101.34
12,2019-05-14,101.33
13,2019-05-13,101.33
14,2019-05-10,101.31
15,2019-05-09,101.29
16,2019-05-08,101.27
17,2019-05-07,101.27
18,2019-05-06,101.25
19,2019-05-03,101.25
20,2019-05-02,101.24
21,2019-05-01,101.22
22,2019-04-30,101.20
23,2019-04-29,101.19
24,2019-04-26,101.18
25,2019-04-25,101.14
26,2019-04-24,101.13
27,2019-04-23,101.12
28,2019-04-22,101.11
29,2019-04-18,101.09
30,2019-04-17,101.06
31,2019-04-16,101.03
32,2019-04-15,101.03
33,2019-04-12,101.02
34,2019-04-11,101.00
35,2019-04-10,100.97
36,2019-04-09,100.97
37,2019-04-08,100.96
38,2019-04-05,100.95
39,2019-04-04,100.92
40,2019-04-03,100.91
41,2019-04-02,100.90
42,2019-04-01,100.89
43,2019-03-29,100.87
44,2019-03-28,100.87
45,2019-03-27,100.86
46,2019-03-26,100.85
47,2019-03-25,100.82
48,2019-03-22,100.80
49,2019-03-21,100.78
50,2019-03-20,100.75
51,2019-03-19,100.75
52,2019-03-18,100.75
53,2019-03-15,100.73
54,2019-03-14,100.71
55,2019-03-13,100.68
56,2019-03-12,100.67
57,2019-03-11,100.67
58,2019-03-08,100.65
59,2019-03-07,100.64
60,2019-03-06,100.62
61,2019-03-05,100.58
62,2019-03-04,100.60
63,2019-03-01,100.58
64,2019-02-28,100.54
65,2019-02-27,100.54
66,2019-02-26,100.52
67,2019-02-25,100.50
68,2019-02-22,100.49
69,2019-02-21,100.48
70,2019-02-20,100.47
71,2019-02-19,100.44
72,2019-02-15,100.42
73,2019-02-14,100.42
74,2019-02-13,100.39
75,2019-02-12,100.40
76,2019-02-11,100.41
77,2019-02-08,100.37
78,2019-02-07,100.36
79,2019-02-06,100.34
80,2019-02-05,100.33
81,2019-02-04,100.29
82,2019-02-01,100.27
83,2019-01-31,100.23
84,2019-01-30,100.21
85,2019-01-29,100.16
86,2019-01-28,100.15
87,2019-01-25,100.13
88,2019-01-24,100.12
89,2019-01-23,100.06
90,2019-01-22,100.04
91,2019-01-18,100.02
92,2019-01-17,99.96
93,2019-01-16,99.95
94,2019-01-15,99.92
95,2019-01-14,99.91
96,2019-01-11,99.89
97,2019-01-10,99.86
98,2019-01-09,99.84
99,2019-01-08,99.81
100,2019-01-07,99.80
101,2019-01-04,99.81
102,2019-01-03,99.81
103,2019-01-02,99.78
104,2018-12-31,99.78
105,2018-12-28,99.79
106,2018-12-27,99.76
107,2018-12-26,99.76
108,2018-12-24,99.73
109,2018-12-21,99.72
110,2018-12-20,99.73
111,2018-12-19,99.73
112,2018-12-18,99.73
113,2018-12-17,99.73
114,2018-12-14,99.70
115,2018-12-13,99.70
116,2018-12-12,99.69
117,2018-12-11,99.69
118,2018-12-10,99.70
119,2018-12-07,99.74
120,2018-12-06,99.76
121,2018-12-04,99.76
122,2018-12-03,99.77
123,2018-11-30,99.78
124,2018-11-29,99.80
125,2018-11-28,99.79
126,2018-11-27,99.81
127,2018-11-26,99.80
128,2018-11-23,99.81
129,2018-11-21,99.80
130,2018-11-20,99.79
131,2018-11-19,99.81
132,2018-11-16,99.80
133,2018-11-15,99.81
134,2018-11-14,99.81
135,2018-11-13,99.81
136,2018-11-12,99.79
137,2018-11-09,99.77
