,Date,NAV
1,2019-05-30,30.64
2,2019-05-29,30.70
3,2019-05-28,30.72
4,2019-05-24,30.73
5,2019-05-23,30.82
6,2019-05-22,30.85
7,2019-05-21,30.90
8,2019-05-20,30.90
9,2019-05-17,30.89
10,2019-05-16,30.84
11,2019-05-15,30.82
12,2019-05-14,30.86
13,2019-05-13,30.86
14,2019-05-10,30.90
15,2019-05-09,30.89
16,2019-05-08,30.87
17,2019-05-07,30.89
18,2019-05-06,30.95
19,2019-05-03,30.99
20,2019-05-02,31.04
21,2019-05-01,30.97
22,2019-04-30,30.97
23,2019-04-29,30.99
24,2019-04-26,30.94
25,2019-04-25,31.00
26,2019-04-24,30.99
27,2019-04-23,31.06
28,2019-04-22,31.10
29,2019-04-18,31.05
30,2019-04-17,31.09
31,2019-04-16,31.05
32,2019-04-15,31.03
33,2019-04-12,31.04
34,2019-04-11,30.97
35,2019-04-10,30.93
36,2019-04-09,30.97
37,2019-04-08,31.00
38,2019-04-05,30.98
39,2019-04-04,31.00
40,2019-04-03,31.00
41,2019-04-02,31.00
42,2019-04-01,30.97
43,2019-03-29,30.84
44,2019-03-28,30.82
45,2019-03-27,30.81
46,2019-03-26,30.87
47,2019-03-25,30.88
48,2019-03-22,30.93
49,2019-03-21,31.07
50,2019-03-20,31.11
51,2019-03-19,31.20
52,2019-03-18,31.19
53,2019-03-15,31.23
54,2019-03-14,31.25
55,2019-03-13,31.21
56,2019-03-12,31.26
57,2019-03-11,31.26
58,2019-03-08,31.30
59,2019-03-07,31.26
60,2019-03-06,31.34
61,2019-03-05,31.41
62,2019-03-04,31.41
63,2019-03-01,31.45
64,2019-02-28,31.38
65,2019-02-27,31.32
66,2019-02-26,31.26
67,2019-02-25,31.30
68,2019-02-22,31.25
69,2019-02-21,31.34
70,2019-02-20,31.28
71,2019-02-19,31.27
72,2019-02-15,31.29
73,2019-02-14,31.29
74,2019-02-13,31.33
75,2019-02-12,31.30
76,2019-02-11,31.30
77,2019-02-08,31.24
78,2019-02-07,31.30
79,2019-02-06,31.32
80,2019-02-05,31.31
81,2019-02-04,31.38
82,2019-02-01,31.33
83,2019-01-31,31.26
84,2019-01-30,31.37
85,2019-01-29,31.43
86,2019-01-28,31.51
87,2019-01-25,31.49
88,2019-01-24,31.51
89,2019-01-23,31.51
90,2019-01-22,31.50
91,2019-01-18,31.49
92,2019-01-17,31.52
93,2019-01-16,31.51
94,2019-01-15,31.52
95,2019-01-14,31.51
96,2019-01-11,31.47
97,2019-01-10,31.47
98,2019-01-09,31.54
99,2019-01-08,31.54
100,2019-01-07,31.54
101,2019-01-04,31.42
102,2019-01-03,31.30
103,2019-01-02,31.42
104,2018-12-31,31.43
105,2018-12-28,31.54
106,2018-12-27,31.57
107,2018-12-26,31.62
108,2018-12-24,31.58
109,2018-12-21,31.53
110,2018-12-20,31.60
111,2018-12-19,31.55
112,2018-12-18,31.63
113,2018-12-17,31.75
114,2018-12-14,31.77
115,2018-12-13,31.76
116,2018-12-12,31.78
117,2018-12-11,31.75
118,2018-12-10,31.76
119,2018-12-07,31.78
120,2018-12-06,32.23
121,2018-12-04,31.73
122,2018-12-03,31.73
123,2018-11-30,32.01
124,2018-11-29,32.01
125,2018-11-28,32.01
126,2018-11-27,32.01
127,2018-11-26,32.01
128,2018-11-23,32.01
129,2018-11-21,32.01
130,2018-11-20,32.07
131,2018-11-19,32.07
132,2018-11-16,32.06
133,2018-11-15,31.88
134,2018-11-14,32.08
135,2018-11-13,32.08
136,2018-11-12,32.08
137,2018-11-09,32.01
138,2018-11-08,32.01
139,2018-11-07,32.01
140,2018-11-06,32.01
141,2018-11-05,32.01
142,2018-11-02,32.01
143,2018-11-01,32.01
144,2018-10-31,32.01
145,2018-10-30,32.01
146,2018-10-29,31.98
147,2018-10-26,31.98
148,2018-10-25,31.98
149,2018-10-24,32.00
150,2018-10-23,31.98
151,2018-10-22,31.98
