,Date,NAV
1,2019-05-30,52.15
2,2019-05-29,51.98
3,2019-05-28,51.98
4,2019-05-24,51.91
5,2019-05-23,51.91
6,2019-05-22,51.70
7,2019-05-21,51.65
8,2019-05-20,51.69
9,2019-05-17,51.73
10,2019-05-16,51.72
11,2019-05-15,51.78
12,2019-05-14,51.65
13,2019-05-13,51.66
14,2019-05-10,51.56
15,2019-05-09,51.54
16,2019-05-08,51.52
17,2019-05-07,51.58
18,2019-05-06,51.47
19,2019-05-03,51.42
20,2019-05-02,51.36
21,2019-05-01,51.46
22,2019-04-30,51.46
23,2019-04-29,51.38
24,2019-04-26,51.46
25,2019-04-25,51.35
26,2019-04-24,51.35
27,2019-04-23,51.24
28,2019-04-22,51.18
29,2019-04-18,51.21
30,2019-04-17,51.18
31,2019-04-16,51.19
32,2019-04-15,51.27
33,2019-04-12,51.26
34,2019-04-11,51.36
35,2019-04-10,51.41
36,2019-04-09,51.32
37,2019-04-08,51.28
38,2019-04-05,51.29
39,2019-04-04,51.25
40,2019-04-03,51.21
41,2019-04-02,51.30
42,2019-04-01,51.28
43,2019-03-29,51.49
44,2019-03-28,51.51
45,2019-03-27,51.50
46,2019-03-26,51.43
47,2019-03-25,51.36
48,2019-03-22,51.29
49,2019-03-21,51.03
50,2019-03-20,51.02
51,2019-03-19,50.82
52,2019-03-18,50.83
53,2019-03-15,50.82
54,2019-03-14,50.75
55,2019-03-13,50.81
56,2019-03-12,50.85
57,2019-03-11,50.75
58,2019-03-08,50.73
59,2019-03-07,50.66
60,2019-03-06,50.55
61,2019-03-05,50.45
62,2019-03-04,50.45
63,2019-03-01,50.36
64,2019-02-28,50.48
65,2019-02-27,50.53
66,2019-02-26,50.66
67,2019-02-25,50.57
68,2019-02-22,50.59
69,2019-02-21,50.50
70,2019-02-20,50.57
71,2019-02-19,50.60
72,2019-02-15,50.54
73,2019-02-14,50.54
74,2019-02-13,50.41
75,2019-02-12,50.48
76,2019-02-11,50.51
77,2019-02-08,50.57
78,2019-02-07,50.49
79,2019-02-06,50.45
80,2019-02-05,50.42
81,2019-02-04,50.29
82,2019-02-01,50.39
83,2019-01-31,50.53
84,2019-01-30,50.33
85,2019-01-29,50.22
86,2019-01-28,50.12
87,2019-01-25,50.14
88,2019-01-24,50.17
89,2019-01-23,50.10
90,2019-01-22,50.06
91,2019-01-18,50.02
92,2019-01-17,50.03
93,2019-01-16,50.07
94,2019-01-15,50.04
95,2019-01-14,50.06
96,2019-01-11,50.08
97,2019-01-10,50.00
98,2019-01-09,50.05
99,2019-01-08,50.06
100,2019-01-07,50.06
101,2019-01-04,50.10
102,2019-01-03,50.28
103,2019-01-02,50.09
104,2018-12-31,49.97
105,2018-12-28,49.86
106,2018-12-27,49.72
107,2018-12-26,49.67
108,2018-12-24,49.77
109,2018-12-21,49.77
110,2018-12-20,49.75
111,2018-12-19,49.79
112,2018-12-18,49.74
113,2018-12-17,49.58
114,2018-12-14,49.47
