,Date,NAV
1,2019-05-30,124.76
2,2019-05-29,123.13
3,2019-05-28,122.81
4,2019-05-24,121.58
5,2019-05-23,121.45
6,2019-05-22,119.50
7,2019-05-21,118.71
8,2019-05-20,118.97
9,2019-05-17,119.15
10,2019-05-16,118.82
11,2019-05-15,119.19
12,2019-05-14,118.41
13,2019-05-13,118.87
14,2019-05-10,117.67
15,2019-05-09,117.85
16,2019-05-08,117.22
17,2019-05-07,117.84
18,2019-05-06,116.65
19,2019-05-03,116.04
20,2019-05-02,115.56
21,2019-05-01,116.36
22,2019-04-30,115.60
23,2019-04-29,114.76
24,2019-04-26,115.84
25,2019-04-25,115.39
26,2019-04-24,115.63
27,2019-04-23,114.30
28,2019-04-22,114.04
29,2019-04-18,114.66
30,2019-04-17,114.14
31,2019-04-16,114.10
32,2019-04-15,114.97
33,2019-04-12,114.61
34,2019-04-11,115.58
35,2019-04-10,116.54
36,2019-04-09,116.20
37,2019-04-08,115.79
38,2019-04-05,116.29
39,2019-04-04,116.04
40,2019-04-03,115.66
41,2019-04-02,117.09
42,2019-04-01,116.76
43,2019-03-29,119.17
44,2019-03-28,119.55
45,2019-03-27,118.72
46,2019-03-26,117.24
47,2019-03-25,117.51
48,2019-03-22,116.98
49,2019-03-21,114.48
50,2019-03-20,114.30
51,2019-03-19,112.73
52,2019-03-18,113.10
53,2019-03-15,113.07
54,2019-03-14,112.30
55,2019-03-13,113.48
56,2019-03-12,113.71
57,2019-03-11,112.65
58,2019-03-08,113.19
59,2019-03-07,112.39
60,2019-03-06,111.50
61,2019-03-05,110.82
62,2019-03-04,110.45
63,2019-03-01,109.37
64,2019-02-28,110.85
65,2019-02-27,111.57
66,2019-02-26,113.14
67,2019-02-25,112.44
68,2019-02-22,112.92
69,2019-02-21,112.15
70,2019-02-20,113.62
71,2019-02-19,113.96
72,2019-02-15,113.62
73,2019-02-14,113.24
74,2019-02-13,112.54
75,2019-02-12,112.87
76,2019-02-11,113.44
77,2019-02-08,114.00
78,2019-02-07,113.26
79,2019-02-06,112.17
80,2019-02-05,112.19
81,2019-02-04,111.43
82,2019-02-01,112.01
83,2019-01-31,112.85
84,2019-01-30,111.83
85,2019-01-29,112.05
86,2019-01-28,111.27
87,2019-01-25,111.51
88,2019-01-24,112.05
89,2019-01-23,111.08
90,2019-01-22,111.08
91,2019-01-18,110.19
92,2019-01-17,110.87
93,2019-01-16,110.76
94,2019-01-15,110.60
95,2019-01-14,111.29
96,2019-01-11,111.96
97,2019-01-10,111.57
98,2019-01-09,112.72
99,2019-01-08,112.91
100,2019-01-07,113.19
101,2019-01-04,113.70
102,2019-01-03,115.22
103,2019-01-02,113.56
104,2018-12-31,112.65
105,2018-12-28,111.99
106,2018-12-27,110.96
107,2018-12-26,111.28
108,2018-12-24,112.74
109,2018-12-21,112.25
110,2018-12-20,112.25
111,2018-12-19,112.92
112,2018-12-18,110.76
113,2018-12-17,109.78
114,2018-12-14,108.86
115,2018-12-13,108.38
116,2018-12-12,108.76
117,2018-12-11,109.42
118,2018-12-10,109.30
119,2018-12-07,108.56
120,2018-12-06,108.36
121,2018-12-04,107.92
122,2018-12-03,105.16
123,2018-11-30,104.23
124,2018-11-29,103.69
125,2018-11-28,103.18
126,2018-11-27,103.98
127,2018-11-26,103.82
128,2018-11-23,104.26
129,2018-11-21,104.00
130,2018-11-20,104.00
131,2018-11-19,103.96
132,2018-11-16,103.56
133,2018-11-15,102.89
134,2018-11-14,103.01
135,2018-11-13,102.82
136,2018-11-12,103.20
137,2018-11-09,102.10
138,2018-11-08,100.98
139,2018-11-07,101.05
140,2018-11-06,100.77
141,2018-11-05,100.75
142,2018-11-02,100.27
143,2018-11-01,102.09
144,2018-10-31,102.00
145,2018-10-30,102.75
146,2018-10-29,103.55
147,2018-10-26,103.98
148,2018-10-25,103.11
149,2018-10-24,103.63
150,2018-10-23,102.65
151,2018-10-22,102.26
152,2018-10-19,102.43
153,2018-10-18,102.83
154,2018-10-17,102.93
155,2018-10-16,103.66
156,2018-10-15,103.48
157,2018-10-12,103.55
158,2018-10-11,103.87
159,2018-10-10,102.12
160,2018-10-09,102.48
161,2018-10-08,100.95
162,2018-10-05,101.52
163,2018-10-04,102.82
164,2018-10-03,103.84
165,2018-10-02,106.65
166,2018-10-01,105.75
167,2018-09-28,106.93
168,2018-09-27,107.35
169,2018-09-26,107.29
170,2018-09-25,106.15
171,2018-09-24,106.38
172,2018-09-21,106.81
173,2018-09-20,106.76
174,2018-09-19,106.11
175,2018-09-18,106.99
176,2018-09-17,108.66
177,2018-09-14,108.66
178,2018-09-13,109.36
