,Date,NAV
1,2019-05-30,60.90
2,2019-05-29,60.77
3,2019-05-28,60.76
4,2019-05-24,60.61
5,2019-05-23,60.63
6,2019-05-22,60.38
7,2019-05-21,60.24
8,2019-05-20,60.33
9,2019-05-17,60.37
10,2019-05-16,60.36
11,2019-05-15,60.43
12,2019-05-14,60.32
13,2019-05-13,60.37
14,2019-05-10,60.10
15,2019-05-09,60.14
16,2019-05-08,60.03
17,2019-05-07,60.09
18,2019-05-06,59.98
19,2019-05-03,59.85
20,2019-05-02,59.81
21,2019-05-01,59.94
22,2019-04-30,59.98
23,2019-04-29,59.90
24,2019-04-26,59.94
25,2019-04-25,59.85
26,2019-04-24,59.88
27,2019-04-23,59.74
28,2019-04-22,59.66
29,2019-04-18,59.69
30,2019-04-17,59.61
31,2019-04-16,59.56
32,2019-04-15,59.71
33,2019-04-12,59.65
34,2019-04-11,59.85
35,2019-04-10,59.94
36,2019-04-09,59.82
37,2019-04-08,59.78
38,2019-04-05,59.83
39,2019-04-04,59.80
40,2019-04-03,59.75
41,2019-04-02,59.87
42,2019-04-01,59.79
43,2019-03-29,60.07
44,2019-03-28,60.14
45,2019-03-27,60.17
46,2019-03-26,60.06
47,2019-03-25,60.08
48,2019-03-22,59.94
49,2019-03-21,59.63
50,2019-03-20,59.65
51,2019-03-19,59.38
52,2019-03-18,59.42
53,2019-03-15,59.44
54,2019-03-14,59.36
55,2019-03-13,59.39
56,2019-03-12,59.38
57,2019-03-11,59.29
58,2019-03-08,59.32
59,2019-03-07,59.26
60,2019-03-06,59.12
61,2019-03-05,59.02
62,2019-03-04,58.99
63,2019-03-01,58.88
64,2019-02-28,59.03
65,2019-02-27,59.12
66,2019-02-26,59.21
67,2019-02-25,59.13
68,2019-02-22,59.14
69,2019-02-21,59.03
70,2019-02-20,59.16
71,2019-02-19,59.17
72,2019-02-15,59.06
73,2019-02-14,59.13
74,2019-02-13,58.95
75,2019-02-12,59.03
76,2019-02-11,59.09
77,2019-02-08,59.18
78,2019-02-07,59.13
79,2019-02-06,59.00
80,2019-02-05,58.93
81,2019-02-04,58.88
82,2019-02-01,58.94
83,2019-01-31,59.16
84,2019-01-30,59.00
85,2019-01-29,58.86
86,2019-01-28,58.74
87,2019-01-25,58.72
88,2019-01-24,58.84
89,2019-01-23,58.72
90,2019-01-22,58.74
91,2019-01-18,58.60
92,2019-01-17,58.74
93,2019-01-16,58.80
94,2019-01-15,58.84
95,2019-01-14,58.84
96,2019-01-11,58.86
97,2019-01-10,58.71
98,2019-01-09,58.76
99,2019-01-08,58.71
100,2019-01-07,58.80
101,2019-01-04,58.94
102,2019-01-03,59.31
103,2019-01-02,58.96
104,2018-12-31,59.00
105,2018-12-28,58.72
106,2018-12-27,58.50
107,2018-12-26,58.38
108,2018-12-24,58.55
109,2018-12-21,58.43
110,2018-12-20,58.39
111,2018-12-19,58.40
112,2018-12-18,58.32
113,2018-12-17,58.25
114,2018-12-14,58.10
115,2018-12-13,58.01
116,2018-12-12,57.98
117,2018-12-11,58.05
118,2018-12-10,58.17
119,2018-12-07,58.15
120,2018-12-06,58.02
121,2018-12-04,57.91
122,2018-12-03,57.73
123,2018-11-30,57.69
124,2018-11-29,57.67
125,2018-11-28,57.59
126,2018-11-27,57.52
127,2018-11-26,57.52
128,2018-11-23,57.57
129,2018-11-21,57.50
130,2018-11-20,57.52
131,2018-11-19,57.58
132,2018-11-16,57.49
133,2018-11-15,57.34
134,2018-11-14,57.31
135,2018-11-13,57.24
136,2018-11-12,57.22
137,2018-11-09,57.07
138,2018-11-08,56.91
139,2018-11-07,56.97
140,2018-11-06,57.00
141,2018-11-05,57.05
142,2018-11-02,57.02
143,2018-11-01,57.23
144,2018-10-31,57.14
145,2018-10-30,57.27
146,2018-10-29,57.36
147,2018-10-26,57.37
148,2018-10-25,57.14
149,2018-10-24,57.26
150,2018-10-23,57.04
151,2018-10-22,56.96
152,2018-10-19,56.95
153,2018-10-18,56.98
154,2018-10-17,56.91
155,2018-10-16,57.03
156,2018-10-15,57.03
157,2018-10-12,57.01
158,2018-10-11,57.06
159,2018-10-10,56.94
160,2018-10-09,56.85
161,2018-10-08,56.84
162,2018-10-05,56.78
163,2018-10-04,56.86
164,2018-10-03,56.97
165,2018-10-02,57.20
166,2018-10-01,57.12
167,2018-09-28,57.18
168,2018-09-27,57.16
169,2018-09-26,57.12
170,2018-09-25,57.05
171,2018-09-24,57.08
172,2018-09-21,57.10
173,2018-09-20,57.08
174,2018-09-19,57.09
175,2018-09-18,57.14
176,2018-09-17,57.26
177,2018-09-14,57.24
178,2018-09-13,57.35
179,2018-09-12,57.35
180,2018-09-11,57.30
181,2018-09-10,57.43
182,2018-09-07,57.44
183,2018-09-06,57.64
184,2018-09-05,57.56
185,2018-09-04,57.55
186,2018-08-31,57.60
187,2018-08-30,57.58
188,2018-08-29,57.48
189,2018-08-28,57.53
190,2018-08-27,57.62
191,2018-08-24,57.70
192,2018-08-23,57.69
