,Date,NAV
1,2019-05-30,50.23
2,2019-05-29,50.19
3,2019-05-28,50.17
4,2019-05-24,50.13
5,2019-05-23,50.16
6,2019-05-22,50.06
7,2019-05-21,50.04
8,2019-05-20,50.08
9,2019-05-17,50.09
10,2019-05-16,50.09
11,2019-05-15,50.11
12,2019-05-14,50.07
13,2019-05-13,50.07
14,2019-05-10,50.00
15,2019-05-09,49.99
16,2019-05-08,49.96
17,2019-05-07,49.97
18,2019-05-06,49.94
19,2019-05-03,49.92
20,2019-05-02,49.91
21,2019-05-01,49.94
22,2019-04-30,49.96
23,2019-04-29,49.93
24,2019-04-26,49.93
25,2019-04-25,49.91
26,2019-04-24,49.91
27,2019-04-23,49.87
28,2019-04-22,49.84
29,2019-04-18,49.83
30,2019-04-17,49.82
31,2019-04-16,49.81
32,2019-04-15,49.82
33,2019-04-12,49.81
34,2019-04-11,49.84
35,2019-04-10,49.85
36,2019-04-09,49.82
37,2019-04-08,49.81
38,2019-04-05,49.81
39,2019-04-04,49.83
40,2019-04-03,49.82
41,2019-04-02,49.83
42,2019-04-01,49.83
43,2019-03-29,49.88
44,2019-03-28,49.90
45,2019-03-27,49.91
46,2019-03-26,49.88
47,2019-03-25,49.88
48,2019-03-22,49.81
49,2019-03-21,49.73
50,2019-03-20,49.74
51,2019-03-19,49.64
52,2019-03-18,49.67
53,2019-03-15,49.68
54,2019-03-14,49.66
55,2019-03-13,49.65
56,2019-03-12,49.65
57,2019-03-11,49.63
58,2019-03-08,49.61
59,2019-03-07,49.62
60,2019-03-06,49.56
61,2019-03-05,49.54
62,2019-03-04,49.53
63,2019-03-01,49.50
64,2019-02-28,49.56
65,2019-02-27,49.57
66,2019-02-26,49.57
67,2019-02-25,49.56
68,2019-02-22,49.56
69,2019-02-21,49.53
70,2019-02-20,49.53
71,2019-02-19,49.55
72,2019-02-15,49.51
73,2019-02-14,49.53
74,2019-02-13,49.48
75,2019-02-12,49.52
76,2019-02-11,49.53
77,2019-02-08,49.53
78,2019-02-07,49.51
79,2019-02-06,49.48
80,2019-02-05,49.48
81,2019-02-04,49.46
82,2019-02-01,49.45
83,2019-01-31,49.52
84,2019-01-30,49.47
85,2019-01-29,49.42
86,2019-01-28,49.38
87,2019-01-25,49.38
88,2019-01-24,49.41
89,2019-01-23,49.38
90,2019-01-22,49.36
91,2019-01-18,49.34
92,2019-01-17,49.39
93,2019-01-16,49.39
94,2019-01-15,49.38
95,2019-01-14,49.38
96,2019-01-11,49.37
97,2019-01-10,49.36
98,2019-01-09,49.36
99,2019-01-08,49.31
100,2019-01-07,49.37
101,2019-01-04,49.38
102,2019-01-03,49.51
103,2019-01-02,49.40
104,2018-12-31,49.41
105,2018-12-28,49.35
106,2018-12-27,49.32
107,2018-12-26,49.27
108,2018-12-24,49.27
109,2018-12-21,49.25
110,2018-12-20,49.22
111,2018-12-19,49.22
112,2018-12-18,49.20
113,2018-12-17,49.18
114,2018-12-14,49.13
115,2018-12-13,49.10
116,2018-12-12,49.08
117,2018-12-11,49.07
118,2018-12-10,49.10
119,2018-12-07,49.11
120,2018-12-06,49.07
121,2018-12-04,49.02
122,2018-12-03,48.98
123,2018-11-30,49.00
124,2018-11-29,49.00
125,2018-11-28,48.99
126,2018-11-27,48.97
127,2018-11-26,48.96
128,2018-11-23,48.98
129,2018-11-21,48.98
130,2018-11-20,48.98
131,2018-11-19,48.98
132,2018-11-16,48.95
133,2018-11-15,48.90
134,2018-11-14,48.89
135,2018-11-13,48.86
136,2018-11-12,48.84
137,2018-11-09,48.81
138,2018-11-08,48.76
139,2018-11-07,48.77
140,2018-11-06,48.79
141,2018-11-05,48.82
142,2018-11-02,48.81
143,2018-11-01,48.87
144,2018-10-31,48.81
145,2018-10-30,48.84
146,2018-10-29,48.88
147,2018-10-26,48.85
148,2018-10-25,48.82
149,2018-10-24,48.83
150,2018-10-23,48.77
151,2018-10-22,48.75
152,2018-10-19,48.75
153,2018-10-18,48.77
154,2018-10-17,48.74
155,2018-10-16,48.77
156,2018-10-15,48.77
157,2018-10-12,48.77
158,2018-10-11,48.77
159,2018-10-10,48.74
160,2018-10-09,48.70
161,2018-10-08,48.72
162,2018-10-05,48.70
163,2018-10-04,48.71
164,2018-10-03,48.72
165,2018-10-02,48.78
166,2018-10-01,48.76
167,2018-09-28,48.75
168,2018-09-27,48.75
169,2018-09-26,48.75
170,2018-09-25,48.73
171,2018-09-24,48.73
172,2018-09-21,48.73
173,2018-09-20,48.71
174,2018-09-19,48.72
175,2018-09-18,48.72
176,2018-09-17,48.74
177,2018-09-14,48.74
178,2018-09-13,48.76
179,2018-09-12,48.76
180,2018-09-11,48.76
