,Date,NAV
1,2019-05-30,84.21
2,2019-05-29,84.14
3,2019-05-28,84.13
4,2019-05-24,84.06
5,2019-05-23,84.09
6,2019-05-22,83.94
7,2019-05-21,83.90
8,2019-05-20,83.94
9,2019-05-17,83.98
10,2019-05-16,83.96
11,2019-05-15,84.01
12,2019-05-14,83.95
13,2019-05-13,83.95
14,2019-05-10,83.85
15,2019-05-09,83.83
16,2019-05-08,83.78
17,2019-05-07,83.79
18,2019-05-06,83.75
19,2019-05-03,83.70
20,2019-05-02,83.67
21,2019-05-01,83.71
22,2019-04-30,83.79
23,2019-04-29,83.73
24,2019-04-26,83.76
25,2019-04-25,83.67
26,2019-04-24,83.67
27,2019-04-23,83.62
28,2019-04-22,83.58
29,2019-04-18,83.57
30,2019-04-17,83.55
31,2019-04-16,83.52
32,2019-04-15,83.53
33,2019-04-12,83.52
34,2019-04-11,83.57
35,2019-04-10,83.62
36,2019-04-09,83.55
37,2019-04-08,83.54
38,2019-04-05,83.56
39,2019-04-04,83.57
40,2019-04-03,83.55
41,2019-04-02,83.59
42,2019-04-01,83.55
43,2019-03-29,83.63
44,2019-03-28,83.68
45,2019-03-27,83.69
46,2019-03-26,83.62
47,2019-03-25,83.63
48,2019-03-22,83.54
49,2019-03-21,83.40
50,2019-03-20,83.40
51,2019-03-19,83.28
52,2019-03-18,83.29
53,2019-03-15,83.31
54,2019-03-14,83.28
55,2019-03-13,83.26
56,2019-03-12,83.25
57,2019-03-11,83.23
58,2019-03-08,83.25
59,2019-03-07,83.22
60,2019-03-06,83.15
61,2019-03-05,83.09
62,2019-03-04,83.08
63,2019-03-01,83.06
64,2019-02-28,83.11
65,2019-02-27,83.13
66,2019-02-26,83.15
67,2019-02-25,83.11
68,2019-02-22,83.12
69,2019-02-21,83.06
70,2019-02-20,83.09
71,2019-02-19,83.10
72,2019-02-15,83.04
73,2019-02-14,83.08
74,2019-02-13,82.97
75,2019-02-12,83.03
76,2019-02-11,83.04
77,2019-02-08,83.07
78,2019-02-07,83.04
79,2019-02-06,82.98
80,2019-02-05,82.94
81,2019-02-04,82.94
82,2019-02-01,82.94
83,2019-01-31,83.04
84,2019-01-30,82.97
85,2019-01-29,82.86
86,2019-01-28,82.82
87,2019-01-25,82.81
88,2019-01-24,82.87
89,2019-01-23,82.80
90,2019-01-22,82.82
91,2019-01-18,82.75
92,2019-01-17,82.82
93,2019-01-16,82.83
94,2019-01-15,82.85
95,2019-01-14,82.82
96,2019-01-11,82.82
97,2019-01-10,82.77
98,2019-01-09,82.76
99,2019-01-08,82.72
100,2019-01-07,82.77
101,2019-01-04,82.83
102,2019-01-03,83.01
103,2019-01-02,82.84
104,2018-12-31,82.83
105,2018-12-28,82.80
106,2018-12-27,82.68
107,2018-12-26,82.59
108,2018-12-24,82.67
109,2018-12-21,82.60
110,2018-12-20,82.55
111,2018-12-19,82.56
112,2018-12-18,82.54
113,2018-12-17,82.49
114,2018-12-14,82.41
115,2018-12-13,82.36
116,2018-12-12,82.28
117,2018-12-11,82.29
118,2018-12-10,82.37
119,2018-12-07,82.37
120,2018-12-06,82.28
121,2018-12-04,82.20
122,2018-12-03,82.14
123,2018-11-30,82.21
124,2018-11-29,82.18
125,2018-11-28,82.16
126,2018-11-27,82.13
127,2018-11-26,82.12
128,2018-11-23,82.11
129,2018-11-21,82.13
130,2018-11-20,82.13
131,2018-11-19,82.15
132,2018-11-16,82.08
133,2018-11-15,82.02
134,2018-11-14,81.98
135,2018-11-13,81.92
136,2018-11-12,81.91
137,2018-11-09,81.85
138,2018-11-08,81.81
139,2018-11-07,81.82
140,2018-11-06,81.85
141,2018-11-05,81.87
142,2018-11-02,81.84
143,2018-11-01,81.94
144,2018-10-31,81.90
145,2018-10-30,81.94
146,2018-10-29,81.97
147,2018-10-26,81.94
148,2018-10-25,81.90
149,2018-10-24,81.93
150,2018-10-23,81.80
151,2018-10-22,81.75
152,2018-10-19,81.77
153,2018-10-18,81.82
154,2018-10-17,81.77
155,2018-10-16,81.77
156,2018-10-15,81.80
157,2018-10-12,81.77
158,2018-10-11,81.77
159,2018-10-10,81.74
160,2018-10-09,81.72
161,2018-10-08,81.69
162,2018-10-05,81.71
163,2018-10-04,81.72
164,2018-10-03,81.74
165,2018-10-02,81.78
166,2018-10-01,81.75
167,2018-09-28,81.77
168,2018-09-27,81.73
169,2018-09-26,81.73
170,2018-09-25,81.72
171,2018-09-24,81.71
172,2018-09-21,81.71
173,2018-09-20,81.73
174,2018-09-19,81.70
175,2018-09-18,81.72
176,2018-09-17,81.73
177,2018-09-14,81.75
178,2018-09-13,81.78
179,2018-09-12,81.77
180,2018-09-11,81.77
181,2018-09-10,81.82
182,2018-09-07,81.81
183,2018-09-06,81.90
184,2018-09-05,81.87
185,2018-09-04,81.87
186,2018-08-31,81.89
187,2018-08-30,81.87
188,2018-08-29,81.81
189,2018-08-28,81.82
190,2018-08-27,81.85
191,2018-08-24,81.88
192,2018-08-23,81.87
193,2018-08-22,81.88
194,2018-08-21,81.86
195,2018-08-20,81.88
196,2018-08-17,81.83
197,2018-08-16,81.80
198,2018-08-15,81.82
199,2018-08-14,81.78
200,2018-08-13,81.78
201,2018-08-10,81.80
202,2018-08-09,81.72
203,2018-08-08,81.67
204,2018-08-07,81.66
205,2018-08-06,81.69
206,2018-08-03,81.67
207,2018-08-02,81.66
208,2018-08-01,81.61
209,2018-07-31,81.60
210,2018-07-30,81.60
211,2018-07-27,81.60
212,2018-07-26,81.59
213,2018-07-25,81.59
214,2018-07-24,81.62
215,2018-07-23,81.61
216,2018-07-20,81.66
217,2018-07-19,81.66
218,2018-07-18,81.62
219,2018-07-17,81.63
220,2018-07-16,81.64
221,2018-07-13,81.66
222,2018-07-12,81.64
223,2018-07-11,81.65
224,2018-07-10,81.62
225,2018-07-09,81.63
226,2018-07-06,81.68
227,2018-07-05,81.66
228,2018-07-03,81.67
229,2018-07-02,81.64
230,2018-06-29,81.65
231,2018-06-28,81.67
232,2018-06-27,81.67
233,2018-06-26,81.62
234,2018-06-25,81.62
235,2018-06-22,81.59
236,2018-06-21,81.59
237,2018-06-20,81.54
238,2018-06-19,81.58
239,2018-06-18,81.55
240,2018-06-15,81.53
241,2018-06-14,81.49
242,2018-06-13,81.46
243,2018-06-12,81.50
244,2018-06-11,81.54
245,2018-06-08,81.57
246,2018-06-07,81.59
247,2018-06-06,81.51
248,2018-06-05,81.54
249,2018-06-04,81.49
250,2018-06-01,81.56
251,2018-05-31,81.62
252,2018-05-30,81.66
253,2018-05-29,81.76
254,2018-05-25,81.52
255,2018-05-24,81.45
256,2018-05-23,81.40
257,2018-05-22,81.33
258,2018-05-21,81.33
259,2018-05-18,81.33
260,2018-05-17,81.30
261,2018-05-16,81.28
262,2018-05-15,81.28
263,2018-05-14,81.33
264,2018-05-11,81.33
265,2018-05-10,81.33
266,2018-05-09,81.33
267,2018-05-08,81.36
268,2018-05-07,81.35
269,2018-05-04,81.35
270,2018-05-03,81.38
271,2018-05-02,81.33
272,2018-05-01,81.30
273,2018-04-30,81.33
274,2018-04-27,81.36
275,2018-04-26,81.34
276,2018-04-25,81.32
277,2018-04-24,81.33
278,2018-04-23,81.31
279,2018-04-20,81.32
280,2018-04-19,81.35
281,2018-04-18,81.35
282,2018-04-17,81.42
283,2018-04-16,81.42
284,2018-04-13,81.43
285,2018-04-12,81.45
286,2018-04-11,81.50
287,2018-04-10,81.50
288,2018-04-09,81.54
289,2018-04-06,81.55
290,2018-04-05,81.48
291,2018-04-04,81.46
292,2018-04-03,81.51
293,2018-04-02,81.55
294,2018-03-29,81.52
295,2018-03-28,81.49
296,2018-03-27,81.48
297,2018-03-26,81.43
298,2018-03-23,81.46
299,2018-03-22,81.45
300,2018-03-21,81.41
301,2018-03-20,81.35
302,2018-03-19,81.38
303,2018-03-16,81.38
304,2018-03-15,81.42
305,2018-03-14,81.41
306,2018-03-13,81.42
307,2018-03-12,81.40
308,2018-03-09,81.36
309,2018-03-08,81.40
310,2018-03-07,81.38
311,2018-03-06,81.38
312,2018-03-05,81.40
313,2018-03-02,81.40
314,2018-03-01,81.44
315,2018-02-28,81.32
316,2018-02-27,81.30
317,2018-02-26,81.36
318,2018-02-23,81.35
319,2018-02-22,81.33
320,2018-02-21,81.32
321,2018-02-20,81.31
322,2018-02-16,81.32
323,2018-02-15,81.30
324,2018-02-14,81.33
325,2018-02-13,81.45
326,2018-02-12,81.45
327,2018-02-09,81.49
328,2018-02-08,81.42
329,2018-02-07,81.41
330,2018-02-06,81.47
331,2018-02-05,81.53
332,2018-02-02,81.38
333,2018-02-01,81.37
334,2018-01-31,81.40
335,2018-01-30,81.40
336,2018-01-29,81.39
337,2018-01-26,81.42
338,2018-01-25,81.47
339,2018-01-24,81.49
340,2018-01-23,81.51
341,2018-01-22,81.46
342,2018-01-19,81.50
343,2018-01-18,81.47
344,2018-01-17,81.49
345,2018-01-16,81.52
346,2018-01-12,81.53
347,2018-01-11,81.54
348,2018-01-10,81.57
349,2018-01-09,81.54
350,2018-01-08,81.57
351,2018-01-05,81.57
352,2018-01-04,81.57
353,2018-01-03,81.61
354,2018-01-02,81.61
355,2017-12-29,81.64
356,2017-12-28,81.62
357,2017-12-27,81.61
358,2017-12-26,81.57
359,2017-12-22,81.58
360,2017-12-21,81.61
361,2017-12-20,81.61
362,2017-12-19,81.60
363,2017-12-18,81.64
364,2017-12-15,81.64
365,2017-12-14,81.68
366,2017-12-13,81.71
367,2017-12-12,81.62
368,2017-12-11,81.62
369,2017-12-08,81.66
370,2017-12-07,81.66
371,2017-12-06,81.65
372,2017-12-05,81.61
373,2017-12-04,81.62
374,2017-12-01,81.67
375,2017-11-30,81.65
376,2017-11-29,81.70
377,2017-11-28,81.72
378,2017-11-27,81.71
379,2017-11-24,81.71
380,2017-11-22,81.71
381,2017-11-21,81.64
382,2017-11-20,81.66
383,2017-11-17,81.69
384,2017-11-16,81.74
385,2017-11-15,81.73
386,2017-11-14,81.76
387,2017-11-13,81.74
388,2017-11-10,81.75
389,2017-11-09,81.78
390,2017-11-08,81.79
391,2017-11-07,81.80
392,2017-11-06,81.84
393,2017-11-03,81.79
394,2017-11-02,81.84
395,2017-11-01,81.82
396,2017-10-31,81.83
397,2017-10-30,81.88
398,2017-10-27,81.84
399,2017-10-26,81.78
400,2017-10-25,81.78
401,2017-10-24,81.80
402,2017-10-23,81.82
403,2017-10-20,81.82
404,2017-10-19,81.87
405,2017-10-18,81.82
406,2017-10-17,81.85
407,2017-10-16,81.84
408,2017-10-13,81.92
409,2017-10-12,81.87
410,2017-10-11,81.88
411,2017-10-10,81.89
412,2017-10-09,81.87
413,2017-10-06,81.87
414,2017-10-05,81.90
415,2017-10-04,82.07
416,2017-10-03,81.92
417,2017-10-02,81.97
418,2017-09-29,81.91
419,2017-09-28,81.93
420,2017-09-27,81.92
421,2017-09-26,81.93
422,2017-09-25,81.94
423,2017-09-22,81.90
424,2017-09-21,81.88
425,2017-09-20,81.90
426,2017-09-19,81.96
427,2017-09-18,81.95
428,2017-09-15,82.00
429,2017-09-14,82.01
430,2017-09-13,82.00
431,2017-09-12,82.02
432,2017-09-11,82.06
433,2017-09-08,82.14
434,2017-09-07,82.16
435,2017-09-06,82.11
436,2017-09-05,82.12
437,2017-09-01,82.04
438,2017-08-31,82.06
439,2017-08-30,82.06
440,2017-08-29,82.04
441,2017-08-28,82.00
442,2017-08-25,82.03
443,2017-08-24,82.00
444,2017-08-23,82.08
445,2017-08-22,82.00
446,2017-08-21,82.01
447,2017-08-18,81.99
448,2017-08-17,82.00
449,2017-08-16,81.98
450,2017-08-15,81.93
451,2017-08-14,81.97
452,2017-08-11,82.04
453,2017-08-10,81.93
454,2017-08-09,81.90
455,2017-08-08,81.91
456,2017-08-07,81.91
457,2017-08-04,81.88
458,2017-08-03,81.91
459,2017-08-02,81.88
460,2017-08-01,81.92
461,2017-07-31,81.89
462,2017-07-28,81.90
463,2017-07-27,81.85
464,2017-07-26,81.87
465,2017-07-25,81.82
466,2017-07-24,81.86
467,2017-07-21,81.89
468,2017-07-20,81.85
469,2017-07-19,81.85
470,2017-07-18,81.85
471,2017-07-17,81.84
472,2017-07-14,81.83
473,2017-07-13,81.79
474,2017-07-12,81.83
475,2017-07-11,81.79
476,2017-07-10,81.76
477,2017-07-07,81.72
478,2017-07-06,81.73
479,2017-07-05,81.71
480,2017-07-03,81.68
481,2017-06-30,81.74
482,2017-06-29,81.74
