,Date,NAV
1,2019-05-30,37.37
2,2019-05-29,37.06
3,2019-05-28,36.97
4,2019-05-24,36.70
5,2019-05-23,36.67
6,2019-05-22,36.27
7,2019-05-21,36.06
8,2019-05-20,36.11
9,2019-05-17,36.20
10,2019-05-16,36.11
11,2019-05-15,36.24
12,2019-05-14,36.00
13,2019-05-13,36.12
14,2019-05-10,35.83
15,2019-05-09,35.87
16,2019-05-08,35.75
17,2019-05-07,35.89
18,2019-05-06,35.64
19,2019-05-03,35.52
20,2019-05-02,35.44
21,2019-05-01,35.58
22,2019-04-30,35.47
23,2019-04-29,35.29
24,2019-04-26,35.50
25,2019-04-25,35.37
26,2019-04-24,35.43
27,2019-04-23,35.15
28,2019-04-22,35.07
29,2019-04-18,35.26
30,2019-04-17,35.06
31,2019-04-16,35.07
32,2019-04-15,35.27
33,2019-04-12,35.19
34,2019-04-11,35.44
35,2019-04-10,35.63
36,2019-04-09,35.56
37,2019-04-08,35.42
38,2019-04-05,35.54
39,2019-04-04,35.51
40,2019-04-03,35.39
41,2019-04-02,35.71
42,2019-04-01,35.64
43,2019-03-29,36.14
44,2019-03-28,36.17
45,2019-03-27,36.07
46,2019-03-26,35.73
47,2019-03-25,35.79
48,2019-03-22,35.70
49,2019-03-21,35.18
50,2019-03-20,35.12
51,2019-03-19,34.77
52,2019-03-18,34.81
53,2019-03-15,34.84
54,2019-03-14,34.62
55,2019-03-13,34.86
56,2019-03-12,34.91
57,2019-03-11,34.69
58,2019-03-08,34.79
59,2019-03-07,34.65
60,2019-03-06,34.45
61,2019-03-05,34.31
62,2019-03-04,34.24
63,2019-03-01,33.98
64,2019-02-28,34.28
65,2019-02-27,34.43
66,2019-02-26,34.78
67,2019-02-25,34.61
68,2019-02-22,34.71
69,2019-02-21,34.54
70,2019-02-20,34.82
71,2019-02-19,34.90
72,2019-02-15,34.82
73,2019-02-14,34.78
74,2019-02-13,34.59
75,2019-02-12,34.69
76,2019-02-11,34.80
77,2019-02-08,34.92
78,2019-02-07,34.77
79,2019-02-06,34.54
80,2019-02-05,34.54
81,2019-02-04,34.37
82,2019-02-01,34.53
83,2019-01-31,34.74
84,2019-01-30,34.44
85,2019-01-29,34.45
86,2019-01-28,34.30
87,2019-01-25,34.33
88,2019-01-24,34.50
89,2019-01-23,34.28
90,2019-01-22,34.29
91,2019-01-18,34.06
92,2019-01-17,34.24
93,2019-01-16,34.23
94,2019-01-15,34.21
95,2019-01-14,34.30
96,2019-01-11,34.42
97,2019-01-10,34.30
98,2019-01-09,34.51
99,2019-01-08,34.60
100,2019-01-07,34.68
101,2019-01-04,34.76
102,2019-01-03,35.18
103,2019-01-02,34.77
104,2018-12-31,34.64
105,2018-12-28,34.45
106,2018-12-27,34.20
107,2018-12-26,34.18
108,2018-12-24,34.52
109,2018-12-21,34.35
110,2018-12-20,34.38
111,2018-12-19,34.51
112,2018-12-18,34.06
113,2018-12-17,33.87
114,2018-12-14,33.68
115,2018-12-13,33.58
116,2018-12-12,33.64
117,2018-12-11,33.78
118,2018-12-10,33.82
119,2018-12-07,33.66
120,2018-12-06,33.61
121,2018-12-04,33.48
122,2018-12-03,32.95
123,2018-11-30,32.72
124,2018-11-29,32.60
125,2018-11-28,32.50
126,2018-11-27,32.65
127,2018-11-26,32.60
128,2018-11-23,32.66
129,2018-11-21,32.63
130,2018-11-20,32.66
131,2018-11-19,32.64
132,2018-11-16,32.54
133,2018-11-15,32.39
134,2018-11-14,32.39
135,2018-11-13,32.35
136,2018-11-12,32.40
137,2018-11-09,32.15
138,2018-11-08,31.93
139,2018-11-07,31.95
140,2018-11-06,31.92
141,2018-11-05,31.95
142,2018-11-02,31.79
143,2018-11-01,32.20
144,2018-10-31,32.15
145,2018-10-30,32.34
146,2018-10-29,32.49
147,2018-10-26,32.53
148,2018-10-25,32.35
149,2018-10-24,32.46
150,2018-10-23,32.24
151,2018-10-22,32.16
152,2018-10-19,32.18
153,2018-10-18,32.28
154,2018-10-17,32.26
155,2018-10-16,32.45
156,2018-10-15,32.39
157,2018-10-12,32.40
158,2018-10-11,32.52
159,2018-10-10,32.14
160,2018-10-09,32.22
161,2018-10-08,31.87
162,2018-10-05,32.00
163,2018-10-04,32.29
164,2018-10-03,32.47
165,2018-10-02,33.07
166,2018-10-01,32.83
167,2018-09-28,33.09
168,2018-09-27,33.18
169,2018-09-26,33.14
170,2018-09-25,32.94
171,2018-09-24,32.98
172,2018-09-21,33.04
173,2018-09-20,33.05
174,2018-09-19,32.91
175,2018-09-18,33.10
176,2018-09-17,33.44
177,2018-09-14,33.44
178,2018-09-13,33.58
179,2018-09-12,33.53
180,2018-09-11,33.47
181,2018-09-10,33.71
182,2018-09-07,33.59
183,2018-09-06,33.88
184,2018-09-05,33.76
185,2018-09-04,33.83
186,2018-08-31,34.02
187,2018-08-30,34.09
188,2018-08-29,34.02
189,2018-08-28,33.98
190,2018-08-27,34.17
191,2018-08-24,34.35
192,2018-08-23,34.32
193,2018-08-22,34.26
194,2018-08-21,34.14
195,2018-08-20,34.23
196,2018-08-17,34.00
197,2018-08-16,33.97
198,2018-08-15,33.97
199,2018-08-14,33.79
200,2018-08-13,33.87
201,2018-08-10,33.92
202,2018-08-09,33.67
203,2018-08-08,33.43
204,2018-08-07,33.40
205,2018-08-06,33.55
206,2018-08-03,33.50
207,2018-08-02,33.36
208,2018-08-01,33.33
209,2018-07-31,33.58
210,2018-07-30,33.40
211,2018-07-27,33.53
212,2018-07-26,33.47
213,2018-07-25,33.53
214,2018-07-24,33.59
215,2018-07-23,33.49
216,2018-07-20,33.87
217,2018-07-19,34.27
218,2018-07-18,34.08
219,2018-07-17,34.20
220,2018-07-16,34.25
221,2018-07-13,34.38
222,2018-07-12,34.29
223,2018-07-11,34.33
224,2018-07-10,34.20
225,2018-07-09,34.19
226,2018-07-06,34.40
227,2018-07-05,34.26
228,2018-07-03,34.20
229,2018-07-02,34.04
230,2018-06-29,34.06
231,2018-06-28,34.16
232,2018-06-27,34.16
233,2018-06-26,33.83
234,2018-06-25,33.81
235,2018-06-22,33.72
