,Date,NAV
1,2019-05-30,28.07
2,2019-05-29,28.01
3,2019-05-28,28.03
4,2019-05-24,28.11
5,2019-05-23,28.29
6,2019-05-22,28.24
7,2019-05-21,28.52
8,2019-05-20,28.47
9,2019-05-17,28.51
10,2019-05-16,28.58
11,2019-05-15,28.66
12,2019-05-14,28.60
13,2019-05-13,28.80
14,2019-05-10,28.05
15,2019-05-09,28.05
16,2019-05-08,28.05
17,2019-05-07,28.05
18,2019-05-06,28.05
19,2019-05-03,28.05
20,2019-05-02,28.05
21,2019-05-01,28.05
22,2019-04-30,28.05
23,2019-04-29,28.05
24,2019-04-26,28.05
25,2019-04-25,28.05
26,2019-04-24,28.05
27,2019-04-23,28.05
28,2019-04-22,28.05
29,2019-04-18,28.05
30,2019-04-17,29.20
31,2019-04-16,27.60
32,2019-04-15,27.60
33,2019-04-12,27.60
34,2019-04-11,27.60
35,2019-04-10,27.60
36,2019-04-09,28.89
37,2019-04-08,28.89
38,2019-04-05,28.89
39,2019-04-04,28.89
40,2019-04-03,28.89
41,2019-04-02,28.60
42,2019-04-01,28.66
43,2019-03-29,28.80
44,2019-03-28,29.64
45,2019-03-27,29.64
46,2019-03-26,28.96
47,2019-03-25,27.79
48,2019-03-22,27.66
49,2019-03-21,28.50
50,2019-03-20,26.91
51,2019-03-19,26.91
52,2019-03-18,27.01
53,2019-03-15,27.01
54,2019-03-14,27.01
55,2019-03-13,25.66
56,2019-03-12,25.66
57,2019-03-11,29.45
58,2019-03-08,29.45
59,2019-03-07,28.00
60,2019-03-06,28.00
61,2019-03-05,28.00
62,2019-03-04,28.00
63,2019-03-01,29.20
64,2019-02-28,29.28
65,2019-02-27,29.40
66,2019-02-26,28.38
67,2019-02-25,29.12
68,2019-02-22,29.12
69,2019-02-21,29.12
70,2019-02-20,29.12
71,2019-02-19,29.12
72,2019-02-15,29.21
73,2019-02-14,29.21
74,2019-02-13,29.06
75,2019-02-12,29.35
76,2019-02-11,29.35
77,2019-02-08,29.30
78,2019-02-07,29.30
79,2019-02-06,29.87
80,2019-02-05,29.87
81,2019-02-04,29.87
82,2019-02-01,29.87
83,2019-01-31,29.87
84,2019-01-30,29.87
85,2019-01-29,30.00
86,2019-01-28,30.00
87,2019-01-25,30.00
88,2019-01-24,30.00
89,2019-01-23,30.00
90,2019-01-22,29.23
91,2019-01-18,29.99
92,2019-01-17,29.80
93,2019-01-16,29.25
94,2019-01-15,29.51
95,2019-01-14,29.35
96,2019-01-11,29.65
97,2019-01-10,29.45
98,2019-01-09,29.31
99,2019-01-08,29.21
100,2019-01-07,29.29
101,2019-01-04,29.29
102,2019-01-03,29.55
103,2019-01-02,29.61
104,2018-12-31,29.61
105,2018-12-28,29.61
106,2018-12-27,29.61
107,2018-12-26,29.68
108,2018-12-24,29.68
109,2018-12-21,29.68
110,2018-12-20,29.04
111,2018-12-19,29.24
112,2018-12-18,29.57
113,2018-12-17,29.18
114,2018-12-14,29.04
115,2018-12-13,29.50
116,2018-12-12,29.50
117,2018-12-11,29.50
118,2018-12-10,29.50
119,2018-12-07,29.50
120,2018-12-06,28.91
121,2018-12-04,29.60
122,2018-12-03,29.60
123,2018-11-30,29.60
124,2018-11-29,29.99
125,2018-11-28,29.96
126,2018-11-27,29.47
127,2018-11-26,30.34
128,2018-11-23,30.34
129,2018-11-21,30.34
130,2018-11-20,30.42
131,2018-11-19,30.20
132,2018-11-16,30.11
133,2018-11-15,30.41
134,2018-11-14,30.16
135,2018-11-13,30.20
136,2018-11-12,30.66
137,2018-11-09,30.25
138,2018-11-08,30.27
139,2018-11-07,30.34
140,2018-11-06,30.38
141,2018-11-05,30.49
142,2018-11-02,30.66
143,2018-11-01,30.37
144,2018-10-31,30.50
145,2018-10-30,30.50
146,2018-10-29,30.23
147,2018-10-26,30.23
148,2018-10-25,30.23
149,2018-10-24,30.23
150,2018-10-23,30.89
151,2018-10-22,30.89
152,2018-10-19,30.89
153,2018-10-18,30.70
154,2018-10-17,30.70
155,2018-10-16,30.70
156,2018-10-15,30.70
157,2018-10-12,30.70
158,2018-10-11,30.70
159,2018-10-10,30.70
160,2018-10-09,31.00
161,2018-10-08,31.00
162,2018-10-05,30.74
163,2018-10-04,30.57
164,2018-10-03,30.19
165,2018-10-02,30.19
166,2018-10-01,30.31
167,2018-09-28,30.31
168,2018-09-27,30.31
169,2018-09-26,30.31
170,2018-09-25,30.31
171,2018-09-24,30.31
172,2018-09-21,30.31
173,2018-09-20,30.31
174,2018-09-19,30.31
175,2018-09-18,29.45
176,2018-09-17,29.45
177,2018-09-14,29.45
178,2018-09-13,29.45
179,2018-09-12,29.45
180,2018-09-11,29.45
181,2018-09-10,29.45
182,2018-09-07,29.45
183,2018-09-06,29.45
184,2018-09-05,29.45
185,2018-09-04,29.45
186,2018-08-31,29.45
187,2018-08-30,29.45
188,2018-08-29,29.45
189,2018-08-28,29.45
190,2018-08-27,29.33
191,2018-08-24,29.33
192,2018-08-23,29.61
193,2018-08-22,29.61
194,2018-08-21,29.61
195,2018-08-20,29.61
196,2018-08-17,29.61
197,2018-08-16,29.61
198,2018-08-15,29.61
199,2018-08-14,30.11
200,2018-08-13,30.11
201,2018-08-10,30.02
202,2018-08-09,30.02
203,2018-08-08,30.02
204,2018-08-07,30.12
205,2018-08-06,30.09
206,2018-08-03,30.09
207,2018-08-02,30.09
208,2018-08-01,30.09
209,2018-07-31,30.09
210,2018-07-30,29.75
211,2018-07-27,29.75
212,2018-07-26,29.75
213,2018-07-25,30.71
214,2018-07-24,30.15
215,2018-07-23,29.90
216,2018-07-20,29.90
217,2018-07-19,29.90
218,2018-07-18,29.90
219,2018-07-17,29.90
220,2018-07-16,29.90
221,2018-07-13,29.90
222,2018-07-12,29.90
223,2018-07-11,29.79
224,2018-07-10,29.79
225,2018-07-09,29.79
226,2018-07-06,29.79
227,2018-07-05,29.79
228,2018-07-03,30.25
229,2018-07-02,30.25
230,2018-06-29,30.25
231,2018-06-28,30.25
232,2018-06-27,30.41
233,2018-06-26,30.80
234,2018-06-25,30.85
235,2018-06-22,30.75
236,2018-06-21,30.75
237,2018-06-20,30.63
238,2018-06-19,30.63
239,2018-06-18,30.63
240,2018-06-15,30.44
241,2018-06-14,30.60
242,2018-06-13,31.20
243,2018-06-12,31.25
244,2018-06-11,31.25
245,2018-06-08,31.25
246,2018-06-07,31.25
247,2018-06-06,31.25
248,2018-06-05,31.35
249,2018-06-04,31.70
250,2018-06-01,31.70
251,2018-05-31,31.70
252,2018-05-30,31.84
253,2018-05-29,31.94
254,2018-05-25,31.75
255,2018-05-24,31.95
256,2018-05-23,31.85
257,2018-05-22,32.15
258,2018-05-21,32.15
259,2018-05-18,32.15
260,2018-05-17,32.15
261,2018-05-16,31.24
262,2018-05-15,31.24
263,2018-05-14,31.16
264,2018-05-11,30.90
265,2018-05-10,31.52
266,2018-05-09,31.70
267,2018-05-08,31.46
268,2018-05-07,32.18
269,2018-05-04,32.18
270,2018-05-03,32.18
271,2018-05-02,32.18
272,2018-05-01,32.18
273,2018-04-30,32.18
274,2018-04-27,32.18
275,2018-04-26,32.18
276,2018-04-25,32.18
277,2018-04-24,31.80
278,2018-04-23,31.25
279,2018-04-20,31.25
280,2018-04-19,31.25
281,2018-04-18,31.15
282,2018-04-17,30.90
283,2018-04-16,31.37
284,2018-04-13,31.38
285,2018-04-12,30.80
286,2018-04-11,31.02
287,2018-04-10,31.14
288,2018-04-09,30.92
289,2018-04-06,31.94
290,2018-04-05,31.33
291,2018-04-04,30.92
292,2018-04-03,31.30
293,2018-04-02,31.30
294,2018-03-29,31.30
295,2018-03-28,31.30
296,2018-03-27,31.29
297,2018-03-26,31.29
298,2018-03-23,31.29
299,2018-03-22,31.29
300,2018-03-21,31.29
301,2018-03-20,31.29
302,2018-03-19,32.46
303,2018-03-16,32.46
304,2018-03-15,32.46
305,2018-03-14,32.46
306,2018-03-13,32.46
307,2018-03-12,32.76
308,2018-03-09,32.76
309,2018-03-08,32.76
310,2018-03-07,32.22
311,2018-03-06,31.50
312,2018-03-05,31.50
313,2018-03-02,31.26
314,2018-03-01,32.50
315,2018-02-28,32.91
316,2018-02-27,32.91
317,2018-02-26,32.92
318,2018-02-23,32.73
319,2018-02-22,32.73
320,2018-02-21,32.73
321,2018-02-20,32.73
322,2018-02-16,32.37
323,2018-02-15,32.37
324,2018-02-14,32.37
325,2018-02-13,32.86
326,2018-02-12,32.86
327,2018-02-09,32.86
328,2018-02-08,32.66
329,2018-02-07,31.69
330,2018-02-06,31.69
331,2018-02-05,31.69
332,2018-02-02,31.72
333,2018-02-01,31.73
334,2018-01-31,31.25
335,2018-01-30,31.32
336,2018-01-29,31.32
337,2018-01-26,31.32
338,2018-01-25,31.32
339,2018-01-24,30.31
340,2018-01-23,30.31
341,2018-01-22,30.75
342,2018-01-19,30.75
343,2018-01-18,30.75
344,2018-01-17,30.75
345,2018-01-16,30.75
346,2018-01-12,30.75
347,2018-01-11,30.75
348,2018-01-10,30.75
349,2018-01-09,30.75
350,2018-01-08,30.75
351,2018-01-05,30.75
352,2018-01-04,30.75
353,2018-01-03,30.75
354,2018-01-02,30.75
355,2017-12-29,30.75
356,2017-12-28,30.40
357,2017-12-27,30.40
358,2017-12-26,30.40
359,2017-12-22,30.40
360,2017-12-21,30.40
361,2017-12-20,31.00
362,2017-12-19,30.65
363,2017-12-18,30.22
364,2017-12-15,31.11
365,2017-12-14,31.11
366,2017-12-13,31.11
367,2017-12-12,31.11
368,2017-12-11,30.70
369,2017-12-08,30.70
370,2017-12-07,30.70
371,2017-12-06,30.70
372,2017-12-05,30.40
373,2017-12-04,30.40
374,2017-12-01,30.40
375,2017-11-30,31.05
376,2017-11-29,30.35
377,2017-11-28,30.35
378,2017-11-27,30.40
379,2017-11-24,30.64
380,2017-11-22,30.64
381,2017-11-21,31.27
382,2017-11-20,31.04
383,2017-11-17,31.49
384,2017-11-16,31.49
385,2017-11-15,31.49
386,2017-11-14,31.49
387,2017-11-13,31.49
388,2017-11-10,31.49
389,2017-11-09,31.92
390,2017-11-08,31.92
391,2017-11-07,31.92
392,2017-11-06,31.92
393,2017-11-03,31.92
394,2017-11-02,31.92
395,2017-11-01,31.92
396,2017-10-31,32.68
397,2017-10-30,33.30
398,2017-10-27,33.30
399,2017-10-26,33.30
400,2017-10-25,33.30
401,2017-10-24,30.89
402,2017-10-23,30.89
403,2017-10-20,30.89
404,2017-10-19,30.89
405,2017-10-18,33.11
406,2017-10-17,33.11
407,2017-10-16,33.11
408,2017-10-13,33.11
409,2017-10-12,33.11
410,2017-10-11,33.11
411,2017-10-10,33.11
412,2017-10-09,33.11
413,2017-10-06,33.11
414,2017-10-05,31.39
415,2017-10-04,31.39
416,2017-10-03,31.47
417,2017-10-02,31.47
