,Date,NAV
1,2019-05-30,20.88
2,2019-05-29,21.06
3,2019-05-28,21.13
4,2019-05-24,21.28
5,2019-05-23,21.30
6,2019-05-22,21.55
7,2019-05-21,21.67
8,2019-05-20,21.61
9,2019-05-17,21.57
10,2019-05-16,21.63
11,2019-05-15,21.54
12,2019-05-14,21.67
13,2019-05-13,21.61
14,2019-05-10,21.78
15,2019-05-09,21.74
16,2019-05-08,21.82
17,2019-05-07,21.73
18,2019-05-06,21.90
19,2019-05-03,21.97
20,2019-05-02,22.01
21,2019-05-01,21.92
22,2019-04-30,22.00
23,2019-04-29,22.09
24,2019-04-26,21.97
25,2019-04-25,22.03
26,2019-04-24,21.99
27,2019-04-23,22.18
28,2019-04-22,22.23
29,2019-04-18,22.09
30,2019-04-17,22.21
31,2019-04-16,22.23
32,2019-04-15,22.08
33,2019-04-12,22.14
34,2019-04-11,21.99
35,2019-04-10,21.85
36,2019-04-09,21.90
37,2019-04-08,21.97
38,2019-04-05,21.90
39,2019-04-04,21.91
40,2019-04-03,21.96
41,2019-04-02,21.79
42,2019-04-01,21.81
43,2019-03-29,21.51
44,2019-03-28,21.48
45,2019-03-27,21.54
46,2019-03-26,21.75
47,2019-03-25,21.72
48,2019-03-22,21.75
49,2019-03-21,22.10
50,2019-03-20,22.15
51,2019-03-19,22.36
52,2019-03-18,22.32
53,2019-03-15,22.32
54,2019-03-14,22.43
55,2019-03-13,22.28
56,2019-03-12,22.24
57,2019-03-11,22.40
58,2019-03-08,22.32
59,2019-03-07,22.42
60,2019-03-06,22.55
61,2019-03-05,22.64
62,2019-03-04,22.68
63,2019-03-01,22.85
64,2019-02-28,22.64
65,2019-02-27,22.56
66,2019-02-26,22.32
67,2019-02-25,22.42
68,2019-02-22,22.35
69,2019-02-21,22.47
70,2019-02-20,22.29
71,2019-02-19,22.22
72,2019-02-15,22.28
73,2019-02-14,22.31
74,2019-02-13,22.42
75,2019-02-12,22.33
76,2019-02-11,22.28
77,2019-02-08,22.18
78,2019-02-07,22.29
79,2019-02-06,22.44
80,2019-02-05,22.43
81,2019-02-04,22.53
82,2019-02-01,22.44
83,2019-01-31,22.29
84,2019-01-30,22.49
85,2019-01-29,22.46
86,2019-01-28,22.58
87,2019-01-25,22.54
88,2019-01-24,22.46
89,2019-01-23,22.58
90,2019-01-22,22.57
91,2019-01-18,22.72
92,2019-01-17,22.59
93,2019-01-16,22.60
94,2019-01-15,22.62
95,2019-01-14,22.54
96,2019-01-11,22.44
97,2019-01-10,22.53
98,2019-01-09,22.38
99,2019-01-08,22.35
100,2019-01-07,22.28
101,2019-01-04,22.20
102,2019-01-03,21.97
103,2019-01-02,22.22
104,2018-12-31,22.32
105,2018-12-28,22.41
106,2018-12-27,22.60
107,2018-12-26,22.60
108,2018-12-24,22.35
109,2018-12-21,22.46
110,2018-12-20,22.47
111,2018-12-19,22.36
112,2018-12-18,22.67
113,2018-12-17,22.80
114,2018-12-14,22.93
115,2018-12-13,23.00
116,2018-12-12,22.96
117,2018-12-11,22.85
118,2018-12-10,22.83
119,2018-12-07,22.94
120,2018-12-06,22.96
121,2018-12-04,23.03
122,2018-12-03,23.45
123,2018-11-30,23.60
124,2018-11-29,23.70
125,2018-11-28,23.78
126,2018-11-27,23.66
127,2018-11-26,23.70
128,2018-11-23,23.62
129,2018-11-21,23.65
130,2018-11-20,23.63
131,2018-11-19,23.66
132,2018-11-16,23.72
133,2018-11-15,23.83
134,2018-11-14,23.81
135,2018-11-13,23.84
136,2018-11-12,23.80
137,2018-11-09,23.96
138,2018-11-08,24.16
139,2018-11-07,24.13
140,2018-11-06,24.16
141,2018-11-05,24.15
142,2018-11-02,24.25
143,2018-11-01,23.95
144,2018-10-31,23.96
145,2018-10-30,23.83
146,2018-10-29,23.71
147,2018-10-26,23.67
148,2018-10-25,23.79
149,2018-10-24,23.70
150,2018-10-23,23.89
151,2018-10-22,23.94
152,2018-10-19,23.91
153,2018-10-18,23.87
154,2018-10-17,23.86
155,2018-10-16,23.73
156,2018-10-15,23.77
157,2018-10-12,23.75
158,2018-10-11,23.66
159,2018-10-10,23.96
160,2018-10-09,23.88
161,2018-10-08,24.14
162,2018-10-05,24.05
163,2018-10-04,23.84
164,2018-10-03,23.67
165,2018-10-02,23.26
166,2018-10-01,23.40
167,2018-09-28,23.24
168,2018-09-27,23.17
169,2018-09-26,23.17
170,2018-09-25,23.34
171,2018-09-24,23.31
172,2018-09-21,23.24
173,2018-09-20,23.26
174,2018-09-19,23.33
175,2018-09-18,23.19
176,2018-09-17,22.96
177,2018-09-14,22.95
178,2018-09-13,22.85
179,2018-09-12,22.87
180,2018-09-11,22.94
181,2018-09-10,22.76
182,2018-09-07,22.83
183,2018-09-06,22.64
184,2018-09-05,22.72
185,2018-09-04,22.67
186,2018-08-31,22.52
187,2018-08-30,22.47
188,2018-08-29,22.53
189,2018-08-28,22.54
190,2018-08-27,22.42
191,2018-08-24,22.28
192,2018-08-23,22.32
193,2018-08-22,22.36
194,2018-08-21,22.45
195,2018-08-20,22.36
196,2018-08-17,22.52
197,2018-08-16,22.55
198,2018-08-15,22.53
199,2018-08-14,22.67
200,2018-08-13,22.61
201,2018-08-10,22.55
202,2018-08-09,22.72
203,2018-08-08,22.93
204,2018-08-07,22.95
205,2018-08-06,22.83
206,2018-08-03,22.83
207,2018-08-02,22.95
208,2018-08-01,22.97
209,2018-07-31,22.78
210,2018-07-30,22.90
211,2018-07-27,22.80
