,Date,NAV
1,2019-05-30,27.43
2,2019-05-29,27.52
3,2019-05-28,27.55
4,2019-05-24,27.63
5,2019-05-23,27.62
6,2019-05-22,27.77
7,2019-05-21,27.86
8,2019-05-20,27.83
9,2019-05-17,27.77
10,2019-05-16,27.78
11,2019-05-15,27.72
12,2019-05-14,27.80
13,2019-05-13,27.79
14,2019-05-10,27.90
15,2019-05-09,27.89
16,2019-05-08,27.96
17,2019-05-07,27.91
18,2019-05-06,28.00
19,2019-05-03,28.07
20,2019-05-02,28.09
21,2019-05-01,28.01
22,2019-04-30,28.00
23,2019-04-29,28.06
24,2019-04-26,27.99
25,2019-04-25,28.06
26,2019-04-24,28.02
27,2019-04-23,28.13
28,2019-04-22,28.18
29,2019-04-18,28.12
30,2019-04-17,28.18
31,2019-04-16,28.17
32,2019-04-15,28.10
33,2019-04-12,28.12
34,2019-04-11,27.98
35,2019-04-10,27.91
36,2019-04-09,27.99
37,2019-04-08,28.04
38,2019-04-05,27.99
39,2019-04-04,28.00
40,2019-04-03,28.02
41,2019-04-02,27.94
42,2019-04-01,27.98
43,2019-03-29,27.78
44,2019-03-28,27.72
45,2019-03-27,27.73
46,2019-03-26,27.78
47,2019-03-25,27.79
48,2019-03-22,27.84
49,2019-03-21,28.05
50,2019-03-20,28.04
51,2019-03-19,28.22
52,2019-03-18,28.20
53,2019-03-15,28.18
54,2019-03-14,28.25
55,2019-03-13,28.20
56,2019-03-12,28.21
57,2019-03-11,28.28
58,2019-03-08,28.21
59,2019-03-07,28.29
60,2019-03-06,28.40
61,2019-03-05,28.44
62,2019-03-04,28.46
63,2019-03-01,28.55
64,2019-02-28,28.44
65,2019-02-27,28.37
66,2019-02-26,28.27
67,2019-02-25,28.34
68,2019-02-22,28.31
69,2019-02-21,28.38
70,2019-02-20,28.30
71,2019-02-19,28.28
72,2019-02-15,28.35
73,2019-02-14,28.31
74,2019-02-13,28.43
75,2019-02-12,28.35
76,2019-02-11,28.32
77,2019-02-08,28.26
78,2019-02-07,28.29
79,2019-02-06,28.38
80,2019-02-05,28.40
81,2019-02-04,28.44
82,2019-02-01,28.37
83,2019-01-31,28.25
84,2019-01-30,28.36
85,2019-01-29,28.42
86,2019-01-28,28.51
87,2019-01-25,28.52
88,2019-01-24,28.43
89,2019-01-23,28.51
90,2019-01-22,28.50
91,2019-01-18,28.58
92,2019-01-17,28.50
93,2019-01-16,28.44
94,2019-01-15,28.42
95,2019-01-14,28.39
96,2019-01-11,28.36
97,2019-01-10,28.45
98,2019-01-09,28.44
99,2019-01-08,28.44
100,2019-01-07,28.38
101,2019-01-04,28.29
102,2019-01-03,28.07
103,2019-01-02,28.35
104,2018-12-31,28.38
105,2018-12-28,28.44
106,2018-12-27,28.56
107,2018-12-26,28.65
108,2018-12-24,28.51
109,2018-12-21,28.59
110,2018-12-20,28.59
111,2018-12-19,28.56
112,2018-12-18,28.65
113,2018-12-17,28.71
114,2018-12-14,28.82
115,2018-12-13,28.87
116,2018-12-12,28.86
117,2018-12-11,28.78
118,2018-12-10,28.71
119,2018-12-07,28.74
120,2018-12-06,28.80
121,2018-12-04,28.89
122,2018-12-03,29.02
123,2018-11-30,29.03
124,2018-11-29,29.13
125,2018-11-28,29.18
126,2018-11-27,29.18
127,2018-11-26,29.23
128,2018-11-23,29.15
129,2018-11-21,29.18
130,2018-11-20,29.16
131,2018-11-19,29.15
132,2018-11-16,29.18
133,2018-11-15,29.28
134,2018-11-14,29.30
135,2018-11-13,29.37
136,2018-11-12,29.43
137,2018-11-09,29.47
138,2018-11-08,29.58
139,2018-11-07,29.54
140,2018-11-06,29.50
141,2018-11-05,29.48
142,2018-11-02,29.49
143,2018-11-01,29.36
144,2018-10-31,29.37
145,2018-10-30,29.28
146,2018-10-29,29.20
147,2018-10-26,29.21
148,2018-10-25,29.32
149,2018-10-24,29.28
150,2018-10-23,29.44
151,2018-10-22,29.51
152,2018-10-19,29.50
153,2018-10-18,29.47
154,2018-10-17,29.48
155,2018-10-16,29.42
156,2018-10-15,29.44
157,2018-10-12,29.38
158,2018-10-11,29.38
159,2018-10-10,29.52
160,2018-10-09,29.52
161,2018-10-08,29.58
162,2018-10-05,29.58
163,2018-10-04,29.48
164,2018-10-03,29.41
165,2018-10-02,29.18
166,2018-10-01,29.26
167,2018-09-28,29.19
168,2018-09-27,29.21
169,2018-09-26,29.20
