,Date,NAV
1,2019-05-30,140.26
2,2019-05-29,139.45
3,2019-05-28,139.27
4,2019-05-24,138.48
5,2019-05-23,138.41
6,2019-05-22,137.27
7,2019-05-21,136.69
8,2019-05-20,136.89
9,2019-05-17,137.19
10,2019-05-16,137.03
11,2019-05-15,137.35
12,2019-05-14,136.76
13,2019-05-13,137.01
14,2019-05-10,136.09
15,2019-05-09,136.30
16,2019-05-08,135.82
17,2019-05-07,136.15
18,2019-05-06,135.51
19,2019-05-03,135.12
20,2019-05-02,134.83
21,2019-05-01,135.40
22,2019-04-30,135.18
23,2019-04-29,134.75
24,2019-04-26,135.22
25,2019-04-25,134.82
26,2019-04-24,134.98
27,2019-04-23,134.20
28,2019-04-22,134.00
29,2019-04-18,134.39
30,2019-04-17,133.93
31,2019-04-16,134.03
32,2019-04-15,134.63
33,2019-04-12,134.44
34,2019-04-11,135.20
35,2019-04-10,135.66
36,2019-04-09,135.33
37,2019-04-08,135.02
38,2019-04-05,135.31
39,2019-04-04,135.15
40,2019-04-03,134.84
41,2019-04-02,135.66
42,2019-04-01,135.40
43,2019-03-29,136.80
44,2019-03-28,137.04
45,2019-03-27,136.77
46,2019-03-26,136.01
47,2019-03-25,136.09
48,2019-03-22,135.80
49,2019-03-21,134.34
50,2019-03-20,134.29
51,2019-03-19,133.16
52,2019-03-18,133.40
53,2019-03-15,133.56
54,2019-03-14,132.96
55,2019-03-13,133.48
56,2019-03-12,133.61
57,2019-03-11,133.03
58,2019-03-08,133.23
59,2019-03-07,132.93
60,2019-03-06,132.26
61,2019-03-05,131.85
62,2019-03-04,131.71
63,2019-03-01,131.04
64,2019-02-28,131.68
65,2019-02-27,132.09
66,2019-02-26,132.96
67,2019-02-25,132.46
68,2019-02-22,132.55
69,2019-02-21,132.17
70,2019-02-20,132.79
71,2019-02-19,132.95
72,2019-02-15,132.66
73,2019-02-14,132.64
74,2019-02-13,131.93
75,2019-02-12,132.29
76,2019-02-11,132.52
77,2019-02-08,132.88
78,2019-02-07,132.53
79,2019-02-06,131.95
80,2019-02-05,131.87
81,2019-02-04,131.51
82,2019-02-01,131.98
83,2019-01-31,132.74
84,2019-01-30,131.89
85,2019-01-29,131.70
86,2019-01-28,131.21
87,2019-01-25,131.29
88,2019-01-24,131.70
89,2019-01-23,131.20
90,2019-01-22,131.27
91,2019-01-18,130.68
92,2019-01-17,131.20
93,2019-01-16,131.36
94,2019-01-15,131.34
95,2019-01-14,131.53
96,2019-01-11,131.72
97,2019-01-10,131.17
98,2019-01-09,131.53
99,2019-01-08,131.52
100,2019-01-07,131.88
101,2019-01-04,132.33
102,2019-01-03,133.74
103,2019-01-02,132.52
104,2018-12-31,132.16
105,2018-12-28,131.59
106,2018-12-27,130.62
107,2018-12-26,130.34
108,2018-12-24,131.09
109,2018-12-21,130.62
110,2018-12-20,130.55
111,2018-12-19,130.91
112,2018-12-18,129.87
113,2018-12-17,129.47
114,2018-12-14,128.97
115,2018-12-13,128.71
116,2018-12-12,128.83
117,2018-12-11,129.33
118,2018-12-10,129.57
119,2018-12-07,129.33
120,2018-12-06,129.03
121,2018-12-04,128.57
122,2018-12-03,127.40
123,2018-11-30,126.96
124,2018-11-29,126.59
125,2018-11-28,126.17
126,2018-11-27,126.33
127,2018-11-26,126.20
128,2018-11-23,126.34
129,2018-11-21,126.23
130,2018-11-20,126.26
131,2018-11-19,126.20
132,2018-11-16,125.99
133,2018-11-15,125.46
134,2018-11-14,125.44
135,2018-11-13,125.21
136,2018-11-12,125.18
137,2018-11-09,124.62
138,2018-11-08,123.97
139,2018-11-07,124.11
140,2018-11-06,124.10
141,2018-11-05,124.31
142,2018-11-02,124.06
143,2018-11-01,125.02
144,2018-10-31,124.89
145,2018-10-30,125.33
146,2018-10-29,125.71
147,2018-10-26,125.78
148,2018-10-25,125.16
149,2018-10-24,125.57
150,2018-10-23,124.74
151,2018-10-22,124.42
152,2018-10-19,124.47
153,2018-10-18,124.62
154,2018-10-17,124.47
155,2018-10-16,124.93
156,2018-10-15,124.82
157,2018-10-12,124.82
158,2018-10-11,125.07
159,2018-10-10,124.28
160,2018-10-09,124.17
161,2018-10-08,123.81
162,2018-10-05,123.86
163,2018-10-04,124.44
164,2018-10-03,124.86
165,2018-10-02,126.29
