,Date,NAV
1,2019-05-30,14.56
2,2019-05-29,14.93
3,2019-05-28,15.06
4,2019-05-24,15.40
5,2019-05-23,15.43
6,2019-05-22,15.98
7,2019-05-21,16.24
8,2019-05-20,16.15
9,2019-05-17,16.04
10,2019-05-16,16.15
11,2019-05-15,15.99
12,2019-05-14,16.29
13,2019-05-13,16.14
14,2019-05-10,16.52
15,2019-05-09,16.43
16,2019-05-08,16.64
17,2019-05-07,16.44
18,2019-05-06,16.81
19,2019-05-03,16.96
20,2019-05-02,17.10
21,2019-05-01,16.86
22,2019-04-30,17.05
23,2019-04-29,17.28
24,2019-04-26,16.97
25,2019-04-25,17.14
26,2019-04-24,17.06
27,2019-04-23,17.50
28,2019-04-22,17.60
29,2019-04-18,17.32
30,2019-04-17,17.62
31,2019-04-16,17.62
32,2019-04-15,17.30
33,2019-04-12,17.42
34,2019-04-11,17.05
35,2019-04-10,16.78
36,2019-04-09,16.87
37,2019-04-08,17.04
38,2019-04-05,16.86
39,2019-04-04,16.91
40,2019-04-03,17.04
41,2019-04-02,16.63
42,2019-04-01,16.71
43,2019-03-29,16.01
44,2019-03-28,15.99
45,2019-03-27,16.14
46,2019-03-26,16.58
47,2019-03-25,16.54
48,2019-03-22,16.61
49,2019-03-21,17.43
50,2019-03-20,17.54
51,2019-03-19,18.10
52,2019-03-18,18.01
53,2019-03-15,18.00
54,2019-03-14,18.29
55,2019-03-13,17.92
56,2019-03-12,17.83
57,2019-03-11,18.19
58,2019-03-08,18.00
59,2019-03-07,18.24
60,2019-03-06,18.58
61,2019-03-05,18.80
62,2019-03-04,18.90
63,2019-03-01,19.35
64,2019-02-28,18.84
65,2019-02-27,18.62
66,2019-02-26,18.03
67,2019-02-25,18.28
68,2019-02-22,18.14
69,2019-02-21,18.43
70,2019-02-20,17.95
71,2019-02-19,17.83
72,2019-02-15,17.93
73,2019-02-14,18.01
74,2019-02-13,18.31
75,2019-02-12,18.10
76,2019-02-11,17.95
77,2019-02-08,17.76
78,2019-02-07,17.99
79,2019-02-06,18.36
80,2019-02-05,18.38
81,2019-02-04,18.60
82,2019-02-01,18.37
83,2019-01-31,18.05
84,2019-01-30,18.50
85,2019-01-29,18.46
86,2019-01-28,18.72
87,2019-01-25,18.66
88,2019-01-24,18.43
89,2019-01-23,18.76
90,2019-01-22,18.75
91,2019-01-18,19.09
92,2019-01-17,18.82
93,2019-01-16,18.84
94,2019-01-15,18.87
95,2019-01-14,18.69
96,2019-01-11,18.47
97,2019-01-10,18.68
98,2019-01-09,18.33
99,2019-01-08,18.24
100,2019-01-07,18.08
101,2019-01-04,17.91
102,2019-01-03,17.32
103,2019-01-02,17.94
104,2018-12-31,18.19
105,2018-12-28,18.44
106,2018-12-27,18.90
107,2018-12-26,18.89
108,2018-12-24,18.30
109,2018-12-21,18.57
110,2018-12-20,18.58
111,2018-12-19,18.35
112,2018-12-18,19.10
113,2018-12-17,19.45
114,2018-12-14,19.81
115,2018-12-13,19.99
116,2018-12-12,19.83
117,2018-12-11,19.57
118,2018-12-10,19.56
119,2018-12-07,19.81
120,2018-12-06,19.92
121,2018-12-04,20.08
122,2018-12-03,21.15
123,2018-11-30,21.60
124,2018-11-29,21.83
125,2018-11-28,22.14
126,2018-11-27,21.77
127,2018-11-26,21.86
128,2018-11-23,21.72
129,2018-11-21,21.76
130,2018-11-20,21.74
131,2018-11-19,21.75
132,2018-11-16,21.96
133,2018-11-15,22.32
134,2018-11-14,22.27
135,2018-11-13,22.34
136,2018-11-12,22.26
137,2018-11-09,22.70
138,2018-11-08,23.25
139,2018-11-07,23.22
140,2018-11-06,23.30
141,2018-11-05,23.25
142,2018-11-02,23.54
143,2018-11-01,22.69
144,2018-10-31,22.73
145,2018-10-30,22.38
146,2018-10-29,22.05
147,2018-10-26,21.92
148,2018-10-25,22.30
149,2018-10-24,22.04
150,2018-10-23,22.54
151,2018-10-22,22.75
152,2018-10-19,22.62
153,2018-10-18,22.50
154,2018-10-17,22.45
155,2018-10-16,22.07
156,2018-10-15,22.17
157,2018-10-12,22.17
158,2018-10-11,21.92
159,2018-10-10,22.77
160,2018-10-09,22.58
161,2018-10-08,23.27
162,2018-10-05,23.01
163,2018-10-04,22.47
164,2018-10-03,21.98
165,2018-10-02,20.86
166,2018-10-01,21.27
167,2018-09-28,20.81
168,2018-09-27,20.63
169,2018-09-26,20.68
170,2018-09-25,21.11
171,2018-09-24,21.06
172,2018-09-21,20.87
173,2018-09-20,20.87
174,2018-09-19,21.13
175,2018-09-18,20.76
176,2018-09-17,20.12
177,2018-09-14,20.11
178,2018-09-13,19.88
179,2018-09-12,19.92
180,2018-09-11,20.03
181,2018-09-10,19.63
182,2018-09-07,19.84
183,2018-09-06,19.35
184,2018-09-05,19.54
185,2018-09-04,19.41
186,2018-08-31,19.06
187,2018-08-30,18.93
188,2018-08-29,19.06
189,2018-08-28,19.11
190,2018-08-27,18.80
191,2018-08-24,18.45
192,2018-08-23,18.56
193,2018-08-22,18.65
194,2018-08-21,18.86
195,2018-08-20,18.66
196,2018-08-17,19.04
197,2018-08-16,19.11
198,2018-08-15,19.13
199,2018-08-14,19.44
200,2018-08-13,19.29
201,2018-08-10,19.20
202,2018-08-09,19.62
203,2018-08-08,20.11
204,2018-08-07,20.17
205,2018-08-06,19.86
206,2018-08-03,19.90
207,2018-08-02,20.16
208,2018-08-01,20.24
209,2018-07-31,19.79
210,2018-07-30,20.10
211,2018-07-27,19.91
212,2018-07-26,19.99
213,2018-07-25,19.89
214,2018-07-24,19.77
215,2018-07-23,19.96
216,2018-07-20,19.25
217,2018-07-19,18.58
218,2018-07-18,18.93
219,2018-07-17,18.70
220,2018-07-16,18.60
221,2018-07-13,18.35
222,2018-07-12,18.51
223,2018-07-11,18.50
224,2018-07-10,18.70
225,2018-07-09,18.68
226,2018-07-06,18.36
227,2018-07-05,18.54
228,2018-07-03,18.70
229,2018-07-02,18.97
230,2018-06-29,18.92
231,2018-06-28,18.73
232,2018-06-27,18.73
233,2018-06-26,19.27
234,2018-06-25,19.36
235,2018-06-22,19.47
236,2018-06-21,19.50
237,2018-06-20,19.80
238,2018-06-19,19.29
239,2018-06-18,19.64
240,2018-06-15,19.57
241,2018-06-14,19.62
242,2018-06-13,20.13
243,2018-06-12,20.09
244,2018-06-11,20.10
245,2018-06-08,19.96
246,2018-06-07,19.80
247,2018-06-06,20.39
248,2018-06-05,19.88
249,2018-06-04,20.07
250,2018-06-01,19.60
251,2018-05-31,19.30
252,2018-05-30,19.20
253,2018-05-29,18.82
254,2018-05-25,20.11
255,2018-05-24,20.51
256,2018-05-23,21.02
257,2018-05-22,21.48
258,2018-05-21,21.35
259,2018-05-18,21.40
260,2018-05-17,21.93
261,2018-05-16,21.66
262,2018-05-15,21.39
263,2018-05-14,20.67
264,2018-05-11,20.35
265,2018-05-10,20.51
266,2018-05-09,20.98
267,2018-05-08,20.64
268,2018-05-07,20.57
269,2018-05-04,20.45
270,2018-05-03,20.57
271,2018-05-02,20.86
272,2018-05-01,20.77
273,2018-04-30,20.53
274,2018-04-27,20.66
275,2018-04-26,21.14
276,2018-04-25,21.60
277,2018-04-24,21.18
278,2018-04-23,20.85
279,2018-04-20,20.88
280,2018-04-19,20.43
281,2018-04-18,19.97
282,2018-04-17,19.48
283,2018-04-16,19.63
284,2018-04-13,19.63
285,2018-04-12,19.77
286,2018-04-11,19.36
287,2018-04-10,19.55
288,2018-04-09,19.45
289,2018-04-06,19.55
290,2018-04-05,20.21
291,2018-04-04,19.76
292,2018-04-03,19.66
293,2018-04-02,19.19
294,2018-03-29,19.26
295,2018-03-28,19.60
296,2018-03-27,19.75
297,2018-03-26,20.38
298,2018-03-23,20.20
299,2018-03-22,20.13
300,2018-03-21,20.72
301,2018-03-20,20.78
302,2018-03-19,20.51
303,2018-03-16,20.34
304,2018-03-15,20.09
305,2018-03-14,20.14
306,2018-03-13,20.65
307,2018-03-12,20.96
308,2018-03-09,21.37
309,2018-03-08,20.97
310,2018-03-07,21.32
311,2018-03-06,21.25
312,2018-03-05,21.28
313,2018-03-02,21.10
314,2018-03-01,20.61
315,2018-02-28,21.05
316,2018-02-27,21.45
317,2018-02-26,21.34
318,2018-02-23,21.40
319,2018-02-22,21.93
320,2018-02-21,22.16
321,2018-02-20,21.38
322,2018-02-16,21.08
323,2018-02-15,21.42
324,2018-02-14,21.65
325,2018-02-13,20.94
326,2018-02-12,21.23
327,2018-02-09,21.54
328,2018-02-08,21.10
329,2018-02-07,21.01
330,2018-02-06,20.43
331,2018-02-05,20.04
332,2018-02-02,20.66
333,2018-02-01,20.08
334,2018-01-31,19.26
335,2018-01-30,19.60
336,2018-01-29,19.25
337,2018-01-26,18.91
338,2018-01-25,18.67
339,2018-01-24,19.14
340,2018-01-23,18.81
341,2018-01-22,19.08
342,2018-01-19,19.12
343,2018-01-18,18.80
344,2018-01-17,18.30
345,2018-01-16,18.24
346,2018-01-12,18.44
347,2018-01-11,18.54
348,2018-01-10,18.78
349,2018-01-09,18.72
350,2018-01-08,18.00
351,2018-01-05,17.96
352,2018-01-04,17.82
353,2018-01-03,17.79
354,2018-01-02,18.03
355,2017-12-29,17.49
356,2017-12-28,17.55
357,2017-12-27,17.51
358,2017-12-26,18.24
359,2017-12-22,18.39
360,2017-12-21,18.48
361,2017-12-20,18.78
362,2017-12-19,18.14
363,2017-12-18,17.49
364,2017-12-15,17.03
365,2017-12-14,17.20
366,2017-12-13,17.45
367,2017-12-12,17.84
368,2017-12-11,17.84
369,2017-12-08,17.71
370,2017-12-07,17.69
371,2017-12-06,17.33
372,2017-12-05,17.49
373,2017-12-04,17.72
374,2017-12-01,17.79
375,2017-11-30,18.50
376,2017-11-29,18.32
377,2017-11-28,17.81
378,2017-11-27,17.87
379,2017-11-24,17.80
380,2017-11-22,17.67
381,2017-11-21,17.85
382,2017-11-20,17.97
383,2017-11-17,17.96
384,2017-11-16,18.39
385,2017-11-15,17.92
386,2017-11-14,18.51
387,2017-11-13,18.88
388,2017-11-10,19.01
389,2017-11-09,18.18
390,2017-11-08,18.05
391,2017-11-07,17.93
392,2017-11-06,18.11
393,2017-11-03,18.32
394,2017-11-02,18.49
395,2017-11-01,18.77
396,2017-10-31,19.00
