,Date,NAV
1,2019-05-30,12.17
2,2019-05-29,12.29
3,2019-05-28,12.30
4,2019-05-24,12.45
5,2019-05-23,12.42
6,2019-05-22,12.65
7,2019-05-21,12.77
8,2019-05-20,12.71
9,2019-05-17,12.64
10,2019-05-16,12.69
11,2019-05-15,12.60
12,2019-05-14,12.74
13,2019-05-13,12.68
14,2019-05-10,12.85
15,2019-05-09,12.79
16,2019-05-08,12.92
17,2019-05-07,12.83
18,2019-05-06,12.98
19,2019-05-03,13.04
20,2019-05-02,13.12
21,2019-05-01,13.01
22,2019-04-30,12.98
23,2019-04-29,13.07
24,2019-04-26,12.97
25,2019-04-25,13.07
26,2019-04-24,13.03
27,2019-04-23,13.18
28,2019-04-22,13.25
29,2019-04-18,13.16
30,2019-04-17,13.26
31,2019-04-16,13.30
32,2019-04-15,13.16
33,2019-04-12,13.23
34,2019-04-11,13.01
35,2019-04-10,12.91
36,2019-04-09,13.00
37,2019-04-08,13.07
38,2019-04-05,13.00
39,2019-04-04,13.02
40,2019-04-03,13.05
41,2019-04-02,12.95
42,2019-04-01,12.98
43,2019-03-29,12.73
44,2019-03-28,12.67
45,2019-03-27,12.66
46,2019-03-26,12.75
47,2019-03-25,12.74
48,2019-03-22,12.84
49,2019-03-21,13.13
50,2019-03-20,13.11
51,2019-03-19,13.37
52,2019-03-18,13.33
53,2019-03-15,13.40
54,2019-03-14,13.43
55,2019-03-13,13.37
56,2019-03-12,13.36
57,2019-03-11,13.47
58,2019-03-08,13.46
59,2019-03-07,13.50
60,2019-03-06,13.67
61,2019-03-05,13.78
62,2019-03-04,13.79
63,2019-03-01,13.90
64,2019-02-28,13.76
65,2019-02-27,13.68
66,2019-02-26,13.65
67,2019-02-25,13.58
68,2019-02-22,13.59
69,2019-02-21,13.63
70,2019-02-20,13.50
71,2019-02-19,13.55
72,2019-02-15,13.65
73,2019-02-14,13.62
74,2019-02-13,13.80
75,2019-02-12,13.73
76,2019-02-11,13.59
77,2019-02-08,13.54
78,2019-02-07,13.67
79,2019-02-06,13.66
80,2019-02-05,13.71
81,2019-02-04,13.74
82,2019-02-01,13.64
83,2019-01-31,13.50
84,2019-01-30,13.83
85,2019-01-29,13.73
86,2019-01-28,13.81
87,2019-01-25,13.87
88,2019-01-24,13.82
89,2019-01-23,13.89
90,2019-01-22,13.88
91,2019-01-18,14.03
92,2019-01-17,13.87
93,2019-01-16,13.87
94,2019-01-15,13.76
95,2019-01-14,13.78
96,2019-01-11,13.73
97,2019-01-10,13.81
98,2019-01-09,13.87
99,2019-01-08,13.84
100,2019-01-07,13.62
101,2019-01-04,13.65
102,2019-01-03,13.46
103,2019-01-02,13.68
104,2018-12-31,13.76
105,2018-12-28,13.95
106,2018-12-27,14.01
107,2018-12-26,14.10
108,2018-12-24,13.99
109,2018-12-21,14.06
110,2018-12-20,14.13
111,2018-12-19,14.17
112,2018-12-18,14.26
113,2018-12-17,14.34
114,2018-12-14,14.41
115,2018-12-13,14.59
116,2018-12-12,14.55
117,2018-12-11,14.39
118,2018-12-10,14.42
119,2018-12-07,14.24
120,2018-12-06,14.31
121,2018-12-04,14.53
122,2018-12-03,14.81
123,2018-11-30,14.86
124,2018-11-29,15.01
125,2018-11-28,15.01
126,2018-11-27,15.04
127,2018-11-26,15.04
128,2018-11-23,15.02
129,2018-11-21,15.09
130,2018-11-20,15.09
131,2018-11-19,15.07
132,2018-11-16,15.09
133,2018-11-15,15.25
134,2018-11-14,15.26
135,2018-11-13,15.40
136,2018-11-12,15.35
137,2018-11-09,15.62
138,2018-11-08,15.68
139,2018-11-07,15.61
140,2018-11-06,15.61
141,2018-11-05,15.58
142,2018-11-02,15.68
143,2018-11-01,15.47
144,2018-10-31,15.44
145,2018-10-30,15.22
146,2018-10-29,15.23
147,2018-10-26,15.12
148,2018-10-25,15.42
149,2018-10-24,15.25
150,2018-10-23,15.47
151,2018-10-22,15.66
152,2018-10-19,15.61
153,2018-10-18,15.58
154,2018-10-17,15.59
155,2018-10-16,15.55
156,2018-10-15,15.49
157,2018-10-12,15.48
158,2018-10-11,15.48
159,2018-10-10,15.72
160,2018-10-09,15.71
161,2018-10-08,15.78
162,2018-10-05,15.77
163,2018-10-04,15.67
164,2018-10-03,15.51
165,2018-10-02,15.25
166,2018-10-01,15.37
167,2018-09-28,15.32
168,2018-09-27,15.30
169,2018-09-26,15.31
170,2018-09-25,15.44
171,2018-09-24,15.33
172,2018-09-21,15.28
173,2018-09-20,15.29
174,2018-09-19,15.30
175,2018-09-18,15.24
176,2018-09-17,15.09
177,2018-09-14,15.05
178,2018-09-13,14.92
179,2018-09-12,15.01
180,2018-09-11,15.05
181,2018-09-10,14.93
182,2018-09-07,14.93
183,2018-09-06,14.70
184,2018-09-05,14.78
185,2018-09-04,14.78
186,2018-08-31,14.61
187,2018-08-30,14.65
188,2018-08-29,14.73
189,2018-08-28,14.75
190,2018-08-27,14.62
191,2018-08-24,14.61
192,2018-08-23,14.55
193,2018-08-22,14.59
194,2018-08-21,14.64
195,2018-08-20,14.54
196,2018-08-17,14.73
197,2018-08-16,14.76
198,2018-08-15,14.69
199,2018-08-14,14.81
200,2018-08-13,14.77
201,2018-08-10,14.74
202,2018-08-09,14.99
203,2018-08-08,15.07
204,2018-08-07,15.13
205,2018-08-06,14.98
206,2018-08-03,15.02
207,2018-08-02,15.14
208,2018-08-01,15.23
209,2018-07-31,15.10
210,2018-07-30,15.20
211,2018-07-27,15.05
212,2018-07-26,15.13
213,2018-07-25,15.12
214,2018-07-24,15.05
215,2018-07-23,15.13
216,2018-07-20,14.88
217,2018-07-19,14.86
218,2018-07-18,14.82
219,2018-07-17,14.80
220,2018-07-16,14.78
221,2018-07-13,14.73
222,2018-07-12,14.78
223,2018-07-11,14.78
224,2018-07-10,14.85
225,2018-07-09,14.83
226,2018-07-06,14.69
227,2018-07-05,14.75
228,2018-07-03,14.77
229,2018-07-02,14.84
230,2018-06-29,14.75
231,2018-06-28,14.69
232,2018-06-27,14.77
233,2018-06-26,14.86
234,2018-06-25,14.89
235,2018-06-22,15.04
236,2018-06-21,14.98
237,2018-06-20,15.13
238,2018-06-19,14.94
239,2018-06-18,15.09
240,2018-06-15,15.07
241,2018-06-14,15.16
242,2018-06-13,15.30
243,2018-06-12,15.18
244,2018-06-11,15.20
245,2018-06-08,15.17
246,2018-06-07,15.13
247,2018-06-06,15.28
248,2018-06-05,15.07
249,2018-06-04,15.19
250,2018-06-01,15.10
251,2018-05-31,14.82
