,Date,NAV
1,2019-05-30,65.02
2,2019-05-29,64.85
3,2019-05-28,64.85
4,2019-05-24,64.67
5,2019-05-23,64.71
6,2019-05-22,64.44
7,2019-05-21,64.29
8,2019-05-20,64.37
9,2019-05-17,64.46
10,2019-05-16,64.44
11,2019-05-15,64.52
12,2019-05-14,64.37
13,2019-05-13,64.41
14,2019-05-10,64.16
15,2019-05-09,64.19
16,2019-05-08,64.06
17,2019-05-07,64.15
18,2019-05-06,64.01
19,2019-05-03,63.90
20,2019-05-02,63.83
21,2019-05-01,63.97
22,2019-04-30,64.02
23,2019-04-29,63.92
24,2019-04-26,63.98
25,2019-04-25,63.87
26,2019-04-24,63.91
27,2019-04-23,63.73
28,2019-04-22,63.65
29,2019-04-18,63.71
30,2019-04-17,63.59
31,2019-04-16,63.58
32,2019-04-15,63.70
33,2019-04-12,63.65
34,2019-04-11,63.86
35,2019-04-10,63.96
36,2019-04-09,63.86
37,2019-04-08,63.79
38,2019-04-05,63.83
39,2019-04-04,63.84
40,2019-04-03,63.77
41,2019-04-02,63.91
42,2019-04-01,63.81
43,2019-03-29,64.10
44,2019-03-28,64.17
45,2019-03-27,64.22
46,2019-03-26,64.09
47,2019-03-25,64.09
48,2019-03-22,63.97
49,2019-03-21,63.64
50,2019-03-20,63.68
51,2019-03-19,63.36
52,2019-03-18,63.41
53,2019-03-15,63.46
54,2019-03-14,63.34
55,2019-03-13,63.38
56,2019-03-12,63.38
57,2019-03-11,63.27
58,2019-03-08,63.31
59,2019-03-07,63.27
60,2019-03-06,63.09
61,2019-03-05,62.96
62,2019-03-04,62.97
63,2019-03-01,62.84
64,2019-02-28,62.98
65,2019-02-27,63.09
66,2019-02-26,63.22
67,2019-02-25,63.09
68,2019-02-22,63.12
69,2019-02-21,63.02
70,2019-02-20,63.11
71,2019-02-19,63.15
72,2019-02-15,63.04
73,2019-02-14,63.08
74,2019-02-13,62.91
75,2019-02-12,62.99
76,2019-02-11,63.08
77,2019-02-08,63.14
78,2019-02-07,63.07
79,2019-02-06,62.97
80,2019-02-05,62.90
81,2019-02-04,62.85
82,2019-02-01,62.90
83,2019-01-31,63.13
84,2019-01-30,62.96
85,2019-01-29,62.81
86,2019-01-28,62.69
87,2019-01-25,62.69
88,2019-01-24,62.80
89,2019-01-23,62.67
90,2019-01-22,62.66
91,2019-01-18,62.55
92,2019-01-17,62.69
93,2019-01-16,62.75
94,2019-01-15,62.79
95,2019-01-14,62.80
96,2019-01-11,62.80
97,2019-01-10,62.69
98,2019-01-09,62.68
99,2019-01-08,62.65
100,2019-01-07,62.75
101,2019-01-04,62.91
102,2019-01-03,63.29
103,2019-01-02,62.87
104,2018-12-31,62.85
105,2018-12-28,62.69
106,2018-12-27,62.46
107,2018-12-26,62.26
108,2018-12-24,62.50
109,2018-12-21,62.32
110,2018-12-20,62.27
111,2018-12-19,62.35
112,2018-12-18,62.22
113,2018-12-17,62.14
114,2018-12-14,62.02
115,2018-12-13,61.89
116,2018-12-12,61.87
117,2018-12-11,61.97
118,2018-12-10,62.10
119,2018-12-07,62.06
120,2018-12-06,61.92
121,2018-12-04,61.81
122,2018-12-03,61.64
123,2018-11-30,61.58
124,2018-11-29,61.54
125,2018-11-28,61.46
126,2018-11-27,61.42
127,2018-11-26,61.40
128,2018-11-23,61.41
129,2018-11-21,61.38
130,2018-11-20,61.40
131,2018-11-19,61.42
132,2018-11-16,61.36
133,2018-11-15,61.22
134,2018-11-14,61.18
