,Date,NAV
1,2019-05-30,79.83
2,2019-05-29,79.17
3,2019-05-28,78.96
4,2019-05-24,78.36
5,2019-05-23,78.33
6,2019-05-22,77.46
7,2019-05-21,77.03
8,2019-05-20,77.17
9,2019-05-17,77.34
10,2019-05-16,77.12
11,2019-05-15,77.38
12,2019-05-14,76.90
13,2019-05-13,77.15
14,2019-05-10,76.50
15,2019-05-09,76.62
16,2019-05-08,76.31
17,2019-05-07,76.68
18,2019-05-06,76.08
19,2019-05-03,75.89
20,2019-05-02,75.64
21,2019-05-01,76.01
22,2019-04-30,75.75
23,2019-04-29,75.35
24,2019-04-26,75.80
25,2019-04-25,75.55
26,2019-04-24,75.64
27,2019-04-23,75.04
28,2019-04-22,74.89
29,2019-04-18,75.24
30,2019-04-17,74.92
31,2019-04-16,74.88
32,2019-04-15,75.29
33,2019-04-12,75.12
34,2019-04-11,75.65
35,2019-04-10,76.06
36,2019-04-09,75.91
37,2019-04-08,75.67
38,2019-04-05,75.91
39,2019-04-04,75.86
40,2019-04-03,75.61
41,2019-04-02,76.32
42,2019-04-01,76.08
43,2019-03-29,77.24
44,2019-03-28,77.27
45,2019-03-27,77.01
46,2019-03-26,76.37
47,2019-03-25,76.41
48,2019-03-22,76.33
49,2019-03-21,75.15
50,2019-03-20,74.99
51,2019-03-19,74.27
52,2019-03-18,74.41
53,2019-03-15,74.43
54,2019-03-14,74.00
55,2019-03-13,74.48
56,2019-03-12,74.62
57,2019-03-11,74.07
58,2019-03-08,74.34
59,2019-03-07,74.02
60,2019-03-06,73.59
61,2019-03-05,73.30
62,2019-03-04,73.16
63,2019-03-01,72.58
64,2019-02-28,73.28
65,2019-02-27,73.50
66,2019-02-26,74.26
67,2019-02-25,73.94
68,2019-02-22,74.15
69,2019-02-21,73.74
70,2019-02-20,74.40
71,2019-02-19,74.57
72,2019-02-15,74.39
73,2019-02-14,74.27
74,2019-02-13,73.87
75,2019-02-12,74.13
76,2019-02-11,74.32
77,2019-02-08,74.60
78,2019-02-07,74.28
79,2019-02-06,73.80
80,2019-02-05,73.77
81,2019-02-04,73.43
82,2019-02-01,73.77
83,2019-01-31,74.23
84,2019-01-30,73.57
85,2019-01-29,73.65
86,2019-01-28,73.29
87,2019-01-25,73.38
88,2019-01-24,73.69
89,2019-01-23,73.23
90,2019-01-22,73.24
91,2019-01-18,72.76
92,2019-01-17,73.16
93,2019-01-16,73.16
94,2019-01-15,73.07
95,2019-01-14,73.34
96,2019-01-11,73.61
97,2019-01-10,73.32
98,2019-01-09,73.73
99,2019-01-08,73.90
100,2019-01-07,74.08
101,2019-01-04,74.28
102,2019-01-03,75.16
103,2019-01-02,74.32
104,2018-12-31,73.87
105,2018-12-28,73.60
106,2018-12-27,73.03
107,2018-12-26,73.03
108,2018-12-24,73.77
109,2018-12-21,73.44
110,2018-12-20,73.43
111,2018-12-19,73.70
112,2018-12-18,72.78
113,2018-12-17,72.37
114,2018-12-14,71.95
115,2018-12-13,71.73
116,2018-12-12,71.87
117,2018-12-11,72.20
118,2018-12-10,72.21
119,2018-12-07,71.88
120,2018-12-06,71.79
121,2018-12-04,71.53
122,2018-12-03,70.42
123,2018-11-30,69.94
124,2018-11-29,69.69
125,2018-11-28,69.39
126,2018-11-27,69.73
127,2018-11-26,69.66
128,2018-11-23,69.76
129,2018-11-21,69.74
130,2018-11-20,69.74
131,2018-11-19,69.71
132,2018-11-16,69.52
133,2018-11-15,69.15
134,2018-11-14,69.18
135,2018-11-13,69.07
136,2018-11-12,69.15
137,2018-11-09,68.72
138,2018-11-08,68.22
139,2018-11-07,68.25
140,2018-11-06,68.16
141,2018-11-05,68.21
142,2018-11-02,67.96
143,2018-11-01,68.80
144,2018-10-31,68.67
145,2018-10-30,69.07
146,2018-10-29,69.39
147,2018-10-26,69.54
148,2018-10-25,69.11
149,2018-10-24,69.41
150,2018-10-23,68.89
151,2018-10-22,68.68
152,2018-10-19,68.76
153,2018-10-18,68.90
154,2018-10-17,68.91
155,2018-10-16,69.27
156,2018-10-15,69.21
157,2018-10-12,69.16
158,2018-10-11,69.41
159,2018-10-10,68.60
160,2018-10-09,68.78
161,2018-10-08,68.14
162,2018-10-05,68.36
163,2018-10-04,68.91
164,2018-10-03,69.37
165,2018-10-02,70.59
166,2018-10-01,70.14
167,2018-09-28,70.68
168,2018-09-27,70.83
169,2018-09-26,70.79
170,2018-09-25,70.31
171,2018-09-24,70.38
172,2018-09-21,70.56
173,2018-09-20,70.56
174,2018-09-19,70.30
175,2018-09-18,70.65
176,2018-09-17,71.41
177,2018-09-14,71.39
178,2018-09-13,71.70
179,2018-09-12,71.62
180,2018-09-11,71.47
181,2018-09-10,71.97
182,2018-09-07,71.72
183,2018-09-06,72.31
184,2018-09-05,72.09
185,2018-09-04,72.26
186,2018-08-31,72.69
187,2018-08-30,72.83
188,2018-08-29,72.70
189,2018-08-28,72.60
190,2018-08-27,73.00
191,2018-08-24,73.42
192,2018-08-23,73.26
193,2018-08-22,73.19
194,2018-08-21,72.91
195,2018-08-20,73.12
196,2018-08-17,72.70
197,2018-08-16,72.58
198,2018-08-15,72.58
199,2018-08-14,72.19
200,2018-08-13,72.33
201,2018-08-10,72.49
202,2018-08-09,71.93
203,2018-08-08,71.42
204,2018-08-07,71.33
205,2018-08-06,71.65
206,2018-08-03,71.60
207,2018-08-02,71.27
208,2018-08-01,71.20
209,2018-07-31,71.74
210,2018-07-30,71.36
211,2018-07-27,71.60
212,2018-07-26,71.50
213,2018-07-25,71.59
214,2018-07-24,71.71
215,2018-07-23,71.49
216,2018-07-20,72.34
217,2018-07-19,73.19
218,2018-07-18,72.76
219,2018-07-17,73.02
220,2018-07-16,73.19
221,2018-07-13,73.51
222,2018-07-12,73.26
223,2018-07-11,73.30
224,2018-07-10,73.03
225,2018-07-09,73.04
226,2018-07-06,73.46
227,2018-07-05,73.21
228,2018-07-03,73.04
229,2018-07-02,72.71
230,2018-06-29,72.72
231,2018-06-28,72.94
232,2018-06-27,72.96
233,2018-06-26,72.27
234,2018-06-25,72.21
235,2018-06-22,72.06
236,2018-06-21,72.01
237,2018-06-20,71.68
238,2018-06-19,72.26
239,2018-06-18,71.88
240,2018-06-15,71.91
241,2018-06-14,71.87
242,2018-06-13,71.30
243,2018-06-12,71.33
244,2018-06-11,71.33
245,2018-06-08,71.46
246,2018-06-07,71.71
247,2018-06-06,71.00
248,2018-06-05,71.59
249,2018-06-04,71.39
250,2018-06-01,71.89
251,2018-05-31,72.32
252,2018-05-30,72.40
253,2018-05-29,72.87
254,2018-05-25,71.37
255,2018-05-24,70.94
256,2018-05-23,70.41
257,2018-05-22,69.93
258,2018-05-21,70.01
259,2018-05-18,70.00
260,2018-05-17,69.40
261,2018-05-16,69.75
262,2018-05-15,70.01
263,2018-05-14,70.79
264,2018-05-11,71.15
265,2018-05-10,70.99
266,2018-05-09,70.47
267,2018-05-08,70.85
268,2018-05-07,70.91
269,2018-05-04,71.00
270,2018-05-03,70.92
271,2018-05-02,70.61
272,2018-05-01,70.68
273,2018-04-30,70.98
274,2018-04-27,70.79
275,2018-04-26,70.30
276,2018-04-25,69.84
277,2018-04-24,70.26
278,2018-04-23,70.60
279,2018-04-20,70.57
280,2018-04-19,71.07
281,2018-04-18,71.61
282,2018-04-17,72.19
283,2018-04-16,72.00
284,2018-04-13,72.00
285,2018-04-12,71.83
286,2018-04-11,72.37
287,2018-04-10,72.12
288,2018-04-09,72.22
289,2018-04-06,72.15
290,2018-04-05,71.36
291,2018-04-04,71.87
292,2018-04-03,72.01
293,2018-04-02,72.55
