,Date,NAV
1,2019-05-30,28.15
2,2019-05-29,28.12
3,2019-05-28,28.40
4,2019-05-24,28.82
5,2019-05-23,28.56
6,2019-05-22,28.53
7,2019-05-21,28.70
8,2019-05-20,28.67
9,2019-05-17,28.28
10,2019-05-16,28.19
11,2019-05-15,28.07
12,2019-05-14,28.07
13,2019-05-13,28.08
14,2019-05-10,28.19
15,2019-05-09,27.87
16,2019-05-08,27.79
17,2019-05-07,28.17
18,2019-05-06,28.24
19,2019-05-03,28.56
20,2019-05-02,28.21
21,2019-05-01,28.23
22,2019-04-30,28.39
23,2019-04-29,28.14
24,2019-04-26,28.16
25,2019-04-25,28.20
26,2019-04-24,28.19
27,2019-04-23,28.32
28,2019-04-22,28.33
29,2019-04-18,28.14
30,2019-04-17,27.99
31,2019-04-16,28.36
32,2019-04-15,28.46
33,2019-04-12,28.50
34,2019-04-11,28.54
35,2019-04-10,28.40
36,2019-04-09,28.33
37,2019-04-08,28.32
38,2019-04-05,28.41
39,2019-04-04,28.22
40,2019-04-03,28.17
41,2019-04-02,28.12
42,2019-04-01,28.25
43,2019-03-29,28.28
44,2019-03-28,28.13
45,2019-03-27,28.60
46,2019-03-26,28.91
47,2019-03-25,28.64
48,2019-03-22,28.65
49,2019-03-21,28.55
50,2019-03-20,28.27
51,2019-03-19,28.27
52,2019-03-18,28.61
53,2019-03-15,28.63
54,2019-03-14,28.45
55,2019-03-13,28.47
56,2019-03-12,28.44
57,2019-03-11,28.31
58,2019-03-08,28.05
59,2019-03-07,28.02
60,2019-03-06,27.87
61,2019-03-05,28.01
62,2019-03-04,28.12
63,2019-03-01,28.20
64,2019-02-28,28.15
65,2019-02-27,28.11
66,2019-02-26,28.08
67,2019-02-25,28.26
68,2019-02-22,28.38
69,2019-02-21,28.44
70,2019-02-20,28.24
71,2019-02-19,28.15
72,2019-02-15,27.88
73,2019-02-14,27.55
74,2019-02-13,27.65
75,2019-02-12,27.69
76,2019-02-11,27.50
77,2019-02-08,27.47
78,2019-02-07,27.33
79,2019-02-06,27.10
80,2019-02-05,27.28
81,2019-02-04,27.46
82,2019-02-01,27.49
83,2019-01-31,27.57
84,2019-01-30,27.06
85,2019-01-29,26.98
