,Date,NAV
1,2019-05-30,11.35
2,2019-05-29,11.44
3,2019-05-28,11.37
4,2019-05-24,11.27
5,2019-05-23,11.44
6,2019-05-22,11.43
7,2019-05-21,11.40
8,2019-05-20,11.52
9,2019-05-17,10.91
10,2019-05-16,10.95
11,2019-05-15,10.84
12,2019-05-14,11.02
13,2019-05-13,10.75
14,2019-05-10,11.12
15,2019-05-09,11.15
16,2019-05-08,11.35
17,2019-05-07,11.46
18,2019-05-06,11.80
19,2019-05-03,11.89
20,2019-05-02,11.75
21,2019-05-01,11.75
22,2019-04-30,11.71
23,2019-04-29,11.82
24,2019-04-26,11.73
25,2019-04-25,11.66
26,2019-04-24,11.70
27,2019-04-23,11.70
28,2019-04-22,11.75
29,2019-04-18,11.90
30,2019-04-17,12.01
31,2019-04-16,12.08
32,2019-04-15,11.91
33,2019-04-12,11.90
34,2019-04-11,11.93
35,2019-04-10,11.98
36,2019-04-09,11.98
37,2019-04-08,11.96
38,2019-04-05,12.07
39,2019-04-04,11.94
40,2019-04-03,12.10
41,2019-04-02,12.14
42,2019-04-01,12.04
43,2019-03-29,11.94
44,2019-03-28,11.79
45,2019-03-27,11.79
46,2019-03-26,11.86
47,2019-03-25,11.75
48,2019-03-22,11.76
49,2019-03-21,11.98
50,2019-03-20,12.05
51,2019-03-19,12.01
52,2019-03-18,12.01
53,2019-03-15,11.91
54,2019-03-14,11.80
55,2019-03-13,11.78
56,2019-03-12,11.84
57,2019-03-11,11.77
58,2019-03-08,11.32
59,2019-03-07,11.24
60,2019-03-06,11.38
61,2019-03-05,11.20
62,2019-03-04,10.78
63,2019-03-01,10.86
64,2019-02-28,10.81
65,2019-02-27,10.74
66,2019-02-26,10.81
67,2019-02-25,10.84
68,2019-02-22,10.73
69,2019-02-21,10.67
70,2019-02-20,10.58
71,2019-02-19,10.44
72,2019-02-15,10.37
73,2019-02-14,10.47
74,2019-02-13,10.37
75,2019-02-12,10.60
76,2019-02-11,10.50
77,2019-02-08,10.62
78,2019-02-07,10.79
79,2019-02-06,10.68
80,2019-02-05,10.65
81,2019-02-04,10.56
82,2019-02-01,10.68
83,2019-01-31,10.83
84,2019-01-30,10.78
85,2019-01-29,10.65
86,2019-01-28,10.63
87,2019-01-25,10.95
88,2019-01-24,11.06
89,2019-01-23,10.98
90,2019-01-22,10.95
91,2019-01-18,11.19
92,2019-01-17,11.30
93,2019-01-16,11.38
94,2019-01-15,11.23
95,2019-01-14,11.24
96,2019-01-11,11.41
97,2019-01-10,11.48
98,2019-01-09,11.42
99,2019-01-08,11.60
100,2019-01-07,11.62
101,2019-01-04,11.73
102,2019-01-03,11.39
103,2019-01-02,11.68
104,2018-12-31,11.86
105,2018-12-28,11.91
106,2018-12-27,11.76
107,2018-12-26,11.71
108,2018-12-24,11.42
109,2018-12-21,11.69
110,2018-12-20,11.85
111,2018-12-19,11.72
112,2018-12-18,11.81
113,2018-12-17,11.39
114,2018-12-14,11.31
115,2018-12-13,11.26
116,2018-12-12,11.28
117,2018-12-11,10.85
118,2018-12-10,10.49
119,2018-12-07,11.02
120,2018-12-06,11.33
121,2018-12-04,11.59
122,2018-12-03,11.72
123,2018-11-30,11.71
124,2018-11-29,11.85
125,2018-11-28,11.64
126,2018-11-27,11.66
127,2018-11-26,11.55
128,2018-11-23,11.66
129,2018-11-21,11.77
130,2018-11-20,11.63
131,2018-11-19,11.71
132,2018-11-16,11.73
133,2018-11-15,11.57
134,2018-11-14,11.52
135,2018-11-13,11.52
136,2018-11-12,11.19
137,2018-11-09,11.40
138,2018-11-08,11.41
139,2018-11-07,11.61
140,2018-11-06,11.47
141,2018-11-05,11.38
142,2018-11-02,11.41
143,2018-11-01,11.21
144,2018-10-31,10.82
145,2018-10-30,10.87
146,2018-10-29,10.73
147,2018-10-26,10.63
148,2018-10-25,10.67
149,2018-10-24,10.71
150,2018-10-23,10.77
151,2018-10-22,10.66
152,2018-10-19,10.79
153,2018-10-18,10.68
154,2018-10-17,10.82
155,2018-10-16,11.20
156,2018-10-15,11.02
157,2018-10-12,11.06
158,2018-10-11,10.64
159,2018-10-10,10.66
160,2018-10-09,10.70
161,2018-10-08,10.72
162,2018-10-05,10.64
163,2018-10-04,11.11
164,2018-10-03,11.30
165,2018-10-02,11.46
166,2018-10-01,11.57
167,2018-09-28,11.66
168,2018-09-27,11.96
169,2018-09-26,12.05
170,2018-09-25,11.97
171,2018-09-24,11.92
172,2018-09-21,12.31
173,2018-09-20,12.63
174,2018-09-19,12.48
175,2018-09-18,12.31
176,2018-09-17,12.57
177,2018-09-14,12.60
178,2018-09-13,12.55
179,2018-09-12,12.52
180,2018-09-11,12.28
181,2018-09-10,12.39
182,2018-09-07,12.70
183,2018-09-06,12.56
184,2018-09-05,12.72
185,2018-09-04,12.57
186,2018-08-31,13.11
187,2018-08-30,12.97
188,2018-08-29,13.03
