,Date,NAV
1,2019-05-30,50.55
2,2019-05-29,50.71
3,2019-05-28,51.35
4,2019-05-24,51.62
5,2019-05-23,51.52
6,2019-05-22,52.13
7,2019-05-21,52.30
8,2019-05-20,52.00
9,2019-05-17,52.46
10,2019-05-16,52.69
11,2019-05-15,52.88
12,2019-05-14,52.60
13,2019-05-13,52.40
14,2019-05-10,53.17
15,2019-05-09,52.88
16,2019-05-08,53.10
17,2019-05-07,52.96
18,2019-05-06,53.73
19,2019-05-03,53.25
20,2019-05-02,52.23
21,2019-05-01,52.42
22,2019-04-30,53.24
23,2019-04-29,52.70
24,2019-04-26,52.84
25,2019-04-25,52.27
26,2019-04-24,52.94
27,2019-04-23,53.14
28,2019-04-22,52.39
29,2019-04-18,53.02
30,2019-04-17,53.18
31,2019-04-16,53.47
32,2019-04-15,53.82
33,2019-04-12,54.07
34,2019-04-11,54.08
35,2019-04-10,53.99
36,2019-04-09,53.59
37,2019-04-08,53.92
38,2019-04-05,54.42
39,2019-04-04,53.87
40,2019-04-03,53.89
41,2019-04-02,53.36
42,2019-04-01,53.87
43,2019-03-29,53.73
44,2019-03-28,53.71
45,2019-03-27,53.86
46,2019-03-26,53.87
47,2019-03-25,53.58
48,2019-03-22,53.37
49,2019-03-21,54.26
50,2019-03-20,53.96
51,2019-03-19,53.51
52,2019-03-18,54.00
53,2019-03-15,53.98
54,2019-03-14,53.77
55,2019-03-13,54.02
56,2019-03-12,53.75
57,2019-03-11,53.62
58,2019-03-08,52.95
59,2019-03-07,53.00
60,2019-03-06,52.79
61,2019-03-05,53.45
62,2019-03-04,53.79
63,2019-03-01,53.93
64,2019-02-28,53.23
65,2019-02-27,53.46
66,2019-02-26,53.02
67,2019-02-25,53.58
68,2019-02-22,54.19
69,2019-02-21,53.39
70,2019-02-20,54.08
71,2019-02-19,53.93
72,2019-02-15,53.24
73,2019-02-14,52.94
74,2019-02-13,52.78
75,2019-02-12,52.83
76,2019-02-11,52.14
77,2019-02-08,52.31
78,2019-02-07,52.29
79,2019-02-06,52.28
80,2019-02-05,52.64
81,2019-02-04,52.67
82,2019-02-01,52.48
83,2019-01-31,52.71
84,2019-01-30,52.10
85,2019-01-29,51.74
86,2019-01-28,51.79
87,2019-01-25,51.96
88,2019-01-24,51.90
89,2019-01-23,51.79
90,2019-01-22,51.64
91,2019-01-18,52.24
92,2019-01-17,51.90
93,2019-01-16,51.52
94,2019-01-15,51.30
95,2019-01-14,51.35
96,2019-01-11,51.20
97,2019-01-10,51.04
98,2019-01-09,50.59
99,2019-01-08,50.82
100,2019-01-07,49.88
101,2019-01-04,49.76
102,2019-01-03,48.67
103,2019-01-02,48.88
104,2018-12-31,49.20
105,2018-12-28,48.86
106,2018-12-27,48.41
107,2018-12-26,48.33
108,2018-12-24,46.95
109,2018-12-21,48.80
110,2018-12-20,49.91
111,2018-12-19,50.29
112,2018-12-18,50.72
113,2018-12-17,51.13
114,2018-12-14,52.97
115,2018-12-13,53.46
116,2018-12-12,53.84
117,2018-12-11,53.25
118,2018-12-10,53.12
119,2018-12-07,53.14
120,2018-12-06,53.20
121,2018-12-04,54.01
122,2018-12-03,55.81
123,2018-11-30,55.80
124,2018-11-29,55.55
125,2018-11-28,56.09
126,2018-11-27,55.83
127,2018-11-26,55.65
128,2018-11-23,55.41
129,2018-11-21,54.76
130,2018-11-20,54.79
131,2018-11-19,55.70
132,2018-11-16,55.68
133,2018-11-15,54.68
134,2018-11-14,54.49
135,2018-11-13,54.96
136,2018-11-12,55.44
137,2018-11-09,55.90
138,2018-11-08,56.37
139,2018-11-07,56.73
140,2018-11-06,55.90
141,2018-11-05,55.45
142,2018-11-02,54.82
143,2018-11-01,55.56
144,2018-10-31,55.27
145,2018-10-30,55.26
146,2018-10-29,53.91
147,2018-10-26,53.95
148,2018-10-25,55.35
149,2018-10-24,54.95
150,2018-10-23,55.80
151,2018-10-22,56.54
152,2018-10-19,56.51
153,2018-10-18,56.40
154,2018-10-17,56.71
155,2018-10-16,56.33
156,2018-10-15,55.40
157,2018-10-12,54.74
158,2018-10-11,55.25
159,2018-10-10,56.59
160,2018-10-09,57.64
161,2018-10-08,57.29
162,2018-10-05,57.29
163,2018-10-04,57.34
164,2018-10-03,57.45
165,2018-10-02,57.28
166,2018-10-01,56.81
167,2018-09-28,57.51
168,2018-09-27,57.07
169,2018-09-26,56.40
170,2018-09-25,56.85
171,2018-09-24,56.34
172,2018-09-21,56.57
173,2018-09-20,56.58
174,2018-09-19,56.28
175,2018-09-18,57.26
176,2018-09-17,57.16
177,2018-09-14,56.87
178,2018-09-13,56.66
179,2018-09-12,56.39
180,2018-09-11,56.03
181,2018-09-10,55.98
182,2018-09-07,55.94
183,2018-09-06,56.01
184,2018-09-05,55.63
185,2018-09-04,55.06
186,2018-08-31,54.89
187,2018-08-30,55.03
188,2018-08-29,55.24
189,2018-08-28,54.96
190,2018-08-27,55.02
191,2018-08-24,55.34
192,2018-08-23,55.30
193,2018-08-22,55.70
194,2018-08-21,55.73
195,2018-08-20,55.64
196,2018-08-17,55.48
197,2018-08-16,55.14
198,2018-08-15,54.30
199,2018-08-14,54.70
200,2018-08-13,53.93
201,2018-08-10,54.14
202,2018-08-09,54.23
203,2018-08-08,53.32
204,2018-08-07,54.10
205,2018-08-06,54.43
206,2018-08-03,53.59
207,2018-08-02,53.81
208,2018-08-01,53.36
209,2018-07-31,53.51
210,2018-07-30,53.11
211,2018-07-27,53.32
212,2018-07-26,53.86
213,2018-07-25,52.77
214,2018-07-24,52.87
215,2018-07-23,52.98
216,2018-07-20,53.08
217,2018-07-19,53.51
218,2018-07-18,52.82
219,2018-07-17,53.56
220,2018-07-16,53.73
221,2018-07-13,53.91
222,2018-07-12,54.43
223,2018-07-11,54.49
224,2018-07-10,54.87
225,2018-07-09,54.91
226,2018-07-06,55.78
227,2018-07-05,55.23
228,2018-07-03,54.22
229,2018-07-02,53.34
230,2018-06-29,53.33
231,2018-06-28,53.39
232,2018-06-27,53.32
233,2018-06-26,53.66
234,2018-06-25,53.56
235,2018-06-22,53.38
236,2018-06-21,53.22
237,2018-06-20,53.77
238,2018-06-19,53.46
239,2018-06-18,52.90
240,2018-06-15,52.40
241,2018-06-14,51.96
242,2018-06-13,51.39
243,2018-06-12,51.47
244,2018-06-11,50.92
245,2018-06-08,51.05
246,2018-06-07,50.77
247,2018-06-06,50.87
248,2018-06-05,51.92
249,2018-06-04,51.85
250,2018-06-01,51.74
251,2018-05-31,51.78
252,2018-05-30,52.05
253,2018-05-29,51.29
254,2018-05-25,50.99
255,2018-05-24,51.47
256,2018-05-23,51.40
257,2018-05-22,51.89
258,2018-05-21,51.55
259,2018-05-18,51.18
260,2018-05-17,51.22
261,2018-05-16,51.31
262,2018-05-15,51.15
263,2018-05-14,51.19
264,2018-05-11,51.63
265,2018-05-10,51.73
266,2018-05-09,51.17
267,2018-05-08,51.04
268,2018-05-07,51.86
269,2018-05-04,51.99
270,2018-05-03,51.68
271,2018-05-02,51.30
272,2018-05-01,50.52
273,2018-04-30,50.61
274,2018-04-27,50.97
275,2018-04-26,51.02
276,2018-04-25,51.10
277,2018-04-24,50.98
278,2018-04-23,50.66
279,2018-04-20,50.61
280,2018-04-19,50.98
281,2018-04-18,51.43
282,2018-04-17,51.36
283,2018-04-16,50.63
284,2018-04-13,49.77
285,2018-04-12,49.69
286,2018-04-11,50.39
287,2018-04-10,49.89
288,2018-04-09,49.61
289,2018-04-06,49.69
290,2018-04-05,49.65
291,2018-04-04,49.18
292,2018-04-03,48.40
293,2018-04-02,48.00
294,2018-03-29,49.05
295,2018-03-28,48.65
296,2018-03-27,48.48
297,2018-03-26,48.43
298,2018-03-23,48.33
299,2018-03-22,48.77
300,2018-03-21,48.97
301,2018-03-20,48.86
302,2018-03-19,48.74
303,2018-03-16,49.14
304,2018-03-15,48.44
305,2018-03-14,48.80
306,2018-03-13,48.48
307,2018-03-12,49.03
308,2018-03-09,48.68
309,2018-03-08,48.50
310,2018-03-07,48.67
311,2018-03-06,48.20
312,2018-03-05,48.38
313,2018-03-02,47.65
314,2018-03-01,48.01
315,2018-02-28,47.82
316,2018-02-27,49.23
317,2018-02-26,49.62
318,2018-02-23,49.49
319,2018-02-22,47.98
320,2018-02-21,47.84
321,2018-02-20,48.86
322,2018-02-16,49.46
323,2018-02-15,48.73
324,2018-02-14,48.03
325,2018-02-13,47.93
326,2018-02-12,48.18
327,2018-02-09,47.49
328,2018-02-08,47.03
329,2018-02-07,47.94
330,2018-02-06,47.97
331,2018-02-05,48.25
332,2018-02-02,49.66
333,2018-02-01,49.96
334,2018-01-31,50.67
335,2018-01-30,50.83
336,2018-01-29,50.90
337,2018-01-26,51.24
338,2018-01-25,51.41
339,2018-01-24,51.30
340,2018-01-23,51.20
341,2018-01-22,51.25
342,2018-01-19,50.70
343,2018-01-18,50.56
344,2018-01-17,51.02
345,2018-01-16,50.88
346,2018-01-12,51.30
347,2018-01-11,50.82
348,2018-01-10,50.20
349,2018-01-09,51.02
350,2018-01-08,51.43
351,2018-01-05,50.88
352,2018-01-04,51.13
353,2018-01-03,51.22
354,2018-01-02,51.52
355,2017-12-29,51.68
356,2017-12-28,51.72
357,2017-12-27,51.50
358,2017-12-26,51.43
359,2017-12-22,51.46
360,2017-12-21,51.56
361,2017-12-20,51.72
362,2017-12-19,51.56
363,2017-12-18,52.88
364,2017-12-15,53.27
365,2017-12-14,52.56
366,2017-12-13,53.47
367,2017-12-12,53.18
368,2017-12-11,53.82
369,2017-12-08,53.66
370,2017-12-07,53.52
371,2017-12-06,53.47
372,2017-12-05,54.05
373,2017-12-04,54.93
374,2017-12-01,55.04
375,2017-11-30,55.29
376,2017-11-29,55.16
377,2017-11-28,54.43
378,2017-11-27,54.23
379,2017-11-24,53.70
380,2017-11-22,53.84
381,2017-11-21,53.85
382,2017-11-20,53.14
383,2017-11-17,53.10
384,2017-11-16,52.94
385,2017-11-15,52.73
386,2017-11-14,52.70
387,2017-11-13,52.02
388,2017-11-10,52.06
389,2017-11-09,52.09
390,2017-11-08,52.29
391,2017-11-07,52.37
392,2017-11-06,52.17
393,2017-11-03,51.89
394,2017-11-02,52.74
395,2017-11-01,53.44
396,2017-10-31,53.69
397,2017-10-30,53.33
398,2017-10-27,54.10
399,2017-10-26,53.61
400,2017-10-25,53.10
401,2017-10-24,52.99
402,2017-10-23,53.18
403,2017-10-20,53.42
404,2017-10-19,53.40
405,2017-10-18,53.47
406,2017-10-17,53.10
407,2017-10-16,52.96
408,2017-10-13,53.38
409,2017-10-12,53.57
410,2017-10-11,53.62
411,2017-10-10,53.48
412,2017-10-09,53.18
413,2017-10-06,53.13
414,2017-10-05,53.50
415,2017-10-04,53.37
416,2017-10-03,52.88
417,2017-10-02,52.23
418,2017-09-29,51.66
419,2017-09-28,51.97
420,2017-09-27,51.86
421,2017-09-26,51.91
422,2017-09-25,51.69
423,2017-09-22,51.25
424,2017-09-21,51.18
425,2017-09-20,51.40
426,2017-09-19,51.52
427,2017-09-18,51.37
428,2017-09-15,51.44
429,2017-09-14,51.40
430,2017-09-13,51.08
431,2017-09-12,51.16
432,2017-09-11,51.56
433,2017-09-08,51.68
434,2017-09-07,51.48
435,2017-09-06,51.82
436,2017-09-05,52.50
