,Date,NAV
1,2019-05-30,31.55
2,2019-05-29,31.69
3,2019-05-28,32.20
4,2019-05-24,32.60
5,2019-05-23,32.64
6,2019-05-22,32.58
7,2019-05-21,32.38
8,2019-05-20,32.37
9,2019-05-17,32.44
10,2019-05-16,32.26
11,2019-05-15,32.04
12,2019-05-14,32.05
13,2019-05-13,32.28
14,2019-05-10,31.98
15,2019-05-09,31.44
16,2019-05-08,31.42
17,2019-05-07,31.89
18,2019-05-06,32.02
19,2019-05-03,32.14
20,2019-05-02,31.79
21,2019-05-01,31.88
22,2019-04-30,32.17
23,2019-04-29,31.76
24,2019-04-26,31.90
25,2019-04-25,31.86
26,2019-04-24,31.77
27,2019-04-23,31.57
28,2019-04-22,31.42
29,2019-04-18,31.45
30,2019-04-17,31.43
31,2019-04-16,31.57
32,2019-04-15,31.94
33,2019-04-12,31.99
34,2019-04-11,31.94
35,2019-04-10,31.79
36,2019-04-09,31.82
37,2019-04-08,31.82
38,2019-04-05,32.08
39,2019-04-04,31.77
40,2019-04-03,31.90
41,2019-04-02,31.89
42,2019-04-01,32.07
43,2019-03-29,32.33
44,2019-03-28,32.23
45,2019-03-27,32.58
46,2019-03-26,32.78
47,2019-03-25,32.60
48,2019-03-22,32.46
49,2019-03-21,32.37
50,2019-03-20,31.96
51,2019-03-19,31.86
52,2019-03-18,32.25
53,2019-03-15,32.35
54,2019-03-14,32.18
55,2019-03-13,32.28
56,2019-03-12,32.25
57,2019-03-11,32.09
58,2019-03-08,31.73
59,2019-03-07,31.56
60,2019-03-06,31.46
61,2019-03-05,31.48
62,2019-03-04,31.61
63,2019-03-01,31.48
64,2019-02-28,31.36
65,2019-02-27,31.29
66,2019-02-26,31.22
67,2019-02-25,31.30
68,2019-02-22,31.60
69,2019-02-21,31.34
70,2019-02-20,31.08
71,2019-02-19,31.04
72,2019-02-15,30.87
73,2019-02-14,30.70
74,2019-02-13,30.63
75,2019-02-12,30.72
76,2019-02-11,30.70
77,2019-02-08,30.76
78,2019-02-07,30.57
79,2019-02-06,30.18
80,2019-02-05,30.38
81,2019-02-04,30.39
82,2019-02-01,30.33
83,2019-01-31,30.63
84,2019-01-30,29.85
85,2019-01-29,29.70
86,2019-01-28,29.58
87,2019-01-25,29.81
88,2019-01-24,30.23
89,2019-01-23,30.01
90,2019-01-22,29.72
91,2019-01-18,29.66
92,2019-01-17,29.61
93,2019-01-16,29.37
94,2019-01-15,29.09
95,2019-01-14,28.75
96,2019-01-11,29.14
97,2019-01-10,29.27
98,2019-01-09,28.82
99,2019-01-08,29.09
100,2019-01-07,28.57
101,2019-01-04,28.69
102,2019-01-03,28.32
103,2019-01-02,28.24
104,2018-12-31,28.89
105,2018-12-28,28.63
106,2018-12-27,28.51
107,2018-12-26,28.35
108,2018-12-24,28.01
109,2018-12-21,29.42
110,2018-12-20,29.62
111,2018-12-19,29.66
112,2018-12-18,29.85
113,2018-12-17,29.96
114,2018-12-14,30.90
115,2018-12-13,31.14
116,2018-12-12,30.88
117,2018-12-11,30.93
118,2018-12-10,30.87
119,2018-12-07,30.74
120,2018-12-06,30.58
121,2018-12-04,30.38
122,2018-12-03,30.57
123,2018-11-30,30.27
124,2018-11-29,29.81
125,2018-11-28,29.99
126,2018-11-27,30.00
127,2018-11-26,29.89
128,2018-11-23,29.61
129,2018-11-21,29.64
130,2018-11-20,30.04
131,2018-11-19,30.23
132,2018-11-16,30.06
133,2018-11-15,29.82
134,2018-11-14,29.68
135,2018-11-13,29.80
136,2018-11-12,29.70
137,2018-11-09,29.51
138,2018-11-08,29.19
139,2018-11-07,29.25
140,2018-11-06,29.07
141,2018-11-05,28.72
142,2018-11-02,28.18
143,2018-11-01,28.46
144,2018-10-31,28.46
145,2018-10-30,28.73
146,2018-10-29,28.50
147,2018-10-26,28.32
148,2018-10-25,28.95
149,2018-10-24,29.40
150,2018-10-23,28.79
151,2018-10-22,29.10
152,2018-10-19,29.37
153,2018-10-18,28.86
154,2018-10-17,28.85
155,2018-10-16,28.96
156,2018-10-15,28.51
157,2018-10-12,28.20
158,2018-10-11,28.40
159,2018-10-10,29.26
160,2018-10-09,29.27
161,2018-10-08,29.27
162,2018-10-05,28.94
163,2018-10-04,28.45
164,2018-10-03,28.45
165,2018-10-02,28.50
166,2018-10-01,28.36
167,2018-09-28,28.47
168,2018-09-27,28.21
169,2018-09-26,27.94
170,2018-09-25,28.16
171,2018-09-24,28.47
172,2018-09-21,28.78
173,2018-09-20,28.52
174,2018-09-19,28.37
175,2018-09-18,28.99
176,2018-09-17,28.87
177,2018-09-14,28.85
178,2018-09-13,28.99
179,2018-09-12,28.73
180,2018-09-11,28.69
181,2018-09-10,28.65
182,2018-09-07,28.59
183,2018-09-06,28.99
184,2018-09-05,28.79
185,2018-09-04,28.44
186,2018-08-31,28.36
187,2018-08-30,28.44
188,2018-08-29,28.41
189,2018-08-28,28.21
190,2018-08-27,28.35
191,2018-08-24,28.62
192,2018-08-23,28.58
193,2018-08-22,28.45
194,2018-08-21,28.73
195,2018-08-20,28.81
196,2018-08-17,28.93
197,2018-08-16,28.77
198,2018-08-15,28.39
199,2018-08-14,28.25
200,2018-08-13,28.19
201,2018-08-10,28.23
202,2018-08-09,28.27
203,2018-08-08,28.22
204,2018-08-07,28.16
205,2018-08-06,28.26
206,2018-08-03,28.01
207,2018-08-02,27.82
208,2018-08-01,27.66
209,2018-07-31,28.03
210,2018-07-30,27.60
211,2018-07-27,27.75
212,2018-07-26,27.88
213,2018-07-25,27.59
214,2018-07-24,27.53
215,2018-07-23,27.54
216,2018-07-20,27.65
217,2018-07-19,27.89
218,2018-07-18,27.54
219,2018-07-17,27.57
220,2018-07-16,27.69
221,2018-07-13,27.66
222,2018-07-12,27.71
223,2018-07-11,27.75
224,2018-07-10,27.57
225,2018-07-09,27.23
226,2018-07-06,28.13
227,2018-07-05,27.87
228,2018-07-03,27.64
229,2018-07-02,27.40
230,2018-06-29,27.41
231,2018-06-28,27.35
232,2018-06-27,27.40
233,2018-06-26,27.32
234,2018-06-25,27.20
235,2018-06-22,26.83
236,2018-06-21,26.65
237,2018-06-20,26.69
238,2018-06-19,26.55
239,2018-06-18,26.25
240,2018-06-15,26.14
241,2018-06-14,25.87
242,2018-06-13,25.67
243,2018-06-12,25.64
244,2018-06-11,25.33
245,2018-06-08,25.63
246,2018-06-07,25.70
247,2018-06-06,25.63
248,2018-06-05,26.22
249,2018-06-04,26.42
250,2018-06-01,26.66
251,2018-05-31,27.01
252,2018-05-30,27.17
253,2018-05-29,26.84
254,2018-05-25,26.63
255,2018-05-24,26.57
256,2018-05-23,26.34
257,2018-05-22,26.10
258,2018-05-21,26.04
259,2018-05-18,25.97
260,2018-05-17,25.92
261,2018-05-16,26.07
262,2018-05-15,26.31
263,2018-05-14,26.48
264,2018-05-11,26.60
265,2018-05-10,26.55
266,2018-05-09,26.27
267,2018-05-08,26.45
268,2018-05-07,26.92
269,2018-05-04,27.07
270,2018-05-03,26.83
271,2018-05-02,26.55
272,2018-05-01,26.54
273,2018-04-30,26.60
274,2018-04-27,26.67
275,2018-04-26,26.44
276,2018-04-25,26.13
277,2018-04-24,26.15
278,2018-04-23,25.97
279,2018-04-20,25.82
280,2018-04-19,25.92
281,2018-04-18,25.95
282,2018-04-17,26.08
283,2018-04-16,25.76
284,2018-04-13,25.46
285,2018-04-12,25.31
286,2018-04-11,25.67
287,2018-04-10,25.70
288,2018-04-09,25.84
289,2018-04-06,25.81
290,2018-04-05,25.92
291,2018-04-04,25.76
292,2018-04-03,25.74
293,2018-04-02,25.48
294,2018-03-29,25.78
295,2018-03-28,25.68
296,2018-03-27,25.51
297,2018-03-26,25.21
298,2018-03-23,24.89
299,2018-03-22,25.51
300,2018-03-21,25.40
301,2018-03-20,25.33
302,2018-03-19,25.35
303,2018-03-16,25.50
304,2018-03-15,25.23
305,2018-03-14,25.15
306,2018-03-13,24.97
307,2018-03-12,25.03
308,2018-03-09,24.84
309,2018-03-08,24.77
310,2018-03-07,24.60
311,2018-03-06,24.64
312,2018-03-05,25.03
313,2018-03-02,24.38
314,2018-03-01,24.59
315,2018-02-28,24.75
316,2018-02-27,25.00
317,2018-02-26,25.35
318,2018-02-23,25.50
319,2018-02-22,24.77
320,2018-02-21,24.91
321,2018-02-20,24.99
322,2018-02-16,25.37
323,2018-02-15,25.03
324,2018-02-14,24.65
325,2018-02-13,24.80
326,2018-02-12,24.81
327,2018-02-09,24.49
328,2018-02-08,24.04
329,2018-02-07,24.55
330,2018-02-06,24.45
331,2018-02-05,24.71
332,2018-02-02,25.37
333,2018-02-01,25.48
334,2018-01-31,25.85
335,2018-01-30,25.78
336,2018-01-29,25.81
337,2018-01-26,26.06
338,2018-01-25,26.16
339,2018-01-24,25.89
340,2018-01-23,25.84
341,2018-01-22,25.61
342,2018-01-19,25.49
343,2018-01-18,25.49
344,2018-01-17,25.75
345,2018-01-16,25.60
346,2018-01-12,25.62
347,2018-01-11,25.77
348,2018-01-10,25.91
349,2018-01-09,26.37
350,2018-01-08,26.60
351,2018-01-05,26.41
352,2018-01-04,26.52
353,2018-01-03,26.66
354,2018-01-02,26.84
355,2017-12-29,27.23
356,2017-12-28,27.06
357,2017-12-27,26.95
358,2017-12-26,26.84
359,2017-12-22,27.01
360,2017-12-21,26.83
361,2017-12-20,27.19
362,2017-12-19,27.33
363,2017-12-18,27.80
364,2017-12-15,28.04
365,2017-12-14,27.90
366,2017-12-13,28.04
367,2017-12-12,28.00
368,2017-12-11,28.60
369,2017-12-08,28.48
370,2017-12-07,28.35
371,2017-12-06,28.33
372,2017-12-05,28.26
373,2017-12-04,28.69
374,2017-12-01,28.83
375,2017-11-30,28.91
376,2017-11-29,28.81
377,2017-11-28,28.70
378,2017-11-27,28.62
379,2017-11-24,28.38
380,2017-11-22,28.39
381,2017-11-21,28.50
382,2017-11-20,28.38
383,2017-11-17,28.52
384,2017-11-16,28.69
385,2017-11-15,28.63
386,2017-11-14,28.84
387,2017-11-13,28.40
388,2017-11-10,28.15
389,2017-11-09,28.25
390,2017-11-08,28.33
391,2017-11-07,28.33
392,2017-11-06,28.10
393,2017-11-03,28.13
394,2017-11-02,28.04
395,2017-11-01,27.93
396,2017-10-31,28.08
397,2017-10-30,27.99
398,2017-10-27,28.10
399,2017-10-26,27.86
400,2017-10-25,27.80
401,2017-10-24,27.91
402,2017-10-23,27.98
403,2017-10-20,27.94
404,2017-10-19,27.92
405,2017-10-18,27.71
406,2017-10-17,27.69
407,2017-10-16,27.51
408,2017-10-13,27.64
409,2017-10-12,27.88
410,2017-10-11,27.72
411,2017-10-10,27.60
412,2017-10-09,27.44
413,2017-10-06,27.30
414,2017-10-05,27.38
415,2017-10-04,27.43
416,2017-10-03,27.19
417,2017-10-02,27.27
418,2017-09-29,27.07
419,2017-09-28,27.27
420,2017-09-27,27.17
421,2017-09-26,27.48
422,2017-09-25,27.50
423,2017-09-22,27.29
424,2017-09-21,27.51
425,2017-09-20,27.53
426,2017-09-19,27.72
427,2017-09-18,27.78
428,2017-09-15,28.10
429,2017-09-14,27.96
430,2017-09-13,27.78
431,2017-09-12,27.93
432,2017-09-11,28.44
433,2017-09-08,28.13
434,2017-09-07,28.02
435,2017-09-06,27.89
436,2017-09-05,28.02
437,2017-09-01,27.96
438,2017-08-31,27.98
439,2017-08-30,27.96
440,2017-08-29,28.03
441,2017-08-28,28.10
442,2017-08-25,28.06
443,2017-08-24,27.97
444,2017-08-23,27.98
445,2017-08-22,27.97
446,2017-08-21,27.73
447,2017-08-18,27.61
448,2017-08-17,27.52
449,2017-08-16,27.73
450,2017-08-15,27.64
451,2017-08-14,27.59
452,2017-08-11,27.41
453,2017-08-10,27.61
454,2017-08-09,27.56
455,2017-08-08,27.71
456,2017-08-07,27.49
457,2017-08-04,27.40
458,2017-08-03,27.42
459,2017-08-02,27.38
460,2017-08-01,27.33
461,2017-07-31,27.12
462,2017-07-28,27.03
463,2017-07-27,27.22
464,2017-07-26,27.18
465,2017-07-25,26.99
466,2017-07-24,27.06
467,2017-07-21,27.24
468,2017-07-20,27.01
469,2017-07-19,26.65
470,2017-07-18,26.57
471,2017-07-17,26.45
472,2017-07-14,26.36
473,2017-07-13,26.23
474,2017-07-12,26.38
475,2017-07-11,26.17
476,2017-07-10,26.18
477,2017-07-07,26.29
478,2017-07-06,26.20
479,2017-07-05,26.28
480,2017-07-03,26.42
481,2017-06-30,26.52
482,2017-06-29,26.48
483,2017-06-28,26.72
484,2017-06-27,26.95
485,2017-06-26,27.20
486,2017-06-23,27.05
487,2017-06-22,27.09
488,2017-06-21,27.16
489,2017-06-20,27.32
490,2017-06-19,27.41
491,2017-06-16,27.63
492,2017-06-15,27.40
493,2017-06-14,27.31
494,2017-06-13,27.14
495,2017-06-12,27.06
496,2017-06-09,27.09
497,2017-06-08,27.06
498,2017-06-07,27.20
