,Date,NAV
1,2019-05-30,56.00
2,2019-05-29,56.47
3,2019-05-28,58.01
4,2019-05-24,59.83
5,2019-05-23,59.98
6,2019-05-22,59.25
7,2019-05-21,58.34
8,2019-05-20,58.24
9,2019-05-17,58.07
10,2019-05-16,57.40
11,2019-05-15,56.72
12,2019-05-14,56.79
13,2019-05-13,57.86
14,2019-05-10,56.57
15,2019-05-09,54.78
16,2019-05-08,54.87
17,2019-05-07,56.35
18,2019-05-06,56.77
19,2019-05-03,57.43
20,2019-05-02,56.76
21,2019-05-01,57.10
22,2019-04-30,58.30
23,2019-04-29,56.40
24,2019-04-26,57.10
25,2019-04-25,56.83
26,2019-04-24,56.52
27,2019-04-23,55.65
28,2019-04-22,55.38
29,2019-04-18,55.36
30,2019-04-17,55.32
31,2019-04-16,55.89
32,2019-04-15,57.16
33,2019-04-12,57.21
34,2019-04-11,56.72
35,2019-04-10,56.05
36,2019-04-09,56.43
37,2019-04-08,56.35
38,2019-04-05,57.09
39,2019-04-04,56.20
40,2019-04-03,56.57
41,2019-04-02,56.55
42,2019-04-01,56.62
43,2019-03-29,57.36
44,2019-03-28,56.61
45,2019-03-27,57.92
46,2019-03-26,58.71
47,2019-03-25,57.96
48,2019-03-22,57.93
49,2019-03-21,57.18
50,2019-03-20,56.08
51,2019-03-19,55.52
52,2019-03-18,56.99
53,2019-03-15,57.38
54,2019-03-14,57.00
55,2019-03-13,57.08
56,2019-03-12,56.85
57,2019-03-11,56.23
58,2019-03-08,55.39
59,2019-03-07,54.85
60,2019-03-06,54.79
61,2019-03-05,54.80
62,2019-03-04,54.89
63,2019-03-01,54.75
64,2019-02-28,54.62
65,2019-02-27,53.94
66,2019-02-26,53.84
67,2019-02-25,54.00
68,2019-02-22,54.62
69,2019-02-21,54.12
70,2019-02-20,53.21
71,2019-02-19,52.78
72,2019-02-15,52.19
73,2019-02-14,51.85
74,2019-02-13,51.96
75,2019-02-12,52.17
76,2019-02-11,52.06
77,2019-02-08,52.07
78,2019-02-07,51.56
79,2019-02-06,50.29
80,2019-02-05,50.46
81,2019-02-04,50.34
82,2019-02-01,50.22
83,2019-01-31,50.83
84,2019-01-30,48.67
85,2019-01-29,47.83
86,2019-01-28,47.59
87,2019-01-25,48.15
88,2019-01-24,49.51
89,2019-01-23,48.88
90,2019-01-22,47.85
91,2019-01-18,47.72
92,2019-01-17,47.74
93,2019-01-16,47.33
94,2019-01-15,46.95
95,2019-01-14,45.95
96,2019-01-11,47.79
97,2019-01-10,48.27
98,2019-01-09,46.86
99,2019-01-08,47.61
100,2019-01-07,46.23
101,2019-01-04,46.98
102,2019-01-03,45.83
103,2019-01-02,45.73
104,2018-12-31,47.14
105,2018-12-28,47.05
106,2018-12-27,46.78
