,Date,NAV
1,2019-05-30,22.44
2,2019-05-29,22.58
3,2019-05-28,22.34
4,2019-05-24,22.29
5,2019-05-23,22.15
6,2019-05-22,21.58
7,2019-05-21,21.68
8,2019-05-20,21.96
9,2019-05-17,21.81
10,2019-05-16,21.70
11,2019-05-15,21.99
12,2019-05-14,22.25
13,2019-05-13,23.01
14,2019-05-10,21.63
15,2019-05-09,22.36
16,2019-05-08,22.33
17,2019-05-07,22.77
18,2019-05-06,21.40
19,2019-05-03,21.17
20,2019-05-02,21.68
21,2019-05-01,21.53
22,2019-04-30,21.18
23,2019-04-29,21.23
24,2019-04-26,21.03
25,2019-04-25,21.30
26,2019-04-24,20.98
27,2019-04-23,21.09
28,2019-04-22,20.95
29,2019-04-18,21.11
30,2019-04-17,21.19
31,2019-04-16,21.17
32,2019-04-15,20.92
33,2019-04-12,21.00
34,2019-04-11,21.10
35,2019-04-10,21.28
36,2019-04-09,21.40
37,2019-04-08,21.00
38,2019-04-05,21.12
39,2019-04-04,21.38
40,2019-04-03,21.42
41,2019-04-02,21.41
42,2019-04-01,21.32
43,2019-03-29,21.59
44,2019-03-28,22.01
45,2019-03-27,22.14
46,2019-03-26,21.87
47,2019-03-25,22.19
48,2019-03-22,22.03
49,2019-03-21,21.32
50,2019-03-20,21.40
51,2019-03-19,21.33
52,2019-03-18,21.10
53,2019-03-15,21.12
54,2019-03-14,21.21
55,2019-03-13,21.25
56,2019-03-12,21.40
57,2019-03-11,21.60
58,2019-03-08,22.36
59,2019-03-07,22.17
60,2019-03-06,21.77
61,2019-03-05,21.40
62,2019-03-04,21.44
63,2019-03-01,21.13
64,2019-02-28,21.50
65,2019-02-27,21.56
66,2019-02-26,21.68
67,2019-02-25,21.53
68,2019-02-22,21.67
69,2019-02-21,21.98
70,2019-02-20,21.94
71,2019-02-19,22.11
72,2019-02-15,22.32
73,2019-02-14,22.52
74,2019-02-13,22.37
75,2019-02-12,22.56
76,2019-02-11,22.66
77,2019-02-08,22.75
78,2019-02-07,22.75
79,2019-02-06,22.52
80,2019-02-05,22.67
81,2019-02-04,22.94
82,2019-02-01,23.26
83,2019-01-31,23.47
84,2019-01-30,23.97
85,2019-01-29,24.35
86,2019-01-28,24.37
87,2019-01-25,24.05
88,2019-01-24,24.37
89,2019-01-23,24.93
90,2019-01-22,24.74
91,2019-01-18,24.17
92,2019-01-17,24.64
93,2019-01-16,24.58
94,2019-01-15,24.47
95,2019-01-14,24.99
96,2019-01-11,25.20
97,2019-01-10,25.50
98,2019-01-09,25.48
99,2019-01-08,25.69
100,2019-01-07,26.00
101,2019-01-04,26.26
102,2019-01-03,27.29
103,2019-01-02,26.39
104,2018-12-31,26.74
105,2018-12-28,26.97
106,2018-12-27,27.09
107,2018-12-26,26.64
