Month,BTAL,CHEP,CPI,HDG,MCRO,MNA,MOM,MRGR,QAI,QMN,RALS,RLY,SIZ,WTMF
2019-05,0.05339578,-0.06223678,-0.00936262,-0.02040369,-0.01604278,0.00759975,0.06423174,-0.00080171,-0.01058901,-0.00496562,-0.0059778,-0.02985669,-0.03193188,-0.03071846
2019-04,-0.00374357,0.00520833,0.00688406,0.01019504,0.00229183,-0.01563966,-0.0075,0.00214247,0.00464653,0.00574933,-0.00028498,-0.00157978,0.00106553,0.01492153
2019-03,0.02422803,-0.02762431,0.00181818,0.00022257,0.00269334,-0.01022939,0.02470187,0.00080429,0.00333667,0.00657132,-0.01067416,0.01248993,-0.03147575,0.00516929
2019-02,-0.0075543,-0.01818182,0.00954829,0.01100876,0.00854701,-0.00464972,0.00898973,0.00296656,0.00842034,0.00740164,-0.00476725,0.0072904,0.00993724,0.01331245
2019-01,-0.03105023,0.01192114,0.02215546,0.03688142,0.0316253,0.02279202,-0.03352649,0.00597015,0.02663438,0.01944444,-0.01437656,0.07908612,0.02471789,-0.0151749
2018-12,0.0478673,-0.04789357,-0.02169118,-0.02696578,-0.02614124,-0.00345695,0.02871411,0.00081191,-0.02300406,-0.01370936,0.01592719,-0.06079404,-0.04220278,0.00466563
2018-11,0.00616991,0.02267574,-0.0047759,0.00317749,0.00791139,-0.00375587,0.01349642,0.01485149,-0.0023761,-0.00662768,0.00531915,-0.03793382,-0.01169888,0.0072784
2018-10,0.06090864,-0.02150538,-0.01699205,-0.03186546,-0.02656912,0.0047259,-0.0546252,0.00165335,-0.02689243,-0.01273148,0.01149103,-0.06413662,0.0,-0.01140106
2018-09,0.00049727,0.00264201,0.00362056,-0.0015456,0.00192901,0.00825135,-0.01411765,0.00749584,0.00132846,0.0015456,0.0045045,0.02153485,-0.013882,-0.00329281
2018-08,0.00552486,0.0,0.00399855,0.00243578,-0.00346021,0.01380861,0.02803738,0.00083449,0.004662,0.00309717,-0.01932634,-0.00769231,-0.01320939,0.01605802
2018-07,-0.00800801,-0.02318718,0.00695971,0.01389823,0.00773694,0.0155743,0.00526316,0.02421652,0.01040967,0.0074103,0.01116695,0.01510457,0.0,-0.00233281
