Month,ECON,FXG,IYK,KXI,PBJ,PSCC,PSL,RHS,SZK,UGE,VDC,XLP
2019-05,-0.0625543,-0.05741525,-0.04152674,-0.01245927,-0.03975265,-0.05923617,-0.02416667,-0.02419597,0.0900369,-0.08817635,-0.01751527,-0.01035088
2019-04,0.01311762,0.03580786,0.03079105,0.02031341,0.03261854,0.02736647,0.02638262,0.0330705,-0.05773343,0.0560166,0.02774902,0.03201001
2019-03,0.0,0.03456065,0.02620275,0.0408862,0.01497097,-0.03863205,0.00709522,0.04002854,-0.04784367,0.04984119,0.03558693,0.04022989
2019-02,0.00044425,-0.00715084,0.0218137,0.02227723,0.04140127,0.03416887,0.03878734,0.0361426,-0.03927882,0.04011242,0.0238512,0.02097109
2019-01,0.10498047,0.07093384,0.07718502,0.05914448,0.06140351,0.09430707,0.03177283,0.06135555,-0.14364947,0.1591043,0.05831218,0.05776892
2018-12,-0.05387831,-0.10572219,-0.09467658,-0.07355905,-0.0992714,-0.13258906,-0.09831305,-0.10059034,0.20830543,-0.19002148,-0.09028795,-0.09009009
2018-11,-0.00660377,-0.01478353,0.00060076,0.01059063,0.02678293,-0.01750493,0.00166991,-0.00241358,0.01608579,-0.01556886,0.0144989,0.01556777
2018-10,-0.0732151,0.00259123,-0.01986586,-0.01374015,-0.00124031,-0.00746451,-0.00098425,0.00435506,0.03210383,-0.03094463,0.01875181,0.02071173
2018-09,0.00045372,-0.00809544,0.01135191,0.00630209,-0.01993355,-0.01447041,-0.00900028,-0.00307183,-0.02330226,0.02417425,0.00852832,0.01122527
2018-08,-0.07317073,0.04457751,-0.00051317,-0.00242131,0.04183706,0.0368963,0.0298103,0.02202218,0.00404585,-0.00611333,0.01836765,0.01250481
2018-07,0.02839248,-0.0034965,0.02029712,0.03423947,-0.01745254,0.02956282,0.00313167,0.03192627,-0.0256917,0.03087313,0.03948472,0.04568123
2018-06,-0.04057279,0.04617474,0.0356538,0.03030303,0.02992519,0.05352636,0.02232531,0.05163836,-0.07164917,0.08176739,0.04527793,0.04583161
2018-05,-0.03771384,-0.02669903,0.00976757,-0.00635055,-0.00279503,0.09603614,0.03125,-0.01899639,-0.0234657,0.02820986,-0.0028472,-0.00700165
2018-04,0.0003876,0.0156041,-0.01644272,-0.00479666,0.04038462,0.04197458,0.03286241,-0.00307846,0.00187383,-0.03313551,-0.01277584,-0.01744886
2018-03,-0.0335422,-0.00971922,-0.00403607,0.01140369,0.0069335,0.03445704,0.03218818,-0.00314795,-0.00065963,-0.00860665,-0.00368698,-0.0068014
2018-02,-0.04730203,-0.04758987,-0.05907376,-0.06893259,-0.05037037,-0.06228326,-0.0141844,-0.05172676,0.12042683,-0.09481361,-0.07034194,-0.07213528
2018-01,0.01591793,0.03427971,0.02043974,0.01911449,0.02709211,-0.02255842,0.02879826,0.02352031,-0.03736264,0.03298755,0.02215752,0.02271062
2017-12,0.03109959,0.0021097,0.01863663,0.02001189,0.01242424,0.0076118,0.01972542,0.03144354,-0.06184851,0.04248927,0.01893721,0.02005199
2017-11,0.00815117,0.07096045,0.03397683,0.03485035,0.03905512,0.03261324,0.03945867,0.06688141,-0.06710526,0.064,0.05276744,0.05249755
2017-10,-0.00661521,-0.00539933,-0.00111397,-0.00163432,-0.00780762,-0.00460829,-0.00324728,-0.00541822,-0.00065445,-0.00568699,-0.01374183,-0.01471442
2017-09,-0.00220345,-0.01806565,-0.00350547,-0.01151283,0.01170886,0.05725362,0.0090789,-0.00696134,0.00991408,-0.00068446,-0.00973109,-0.0118411
2017-08,-0.00184366,-0.0120667,-0.00513523,-0.00302786,-0.01289308,-0.00507236,0.02112557,-0.01893188,0.02796272,-0.01200181,-0.01091606,-0.00987842
2017-07,0.04205247,0.02288535,0.00102485,0.00938392,0.02812803,0.02778202,0.0112417,0.01093398,0.0,-0.00758252,0.00704643,0.00784089
2017-06,-0.0322944,-0.02065026,-0.00855135,-0.02673797,-0.05722983,-0.03061376,-0.02511151,-0.03447165,0.00266845,-0.00800356,-0.03060565,-0.03056688
2017-05,0.03379175,-0.01811831,0.0335097,0.04672507,-0.01250381,-0.0366999,0.02069083,0.02507498,-0.06238303,0.07158196,0.02724431,0.03040801
2017-04,0.02763104,0.02999776,0.0052019,0.01608125,0.01474201,0.04434457,0.01451529,0.0166793,-0.011772,0.00667461,0.01229477,0.01261891
2017-03,0.01744911,-0.01016799,-0.00236801,0.00853971,-0.00182704,0.01359629,0.02101576,-0.01252488,-0.02414861,-0.00352609,-0.00698781,-0.00902804
2017-02,0.0237581,0.02953973,0.04720037,0.04664723,0.0199688,0.00831409,0.03857458,0.0485929,-0.09014085,0.09829172,0.05118945,0.0558386
2017-01,0.03891403,-0.01369248,0.02233952,0.0207905,-0.02813067,-0.04672759,0.02213053,0.00778789,-0.0546331,0.04315761,0.00976839,0.01331967
2016-12,0.01110597,0.04810427,0.03288637,0.03793267,0.0604591,0.07459838,0.04491726,0.03843696,-0.0725,0.07530032,0.0402039,0.03667377
2016-11,-0.06678009,-0.03426367,-0.02385478,-0.05226868,-0.0126183,0.03846786,-0.03254161,-0.03755664,0.02735402,-0.04091789,-0.03344376,-0.03790503
2016-10,-0.02487765,-0.00472866,-0.01286953,-0.03134392,-0.00595611,-0.03653329,-0.02222627,-0.00233544,0.01520087,-0.02723427,-0.00235073,-0.00141844
2016-09,0.00123558,-0.02899499,-0.01671996,-0.00532708,-0.02141328,-0.01597642,-0.01834372,-0.02264882,0.02689076,-0.03117871,-0.01542121,-0.01565597
2016-08,0.00083126,-0.01665599,-0.0020972,-0.00426621,-0.00873757,-0.01789777,-0.01998957,-0.01201525,-0.01490066,-0.00881834,-0.00677785,-0.00708661
