Month,DBO,DTO,OLEM,OLO,SCO,SZO,UCO,USL,USO
2019-05,-0.0952381,0.22189536,-0.10714286,0.0,0.24211938,0.0,-0.21699292,-0.09940778,-0.11043873
2019-04,0.02247191,-0.07475372,0.03315508,0.02363636,-0.07917706,-0.17140307,0.07345133,0.03093682,0.03666147
2019-03,0.03546798,-0.12677419,0.05169443,0.04502814,-0.13302517,0.00268536,0.14338821,0.04795158,0.07204117
2019-02,0.01771654,-0.0611471,0.03063584,0.01335878,-0.05643111,-0.0241995,0.04379947,0.03635505,0.02751505
2019-01,0.14947856,-0.3232551,0.14159892,0.14159292,-0.26517572,-0.12983188,0.31227306,0.12479564,0.15228426
2018-12,-0.13659531,0.27535683,-0.12348668,-0.0931677,0.24015248,0.16305571,-0.27991337,-0.1200392,-0.14285714
2018-11,-0.20051414,0.3873228,-0.20684449,-0.19767442,0.49142857,0.1652459,-0.37731653,-0.19685691,-0.20282318
2018-10,-0.12426901,0.23120657,-0.09358752,-0.1299435,0.30823529,-0.00016664,-0.25276461,-0.11460193,-0.1354232
2018-09,0.07102502,-0.10282075,0.03049908,0.07668232,-0.12677878,-0.0378387,0.13010685,0.07210402,0.06447188
2018-08,0.05423729,-0.08320546,0.01752724,0.05766063,-0.08851675,0.16296849,0.08143432,0.05239274,0.04400284
2018-07,0.00250209,0.05621521,0.0066762,-0.00480769,0.06405229,0.19950794,-0.08330845,-0.00605083,-0.04545455
2018-06,0.05872193,-0.22285381,0.04748062,0.05833333,-0.20607029,-0.22121582,0.23049392,0.07515924,0.13660377
2018-05,0.02,0.00075632,0.02533532,0.01349073,-0.00883002,-0.09590551,-0.01215805,0.01612219,-0.00440852
2018-04,0.08286778,-0.12962227,0.10666667,0.09025271,-0.16079924,-0.07055035,0.17397998,0.08597285,0.08320251
2018-03,0.06492248,-0.11445783,0.077051,0.05390335,-0.125,-0.04727374,0.12016293,0.06792453,0.05991903
2018-02,-0.06010929,0.08216433,-0.00686378,-0.04609929,0.12673267,-0.06432672,-0.12725984,-0.06307896,-0.06570997
2018-01,0.07577268,-0.13287656,0.06945229,0.05192308,-0.13793103,0.0,0.15169492,0.05655894,0.07539354
2017-12,0.03202479,-0.0658878,0.03992954,0.04294479,-0.0661597,0.02789325,0.06015378,0.03718394,0.02913453
2017-11,0.05071665,-0.10545588,0.05318491,0.06971678,-0.10564304,-0.18207744,0.10211449,0.04741834,0.05229358
2017-10,0.06690141,-0.1277572,0.06741573,0.06004619,-0.13409415,0.0,0.13793103,0.0613155,0.0705191
2017-09,0.04975728,-0.15009608,0.07123098,0.06763285,-0.14282084,0.0,0.14967742,0.04948216,0.07859359
2017-08,-0.00966184,0.08593331,-0.0349076,0.04589372,0.05511182,0.00740331,-0.07456404,-0.01251422,-0.04558969
2017-07,0.04993758,-0.14273973,0.04512373,0.08415842,-0.14373814,-0.05954484,0.13863338,0.05067767,0.06860707
2017-06,-0.02337023,0.08847379,-0.06530612,-0.031477,0.07061447,0.09501593,-0.09390244,-0.02998847,-0.04137235
2017-05,-0.02275449,0.03138577,-0.01803607,-0.03661327,0.0103457,0.00365464,-0.04393064,-0.02417088,-0.01871921
2017-04,-0.02549247,0.05630958,-0.03357005,-0.00681818,0.05164067,0.01307416,-0.06149733,-0.03091106,-0.02938389
2017-03,-0.05257393,0.0987632,-0.0709988,-0.02188184,0.1235023,0.09794207,-0.13269494,-0.05846467,-0.06666667
2017-02,-0.01822079,0.00847612,-0.00596303,-0.03556485,-0.0015456,-0.00593509,-0.00674157,-0.00956215,-0.00261324
2017-01,-0.01181525,0.03014152,-0.02071006,-0.03164557,0.00665457,0.01291891,-0.03001792,-0.02092676,-0.01048951
2016-12,0.04039301,-0.06075519,0.04139172,0.01059322,-0.08234271,-0.04296732,0.07155963,0.0499228,0.03442189
2016-11,0.04728132,-0.06713341,0.0468445,0.06074766,-0.12325526,-0.03860186,0.04948454,0.04019824,0.03405866
2016-10,-0.04960541,0.06717406,-0.04171856,-0.05263158,0.08519837,0.01505197,-0.10009355,-0.04287983,-0.05135135
2016-09,0.07911001,-0.16022062,0.09276944,0.05896226,-0.19148511,-0.10946809,0.16367713,0.078125,0.08648111
2016-08,0.07373868,-0.15506767,0.12553802,0.01674641,-0.19613494,-0.11462058,0.18523154,0.07725061,0.10095643
2016-07,-0.13710555,0.33408402,-0.15976676,-0.15113872,0.39528995,0.23234568,-0.31850675,-0.14162437,-0.17147708
2016-06,0.00445434,-0.05095798,-0.0034965,-0.01263158,0.00914936,0.00061767,-0.06144393,-0.00360453,-0.03017603
2016-05,0.07340554,-0.06601029,0.09170306,-0.19277108,-0.1496358,-0.04790206,0.14577778,0.07119021,0.07420814
2016-04,0.14945652,-0.3542233,0.18872017,0.04577465,-0.35066591,-0.195621,0.43256379,0.16370558,0.21114684
2016-03,0.0522696,-0.12275705,0.06245353,-0.06565657,-0.14896659,-0.05769592,0.09864365,0.05840363,0.06010929
2016-02,-0.0095498,-0.03691365,0.02229055,0.10169492,-0.11345291,-0.01257919,-0.0365408,0.01252472,-0.00221729
2016-01,-0.11870101,0.23446345,-0.08115359,0.1474359,0.17154812,0.12830674,-0.24380496,-0.06588235,-0.12112933
2015-12,-0.13242454,0.27711816,-0.13170163,-0.13133208,0.32500496,0.12047898,-0.29232506,-0.11400312,-0.15057915
2015-11,-0.09330986,0.22447767,-0.08806366,-0.08967851,0.24396849,0.08943536,-0.22285714,-0.08217869,-0.12338983
2015-10,0.03164557,-0.03519769,0.01018221,-0.00506757,-0.08114286,-0.02877989,0.02863535,0.03189401,0.01577503
2015-09,-0.01499118,0.00680876,-0.04844467,-0.00511945,-0.02929247,0.01911967,-0.03365999,-0.01057692,-0.00877785
2015-08,0.05979203,-0.10569431,0.06453278,0.08571429,-0.16967126,-0.05104857,0.05348837,0.05270588,0.05231788
2015-07,-0.14889048,0.32765178,-0.20915549,-0.14937759,0.447377,0.17404376,-0.3417782,-0.15262751,-0.18376963
2015-06,-0.00828157,0.04571429,0.0305002,-0.01997337,0.02881844,0.02035038,-0.05379946,-0.01326944,-0.02357564
2015-05,-0.03202135,0.00683625,-0.05495772,-0.0246114,-0.01309735,-0.00070671,-0.02100927,-0.02589928,-0.00441176
2015-04,0.10014728,-0.3836509,0.02938776,0.0834512,-0.2917297,-0.17391304,0.32249322,0.12738337,0.16666667
2015-03,-0.07002801,0.15963226,-0.07039337,-0.07008086,0.13819227,0.10742399,-0.17094017,-0.07400232,-0.08078603
2015-02,0.02491103,0.05473389,0.02569503,0.02884615,-0.07525848,-0.01918429,-0.03782506,0.01681658,-0.02792696
