Week,CEW,CNY,CROC,CYB,DBV,DRR,EUFX,EUO,FXA,FXB,FXC,FXCH,FXE,FXF,FXS,FXY,INR,UDN,ULE,URR,UUP,YCL,YCS
2019-21,0.00496963,0.00045321,0.00349101,-0.00078647,0.00082508,0.0,0.00289275,0.00611387,-0.00158845,-0.00342187,0.00013693,0.00042602,-0.00272685,0.00021711,0.00649819,-0.00160698,0.0,-0.00243309,-0.00640114,0.0,0.00265554,-0.00405715,0.00532836
2019-20,0.00330579,0.00523918,-0.00643255,0.00275699,-0.00452303,0.00226904,-0.00311943,-0.00688337,0.00333044,-0.00097221,-0.00054474,0.00284172,0.00366576,0.00727786,0.01340956,0.00623197,0.0,0.00291829,0.00640114,0.0,-0.00303836,0.01248439,-0.01303318
2019-19,-0.00220264,-0.00204267,0.02265941,-0.00313972,0.0,0.00211245,0.00695223,0.01241272,-0.01180706,-0.0181442,0.00177717,-0.00551549,-0.00626051,-0.00401041,-0.00186335,-0.00573658,0.0,-0.00676655,-0.0133427,-0.21424987,0.00764818,-0.01319261,0.01375167
2019-18,-0.0010923,-0.0051697,-0.00017854,-0.01193685,-0.00489596,0.00947867,-0.00201523,-0.00424874,0.00028584,-0.00669133,0.00136277,-0.01136049,0.00252951,0.00569676,-0.00554643,0.00907821,0.0,0.00193705,0.00352113,0.30431937,-0.00114591,0.01717592,-0.01714286
2019-17,0.00054407,0.01074777,0.0108972,0.00498849,-0.00889608,-0.00242954,-0.00067114,-0.00231214,-0.0060967,0.01769065,0.00122783,0.00027628,0.00140726,0.00274454,-0.00092213,0.00515524,0.05357143,0.00242954,0.00211864,-0.045,-0.00342857,0.01082569,-0.01024459
2019-16,-0.00755532,-0.01574978,0.02860858,-0.00457666,0.00162602,0.02480159,0.01059274,0.021518,-0.01319298,-0.00452812,-0.00759013,-0.00467226,-0.01006242,-0.00338909,-0.02258193,0.0027008,-0.02845246,-0.00820859,-0.02223767,-0.15789474,0.00920598,0.00386313,-0.00332268
2019-15,0.00053967,-0.00468959,0.00768942,-0.00114548,0.001628,0.01928191,0.00770276,0.01540893,-0.00307134,-0.00897355,-0.00081422,-0.00041169,-0.00668027,-0.01134399,-0.00467522,0.00023493,0.0,-0.00625301,-0.01381215,0.0,0.00693642,0.00055198,0.00012788
2019-14,0.00269833,0.00763359,-0.01259959,0.0,0.00245098,0.00654129,-0.00158192,-0.00549451,0.00617978,0.00086812,-0.00216158,-0.00027465,0.00269943,-0.00429784,-0.00119237,-0.00467617,0.03488372,0.00144578,0.00347464,0.0,-0.00038506,-0.01038062,0.00941814
2019-13,0.0016225,0.01511392,0.0038774,0.00191571,-0.00285016,0.01671632,0.0,-0.00155703,-0.00140766,-0.00605346,-0.00486684,0.00178768,0.00074822,-0.00107446,-0.00149402,-0.00291954,0.01861575,-0.00144858,-0.00140154,0.1143695,0.00192234,-0.0068953,0.00582902
2019-12,-0.00863931,-0.00898271,0.00257969,0.00115385,0.00328138,0.0209672,0.00908884,0.01824673,-0.00239403,-0.01335833,0.00326664,0.00972763,-0.00843139,-0.00341443,-0.00545418,-0.00691962,0.00023652,-0.00862069,-0.01649485,0.0703076,0.00891473,-0.01661364,0.01879248
2019-11,-0.00862999,-0.00156951,0.00551369,0.0050077,-0.00326664,-0.02845665,0.0041021,0.00837989,-0.00253986,-0.00443338,-0.00596368,-0.00013761,-0.00406617,0.00656196,-0.0045522,0.01330998,-0.00964933,-0.00239349,-0.00955631,0.0,0.00116414,0.02481884,-0.0247891
2019-10,0.00379816,0.01080594,-0.00473675,0.00230415,-0.00687981,0.01564841,-0.00610583,-0.01295642,0.00297915,0.01161513,0.00490129,0.002759,0.00652133,0.00803824,0.01568627,-0.0019832,0.04878049,0.00578313,0.01389854,0.0,-0.0050135,-0.00541516,0.00612218
2019-09,-0.01025364,-0.00334672,0.01283226,-0.00498275,0.00611746,0.01846832,0.00935432,0.0212,-0.00551549,-0.01228674,-0.00635737,-0.00412031,-0.00979396,-0.00848277,-0.01059788,0.0050369,0.0,-0.0071908,-0.01979522,0.0,0.00853706,0.01000728,-0.00956196
2019-08,-0.00590446,-0.00467082,0.02739212,-0.00837457,-0.00931929,-0.00305344,0.00068666,0.00080451,-0.0127166,0.00747561,-0.00764075,-0.00492207,0.00018443,0.00085975,0.0043899,-0.00826542,-0.00787202,-0.00143472,-0.00135777,0.0,0.00155642,-0.01688522,0.018601
2019-07,0.00053763,0.00693357,0.00955414,0.00499232,0.00203252,0.00084933,0.00137174,0.00240481,-0.00517338,-0.00126253,0.00510136,0.00538005,-0.00101579,0.00053758,-0.0050812,0.0,-0.0230712,-0.00095694,-0.0013624,0.01230769,0.00116777,-0.00267142,0.0017164
2019-06,0.00054083,0.00379973,-0.02040073,0.00544959,0.00489996,-0.00202532,-0.00113766,-0.00277778,0.01007235,0.00240462,0.00392157,0.00417653,0.0019504,-0.00097046,0.00378561,-0.00080981,0.0,0.00240732,0.00413223,0.00123305,-0.00116189,-0.00141794,0.00132802
2019-05,-0.00375335,-0.00713489,0.03920822,0.00739875,-0.00040917,0.02027618,0.01038781,0.02124183,-0.01860078,-0.00790889,-0.01225849,-0.00235784,-0.00998351,-0.00192905,-0.01792673,0.00069085,0.0,-0.00855107,-0.01874163,-0.02267303,0.0102121,0.00210785,-0.00214362
2019-04,0.00757166,-0.02043923,-0.02267191,-0.00348702,0.00867769,-0.01769455,-0.00184758,-0.00327332,0.0118981,-0.00610902,0.01968504,0.00110574,0.00238182,-0.00393743,-0.00029056,-0.00080202,-0.00271136,0.00189843,0.00468227,0.00898742,-0.00274941,-0.00312663,0.00582814
