Week,DBJP,DFJ,DIM,DLS,DOL,DOO,DTH,DVYA,DWM,DXJ,ENZL,EPP,EWA,EWH,EWJ,EWS,EWT,EWV,EWY,EZJ,FAUS,FDT,FDTS,FHK,FJP,FKO,FPA,GWX,IDHQ,JPXN,PDN,PXF,SCJ,VPL
2019-21,0.00260552,0.00277307,-0.00182512,0.00046664,-0.00348508,-0.00425425,-0.0035524,0.00092464,-0.00281464,0.00815729,-0.00803922,-0.0057005,-0.00365464,-0.01153082,-0.00018762,0.00086957,0.01078915,-0.00194489,0.00234403,-0.00260586,-0.01525974,-0.00637558,0.00487385,-0.00453772,0.00426803,0.0,-0.02129145,-0.00306331,-0.00660211,-0.00087382,-0.00379965,-0.00379555,0.00044046,-0.00125274
2019-20,-0.0005172,0.01106331,0.00032895,0.00386757,0.0034775,-0.00024808,0.00025151,0.01923528,0.00279609,-0.0016601,0.00540332,0.00262927,0.00685558,0.0,0.00655431,-0.01481795,-0.00760572,-0.01205604,0.00617396,0.00910569,0.00290042,-0.00230282,-0.0182944,0.0,0.00190436,0.0,-0.00627396,0.00408024,0.00744634,0.00732601,0.00412655,0.0,0.01072898,0.00595052
2019-19,0.02369668,0.0152943,0.01291177,0.01198071,0.01387054,0.01102481,0.01172572,-0.00261593,0.01415858,0.01419328,0.00272268,0.00422128,0.00705219,0.00762746,0.01589404,0.0,-0.01692399,-0.03065134,-0.00611401,0.03345479,0.01482213,0.01407636,-0.00472485,0.00673212,0.0146871,-0.03189493,0.01623147,0.01194132,0.0200267,0.01800847,0.00793377,0.0103457,0.01959329,0.01026694
2019-18,-0.03241772,-0.02911059,-0.01513462,-0.01213301,-0.01426746,-0.00950292,-0.01281735,-0.0027894,-0.01463986,-0.04243364,0.01109381,-0.00388853,0.00416281,-0.02766199,-0.02383102,-0.00974421,-0.02068195,0.04470835,-0.04339904,-0.05060241,0.01188511,-0.01916697,-0.04206603,-0.03072322,-0.03674699,-0.03529412,-0.02844712,-0.01894187,-0.0140665,-0.0240903,-0.01658375,-0.01958888,-0.02534854,-0.02081134
2019-17,0.00122399,0.00611532,0.0,-0.00103566,0.00253861,0.00072622,0.00146843,-0.00682594,0.00232243,-0.00191205,-0.00383142,0.00340281,-0.00319635,0.01725431,0.00611291,0.00316706,0.01617852,-0.01161563,-0.01014983,0.01344488,-0.00551053,0.00291227,-0.0120989,0.0,0.00358494,-0.01322751,0.00065725,0.00323625,0.00725566,0.00553134,0.00065445,0.00143781,0.00490333,0.00298507
2019-16,0.00271003,-0.00116857,-0.00705219,-0.00428931,-0.00779768,-0.00913023,-0.01189032,-0.00566765,-0.00675545,-0.0042065,0.00463768,0.00449102,0.00182732,0.00643452,0.00453309,0.00200803,-0.00417478,-0.00796951,-0.0293744,0.00941391,-0.00734824,-0.01101481,0.0,-0.01911843,-0.00458716,-0.02493551,-0.01215905,-0.0032352,0.0,0.00456853,-0.00814598,-0.01235741,0.00381625,-0.001049
2019-15,0.0046902,-0.00637866,-0.00078272,-0.00412553,0.00337981,-0.00263789,0.00024284,0.01767271,0.00289799,0.00824861,-0.00192641,0.0025663,0.00504356,0.0,0.00544959,0.00727861,0.01860203,-0.00899965,-0.00939114,0.0109356,-0.00789889,0.00072241,0.00313316,-0.00185529,0.00039738,0.0,-0.01459144,-0.00770465,-0.00171674,0.00287551,0.00032563,0.00501074,-0.00422119,0.00089767
2019-14,0.00074092,-0.00622647,0.00536024,0.00491145,0.00105708,-0.00334528,0.00170441,0.00735801,0.00271265,0.00230503,0.00116482,0.00405983,0.00876788,-0.00483271,-0.00325851,0.00485241,0.00594901,0.00836528,0.01459622,-0.00634825,0.00732717,0.00018041,0.00842549,0.0,-0.00869737,0.01794311,0.00322373,0.00323415,0.00301724,-0.00488709,0.00327761,0.0062425,-0.00478402,-0.00104634
2019-13,0.00172754,-0.00143906,0.00938444,0.00568777,0.00854153,0.00529865,0.00786434,0.00022883,0.00879593,0.01333076,-0.01892564,0.0019305,-0.01056985,0.01838649,-0.00072189,0.02154994,0.01547721,0.00210379,0.02059533,-0.00419036,-0.00669856,0.00380159,0.02704164,0.00577125,-0.00059335,-0.00390964,0.00258148,0.00487964,0.00173235,-0.00634709,0.00493259,0.0126367,-0.00558114,0.00314183
2019-12,0.01556917,0.00649351,0.00404269,0.00688494,0.0047681,0.00414634,0.0042394,0.01197745,0.00656064,0.01402525,0.02308746,0.01279788,0.00890764,0.02262973,0.00754925,0.01021711,0.01795702,-0.01578771,-0.00489796,0.02002503,0.00646831,0.01228821,0.00845378,0.04124556,-0.00160481,-0.01653612,0.00995685,0.00497183,0.00353513,0.01027221,0.00369872,0.00321862,0.00755416,0.00764994
2019-11,-0.0168384,-0.00235398,-0.01778342,-0.01457113,-0.02042553,-0.01324025,-0.02100635,-0.01908485,-0.01950458,-0.01578843,-0.00530973,-0.01614311,-0.01347584,-0.01957774,-0.00330518,-0.01475548,-0.00351083,0.01222826,-0.01559736,-0.00680062,-0.01597444,-0.01303231,0.00887813,0.01104667,0.0010008,0.00480979,-0.00524246,-0.01597652,-0.01177497,-0.00460123,-0.01491548,-0.01988361,-0.0022792,-0.00851452
2019-10,0.00940997,0.0004453,0.01539459,0.01422453,0.02228047,0.01801579,0.01881586,0.00092039,0.01858885,0.0081869,0.0071756,0.00175824,0.0,0.0050564,0.00704617,0.00938166,0.01953712,-0.01389348,0.01174743,0.01069519,0.00777706,0.0140056,0.01005435,-0.02267206,0.00383606,-0.0034617,0.01131071,0.00995025,0.02190434,0.0056828,0.01645952,0.01727116,0.00273578,0.00521552
2019-09,-0.02386935,-0.02498174,-0.02222222,-0.02220208,-0.01218186,-0.00347395,-0.01126408,-0.0078143,-0.01332008,-0.02960204,0.00180036,-0.01163046,-0.00281426,-0.02395672,-0.01839926,-0.0185654,-0.01230492,0.046543,-0.02973621,-0.04170528,0.00327225,-0.0204797,-0.02228786,-0.00053952,-0.02181818,0.00565709,-0.02188827,-0.02513875,-0.01762891,-0.02065199,-0.02285525,-0.01788339,-0.02273373,-0.01827318
