Month,CARZ,CROP,DPK,DZK,EFO,EFU,FDTS,FLM,FTAG,FTRI,IDMO,SOIL
2019-05,-0.09067432,-0.04557969,0.11666667,-0.11635565,-0.07841087,0.07786712,-0.07811678,-0.07635516,-0.10168794,-0.01885246,-0.00737005,-0.06984127
2019-04,0.039239,0.01076261,-0.04331013,0.04208835,0.03096636,-0.0286783,0.02812331,0.01569243,0.0602357,-0.01124498,-0.00384025,0.01700319
2019-03,-0.05059266,0.00531749,-0.01177336,0.00150552,-0.00027397,-0.00522928,-0.01517976,-0.0234192,-0.04061977,0.00327332,0.00936403,-0.02114165
2019-02,0.00291971,-0.01757632,-0.07325269,0.06924755,0.04273751,-0.04888215,0.03490929,0.03684103,-0.0029301,0.02782462,0.03030303,0.01066098
2019-01,0.10080515,0.07067371,-0.18536854,0.20836985,0.14050675,-0.12934171,0.09003889,0.07170795,0.07953005,0.10315985,0.08567663,0.06659142
2018-12,-0.08666472,-0.05125786,0.21736205,-0.1963847,-0.13507378,0.14128371,-0.09535452,-0.0818,-0.08274721,-0.06602954,-0.06406571,-0.09025641
2018-11,-0.01145374,0.05225893,0.0125,-0.03605981,-0.00884451,0.01086957,-0.02655827,-0.0163805,0.01504729,-0.04163127,-0.0195599,-0.03131313
2018-10,-0.06370656,-0.06586064,0.27701056,-0.23799611,-0.18888618,0.17843222,-0.12542291,-0.11796958,-0.10469592,-0.06164932,-0.0952381,-0.09644195
2018-09,0.02212766,-0.00785916,-0.04926867,0.04961218,0.0340823,-0.03941909,0.02752294,0.03924097,0.00388651,0.04292929,0.02458396,0.01142857
2018-08,-0.02128821,-0.01699629,0.05823627,-0.06360235,-0.04018069,0.04511278,-0.02565332,-0.02026667,-0.01132503,-0.01390025,-0.01673485,0.01625239
2018-07,0.02013238,0.00278897,-0.10391566,0.10545508,0.07602636,-0.06724422,0.04426107,0.04400663,0.02373541,0.03190596,0.01740446,0.03264095
2018-06,-0.06422018,-0.02115614,0.0765391,-0.07530556,-0.03868195,0.04527473,-0.04185939,-0.02129157,-0.03431555,-0.03330626,-0.02111111,-0.00585938
2018-05,-0.02560884,0.01055807,0.03895004,-0.04706032,-0.0323475,0.04675443,-0.03429603,-0.02487476,0.0240458,0.02265101,-0.01243599,0.02602603
2018-04,0.02575217,0.05069984,-0.08438486,0.09782759,0.02702068,-0.06374841,0.02867889,0.06872601,0.02686916,0.04137931,0.01930932,0.0338809
2018-03,-0.01605731,0.01389318,-0.03282626,0.01985343,-0.0207087,-0.01630901,0.00163361,0.00394407,-0.0188537,0.00600343,-0.01022271,-0.02295409
2018-02,-0.01839189,-0.04649828,0.14683301,-0.16399533,-0.10428689,0.09965804,-0.06114101,-0.06477273,-0.04391774,-0.03718674,-0.02863962,-0.03636364
2018-01,0.0265252,0.00460697,-0.11902766,0.12599374,0.0840242,-0.0802139,0.05554301,0.03974966,0.03635709,0.03716216,0.0806927,-0.00190658
2017-12,0.01155927,0.01080923,-0.04918033,0.05674128,0.03204678,-0.02782534,0.02537594,0.01787884,0.01587302,0.02716915,0.02166604,0.04444444
2017-11,0.00959174,-0.00807615,-0.01861908,0.01199381,0.005145,-0.0147617,0.02808449,0.01508507,-0.00841258,-0.00607112,0.00937383,-0.02366864
2017-10,0.02965235,0.00909891,-0.05359765,0.04575696,0.03400534,-0.03382233,0.02864198,0.01755329,0.03246753,0.02772809,0.0163872,0.0110999
2017-09,0.06849315,0.00088443,-0.05797101,0.06523308,0.04403948,-0.03499803,0.01742864,0.03174898,0.06206897,0.023766,0.02446725,0.06344086
2017-08,0.0105673,-0.02352249,0.02941176,-0.02341326,-0.01594022,-0.0042735,0.02173351,0.0007453,-0.01324238,-0.00459559,-0.00039651,-0.03075292
2017-07,0.00250906,0.01469265,-0.07320178,0.07606507,0.04900662,-0.05263158,0.03925787,0.01245048,0.02489796,0.03071017,0.04734219,0.03846154
2017-06,0.00567537,-0.00950401,0.00576184,-0.0164584,-0.01311992,-0.00405007,0.01390403,0.01785714,-0.00727861,-0.01342282,0.01697073,-0.00441501
2017-05,0.00462561,0.03202957,-0.08955224,0.08561297,0.06901448,-0.06247843,0.03762376,-0.01300191,0.01530823,-0.00570342,0.02880838,-0.00221239
2017-04,0.00261628,0.01284864,-0.09053498,0.07383539,0.05958471,-0.0512987,0.02561888,0.0335438,0.01469353,0.01241643,-0.0004363,0.00221239
2017-03,-0.00831899,-0.0263319,-0.05621302,0.06022218,0.03860408,-0.03824451,0.01406387,0.00655282,0.01269036,0.0057971,0.02550336,0.0
2017-02,0.01061947,0.00967541,-0.01953488,0.01597052,0.01118568,-0.0194378,0.02554087,0.00733496,-0.00982486,-0.02728128,0.00766456,-0.04766949
2017-01,0.01918465,0.02485474,-0.07100592,0.07769591,0.05232756,-0.05191874,0.02242704,0.02188868,0.05191874,-0.0065666,0.04820416,0.06590909
2016-12,0.0301697,0.03106212,-0.09125189,0.08622398,0.06094891,-0.05640084,0.01474741,-0.002079,0.03081232,0.04330709,0.01050621,0.05035971
2016-11,-0.00315358,-0.00396694,0.03835508,-0.04561404,-0.0298141,0.01993534,-0.0175709,0.03257821,0.00951022,0.03798768,-0.04252401,0.02096178
2016-10,0.02526383,-0.01866752,0.06061891,-0.06076389,-0.03883495,0.03846154,-0.04212077,-0.01151631,0.01545147,0.00102775,-0.05813953,-0.00367197
2016-09,-0.01944183,0.03229028,-0.03722084,0.01196432,0.02864939,-0.02313266,0.04913473,0.02810458,-0.02265219,0.01461378,0.01132404,-0.03900709
2016-08,0.02583145,-0.00890795,-0.03589544,0.03390607,0.01911714,-0.0259636,0.01601256,0.02056893,0.05109127,0.04175589,-0.0064907,0.06415094
2016-07,0.09129066,0.01542589,-0.11847178,0.11241569,0.07371913,-0.079,0.04563362,0.04262072,0.03767821,0.00212314,0.01404125,0.02022756
2016-06,-0.07489277,0.00513875,-0.00244927,-0.10618067,-0.06286905,0.01366397,-0.02215088,-0.040158,-0.01898102,0.01515152,-0.03195164,-0.03970223
2016-05,0.00065232,0.01384562,0.01689432,-0.03235483,-0.02238047,0.01255445,-0.00161342,0.0019685,3.88292683,-0.05691057,0.01660839,-0.04245283
2016-04,0.00163666,-0.00417391,-0.10799001,0.09093096,0.0680898,-0.06779263,0.03514056,0.04027304,0.04166667,0.12696629,0.01283754,0.02300242
2016-03,0.07539411,0.06693489,-0.11701221,0.11486486,0.07819088,-0.08651735,0.10634463,0.08674582,0.04292528,0.06565064,0.1238806,0.05436157
2016-02,-0.044985,0.00149477,0.08300283,-0.10337922,-0.05275229,0.05068012,-0.07099799,0.00597758,0.00271297,0.01715686,0.03060166,0.02503294
2016-01,-0.08811911,-0.01355422,0.09856519,-0.13284293,-0.08504705,0.07819513,-0.05746753,-0.03424988,-0.0496124,-0.02690058,-0.07837446,-0.09845789
2015-12,-0.03149155,0.00821202,0.0890948,-0.10517591,-0.0629108,0.05865633,0.00256328,-0.04365528,-0.17577002,-0.11156602,-0.06524576,-0.06063947
2015-11,-0.00144886,0.00763359,0.04583183,-0.05349424,-0.03611533,0.03030303,-0.01638828,-0.02188966,-0.1531001,-0.17458946,-0.04677152,-0.02285092
2015-10,0.10941558,0.0722449,-0.17796366,0.1932495,0.1770073,-0.12429633,0.04608753,0.06700288,0.09108378,0.14400806,0.11028037,0.04493088
2015-09,-0.00356564,0.0180067,0.00489349,-0.04930174,-0.05712319,0.00405223,-0.00792079,-0.03709753,-0.13738663,-0.11608775,-0.09212226,-0.08076514
2015-08,-0.06774754,-0.072,0.22291262,-0.21306049,-0.1475455,0.14171492,-0.06309809,-0.02095408,-0.00163506,-0.02956081,-0.05498008,-0.03420523
2015-07,-0.04664643,-0.02981229,-0.05815237,0.02937558,0.02611626,-0.03589606,-0.02336449,-0.01622807,-0.18447108,-0.16182573,-0.06288848,-0.03780718
2015-06,-0.04069149,0.00820589,0.07236842,-0.09265859,-0.04576043,0.03536889,0.00475907,-0.01808786,-0.11238998,-0.04147764,-0.04049168,-0.00187617
2015-05,-0.00502912,0.02714067,0.0146942,-0.03362493,-0.0420189,0.01358619,0.00809595,-0.01464036,-0.02816282,-0.11462451,-0.03676726,0.00278552
2015-04,0.02419136,0.04023904,-0.09103593,0.08768428,0.05921788,-0.05995328,0.06931638,0.07824296,0.02685624,0.19064006,0.08566038,0.04023553
2015-03,-0.00457481,-0.02404033,0.03073119,-0.0530751,-0.06484188,0.0245559,0.01919948,0.00091596,-0.12811814,-0.07106274,-0.00603774,-0.07234432
2015-02,0.07058143,0.03569996,-0.13823351,0.15283019,0.14804555,-0.09771603,0.03506406,0.08335401,0.06223629,0.15666179,0.0872983,0.0729064
2015-01,0.0148236,0.03815514,-0.04162042,0.02412917,0.01407129,-0.02862254,0.0043771,-0.04481132,-0.01713923,-0.17192331,-0.01225991,0.04826863
2014-12,-0.0323496,-0.02079935,0.11344406,-0.12377953,-0.04107946,0.07681124,-0.0089701,0.02636034,-0.06539834,-0.03625378,-0.03846154,-0.00314465
2014-11,0.04602138,-0.01585414,-0.0343465,0.01862257,0.02955809,-0.02066018,-0.02320407,-0.04392353,-0.00836413,-0.01511628,0.04455245,0.01149425
2014-10,-0.00206795,0.05074875,-0.04192685,0.0169059,0.01847507,-0.02792772,-0.04289626,-0.03140533,-0.02990476,-0.05381658,-0.00468019,0.00626305
2014-09,-0.04848989,-0.04834906,0.12586445,-0.12140057,-0.08582677,0.08335497,-0.05410072,-0.0621118,-0.1301957,-0.09353575,-0.03521127,-0.05073171
2014-08,0.00055494,-0.00585252,-0.0258216,0.01849277,0.0066454,-0.01952828,0.01798144,0.02255481,-0.02068429,-0.05695912,0.00434625,0.01576355
2014-07,-0.04165561,-0.02006947,0.10722348,-0.10685533,-0.03752759,0.05927552,-0.02884346,-0.02626221,0.01028037,0.04293893,-0.04406196,-0.04502814
2014-06,0.02431611,0.00623782,-0.0192926,0.01784576,0.00753769,-0.01326612,0.01944848,-0.000407,0.01799903,0.03333333,0.00034904,0.01427212
2014-05,0.0108726,0.00157233,-0.04206242,0.0388,0.02536888,-0.02975122,0.0043911,0.0075991,0.00312397,0.03097574,0.02527076,-0.00285714
2014-04,-0.03157322,0.00676213,-0.0382372,0.02675124,0.01166799,-0.02468212,0.00117509,0.00082781,0.01444596,0.03940362,-0.005386,0.00763359
2014-03,0.05215675,0.00402414,-0.05878824,0.04536113,0.02737075,-0.02767921,-0.01206637,0.02351197,0.00977483,-0.0172144,-0.04013015,0.03152709
2014-02,0.08440973,0.04904406,-0.22064677,0.26696833,0.17890479,-0.15238294,0.06146646,0.07302997,0.03097103,0.06488332,0.09892729,0.06548857
2014-01,-0.02896082,-0.03690616,0.101424,-0.10662782,-0.05753196,0.06733225,-0.0066285,-0.0170503,-0.03056844,-0.0513089,-0.00841944,-0.028
2013-12,0.01011804,0.00856698,-0.08763606,0.08225108,0.04408482,-0.05627411,0.0154032,0.0423913,0.00799444,0.07492958,0.03339731,0.00395257
2013-11,0.01671862,0.00543689,-0.0408667,0.03109976,0.03021665,-0.02685765,0.00912409,-0.00365356,0.01277845,-0.05636743,0.01879555,-0.00587084
2013-10,0.008206,0.01816746,-0.08658009,0.07887594,0.05764706,-0.06042553,0.02922886,0.04190816,-0.01009421,0.02286018,0.03782506,0.00981354
2013-09,0.06272838,0.02777778,-0.16443234,0.17611143,0.11909514,-0.10994568,0.09574106,0.0800194,0.01433447,0.00855158,0.05099031,0.0798722
2013-08,-0.02958757,-0.01236094,0.09128272,-0.09772934,-0.0644644,0.0629317,-0.00995196,-0.02976767,0.03648069,0.04169046,-0.00426439,-0.0392562
2013-07,0.05360026,0.00374844,-0.12861272,0.13170836,0.09749,-0.08778496,-0.00239644,0.03703704,0.08970164,-0.00517837,0.08748824,-0.10009443
2013-06,-0.02358942,-0.01971253,0.06435737,-0.10447467,-0.05565098,0.05267794,0.01002766,-0.03360923,-0.08172389,-0.13461538,-0.08982036,-0.06974717
2013-05,0.09965035,0.00495458,0.06770211,-0.07183855,-0.01112565,0.03981094,-0.03984195,0.03465347,-0.06022649,-0.01115053,0.05483146,-0.00086806
2013-04,0.07885843,0.01033058,-0.18251203,0.19982661,0.13208928,-0.12463721,0.05330564,0.01099189,-0.07768517,-0.05240793,0.04607428,-0.02432886
2013-03,-0.00879443,0.00654932,-0.05119398,0.03679654,0.01502382,-0.02680578,0.03660683,0.0046608,-0.06772908,-0.0542089,-0.02642369,-0.02840909
2013-02,-0.00794224,-0.00244798,0.05337955,-0.06528726,-0.06315059,0.03319433,0.01381999,-0.01506781,-0.07684055,-0.10262436,-0.05723906,-0.04111715
2013-01,0.03134441,-0.00082508,-0.06369527,0.06519843,0.05315985,-0.044427,0.01043916,0.00229066,0.0189319,-0.03437739,0.0306828,0.02478018
