Month,ADRE,BBRC,BICK,BKF,DBEM,DEM,DGS,DVYE,EDC,EDIV,EDZ,EEB,EELV,EEM,EEMO,EEMS,EET,EEV,EMIF,EUM,EWEM,EWX,FEM,FEMS,HILO,IEMG,PIE,PXH,SCHE,SPEM,TLTE,VWO
2019-05,-0.09310675,-0.04958184,-0.05897436,-0.07284463,-0.06850495,-0.03494441,-0.05948112,-0.03896424,-0.2063588,-0.02143758,0.22338902,-0.05140693,-0.02416667,-0.06949541,-0.00497822,-0.04976568,-0.13939635,0.14638923,-0.02930791,0.07354555,-0.04331567,-0.04179705,-0.05708502,-0.06643952,-0.05167394,-0.06711153,-0.05432243,-0.0463392,-0.0607089,-0.05931034,-0.07448999,-0.06208015
2019-04,-0.00048031,0.01139089,-0.00543478,-0.00228781,0.01614311,0.00067461,-0.00271172,-0.00342466,0.01160704,-0.00310945,-0.01606329,-0.00374833,0.00580913,0.006876,0.0,-0.01096251,0.00921053,-0.01226693,-0.01529903,-0.00440044,0.00591348,-0.00332005,-0.02007084,-0.01579385,-0.01703336,0.00628452,0.00290023,-0.00275229,0.012135,0.00523849,-0.00166636,0.00625869
2019-03,0.01427517,0.0,-0.01021898,0.0247207,0.01068091,0.00967296,0.01399053,-0.00346964,0.02046559,-0.00063171,-0.03879877,0.01912417,-0.00124585,0.01012003,0.00565682,0.00761308,0.02018247,-0.02590194,-0.02452316,-0.01070091,-0.00439147,0.00997054,-0.00595711,0.00423729,0.0065123,0.01253182,0.02224895,0.00093502,0.01601563,0.0173542,0.00018829,0.02188026
2019-02,0.01524238,-0.01194743,-0.0058203,0.00792507,0.00808625,-0.01275626,0.00521399,-0.02147165,-0.02858208,-0.02333436,0.0182954,0.0066871,-0.01064265,-0.00748363,-0.005625,0.0033761,-0.01642014,0.01240637,-0.01930759,0.00754717,-0.01174289,-0.00113636,-0.01106719,0.00141723,-0.00507614,-0.00525394,-0.00658683,-0.01563218,-0.00311769,-0.00340522,0.00037829,0.00362406
2019-01,0.09671233,0.0678934,0.12164361,0.10946197,0.07537206,0.10379242,0.09819306,0.1075983,0.3127093,0.09552438,-0.26005407,0.10565111,0.07387863,0.10061287,0.06728847,0.06291706,0.20344716,-0.18065018,0.06548043,-0.09310345,0.08771342,0.07210259,0.11359649,0.10534493,0.05954198,0.09352518,0.06887755,0.0955956,0.09148666,0.09144089,0.10525219,0.09162304
2018-12,-0.07538462,-0.0382716,-0.04271845,-0.06482174,-0.03954023,-0.04506438,-0.04413446,-0.04221364,-0.16331456,-0.03429311,0.17000786,-0.06823461,-0.02486069,-0.05400823,-0.05372946,-0.04281136,-0.1107763,0.11214147,-0.0078853,0.05662338,-0.04300032,-0.04831591,-0.04839383,-0.06722689,-0.03325942,-0.05035247,-0.05525197,-0.05270724,-0.05006056,-0.04851514,-0.04482072,-0.05209372
2018-11,-0.00441903,-0.00250784,-0.00823207,0.0240621,0.01086443,-0.00048709,0.02047132,0.00474684,0.01840846,0.03049814,-0.05486849,0.00829876,0.00130719,0.01276276,0.00519481,0.03792271,0.0199756,-0.03370562,0.0,-0.01354062,0.00496524,0.01558006,-0.00462574,0.01533835,-0.00969426,0.01187253,-0.00738916,0.00048804,0.01207327,0.01488005,0.01168751,0.01183128
2018-10,-0.07600891,-0.05525526,-0.0499232,-0.06372796,-0.07664884,-0.08086377,-0.10145889,-0.03720083,-0.2605759,-0.06714472,0.26990713,-0.04540163,-0.07714403,-0.0877276,-0.07832423,-0.09650694,-0.17030685,0.17843866,-0.04547069,0.0890411,-0.05846838,-0.08392086,-0.07996801,-0.10330347,-0.09090909,-0.08713611,-0.09789414,-0.05542397,-0.07643312,-0.0742142,-0.08502808,-0.07879234
2018-09,0.0163728,0.01775873,0.01122291,0.00736227,-0.00044543,0.0451146,0.00511225,0.01809473,0.03286327,0.03618532,-0.04368381,0.02112467,0.03579037,0.01390887,0.01046154,-0.01556335,0.0268632,-0.03111111,0.02673014,-0.01454545,0.01649418,-0.02361854,0.03011551,0.00112328,0.02528902,0.01033181,-0.03571429,0.04055391,0.01499797,0.01267315,0.0050702,0.00918798
2018-08,-0.02506024,-0.02564103,-0.02959674,-0.03550012,0.00043802,-0.0271514,-0.02670623,-0.01945227,-0.09969914,-0.03623649,0.0726101,-0.04137545,-0.01079734,-0.02899543,-0.02376708,-0.03126303,-0.06053867,0.04887653,-0.0297619,0.02723312,-0.037366,-0.03155443,-0.04004666,-0.05233012,0.00628931,-0.02671466,-0.03923593,-0.02225379,-0.03337169,-0.03365786,-0.02932987,-0.03468479
