Month,BDCL,BDCS,CHIX,EUFN,FAS,FAZ,FINU,FINZ,FXO,IAI,IAK,IAT,IXG,IYF,IYG,KBE,KBWB,KBWD,KBWP,KBWR,KCE,KIE,KRE,PFI,PHDG,PSCF,PSP,QABA,RWW,RYF,SEF,SKF,UYG,VFH,VQT,XLF
2019-05,-0.04097222,-0.00204708,-0.10017172,-0.0627572,-0.09602649,0.09476309,-0.15584858,0.16169545,-0.04401132,-0.03337024,0.00634874,-0.06536503,-0.05210238,-0.03392,-0.04915355,-0.07074527,-0.07454964,-0.06116901,0.02354717,-0.08009941,-0.05779027,-0.00606796,-0.06948476,-0.00536572,-0.04372355,-0.04076782,-0.03571429,-0.05643018,-0.04874098,-0.03651491,0.0381218,0.07319885,-0.07198748,-0.04822225,-0.04714952,-0.04965815
2019-04,0.03982621,0.01955739,-0.00679502,0.0532831,0.14098815,-0.12680756,0.19364659,-0.16241611,0.04055808,0.06082765,0.05612245,0.06530977,0.05058861,0.04734959,0.0644227,0.05987884,0.06146715,0.02218115,0.056,0.0548,0.05148406,0.05756997,0.05621806,0.05071174,0.01460634,0.02950573,0.04310345,0.04265203,0.06324786,0.06131847,-0.04301075,-0.08795309,0.0931692,0.06119358,0.01353648,0.06378132
2019-03,-0.00805271,-0.00207039,-0.03411633,-0.03711559,-0.02827521,0.01612903,-0.10307045,0.0877193,-0.02418575,-0.0543758,-0.01669243,-0.08352668,-0.03103829,-0.01080221,-0.03090302,-0.07670203,-0.07146985,-0.01790634,-0.02443639,-0.09588279,-0.03971119,-0.02921772,-0.09229137,0.00998487,0.00179662,-0.04508945,0.0,-0.08379556,-0.02999845,-0.04003813,0.01247772,0.0225959,-0.02507303,-0.03599701,0.00732894,-0.03163842
2019-02,0.04844815,0.02746962,0.07768187,0.04446915,0.07368781,-0.07100592,0.0491781,-0.04539723,0.03068712,0.01369863,0.03451597,0.04981099,0.02628164,0.02288566,0.03202129,0.05307458,0.03610832,0.00692521,0.05213349,0.06134122,0.04757356,0.0302439,0.05962009,0.04571429,0.02783964,0.03602414,0.02513465,0.05729276,0.01757163,0.03961136,-0.0204259,-0.04197901,0.04223189,0.02572001,0.03207775,0.01813272
2019-01,0.21715328,0.10762071,0.12077295,0.06816835,0.28367529,-0.23647146,0.24353042,-0.22254616,0.10366531,0.07322288,0.08212476,0.10596682,0.08282155,0.09153534,0.08751325,0.12486744,0.10616515,0.10466906,0.07006256,0.11473963,0.08255159,0.07899398,0.11319958,0.10530035,0.0279052,0.09802289,0.10989011,0.08400275,0.08971478,0.09688962,-0.08369695,-0.16246383,0.18694453,0.08607935,0.02217309,0.07991632
2018-12,-0.1978852,-0.09378349,-0.09349845,-0.07880435,-0.30175109,0.35843373,-0.33811427,0.40873016,-0.10846561,-0.08791749,-0.07329674,-0.15617021,-0.09758807,-0.10772084,-0.12821713,-0.15117607,-0.15633992,-0.1006993,-0.06475058,-0.14405808,-0.10172997,-0.08276754,-0.15373433,-0.11715611,-0.05882353,-0.1123866,-0.09982014,-0.13661972,-0.11605356,-0.11832154,0.1230633,0.24270353,-0.21047527,-0.11788436,-0.04578313,-0.11666045
2018-11,-0.0152439,0.00596529,0.02952756,-0.02262931,0.05399933,-0.0701275,0.05476011,-0.07195122,0.01246211,0.00148368,0.01859776,0.0286464,0.01034594,0.02596045,0.01450546,0.02264239,0.02438065,0.01957041,0.02140209,0.0365566,0.01652893,0.02734245,0.02263871,0.02486452,-0.00072333,0.04019908,-0.03102837,0.02914427,0.01877268,0.02119172,-0.02656384,-0.05404113,0.04687098,0.02115591,-0.00766401,0.02183908
2018-10,-0.08892025,-0.04291624,-0.09679408,-0.08324924,-0.16788217,0.1563147,-0.16203506,0.13598901,-0.06391097,-0.0231654,-0.06976388,-0.05590191,-0.05845351,-0.05056554,-0.05988974,-0.07633588,-0.05667412,-0.03698567,-0.03345606,-0.08060084,-0.06926252,-0.05711581,-0.08237317,-0.06253705,-0.06220419,-0.05579949,-0.10453809,-0.07986178,-0.04767598,-0.06139732,0.05102954,0.1015625,-0.10468641,-0.05367561,-0.04530555,-0.05113221
2018-09,-0.0200138,-0.01172273,0.01252348,0.01268392,-0.06637286,0.06394708,-0.08297116,0.07544379,-0.02350758,-0.05448128,0.0050567,-0.05712615,-0.00564972,-0.02259061,-0.03480804,-0.05831799,-0.05184923,-0.03166815,0.00301157,-0.0548343,-0.03592401,0.00219987,-0.05956765,-0.04263128,0.00512295,-0.03488978,0.01151316,-0.05588393,-0.01356332,-0.02751032,0.02291476,0.04073873,-0.04558595,-0.03055163,0.0,-0.02711381
2018-08,0.02178496,0.01236476,-0.00433705,-0.05084746,0.06605267,-0.06632653,0.03463248,0.0,0.02183544,0.00808458,0.00868891,0.01613224,-0.01042454,0.01860774,0.01826211,0.01737129,0.00934076,0.00853549,0.01335264,0.01373674,0.00607639,0.01243226,0.01602617,0.01559792,0.02697023,0.02371681,0.00821018,0.01403317,0.00912627,0.00930233,-0.01752809,-0.03550914,0.0353839,0.01295337,0.03419417,0.01381316
