Week,BDCL,BDCS,CHIX,EUFN,FAS,FAZ,FINU,FINZ,FXO,IAI,IAK,IAT,IXG,IYF,IYG,KBE,KBWB,KBWD,KBWP,KBWR,KCE,KIE,KRE,PFI,PHDG,PSCF,PSP,QABA,RWW,RYF,SEF,SKF,UYG,VFH,VQT,XLF
2019-21,-0.02814919,-0.01265823,0.00769231,0.0010989,-0.015625,0.0162037,-0.0223802,0.02493075,-0.0071825,0.00196721,-0.00073303,-0.00855471,-0.00224503,-0.00527183,-0.00682488,-0.01089273,-0.01085621,-0.01286327,-0.00235398,-0.01835985,-0.00556174,-0.00061013,-0.0111818,-0.00198356,-0.00622939,-0.01186441,0.00172563,-0.01241173,-0.0070704,-0.00334688,0.00676285,0.01195652,-0.01096021,-0.00631199,-0.00802538,-0.00527307
2019-20,-0.02651779,-0.00753769,-0.00064475,-0.0027027,-0.00073292,-0.0035461,-0.01409514,0.00574713,-0.00032258,-0.00738363,0.00582581,-0.00835165,-0.00269627,0.00057124,-0.00611294,-0.01247113,-0.00741929,0.00189125,0.01642741,-0.01937525,-0.00036677,0.00423472,-0.01387847,0.00367335,-0.00473588,0.00279799,-0.01350211,-0.01645148,-0.00363306,-0.00259312,0.00136612,0.00055432,0.0,-0.00384843,0.00031075,-0.00185805
2019-19,-0.00499287,0.01221996,0.01681759,0.01195003,0.04238189,-0.04441913,0.02326483,-0.0209205,0.01074569,0.00567445,0.02255751,0.00555679,0.00575448,0.01270103,0.01381451,0.00582343,0.00282486,-0.00188058,0.0209843,0.0154,0.00775194,0.01633282,0.00397426,0.02512998,0.00767824,0.00634802,0.01623932,0.00843704,0.01087956,0.01171408,-0.0126183,-0.02390005,0.02575721,0.00912764,0.00440174,0.00749625
2019-18,-0.02855201,-0.00650651,-0.05902981,-0.02374806,-0.03813675,0.03787879,-0.05115493,0.05422648,-0.0165109,-0.0118417,0.00087951,-0.02382445,-0.01935681,-0.01202038,-0.01864407,-0.0248366,-0.02317629,-0.01544051,0.01130369,-0.03037644,-0.02265598,-0.0015015,-0.02581786,-0.01670844,-0.01233263,-0.01647564,-0.00992556,-0.02047714,-0.01424585,-0.01032347,0.0130719,0.02498547,-0.02573203,-0.01543739,-0.01431566,-0.0143472
2019-17,0.01743375,0.00301963,0.0113701,0.00204082,0.01558229,-0.01261034,0.0089067,-0.00320513,0.00531084,-0.00109358,0.00752212,0.00565327,0.00333182,0.00662146,0.00161919,0.00899123,0.00360258,-0.00406137,0.0100304,0.00980762,-0.00121486,0.00817686,0.01034606,0.01162791,0.00105411,0.01529497,0.00660066,0.01409018,0.00424287,0.00366552,-0.0051306,-0.01158749,0.01224126,0.00414345,-0.00340339,0.00321658
2019-16,0.01935484,0.0102145,-0.02016807,-0.01973684,0.05139436,-0.0493537,0.04668747,-0.04017857,0.02212957,0.0081262,0.01927747,0.02386635,0.00614156,0.01869235,0.01561675,0.02690992,0.01834504,0.01278539,0.02198147,0.03037475,0.01093667,0.02212527,0.0278655,0.01426077,0.0113798,0.0341556,0.01005868,0.02635983,0.01502404,0.01810061,-0.01822323,-0.03541782,0.03609688,0.01715291,0.00822199,0.01614087
2019-15,0.00432588,0.00153531,0.02383655,0.01177073,0.00685131,-0.00705882,0.03767758,-0.03607504,0.00255918,0.02152452,0.00838159,0.01115974,0.01146043,0.00367197,0.01328346,0.00500797,0.01142857,0.00549702,0.01055783,0.0088218,0.01317898,0.00686427,0.00648989,0.00087083,-0.00035587,0.00205377,0.01269036,0.00477972,0.01305206,0.00994083,-0.00364465,-0.00719823,0.00697999,0.01153675,-0.00235209,0.01371895
2019-14,-0.0085592,-0.00153139,-0.01552106,0.02583026,0.04399399,-0.04555809,0.05960946,-0.06060606,0.01383526,0.01630523,0.01916538,0.01735501,0.01396078,0.01625413,0.01675029,0.01504102,0.01626016,0.00320954,0.02005455,0.01741342,0.01641414,0.0187064,0.01668521,0.00909891,-0.00318697,0.01251635,0.00767918,0.01265035,0.02061538,0.01746411,-0.01488498,-0.03145336,0.03013764,0.01810293,0.00295912,0.01915133
2019-13,0.0166546,0.00874936,0.02774632,0.02260495,0.02478067,-0.02335929,0.02501655,-0.02147651,0.00876055,0.01844773,0.00231911,0.01565645,0.01336303,0.00890405,0.01142857,0.02050326,0.01410721,0.00739372,0.01168,0.0214,0.01648956,0.00413486,0.02101079,0.00978648,0.00356252,0.01090021,0.0112069,0.01731419,0.00901321,0.01211827,-0.00851254,-0.01652452,0.01786145,0.01090579,0.0071021,0.00987092
2019-12,0.00743494,0.00678851,0.01707892,-0.00329308,0.05491132,-0.05405405,0.05547226,-0.05509965,0.02160702,0.01836452,0.01257361,0.03084223,0.00819672,0.01827429,0.02370407,0.03493558,0.02640545,0.01470588,0.00666992,0.03569152,0.02425876,0.0107949,0.03780069,0.01458967,0.00468468,0.02387943,0.01417183,0.03862565,0.01751825,0.02207562,-0.0177259,-0.03376365,0.03649068,0.02055661,0.00300484,0.01902497
2019-11,-0.03043478,-0.01133436,-0.02558272,-0.04667016,-0.10630576,0.11086226,-0.16553596,0.18706048,-0.04444444,-0.05505489,-0.02959766,-0.10829103,-0.04973495,-0.03934209,-0.06215988,-0.10184567,-0.09514675,-0.03031695,-0.01741492,-0.10152964,-0.04673754,-0.03164557,-0.11167056,-0.0120048,0.00107953,-0.05273947,-0.01554404,-0.10012185,-0.0554878,-0.06131179,0.03920685,0.08256881,-0.0765573,-0.06074974,0.00821418,-0.05799257
2019-10,0.01258327,0.0005176,0.00404624,0.03217012,0.05415923,-0.05026178,0.05512234,-0.05154639,0.01313629,0.01583291,0.01494886,0.00996102,0.01794297,0.01733322,0.0219815,0.0123344,0.01953048,0.00462535,0.01173256,0.00716083,0.01365507,0.0176792,0.00753676,0.0367258,0.00759494,0.00489642,0.02129547,0.0024727,0.01964791,0.02155806,-0.0154321,-0.0330067,0.03354871,0.01813472,0.01182994,0.01991574
2019-09,-0.02481752,-0.0128866,-0.05518395,-0.03418803,-0.04959337,0.05196182,-0.05913768,0.05298013,-0.02460343,-0.04060003,-0.02141195,-0.03087986,-0.02440957,-0.01765151,-0.02141964,-0.03617399,-0.02498064,-0.01607717,-0.02112117,-0.04207967,-0.0372127,-0.02554399,-0.04103748,-0.02161998,-0.01443001,-0.02891877,-0.02789887,-0.04101135,-0.01929661,-0.02831094,0.01909414,0.03599374,-0.03460123,-0.02373798,-0.01571939,-0.02084123
