Month,AADR,COPX,ECON,EDC,EEM,EEMS,FAN,FLN,FM,FONE,FPA,GDXJ,HILO,ICLN,IEMG,KOL,LIT,PBD,PICK,SIL,SLVP,SLX,SOCL,SOIL,TLTE
2019-05,0.00832968,-0.12689394,-0.0625543,-0.2063588,-0.06949541,-0.04976568,-0.0413845,-0.01395117,0.01880767,-0.08662345,-0.0665779,-0.01076015,-0.05167394,-0.00790514,-0.06711153,-0.06184799,-0.09284404,-0.04284559,-0.05874587,-0.06577852,-0.06506024,-0.04883227,-0.08893455,-0.06984127,-0.07448999
2019-04,0.00676413,-0.03789568,0.01311762,0.01160704,0.006876,-0.01096251,0.01984733,-0.00948104,-0.01528839,0.03599756,-0.03484995,-0.04957874,-0.01703336,0.03147208,0.00628452,-0.01597676,-0.04430599,0.02475248,-0.0380774,-0.05959246,-0.05263158,-0.06700532,0.05208012,0.01700319,-0.00166636
2019-03,-0.00936207,0.00459559,0.0,0.02046559,0.01012003,0.00761308,0.01085271,-0.0159442,0.00211268,0.00953961,-0.00425393,0.00922392,0.0065123,0.00722394,0.01253182,-0.01885424,-0.04777927,-0.0315534,0.01735429,0.01499423,0.03389831,-0.00571855,0.02112676,-0.02114165,0.00018829
2019-02,0.04110512,0.07276303,0.00044425,-0.02858208,-0.00748363,0.0033761,0.0046729,-0.04733179,0.00564972,0.04448785,0.02714477,-0.01309379,-0.00507614,0.02105263,-0.00525394,-0.02266289,0.03743501,0.05645851,0.02546064,0.0,0.01208791,0.02297677,-0.00223857,0.01066098,0.00037829
2019-01,0.0989338,0.12582418,0.10498047,0.3127093,0.10061287,0.06291706,0.12345679,0.13350923,0.0683793,0.0768512,0.10636732,0.08671283,0.05954198,0.140625,0.09352518,0.13126492,0.05096012,0.13249516,0.11865672,0.07826778,0.08680143,0.12443311,0.13567294,0.06659142,0.10525219
2018-12,-0.11953417,-0.08996024,-0.05387831,-0.16331456,-0.05400823,-0.04281136,-0.05872622,-0.02320561,-0.05356497,-0.08463681,-0.06811146,0.12175204,-0.03325942,-0.08017817,-0.05035247,-0.0612855,-0.14131127,-0.10017271,-0.05432878,0.0812446,0.10171731,-0.10574949,-0.08319468,-0.09025641,-0.04482072
2018-11,-0.06592014,-0.03024194,-0.00660377,0.01840846,0.01276276,0.03792271,0.05078809,-0.03505045,0.00257258,0.00988142,0.0125493,-0.055,-0.00969426,0.0776699,0.01187253,-0.08174771,-0.0029316,0.03523035,-0.0682202,-0.03842905,-0.09348093,-0.08106134,-0.01676165,-0.03131313,0.01168751
2018-10,-0.13575419,-0.13145756,-0.0732151,-0.2605759,-0.0877276,-0.09650694,-0.0902379,0.00439078,-0.05040824,-0.0951032,-0.11585761,-0.00256787,-0.09090909,-0.05430933,-0.08713611,-0.04768392,-0.08801729,-0.08142494,-0.09782951,-0.04082492,-0.02463054,-0.07490205,-0.08506616,-0.09644195,-0.08502808
2018-09,0.04225625,0.0653142,0.00045372,0.03286327,0.01390887,-0.01556335,-0.01444623,0.05922944,0.03155963,-0.01477931,-0.01339286,0.00851852,0.02528902,0.00117925,0.01033181,0.00763359,0.04014244,0.01107325,0.08239316,0.0187234,0.03136763,0.07203179,-0.03039514,0.01142857,0.0050702
2018-08,-0.02331655,-0.09498911,-0.07317073,-0.09969914,-0.02899543,-0.03126303,-0.0203125,-0.08123393,-0.0694304,0.01851098,-0.02291994,-0.12360624,0.00628931,-0.03798883,-0.02671466,-0.03921569,-0.00254858,-0.01584654,-0.06793394,-0.09472511,-0.12289916,-0.06783468,0.00761731,0.01625239,-0.02932987
2018-07,0.00628332,0.01245704,0.02839248,0.12615385,0.04565886,0.03275862,0.05032468,0.13028373,0.0519341,0.03111205,0.01909004,-0.01956522,0.06968125,0.04408353,0.04258242,0.04570259,0.00538657,0.02849741,0.0483559,-0.0311174,-0.04295704,0.06597304,-0.07853549,0.03264095,0.04014599
2018-06,-0.07761608,-0.06891089,-0.04057279,-0.1722716,-0.05865491,-0.08603199,-0.05475285,-0.05377512,-0.02899045,-0.03805539,-0.05851375,-0.00306373,-0.04230236,-0.08395324,-0.05705925,-0.06733795,-0.03233679,-0.07753165,-0.05906797,-0.05435863,-0.04743833,-0.06922909,-0.0053132,-0.00585938,-0.0711775
2018-05,-0.01239456,0.00280561,-0.03771384,-0.07198306,-0.0214442,-0.00769383,-0.02878229,-0.12907869,-0.09602237,0.01545658,0.00590493,0.00061444,-0.01771117,-0.01560874,-0.0186865,0.09097271,0.00433705,0.01273885,0.02123077,-0.00066644,0.0,0.00022217,0.04642108,0.02602603,-0.02052531
2018-04,0.01946685,0.01977401,0.0003876,-0.0387571,-0.0103426,-0.00117417,0.06171875,-0.01176471,-0.04496724,-0.03021385,-0.0113109,0.00092822,-0.01982816,0.05032823,-0.00788389,-0.0130137,0.02708732,0.02761982,0.03858318,-0.00395648,0.0226378,0.07152941,0.0077427,0.0338809,-0.00120523
