Week,DGL,DGLD,DGP,DGZ,DZZ,GLD,GLL,IAU,SGOL,UBG,UGL,UGLD
2019-21,0.00662927,-0.02124115,0.01284891,-0.00137363,-0.01335559,0.00711744,-0.01435471,0.00735294,0.00729749,0.01123946,0.01437656,0.02162162
2019-20,0.00408267,-0.01515466,0.00932091,-0.00893471,-0.01164725,0.00547082,-0.01018357,0.00572831,0.00519481,-0.00218069,0.00996678,0.01469613
2019-19,-0.01708114,0.05338,-0.03220266,0.01678322,0.03972366,-0.01646694,0.03425322,-0.01768489,-0.01660679,-0.01866014,-0.0347315,-0.05133578
2019-18,0.00305499,-0.01192718,0.00794001,-0.00551724,-0.00837521,0.00513203,-0.00781355,0.00571429,0.00453809,0.00621504,0.00880815,0.01215107
2019-17,0.00076511,0.00439422,-0.00353045,0.00345543,0.00336134,-0.0014897,0.00323363,-0.00163265,-0.00186431,0.00124339,-0.00412428,-0.00568306
2019-16,0.0087001,-0.02503621,0.01422222,-0.01098901,-0.01505017,0.00830772,-0.01644825,0.00737101,0.0086256,0.0043709,0.0174612,0.02520172
2019-15,-0.01189572,0.03331198,-0.02654482,0.00763359,0.01873935,-0.01011513,0.02212812,-0.00892133,-0.01015065,-0.00927931,-0.02168609,-0.03324425
2019-14,-0.00753201,0.0194791,-0.01284247,0.0035014,0.00692042,-0.00555057,0.01165695,-0.00643604,-0.00575632,-0.00336907,-0.0130597,-0.02103509
2019-13,0.0022779,-0.0100363,0.00653026,-0.00347464,-0.00171233,0.00370279,-0.00642252,0.00405844,0.00362728,0.00092678,0.0059556,0.00981543
2019-12,-0.02241932,0.07306889,-0.0473251,0.02943288,0.05063291,-0.02329491,0.04836847,-0.02288871,-0.02306063,-0.02581032,-0.04683901,-0.07046256
2019-11,0.00675169,-0.02087497,0.01528014,-0.00635145,-0.01576182,0.00755852,-0.01472238,0.00721154,0.00748348,0.00824427,0.01476404,0.02253867
2019-10,0.00704935,-0.01974826,0.0017014,-0.00770308,-0.01039861,0.00597186,-0.01271245,0.00564972,0.0063347,0.00861804,0.01202244,0.01765935
2019-09,0.0091047,-0.02909713,0.00588235,-0.00908456,-0.01893287,0.01052978,-0.0190437,0.00973236,0.01015719,-0.00061805,0.01940701,0.02900085
2019-08,-0.02652259,0.08975564,-0.06674383,0.03172314,0.05839416,-0.0278376,0.05904651,-0.02830189,-0.0279037,-0.00956938,-0.05715731,-0.08322109
2019-07,-0.00898494,0.02886948,-0.03844732,0.01389905,0.01679104,-0.00947119,0.01890444,-0.00856698,-0.00928433,-0.00887049,-0.01979218,-0.02949112
2019-06,0.00944569,-0.02858429,-0.01196709,-0.00710732,-0.01607143,0.00970874,-0.01971631,0.0103751,0.00967103,0.00910747,0.01868674,0.02897971
2019-05,0.00049505,-0.00499886,0.02712264,-0.00142653,-0.00359066,0.00201678,-0.00185661,0.00238854,0.00173872,0.00060423,0.00283651,0.00415595
2019-04,0.01046599,-0.02930649,0.01924588,-0.0106383,-0.0212766,0.00981426,-0.02101848,0.01121795,0.01057822,0.01311775,0.01980198,0.02945612
2019-03,0.01163085,-0.0348514,0.00969697,-0.00771388,-0.02405498,0.01160972,-0.02368565,0.01219512,0.0115425,0.0126935,0.02255034,0.03370079
2019-02,-0.00879839,0.027445,-0.15427574,0.00774648,0.01745201,-0.00876403,0.01844916,-0.00808407,-0.00850791,0.0,-0.01855288,-0.02730833
2019-01,-0.00276451,0.0032545,0.07972136,0.0,0.00347826,-0.00049237,0.00165883,-0.00080972,-0.00024139,-0.00307314,-0.00186071,-0.00269095
2019-00,0.00126454,-0.00684492,0.03806228,-0.00210084,-0.00172414,0.00156701,-0.00343218,0.00244101,0.00299159,0.00899225,0.0,0.00524054
2018-51,0.01544004,-0.02249063,0.01676224,-0.01107266,-0.01858108,0.00866522,-0.01750135,0.00987654,0.0087404,0.0167087,0.01666211,0.02372479
2018-50,0.00702211,-0.02049665,0.01369238,-0.00681199,-0.01461039,0.00721133,-0.0140278,0.00753769,0.00757072,0.00796686,0.01528014,0.02033398
2018-49,-0.0054659,0.01709906,-0.0109589,0.00613079,0.01134522,-0.00526852,0.00972132,-0.00419463,-0.00474921,0.00803084,-0.01161144,-0.01661545
2018-48,0.01446988,-0.04466831,0.03122088,-0.01215395,-0.0224359,0.01443175,-0.02680046,0.014419,0.01457088,0.00809585,0.02776171,0.04453061
2018-47,-0.0031746,0.00410831,-0.0075188,-0.00067114,0.00630915,-0.00086475,0.001002,-0.00085324,-0.00050869,0.00228311,-0.00234192,-0.00430365
2018-46,-0.00079344,0.00018706,-0.00329102,-0.00067204,0.00631912,0.00086453,0.00062743,-0.00085251,-8.472e-05,0.00065338,-0.00087642,0.00119303
2018-45,0.01696284,-0.04997342,0.03062713,-0.01650165,-0.03500761,0.01724441,-0.03283257,0.01650738,0.01681904,0.01693789,0.03269755,0.05184346
2018-44,-0.01681997,0.05499332,-0.03389044,0.01895735,0.0352,-0.0162413,0.03421086,-0.01694915,-0.01692489,-0.01636714,-0.03542627,-0.05241653
2018-43,0.00342015,-0.01195219,0.00605214,-0.00202977,-0.00480769,0.00292322,-0.00482478,0.00339559,0.0031192,0.00128535,0.00548182,0.00783168
2018-42,0.00872093,-0.02580886,0.01971831,-0.00540906,-0.02373418,0.00916083,-0.01932974,0.00853242,0.00872586,0.01368078,0.01688992,0.02594172
2018-41,0.00079093,-0.00150801,0.00046685,0.0,0.0,8.621e-05,0.00012633,0.0,0.00050723,0.0,0.00057921,0.00117481
2018-40,0.02446317,-0.07449906,0.04809122,-0.02619515,-0.04804805,0.02390261,-0.04993476,0.02546093,0.02422447,-0.00066225,0.0472973,0.07188703
2018-39,0.01140684,-0.0344414,0.02627665,-0.01827676,-0.02105263,0.01092653,-0.02212705,0.01140351,0.01132108,0.0,0.02300613,0.03452685
2018-38,-0.00700242,0.01877852,-0.01218324,0.00528751,0.01376147,-0.00625716,0.01269649,-0.00522193,-0.00587524,0.0,-0.01206637,-0.02117061
2018-37,-0.00080754,0.00476023,-0.00388538,0.00331785,0.00460123,-0.00105625,0.00667071,-0.00086957,-0.00103555,0.00199071,-0.00270514,-0.00372208
