Month,BBH,BIB,BIS,CURE,FBT,FXH,IBB,IHE,IHF,IHI,IXJ,IYH,PBE,PJP,PPH,PSCH,PTH,RXD,RXL,RYH,VHT,XBI,XHE,XHS,XLV,XPH
2019-05,-0.03469438,-0.0765775,0.06777838,-0.04722997,-0.04819807,-0.01764465,-0.03571429,-0.0485359,0.01139915,-0.00310057,-0.00893911,-0.01450821,-0.03976722,-0.0752551,-0.04604242,-0.04334447,0.03049655,0.02851064,-0.03296703,-0.0215618,-0.01364616,-0.03359637,-0.01626757,-0.01326176,-0.01335578,-0.06696764
2019-04,-0.04722158,-0.10399424,0.0996997,-0.09296077,-0.08356491,-0.03854167,-0.04905728,-0.03182113,-0.02920228,-0.0273042,-0.02741962,-0.0297438,-0.05452899,-0.04033124,-0.03911537,-0.00891852,-0.01294252,0.06059226,-0.0646482,-0.02435335,-0.02831172,-0.05783479,-0.02694236,-0.01098221,-0.02862118,-0.04393758
2019-03,-0.02732778,-0.06283784,0.04968553,-0.03790239,-0.00297422,-0.01508121,-0.0287551,-0.01748341,-0.05195099,0.00529721,-0.0037502,-0.01021555,-0.01744704,-0.05769231,-0.01033465,-0.05782563,-0.02973072,0.0189727,-0.02472707,-0.01477488,-0.01140597,-0.01383292,-0.02000244,-0.06576851,-0.00928625,-0.04060914
2019-02,0.01410756,0.041239,-0.04663212,0.02195572,0.03958478,0.01425716,0.02239956,0.04580619,-0.03061792,0.05513574,0.0165996,0.010592,0.04200722,0.03860769,0.0272526,0.0365812,0.01201652,-0.0232967,0.01799511,0.01508754,0.01488482,0.06131682,0.05491329,-0.01467204,0.00995465,0.0625155
2019-01,0.14952767,0.25697674,-0.22452581,0.18612818,0.15887474,0.10076606,0.12502564,0.04431956,0.10624463,0.10767174,0.06268977,0.07118358,0.11358339,0.05155299,0.06415646,0.0956465,0.13716562,-0.1373814,0.14380036,0.10590852,0.07367418,0.14740598,0.11465153,0.11410256,0.06420829,0.08710991
2018-12,-0.11734694,-0.24610425,0.26986755,-0.26519252,-0.12362405,-0.13108756,-0.12614409,-0.11896238,-0.15008753,-0.08541218,-0.08481422,-0.09463802,-0.1223196,-0.11068321,-0.11966365,-0.17373598,-0.16160188,0.19757123,-0.19512627,-0.10778986,-0.09750028,-0.1520917,-0.11157601,-0.17644737,-0.08918947,-0.16338673
2018-11,0.00650936,0.00721554,-0.02821317,0.16119022,0.00050007,0.01361162,0.00953086,0.00746125,0.04144797,0.03557918,0.04508475,0.0507431,0.00075529,0.02886598,0.00844979,0.0202692,-0.01859699,-0.10535048,0.09648951,0.03603793,0.04703708,-0.02496118,-0.01592115,0.02679426,0.06735519,-0.02425331
2018-10,-0.11478947,-0.26816458,0.31178707,-0.21726235,-0.15089189,-0.10263687,-0.14112404,-0.08098271,-0.04822968,-0.09872906,-0.0691031,-0.07672431,-0.12765957,-0.0852541,-0.05675548,-0.11707282,-0.15545267,0.14439756,-0.15255543,-0.09126327,-0.07940142,-0.16358253,-0.11217211,-0.06365071,-0.07233998,-0.07712082
2018-09,0.0182037,0.01426907,-0.01895136,0.10979079,0.01518063,0.02499698,0.00801852,-0.00239149,0.02107778,0.03792552,0.02910534,0.03319566,-0.00718103,0.00786315,0.02107465,-0.03066087,0.00416878,-0.05195949,0.06529336,0.03454701,0.02909657,-0.04073259,-0.0040858,0.01631083,0.0378313,-0.02383357
2018-08,0.0430366,0.08324324,-0.08185053,0.12605971,0.05536541,0.07487047,0.0428547,0.04675341,0.07630682,0.05338198,0.02576191,0.04394134,0.04038128,0.04551941,0.0302085,0.07921972,0.09799305,-0.07767784,0.08331698,0.04181638,0.04766759,0.05006297,0.08120707,0.05501528,0.0430132,0.07697311
2018-07,0.06907785,0.10075653,-0.10310363,0.18980668,0.04649848,0.02962069,0.0524128,0.06830765,0.03324898,0.03474538,0.06348637,0.06112122,0.03568854,0.04424911,0.05040427,0.02393044,-0.00755611,-0.11961207,0.12466755,0.05595212,0.05490395,-0.01039501,0.02607147,0.02876043,0.06226575,0.07645688
2018-06,0.00151007,-0.00226757,-0.00719424,0.00782123,-0.01505452,0.0076025,0.00118548,0.00880376,0.0226406,0.0008996,0.00215633,0.00521789,0.05110471,0.02918468,0.00870474,0.01605251,-0.01529637,-0.01563611,0.01373255,0.00231443,0.00479877,-0.01450777,0.00333804,0.02679893,0.00487508,0.00730271
2018-05,0.01954652,0.08540373,-0.08455882,-0.00437284,0.05075075,0.04269341,0.0422603,0.03160698,0.03710716,0.03981043,0.00530068,0.00960244,0.06674959,0.04919908,0.02186772,0.0817208,0.10486322,-0.03620219,0.01446401,0.00707666,0.01430071,0.07689679,0.0697286,0.03171928,0.00234771,0.04031857
2018-04,-0.00242971,0.01346801,-0.03261349,0.09486663,0.04499366,0.0280083,0.01104055,0.01718605,0.05317301,0.04307522,0.02885516,0.03417975,0.01929192,0.01551293,0.03379131,0.05415594,0.07300275,-0.07824675,0.06558805,0.0234366,0.03486002,0.03738653,0.04430101,0.06371826,0.03409962,-0.00074981
