Name,SR_month,Omega_month,RisknessR_month
IHI,0.31730581308163924,0.3920092588943887,13.491796663896293
XHE,0.23762871927725454,0.2788158507241191,8.778645551471975
IHF,0.1314342284195205,0.1608680624386203,5.391805716809502
XLV,0.0861365091987203,0.09869388091507025,4.588297925479409
PSCH,0.13163238781359396,0.15472514098066442,4.1591892515057864
VHT,0.07994122293776017,0.07958881083837835,4.033101080389647
IYH,0.07569173475448869,0.08569351108880892,3.925464468655166
RYH,0.07065210138325177,0.08549162092429453,3.471391276017372
PTH,0.12010183120557599,0.16076632923660505,3.107307795533632
IXJ,0.05049489705005192,0.05615411117303829,2.922237401297995
RXL,0.08431075121525608,0.09019230405341992,2.1570909787427777
XHS,0.0371966570488829,0.042479111101115054,1.4418504217976562
CURE,0.07204747060503439,0.08039482666342754,1.3067084886614186
FXH,0.02605848243335316,0.028110638331728745,1.166483003592901
BIS,0.06866476567821649,0.11982304045983834,1.0797014355515038
FBT,-0.017581182510028572,-0.023410780439009952,-0.4903963833377029
XBI,-0.024869583016228974,-0.030072611342150994,-0.6080880674024196
BIB,-0.12473654513891572,-0.13700919630978298,-2.1146745289354287
PBE,-0.08019168846887291,-0.08782339626937925,-2.529101257862361
BBH,-0.10769984481659062,-0.13240027658603545,-3.6777660510676378
IBB,-0.12291849597372177,-0.13634719373857584,-4.135584617255713
RXD,-0.19543397136695273,-0.2391814629506601,-4.735661839383864
IHE,-0.1401508396337183,-0.1369231418639325,-6.794699501351645
PPH,-0.14439076002425102,-0.14697094953263515,-7.383336982943347
XPH,-0.20367058427841625,-0.22956363359981297,-7.65302236072144
PJP,-0.17316397920459933,-0.16709332449324044,-7.680988832688434
