Week,CBND,CORP,GSY,IGIB,IGSB,LQD,PFIG,QLTA,SPIB,SPLB,USIG,VCIT,VCLT,VCSH
2019-21,0.00249221,0.00587499,0.00059654,0.00234911,0.00208649,0.00619558,0.00078401,0.00383142,0.00146071,0.00770077,0.00306915,0.00424507,0.00871365,0.00188395
2019-20,0.00406886,0.00473659,0.00039785,0.00491088,0.00171103,0.00640809,0.0035461,0.0046341,0.00264162,0.00703183,0.00326857,0.00415273,0.00825355,0.00125881
2019-19,0.00470958,0.00038651,0.00019904,0.00090876,0.00038008,0.00269906,0.00157729,0.00135083,0.0008808,0.00370508,0.00181686,0.00334718,0.00374614,0.00062941
2019-18,-0.00156986,-0.00019331,0.00099641,0.00072873,-0.00057067,-0.0018531,0.0,-0.00173947,0.0,-0.0033284,-0.00072701,-0.00011558,-0.00307658,0.00037817
2019-17,-0.00188501,0.0008715,0.00039872,0.00018242,0.00095274,0.00092866,-0.00039573,0.00154979,-0.00088287,0.00037133,0.00054635,-0.00046307,0.00110266,0.00025243
2019-16,0.00887199,0.00680338,0.00059868,0.00770642,0.0034384,0.01053705,0.00595002,0.00524476,0.00561632,0.01385249,0.0091659,0.00791526,0.01422855,0.00366996
2019-15,-0.00126143,-0.00145518,0.00039936,-0.00164624,-0.00057285,-0.00211649,-0.00039667,-0.00232558,-0.00029516,-0.00446097,-0.00182749,-0.00139405,-0.00265135,-0.00012652
2019-14,0.0028454,0.00370262,0.0007992,0.00440852,0.00038212,0.00535396,0.00039683,-0.00038797,-0.000886,0.00673905,0.00164745,0.0029124,0.00588889,0.0007594
2019-13,0.00253566,0.0022439,0.00039968,0.00312903,0.00076482,0.00246704,0.00159046,0.00135896,0.0,0.00262763,0.0010993,0.00209913,0.00367934,0.00037994
2019-12,0.00890019,0.00116788,0.0008,0.00238576,0.00076394,0.00229358,-0.00079145,0.0025184,0.00029516,0.0063742,0.00237877,0.00104676,0.00823962,0.0
2019-11,0.01028278,0.01374876,0.00080112,0.01002786,0.00460918,0.014946,0.00879648,0.01177625,0.00774963,0.02036112,0.01168614,0.01107707,0.0205175,0.00495994
2019-10,0.00387722,0.0037676,0.00019984,0.00429024,0.00230947,0.0027708,0.00280224,0.00275482,0.00149298,0.00308404,0.00297619,0.00401986,0.00400274,0.00203822
2019-09,0.00421804,0.00399002,0.00060012,0.00375094,0.00231705,0.00584183,0.00361301,0.00395257,0.00329835,0.00660707,0.00486527,0.00511539,0.00889454,0.00281078
2019-08,-0.0029164,-0.00358173,0.0008008,-0.00131357,0.00038655,-0.0044371,-0.00080354,-0.0029615,-0.00149925,-0.00889404,-0.00299121,-0.0020214,-0.00849793,0.00025582
2019-07,-0.0016176,0.00039821,0.00040048,0.00131505,0.00096712,0.00078336,-0.00160514,-0.00216621,0.00060042,-0.00269854,0.0,0.00214439,-0.00217765,0.00115207
2019-06,-0.00194426,0.00109813,0.00040088,0.00112952,0.00038745,0.00113349,0.00040225,0.00098775,0.00120373,0.00193424,0.00281268,0.00143249,0.00172275,0.00051262
2019-05,0.00292303,0.00531169,0.00080225,0.00415643,0.00252378,0.00454426,0.00161225,0.00336634,0.00271411,0.00660964,0.00526811,0.00418961,0.00773493,0.00192505
2019-04,0.0101706,0.00948441,0.00060229,0.00818113,0.0048714,0.0113857,0.00568643,0.00818363,0.00789314,0.01576665,0.00890152,0.00880898,0.01734036,0.00425148
2019-03,0.00428477,0.00385552,0.00080418,0.00382336,0.00175678,0.00603693,0.00326664,0.0044097,0.00426439,0.00675407,0.00418171,0.00460774,0.00910058,0.00206585
2019-02,0.00596421,0.00458856,0.00080499,0.0042324,0.00176056,0.00635404,0.00327466,0.00483969,0.00305623,0.00519377,0.00574053,0.00353357,0.005116,0.00233191
2019-01,0.00165728,0.00296311,0.00080564,0.00657895,0.00235294,0.00520366,0.00041,0.0,0.00521472,0.00519792,0.00383215,0.00587875,0.00523498,0.00298818
2019-00,0.00199402,0.00256069,0.00020149,0.00213178,0.00117739,0.00296976,0.0,0.00182149,0.00092053,0.00200562,0.0023015,0.00146987,0.00215079,-0.00012985
2018-51,0.00300401,0.00185567,0.00020153,0.00409357,0.00315023,0.00398623,0.00785773,0.00305064,0.00339297,0.00444444,0.0027001,0.00394721,0.00312726,0.00234619
2018-50,0.00434637,-0.00133786,0.00040339,0.0001947,0.00098542,-0.00144404,-0.00288184,-0.00101688,0.0,-0.00160643,0.00096413,0.00098631,-0.00167464,0.00104357
2018-49,0.00134138,0.00403142,0.0,0.00234467,0.0017769,0.00444646,-0.00082542,0.00368098,0.00123609,0.00526103,0.00309717,0.00160652,0.01029679,0.00091444
2018-48,0.00303337,0.00197403,0.0,0.0019581,0.00079005,0.00328767,0.00206697,0.00679292,0.0006192,0.00861009,0.00252672,0.00297804,0.00733586,0.00013084
2018-47,0.00101386,-0.00259875,0.0,0.00078555,-0.00079036,-0.00210392,-0.00041442,-0.00226337,-0.00092994,-0.00492005,-0.00058468,-0.00037304,-0.00586295,-0.00026181
2018-46,0.00371873,0.00104123,0.00020178,-0.00117693,0.00019759,0.00018307,0.00124224,0.00309406,-0.00061958,0.00287947,-0.00019493,0.0002486,0.00343516,0.0
2018-45,-0.00740491,-0.00166078,0.00020182,-0.00058789,0.00118624,-0.00391657,-0.00124121,-0.00349435,0.00154943,-0.01056911,-0.00271897,0.00099379,-0.011504,0.00078565
2018-44,0.0010142,0.00072637,0.00060594,0.00078447,-0.00039549,0.00209911,0.00083022,0.00309534,0.00061996,0.00984817,0.00253165,0.00099453,0.00915639,-0.00039277
2018-43,-0.00773629,-0.00630752,-0.00020194,-0.00527241,-0.00098775,-0.00599782,-0.00743494,-0.00941658,-0.00432499,-0.01338742,-0.00619915,-0.00495172,-0.01065891,-0.00130787
2018-42,0.00236088,0.00113766,0.00020206,0.00372257,0.00257375,0.00327839,0.00581154,0.00143767,0.00340874,0.00283861,0.0013579,0.00484713,0.00181313,0.00249017
2018-41,-0.00369872,-0.00257626,0.00020214,-0.00390472,-0.00177901,-0.00362516,-0.00124275,-0.0020517,-0.00154703,-0.00563607,-0.00212972,-0.00309789,-0.00587882,-0.00039308
2018-40,0.00707547,0.00278695,0.00040453,0.0011744,0.00039588,0.00445212,0.00082919,0.0032861,0.00154895,0.00687146,0.00310499,0.00198659,0.00759036,0.00039313
2018-39,-0.01067378,-0.0101968,0.00040461,-0.00816009,-0.00276407,-0.01290091,-0.00371594,-0.00895401,-0.00462392,-0.01861386,-0.00864055,-0.00873846,-0.01967484,-0.00235233
2018-38,0.00267112,0.00266175,0.00060716,0.0037001,0.00118671,0.00422244,0.00082576,0.00244499,0.00277864,0.00396668,0.00307633,0.00296187,0.00721893,0.00144017
2018-37,-0.00199867,0.00092025,0.00040494,-0.00329585,-0.00039534,-0.00277107,0.0,-0.00284033,-0.00030826,-0.00629178,-0.00172579,-0.00258271,-0.00399577,-0.00091563
2018-36,-0.00099834,0.00020425,0.0004051,-0.00077504,0.00039526,0.00062573,-0.00247117,-0.00060864,-0.00123191,0.00315457,-0.00057449,-0.00135085,0.00082285,-0.00052308
2018-35,-0.00166445,-0.00224719,0.0006079,-0.00096899,-0.00098736,-0.00205853,-0.00247015,-0.0024326,-0.00061557,-0.00237154,-0.00019164,-0.00220723,-0.00270716,-0.00039216
2018-34,-0.00364118,-0.00364964,0.00020268,-0.00193013,0.00019743,-0.0054203,-0.00123153,-0.00202061,-0.00245549,-0.00820633,-0.00114526,-0.00158944,-0.00686525,0.00026134
2018-33,0.00165782,0.00284698,0.0006084,0.00038588,0.0,-0.0002661,0.0,-0.00141101,0.0,-0.00038986,-0.00057154,0.0,-0.00104239,-0.0003918
2018-32,0.00299302,0.00091622,0.00020288,0.00271528,0.00079083,0.00554413,0.00247015,0.00324215,0.00215783,0.00947119,0.00537841,0.00368415,0.01128881,0.00104671
2018-31,-0.00033256,0.00326797,0.00081235,0.0,0.0023753,-0.00222995,0.0008244,-0.00040527,0.00030836,-0.00235849,-0.00095804,0.0002457,-0.00572229,0.00026188
2018-30,0.00267201,0.00235704,0.00040626,0.00565854,0.00357782,0.00394407,0.00289495,0.00447245,0.00185644,0.00672734,0.00656117,0.00407508,0.00552291,0.0027588
2018-29,0.00368016,0.00442888,0.0004065,0.00293198,0.00019881,0.00675858,0.001657,0.00572831,0.00186047,0.01115982,0.00406583,0.00383758,0.01376855,0.00092045
2018-28,-0.00433333,-0.00102417,0.00040675,0.00058571,0.00059666,-0.00223874,0.00124224,-0.00325137,0.0003095,-0.00864101,-0.00250144,0.00012338,-0.00853601,0.00065738
2018-27,0.00367524,0.00349004,0.000407,0.00293312,0.00059666,0.00376918,0.00165631,0.00448156,0.00278897,0.00670083,0.00443758,0.00296626,0.00833627,0.00078916
2018-26,0.00234742,0.00330169,0.00020358,0.00333333,0.00119474,0.00823977,0.00374376,0.00675952,0.00217459,0.01319472,0.00601475,0.00571358,0.01707259,0.00131666
2018-25,0.00572969,0.00373057,0.0,0.00197006,0.00019952,0.00601257,0.00249584,0.00308071,0.00342572,0.00928918,0.00371239,0.00373878,0.00890922,0.00118687
2018-24,-0.00435803,-0.00341015,-0.00020371,-0.00078725,0.00019968,-0.00461998,-0.00041615,-0.0030744,-0.00093342,-0.0064,-0.00253214,-0.00174129,-0.01081402,0.00026378
2018-23,0.00538902,0.00176148,0.00040766,0.00098483,0.0,0.00226757,0.00208247,0.00348718,0.00062286,0.0052,0.00175541,0.001868,0.00476134,0.00105555
2018-22,-0.00133869,0.00031017,0.00020396,0.0,0.0,-0.00126697,-0.0012474,0.0008195,0.00031133,-0.00278996,-0.00038964,0.00024885,-0.00273451,0.00039578
2018-21,-0.00532623,-0.00123444,-0.000204,-0.00098097,-0.00059809,-0.00619112,-0.00495663,-0.00508233,-0.00464109,-0.00904444,-0.00290529,-0.00617055,-0.01147675,-0.00354657
2018-20,0.00642326,0.00810642,0.00061249,0.00515055,0.00280505,0.00901065,0.00627615,0.00741962,0.00531084,0.013269,0.00903378,0.00813313,0.01401869,0.0031725
2018-19,-0.00638226,-0.00445135,0.00020416,-0.00158259,0.0002004,-0.0066938,-0.00125156,-0.00308261,-0.00187149,-0.01153999,-0.00508011,-0.00361731,-0.0113852,0.0
2018-18,0.00100908,-0.00093042,0.000613,0.00019778,0.0002004,0.00626931,-0.00208333,0.00226571,0.00062383,0.008,0.00372184,0.00124735,0.00979221,-0.00026413
2018-17,0.0,-0.0002067,0.0,0.00019778,0.0002004,-0.00190235,-0.00249896,-0.0016444,-0.00093487,-0.0063593,-0.00214928,-0.00062329,-0.00498162,0.00052868
2018-16,-0.00067182,-0.00216495,0.00020454,-0.00019782,0.00160578,-0.00081389,0.00041701,0.00061728,0.00124805,-0.00079239,0.00019543,0.00024928,-0.00248022,0.00052924
2018-15,-0.00764882,-0.01008969,0.000614,-0.00393701,-0.00140309,-0.01284911,-0.00456432,-0.0103764,-0.00372555,-0.02017067,-0.00870238,-0.00815117,-0.01919963,-0.0030339
2018-14,-0.00132758,-0.00061175,0.00061438,-0.00117948,-0.0008008,-0.00142577,-0.00206954,-0.00183001,-0.00247678,-0.0003876,-0.00096506,-0.00123259,0.00104118,-0.00131804
2018-13,-0.00299202,0.00091912,0.0,0.0,0.00120289,0.00071371,0.00041408,-0.00142363,0.00062016,-0.00232648,0.00096712,0.00012335,-0.00080953,0.00158458
2018-12,0.00433622,0.00699373,0.00041,0.00474121,0.00060217,0.01081568,0.00541892,0.00779008,0.00436273,0.0169358,0.0068173,0.00808156,0.01789709,0.00278035
2018-11,-0.001665,-0.00286709,0.00041017,-0.00098658,0.00020084,-0.00557704,0.00124792,-0.00388389,-0.00155666,-0.00745683,-0.00213966,-0.00272817,-0.00844179,-0.00026462
2018-10,0.00100067,0.00225618,-0.00020509,0.00059183,-0.00040161,0.00450248,0.00041511,0.00040925,-0.00031085,0.00590087,0.00155551,0.0012387,0.00658127,-0.00013221
2018-09,0.00066756,-0.00225202,0.0,-0.00059125,-0.00060205,-0.00099081,0.00124636,0.0,-0.00093197,-0.00039417,-0.00077821,0.0,-0.00058851,-0.00105652
2018-08,-0.00133111,-0.00408163,0.00164372,-0.00177096,-0.00060181,-0.00661896,-0.00413565,-0.00407,-0.0027881,-0.00821275,-0.00310078,-0.00456171,-0.00955822,-0.00092446
2018-07,-0.00132935,-0.00030681,0.0,0.0005909,0.00020068,0.00053763,-0.00124069,0.00081433,0.00093168,0.00039154,0.00135922,0.00136004,0.00163418,0.00052875
2018-06,0.00033278,-0.00112176,0.00020563,-0.00078632,-0.00160256,0.00367153,-0.00247831,-0.00121704,-0.00154847,0.00195542,0.00038737,0.00049377,0.00513839,-0.00237248
2018-05,-0.00761842,-0.00968328,0.00020563,-0.00469392,-0.00160032,-0.01229436,-0.00902009,-0.00905979,-0.00554017,-0.02184745,-0.01016884,-0.00989494,-0.0208596,-0.00236593
2018-04,-0.00853578,-0.0073183,0.00061741,-0.00449043,-0.00040048,-0.01076775,-0.00368852,-0.00760304,-0.00338357,-0.01842798,-0.0080168,-0.00730194,-0.01663482,-0.00157749
2018-03,0.00065768,0.00402576,0.0,0.00234467,0.0002002,0.00747647,0.00040984,0.0032077,0.00092251,0.00983359,0.0040153,0.00304433,0.00971312,0.00026292
2018-02,-0.00718016,-0.00828013,0.00041178,-0.00389181,-0.00060024,-0.00965973,-0.00285598,-0.00696102,-0.00490046,-0.01600894,-0.00777546,-0.00677228,-0.01392292,-0.00223009
2018-01,0.00065424,-0.00029931,0.00020602,-0.00058298,-0.00059952,-0.00043535,-0.002035,-0.00059642,-0.00152812,0.00149645,-0.00037929,-0.00181072,0.00335383,-0.0001311
2018-00,0.00065424,0.00059815,0.0,-0.00077685,-0.00019992,0.0011331,0.0,0.00019873,-0.00061125,0.00300188,0.00037943,-0.00012066,0.00291611,-0.0001311
2017-52,0.00163452,0.00690414,0.00061881,0.00194326,0.00059976,0.00627287,0.00162933,0.00596896,0.00214198,0.01013894,0.00417854,0.0038666,0.01043888,0.00170648
2017-51,-0.00326158,-0.00418327,0.00020631,-0.00232784,0.0,-0.00434292,-0.00651201,-0.00555005,-0.00152812,-0.00784753,-0.00435441,-0.00385635,-0.00946759,-0.00118002
2017-50,0.0035936,0.00459219,0.0,0.00174791,0.0,0.00592386,-0.002035,0.00457529,0.00122212,0.01203008,0.00512723,0.00205017,0.01290105,-0.00013106
2017-49,0.00098328,0.00210084,0.00020636,0.00058252,0.0006,0.00052338,0.000815,0.000199,0.00122362,0.00263952,0.00190114,0.00144893,0.00360117,0.00052452
2017-48,0.0,-0.00019998,-0.00020644,-0.00077564,-0.00039952,-0.00061119,-0.002442,0.00019897,-0.00030544,0.0026465,0.00076031,-0.00156664,0.0001126,-0.00026188
2017-47,0.00131191,0.00170631,0.00020653,0.00233327,0.00119976,0.00614574,0.00203915,0.00539568,0.00153139,0.0087519,0.00362457,0.00447833,0.00943289,0.00131148
2017-46,0.00493421,0.00362647,0.00020661,0.00155703,-0.00059916,0.00458635,0.00122499,0.00360938,0.00153327,0.01077337,0.00382922,0.00291156,0.00722311,0.0
2017-45,-0.00522705,-0.00968257,0.00020661,-0.00426026,-0.00059844,-0.01047395,-0.00325468,-0.00834824,-0.0042709,-0.015163,-0.00741163,-0.00686334,-0.01684568,-0.00248334
2017-44,0.00196721,0.00180162,0.0,0.00271792,0.00039912,0.00122378,0.000814,0.00239091,0.00030506,0.00572301,0.00266972,0.0,0.00500227,-0.0011757
2017-43,-0.00359948,-0.00180361,0.0,-0.000777,0.0,-0.00218761,-0.00040733,-0.00139581,-0.00091547,-0.000383,-0.00076409,-0.00144683,0.00022841,-0.00052253
2017-42,-0.00229058,-0.0025025,0.00041365,-0.00213344,0.00019972,-0.0028821,-0.00203417,-0.00357995,-0.00243902,-0.00610687,-0.0032381,-0.00252829,-0.00523203,-0.000653
2017-41,0.00723446,0.00552431,0.0,0.00174723,0.00079872,0.00437982,0.00203749,0.00418994,0.0021374,0.00806452,0.00439771,0.00398262,0.00903477,0.0007837
2017-40,-0.00098555,0.00060326,0.00041408,-0.00019433,-0.00019972,-0.00052572,0.00040783,0.00039952,0.0,-0.00192012,-0.00095657,0.00036263,-0.00160201,0.0
2017-39,-0.00098264,-0.00401284,0.00041425,-0.00116437,0.0,-0.0016636,-0.00325336,-0.00239187,-0.00091463,-0.0042065,-0.00171789,-0.00217024,-0.00365172,0.00013074
2017-38,-0.00032852,0.00090634,0.0,-0.00097087,-0.00119713,0.00070354,0.0,0.00140028,-0.00122026,0.00270166,0.0,0.00036271,0.00356896,-0.0001308
2017-37,-0.00457666,-0.00230808,0.0002073,-0.00155069,-0.00039904,0.00123142,-0.00365408,-0.00119641,-0.00243383,0.00115964,-0.00133664,-0.00156759,0.00138122,-0.00130582
2017-36,0.00326477,-0.00030063,0.00041485,0.0005805,0.00039872,-0.00262398,-0.00040519,0.0,-0.00030386,-0.00688073,-0.0001904,-0.00096038,-0.00353881,0.00052206
2017-35,0.00360419,0.00020117,0.00062254,0.00019421,0.0009986,-0.00070354,0.00040683,-0.00199402,-0.00212895,-0.0007719,0.00076482,0.0004828,0.00034542,0.0
2017-34,0.0036208,-0.00020157,0.0,0.00116686,0.0,0.00326451,-0.00081533,0.00259792,0.0003046,0.00309957,0.00230105,0.00266408,0.00427993,-0.00013082
2017-33,0.00230947,0.00151515,0.0004152,0.00136426,0.00119976,0.00194759,0.00450635,0.00160353,-0.00030488,0.00272904,0.00211538,0.00169903,0.00139454,0.00039288
2017-32,-0.00164042,0.000707,0.0,0.00077958,0.00059988,-0.002295,0.00163532,-0.00040064,-0.00030497,-0.00465658,-0.00038432,-0.00084838,-0.00393245,-0.00013091
2017-31,0.00296932,0.000909,0.00145591,0.0,0.0,-0.00044127,0.00204583,0.0,-0.0021309,0.00038805,0.0,0.00012132,-0.00011589,0.00091731
