Week,CHIM,COPX,CROP,CUT,DUST,FLM,FTAG,FTRI,FXZ,GDX,GDXJ,GNR,GOEX,GRES,GUNR,HAP,IGE,ITB,IYM,LIT,MOO,MXI,NUGT,PICK,PKB,PSCM,PYZ,REMX,RING,RTM,SBM,SIL,SILJ,SLVP,SLX,SMN,SOIL,URA,UYM,VAW,VEGI,WOOD,XHB,XLB,XME
2019-21,0.00672043,-0.00270416,-0.01732283,-0.0096,-0.04518072,0.00699004,-0.02371365,0.0,-0.01239437,0.01714006,0.01749375,-0.00521327,0.01148225,-0.00467472,-0.00645161,0.0,-0.01474623,-0.00589654,0.00058133,-0.00282372,0.00032927,-0.00179621,0.04817619,-0.00834492,0.00104566,-0.0279671,-0.01096291,-0.00134771,0.01619938,-0.0019084,0.00200501,0.02092812,0.01741655,0.01570681,-0.01646542,0.00282575,-0.01346801,-0.00782609,-0.00102208,-0.00154123,0.00190694,-0.01375737,-0.00612557,0.00187793,-0.02059406
2019-20,-0.01355014,-0.03518908,0.0,-0.00512214,0.0168964,-0.01392063,-0.00445434,-0.01659751,-0.01405346,-0.00531915,-0.009487,-0.01301418,0.00573514,-0.01147666,-0.00953895,-0.0070526,-0.03196046,0.0079639,-0.0045861,-0.01775148,0.00065456,-0.0017834,-0.0212061,-0.004851,-0.00853242,-0.02077626,-0.01886453,0.00963524,-0.00494132,-0.00742942,0.00406298,-0.00357302,-0.03586207,-0.02176697,-0.00873839,0.00707623,-0.01108647,-0.01206897,-0.01052423,-0.00540358,-0.00491122,-0.01802739,0.00302648,-0.00148506,-0.03072838
2019-19,0.00402414,0.00469729,0.01570845,-0.00498849,0.03270382,0.00601535,0.00582437,0.01859679,0.00465371,-0.0086001,-0.0177717,0.00836043,-0.03093812,0.00305694,0.01055325,0.0014637,0.01231281,0.02128792,0.01365149,-0.01687117,-0.00113618,0.01692433,-0.03198976,0.0111576,0.01513588,0.00089989,0.00606061,0.02237136,-0.00856269,0.00627697,-0.00813421,-0.02207792,-0.03430079,-0.02484472,0.01759208,-0.02594491,0.00553097,0.0265252,0.02396989,0.01194783,-0.01148148,-0.0097676,0.01315789,0.01391466,-0.0051756
2019-18,-0.0377943,-0.03896104,-0.01390568,-0.0265069,-0.00041684,-0.02679275,-0.04369538,-0.01233553,-0.01796875,-0.00098522,-0.003861,-0.01343785,0.0160705,-0.00935629,-0.0099194,-0.01580581,-0.00554288,-0.01064382,-0.01637543,-0.02545715,-0.0103125,-0.02,-0.00694927,-0.02173197,-0.01491548,-0.04653547,-0.0238055,-0.01484099,-0.00501253,-0.01664629,0.01747881,-0.03663158,-0.05216285,-0.02334152,-0.01708959,0.03916084,-0.00853789,-0.02598491,-0.0353902,-0.01757498,-0.0155532,-0.03625,-0.01940805,-0.01288937,-0.0293407
2019-17,-0.0112626,-0.02969392,0.01518372,0.00649351,0.08156827,-0.01635559,-0.00373134,-0.01380991,0.001287,-0.02639155,-0.03103683,-0.00921659,-0.01320467,-0.00846522,-0.00609942,-0.00638357,-0.02661597,0.02222222,-0.01239449,0.01872524,0.00904413,-0.00458015,-0.07918263,-0.00869285,0.01985195,0.01260591,-0.00991244,0.00690608,-0.02382407,0.00148796,0.01032609,-0.02097902,-0.03422983,-0.02145411,0.00876063,0.02769572,-0.02171665,0.0016488,-0.02665755,-0.00530399,0.00278746,0.00186393,0.01988706,-0.00509129,0.00412513
2019-16,-0.04251701,-0.04555315,0.00737327,0.01943528,-0.04713959,-0.0030894,-0.01349693,-0.01755786,-0.00819043,0.01525262,0.04005525,-0.0200431,0.03753213,-0.00983248,-0.02060932,-0.01344676,-0.02556206,-0.00685112,-0.01065963,-0.03639515,-0.00078186,-0.01707609,0.04174455,-0.0311042,0.01335616,-0.02320375,-0.00932744,-0.04676489,0.01088929,-0.00572907,0.01263736,0.01600328,0.04511278,0.02524038,-0.02593152,0.02531167,-0.00514933,-0.02091714,-0.0277592,-0.0034662,-0.01110725,0.01978161,-0.00711307,-0.0062685,0.00068894
2019-15,0.01755379,0.01085541,-0.00244574,-0.02838893,0.13104948,0.00329777,0.02601762,-0.00637959,-0.0060698,-0.03960396,-0.04397026,-0.00450547,-0.02581588,-0.00721761,-0.00328554,0.00274876,-0.00405111,0.01861702,0.00188561,0.00310666,0.00423928,-0.00327967,-0.1193952,-0.00431433,0.00581992,0.00758819,0.00065157,-0.00311333,-0.03616533,-0.00375699,-0.00166205,-0.0356025,-0.04656577,-0.04519774,-0.00837232,-0.00153433,0.01142264,-0.00956175,0.00362021,-0.00124971,0.00980736,-0.02203182,0.01107556,-0.00051858,-0.01379542
2019-14,-0.02671756,-0.00216263,0.00245023,0.0024735,0.06751298,0.00409836,-0.01120332,-0.00633413,-0.00151248,-0.02115469,-0.03562577,-0.00616104,-0.03044496,-0.00393419,-0.00917703,-0.00898938,0.00124069,0.01106016,0.00167189,-0.01052274,-0.00564617,0.00328358,-0.06366308,-0.01001517,0.00620904,-0.00428571,-0.0009764,-0.01334951,-0.0235558,0.00329519,-0.00110988,-0.03824522,-0.03991131,-0.04684096,-0.03699312,-0.00345622,-0.00519211,-0.01470588,0.0004902,0.00195069,-0.01010453,-0.00181901,0.00495172,0.00484094,-0.03679793
2019-13,0.04819277,0.02006242,0.00338253,0.01178571,-0.06263048,0.00549235,0.05194238,0.00803213,0.02295589,0.02140255,0.0301361,0.01494477,0.02281553,0.00578244,0.01084991,0.01356589,0.0088078,0.0463146,0.02982985,0.01557632,0.01175723,0.02156293,0.06182796,0.01560549,0.02991453,0.01330285,0.02129429,0.01418877,0.01976744,0.01779227,-0.02590394,0.0165321,0.02317497,0.01791713,0.01499758,-0.05969609,0.01487779,0.00389712,0.05795593,0.02513206,0.01377605,0.01828238,0.03596198,0.02645127,0.02217075
2019-12,0.00959808,0.02725564,0.01260239,0.02235469,0.10852238,0.01029679,0.0,0.00163399,0.03009761,-0.0361135,-0.05227001,0.01386094,-0.05326768,0.00624082,0.01049059,0.00933258,0.00835476,0.00256046,0.02168082,0.0187185,0.01415094,0.01390645,-0.10614273,0.01702128,0.02102545,0.015625,0.02653946,0.03285151,-0.04043716,0.02657452,-0.01770833,-0.04727535,-0.05963791,-0.04288703,0.02512176,-0.03935419,0.01091703,0.0,0.04165888,0.02225729,0.01229656,0.02319588,0.00995546,0.02341877,0.01888088
