Month,IPFF,PFF,PFXF,PGF,PGX,PSK,SPFF
2019-05,-0.02612671,0.00330033,0.00259336,0.00655738,0.00689655,0.00824499,0.00086957
2019-04,0.00064977,0.00082759,-0.00258933,0.00440044,0.0,0.00189081,-0.00261552
2019-03,-0.00972132,0.00698714,0.00895208,0.00611791,0.0048951,0.00645779,0.00351185
2019-02,-0.01773274,0.00966733,0.01936525,0.00789622,0.01425517,0.01145224,0.01071429
2019-01,0.06262764,0.04653231,0.0680778,0.03736135,0.0501497,0.0483376,0.03499079
2018-12,-0.04516129,-0.01532115,-0.02690583,-0.00352526,-0.00825206,-0.00642839,-0.01103956
2018-11,-0.06227106,-0.02330935,-0.01658375,-0.01793981,-0.02565982,-0.02680361,-0.01183971
2018-10,-0.05616676,-0.01475596,-0.02276423,-0.00747556,-0.00873999,-0.00944569,-0.02395741
2018-09,0.01604278,-0.00975746,-0.01168969,-0.00793201,-0.01071429,-0.01094624,-0.00176367
2018-08,0.00058893,0.01573918,0.01886792,0.01489118,0.01808973,0.01722017,0.0160285
2018-07,0.03217972,-0.0033557,0.0,-0.00397953,-0.00573066,-0.00584938,0.00268336
2018-06,-0.020059,0.01396807,0.02153506,0.00688863,0.00872093,0.00987898,0.00904977
2018-05,-0.01051402,0.00749496,0.00726663,0.0075406,0.01104566,0.01204215,0.01099908
2018-04,0.00946186,-0.00402183,0.00561798,-0.00805524,-0.01092498,-0.00697038,0.00458716
2018-03,-0.015553,0.00663015,0.00903444,0.00404391,0.00733676,0.008002,-0.00182983
2018-02,-0.06713212,0.00812772,0.00566251,0.01882353,0.01789709,0.02018396,0.0
2018-01,0.04713231,-0.00631096,-0.00948132,-0.00581734,-0.01390922,-0.01997004,-0.0009058
2017-12,-0.0011396,-0.00764439,-0.00494505,-0.00344234,-0.00577617,-0.00491642,-0.00361664
2017-11,0.00929692,0.00714694,0.00220022,0.00987224,0.00581818,0.00395257,-0.00271003
2017-10,-0.00174014,-0.00114188,0.00386313,-0.00116212,-0.00072727,0.0019802,-0.01690391
2017-09,0.00174115,-0.00028458,-0.00329852,0.0,0.0,0.00024722,0.0
2017-08,-0.00756694,-0.00396376,0.00055127,0.0,-0.0014556,0.00074221,-0.00971731
2017-07,0.05051735,0.00801833,0.00389321,0.00174927,0.00366032,0.00148736,0.00892857
2017-06,0.06101477,0.00778098,0.00616592,0.00705882,0.00665188,0.00752634,0.00630631
2017-05,0.0,0.00376157,0.00393258,0.01012507,0.00972326,0.01040081,-0.0125
2017-04,-0.00191816,0.00641774,0.0062182,0.00901984,0.00451467,0.00715929,0.0
2017-03,0.02996743,0.00769231,0.00399543,0.00793651,0.00996933,0.02759353,0.00089526
2017-02,0.00522193,0.02109069,0.01979045,0.01862197,0.01950078,0.01748722,0.01266968
2017-01,0.06829268,0.01591187,0.0196195,0.01963268,0.02394254,0.02512424,0.01473297
2016-12,0.01064585,0.00933998,0.023795,0.00900901,0.0097166,0.00586756,0.00464253
2016-11,-0.01136364,-0.03204552,-0.03484321,-0.03575832,-0.03938224,-0.04347826,-0.01376147
2016-10,-0.01611773,-0.00947867,-0.01534091,-0.00732154,-0.00612089,-0.01225874,-0.01440144
2016-09,-0.01907357,-0.0088054,-0.0011325,-0.0126506,-0.01210287,-0.0082923,-0.01330967
2016-08,0.02464789,0.00058634,0.00112423,0.00605694,0.00761615,0.00233645,0.00534759
2016-07,0.03272727,0.01607621,0.01880342,0.01661538,0.01309707,0.00969094,0.0198556
2016-06,-0.05882353,0.01020408,0.02387886,0.01243008,0.01090343,0.01512739,0.00364299
2016-05,-0.04638834,0.01433364,0.00644028,0.01070529,0.01026046,0.01100967,0.00366972
2016-04,0.09537572,0.01549907,0.01977232,0.01215611,0.02019386,0.01173901,0.03225806
2016-03,0.13452188,0.02074819,0.0301353,0.01680672,0.01540957,0.01179375,0.03404669
2016-02,-0.01518785,-0.00251572,0.01444724,-0.00517464,-0.00243704,0.00138007,0.00097656
2016-01,-0.09377289,-0.01461443,-0.00251256,-0.00770218,-0.00965406,-0.0038525,-0.01915709
2015-12,-0.00216606,-0.00311429,-0.00753769,0.01107492,0.00815661,0.00694252,-0.00858779
2015-11,-0.03326403,0.00313087,-0.01303538,0.00921659,0.00493016,0.00701066,-0.00190476
2015-10,0.05379514,0.02347267,0.02884615,0.02435724,0.0227656,0.02473397,0.01061776
2015-09,-0.03651685,-0.00351887,-0.00568182,0.00610583,0.00592718,0.00489772,-0.01427212
