Month,ERUS,FONE,IXP,IYZ,LTL,VOX,XTL
2019-05,0.03685852,-0.08662345,-0.03823929,-0.03997335,-0.08565361,-0.0327124,-0.07736864
2019-04,0.01390071,0.03599756,0.03769285,0.00664011,0.01643578,0.04667376,0.01893096
2019-03,0.01740413,0.00953961,0.02085979,0.00711141,0.00997324,0.00784361,-0.02415126
2019-02,-0.02404121,0.04448785,0.00660066,0.05844389,0.12088211,0.00489896,0.04847605
2019-01,0.12189688,0.0768512,0.08183435,0.05646078,0.1316197,0.09130957,0.07881463
2018-12,-0.06836056,-0.08463681,-0.06987952,-0.09282993,-0.17374616,-0.08274408,-0.1205157
2018-11,-0.01476015,0.00988142,0.01034807,0.01133948,-0.01029839,-0.01091891,-0.00857705
2018-10,-0.05672515,-0.0951032,-0.06815387,-0.04854039,-0.10626767,-0.05734185,-0.06499933
2018-09,0.10775296,-0.01477931,0.04537105,0.01440823,0.03655604,0.01500586,0.00383041
2018-08,-0.06734817,0.01851098,-0.00036364,0.07669725,0.13868613,0.03100311,0.08241448
2018-07,0.04023522,0.03111205,0.03966755,-0.00109769,0.02436998,-0.00899195,-0.01922279
2018-06,-0.00521953,-0.03805539,0.00094127,0.01755041,0.01148459,0.02969934,0.02350762
2018-05,0.01898134,0.01545658,-0.04892086,-0.00675169,-0.00407387,-0.01240725,0.02118644
2018-04,-0.0727802,-0.03021385,0.03021371,0.0330388,0.05561927,0.03474808,0.0349116
2018-03,-0.023536,0.00425203,0.00109111,-0.02856097,-0.10149408,-0.02765957,0.00606061
2018-02,-0.01051758,-0.00602523,-0.06847936,-0.054242,-0.13309513,-0.06501821,-0.01566125
2018-01,0.10350123,0.03215808,0.01349735,-0.0006942,0.016456,0.00604771,0.01322557
2017-12,0.03352676,0.00564972,0.00902778,-0.02483838,-0.03743438,0.00406964,-0.0199825
2017-11,0.01648885,0.01235536,0.0371834,0.01591145,-0.0020595,0.03300948,0.03086142
2017-10,-0.00743615,0.0204,-0.01972873,-0.01967979,-0.05448578,-0.03550627,-0.02245401
2017-09,0.03585657,0.01103166,0.00546834,-0.05032051,-0.08559755,-0.01201068,-0.00482668
2017-08,0.07410072,-0.00185261,-0.01672414,-0.01188564,-0.014013,-0.00910201,-0.03496108
2017-07,0.03544776,0.01039933,0.04114781,-0.01535509,-0.03492502,0.01508792,0.0164723
2017-06,-0.0226774,-0.01737176,-0.02678414,-0.02199874,-0.03356217,-0.02535869,-0.02153758
2017-05,-0.06637318,0.05167173,0.04022039,-0.03449338,-0.07848837,-0.02499178,-0.0029129
2017-04,-0.01635514,0.00885347,-0.01412532,0.05806033,0.1191446,0.02422145,0.00677567
2017-03,0.00544033,0.0363678,0.00199637,-0.02941176,-0.06703499,-0.0292973,-0.00290698
2017-02,-0.07401474,0.03484487,-0.00382027,-0.03537664,-0.07821923,-0.01131831,0.00825228
2017-01,-0.01928549,0.04551138,0.00181521,-0.01488616,-0.02079974,-0.02792375,0.00841204
2016-12,0.11287414,0.03464203,0.05110897,0.08967121,0.13484252,0.07626245,0.04324746
2016-11,0.05257143,0.00880145,-0.02383634,0.04031702,0.13316975,0.04804697,0.07584037
2016-10,-0.01282051,-0.01460222,-0.04421466,-0.02497535,-0.06597774,-0.03574274,-0.02694515
2016-09,0.04592652,0.02160494,-0.00372473,0.015,0.06655362,0.00606685,0.03580227
2016-08,0.04537885,0.00259673,-0.02616078,-0.06061548,-0.14969413,-0.05289863,0.01882986
2016-07,0.01023332,0.06880223,0.00434028,0.03454894,0.08321965,0.02269488,0.07202017
2016-06,0.03702109,0.0041806,0.03816932,0.07057211,0.12343234,0.08298557,0.00361598
