Month,AGG,BIV,BLV,BND,BOND,BSV,FWDB,GBF,GVI,ILTB,ISTB,MINT,RAVI,SAGG,SCHZ,SPAB,XMPT
2019-05,0.01377844,0.01703251,0.03151768,0.01377513,0.01068702,0.00783224,0.00435299,0.01463155,0.01066837,0.0302589,0.00685899,0.00237107,0.00318725,-0.01065547,0.01340847,0.01341808,0.01496546
2019-04,0.00250464,0.00530248,0.00353904,0.00373692,0.00412233,0.00329156,0.0035828,0.00382903,0.00402488,0.00358423,0.00303275,0.00307265,0.00373035,0.0,0.00351014,0.00283587,0.00696594
2019-03,0.02285822,0.02509534,0.05403533,0.0225831,0.01899104,0.01047254,0.00682731,0.02397385,0.01509539,0.05081301,0.01020408,0.00288328,0.00227151,-0.01939587,0.02243844,0.02201371,0.0229794
2019-02,0.00094393,0.00221266,-0.00389061,0.0019009,0.00371239,0.00294343,0.0134584,-9.067e-05,0.00334045,-0.00201782,0.00265903,0.00269273,0.00348479,0.00159591,0.00178607,0.00144404,0.01533495
2019-01,0.00835866,0.0136646,0.01527424,0.00905381,0.01164282,0.00526451,0.03102725,0.01014904,0.00699105,0.02469136,0.00741809,0.00450992,0.00566114,-0.0050923,0.00878419,0.00944767,0.03689727
2018-12,0.01809736,0.01799975,0.03546099,0.01715623,0.01687086,0.01038826,-0.01203819,0.01770241,0.012376,0.03143314,0.00831947,0.00010023,-0.00026954,-0.00945477,0.0170975,0.01626617,-0.01053963
2018-11,0.00517679,0.00420918,0.00279431,0.00444561,0.00242057,0.00286384,-0.00578273,0.00327777,0.0040828,0.00267953,0.00271229,0.00050135,0.00080873,0.0,0.00532787,0.00596125,0.02570806
2018-10,-0.00611591,-0.00368816,-0.02859506,-0.00676555,-0.00621741,0.0010433,-0.02028398,-0.00827138,-0.00113863,-0.02988705,-0.00083403,0.00140576,0.0006744,0.0075543,-0.00671551,-0.00739919,-0.04178855
2018-09,-0.00511731,-0.00555766,-0.00875248,-0.00400983,-0.00558882,-0.00156169,-0.00284091,-0.00406918,-0.00198694,-0.00189753,0.00020846,0.00171009,0.00324763,0.01307398,-0.00525996,-0.00404709,-0.02203182
2018-08,0.00669968,0.00903883,0.01140237,0.00728503,0.00562531,0.00365726,0.00942237,0.00389466,0.00560677,0.01020938,0.00355425,0.00211758,0.00203362,-0.00633714,0.0073275,0.00739919,0.0073922
2018-07,0.00067941,0.00203796,0.00599154,0.00026011,-0.00080345,0.00091527,0.00615006,0.00111638,0.00152149,0.00781521,0.00230511,0.00202163,0.00353693,0.00063492,-0.00061,0.00073992,0.00123457
2018-06,0.00233259,0.00255037,0.0,0.00130141,0.00241935,0.00196438,-0.00204583,-9.301e-05,0.00171233,-0.0013836,0.00020947,0.00101204,0.00108977,0.00254615,0.00122125,0.00074019,-0.00205592
2018-05,0.00743204,0.00950424,0.01683262,0.00838465,0.00556906,0.00420223,0.00823045,0.00767718,0.00650158,0.01414106,0.00399663,0.00212982,0.002184,0.00569801,0.00634986,0.00782414,0.0142319
2018-04,-0.00842942,-0.01077859,-0.02284264,-0.00843061,-0.00803536,-0.0028792,-0.00246305,-0.01118713,-0.00522565,-0.02177611,-0.00398072,0.00162536,0.00232972,0.01544899,-0.00872211,-0.00921489,0.0016835
2018-03,0.00584112,0.00279863,0.01300375,0.00521444,0.00301902,0.00118002,0.00619579,0.00493299,0.00190367,0.01152787,0.00188996,0.00040671,0.00109649,-0.00446571,0.00428484,0.00519095,-0.00167926
2018-02,-0.00696662,-0.00658812,-0.0215943,-0.00764546,-0.00810162,-0.00196489,-0.06073501,-0.01024552,-0.00313718,-0.0248865,-0.0029344,0.00071247,0.00041118,0.01287416,-0.00730519,-0.00737463,-0.00625782
2018-01,-0.00983763,-0.01221945,-0.012354,-0.00947139,-0.00783575,-0.00417047,0.00203915,-0.00786178,-0.00809488,-0.00956149,-0.00375469,0.00142712,0.00109694,0.01206784,-0.01041458,-0.01090513,-0.04422311
2017-12,0.00152832,-0.00024851,0.00886644,0.00281546,0.00099216,-0.00039057,-0.00040833,0.00237356,-0.00084555,0.00757326,0.00062552,0.00091827,0.00164699,-0.00130634,0.0006006,0.00254823,0.00481541
2017-11,-0.00191223,-0.00322861,0.00318327,-0.00179326,0.00069624,-0.00246753,0.00163867,-0.00173706,-0.00206495,0.00083264,-0.00249688,0.00040829,0.0012366,0.00326691,-0.00160256,-0.00036443,0.00768919
2017-10,0.00038274,-0.00037262,0.0,0.00012819,0.00039789,-0.00012982,0.00040917,0.00118982,0.000469,0.00369004,0.00041606,0.00143164,0.00137514,0.0022846,0.00040096,0.0003647,-0.01629571
2017-09,-0.0035302,-0.00642055,-0.0014825,-0.00306592,-0.00228197,-0.00258933,0.00328407,-0.00309795,-0.00298898,-0.00300702,-0.00124585,0.00122913,0.00027533,0.00131191,-0.0022,-0.00435888,-0.00631662
2017-08,0.00661236,0.00844511,0.01517416,0.00667608,0.00829419,0.00298507,0.00495868,0.00567818,0.00421427,0.01688049,0.00291484,0.00123102,-0.00055013,-0.00554468,0.00702952,0.00694191,0.00436335
2017-07,0.00511929,0.00993086,0.0047619,0.00609519,0.0071652,0.00430304,0.0062448,0.0037795,0.00537634,0.0073429,0.00397656,0.00113029,0.00082679,-0.00681818,0.00546227,0.00589319,0.01859337
2017-06,0.00028932,-0.00224972,0.00937097,0.00025944,-0.00010085,-0.00078115,0.00083091,0.00129092,-0.00291518,0.00806452,0.00041832,0.00154448,0.00138026,-0.00422078,-0.00020202,0.00036765,-0.00121655
2017-05,0.00953678,0.0095887,0.02508401,0.00903378,0.0071066,0.00326499,0.01823579,0.01145571,0.00595857,0.02109334,0.00398741,0.00144345,0.0019337,-0.00452489,0.0081483,0.01002227,0.01697723
2017-04,0.0053669,0.00761808,0.00817898,0.00433128,0.00264766,0.00248561,0.01062022,0.00456536,0.0048433,0.01365733,0.00315524,0.00092908,0.00055287,-0.00801539,0.00511352,0.00521221,0.01598654
2017-03,0.00413061,0.00461007,0.00536128,0.00370175,0.00431079,0.00289131,0.00171013,0.00394144,0.00286314,0.0078853,0.00168883,0.0016546,0.00332871,0.00032072,0.00411862,0.00412603,0.0016899
2017-02,0.00789266,0.00939148,0.02188883,0.00796284,0.00898018,0.00223508,0.01818182,0.00961448,0.0044946,0.0217116,0.00295921,0.00196912,0.00013845,-0.00890019,0.00889532,0.00752729,0.00168421
2017-01,0.00108492,0.00399639,0.001718,0.00172528,0.00715768,0.00276753,0.01129944,0.00103705,0.00201092,0.00653832,0.00318066,0.00207706,-0.00055409,0.00223001,0.00103306,0.00150546,0.02372735
2016-12,0.00585899,0.00387998,0.01564064,0.00493531,0.01336279,0.00026368,0.02216312,0.00323378,0.00297733,0.02241156,0.00425713,0.00114345,0.00194553,-0.00663507,0.00249118,0.00453858,0.02891459
2016-11,-0.02518333,-0.03227414,-0.0593586,-0.02551153,-0.02330097,-0.01029853,-0.02792096,-0.02565286,-0.01929412,-0.05467128,-0.00885515,0.00062415,-0.00138908,0.024788,-0.02363636,-0.02430044,-0.04737945
2016-10,-0.00708609,-0.00790611,-0.02778091,-0.0083451,-0.0046786,-0.00130225,-0.00723404,-0.00976723,-0.00431439,-0.02615256,-0.00105285,0.00187656,-0.00027762,0.00655308,-0.00801925,-0.00730727,-0.05973101
