Week,AGG,BIV,BLV,BND,BOND,BSV,FWDB,GBF,GVI,ILTB,ISTB,MINT,RAVI,SAGG,SCHZ,SPAB,XMPT
2019-21,0.00292745,0.00271996,0.00794077,0.00245429,0.00179703,0.00125502,0.0,0.00254096,0.00207938,0.00951324,0.00261149,0.00029577,0.00066234,-0.00260417,0.00327049,0.00314575,0.00075672
2019-20,0.0048794,0.00524997,0.01234433,0.00494315,0.00313242,0.00188846,0.00078989,0.00441618,0.00308866,0.01045016,0.00140845,0.00049319,0.00092801,-0.00550162,0.00425614,0.00386507,0.00265957
2019-19,0.00165761,0.00083433,0.00295017,0.00086473,0.00199525,0.00012587,0.00396197,0.0014128,0.00118096,0.00483715,0.00040266,0.00049344,0.00026529,0.00097213,0.00135501,0.00035149,0.0
2019-18,0.00175568,0.00155763,0.00010975,0.0016119,0.00142857,0.00100985,-0.00158165,0.00132955,0.00154926,0.0,0.00100867,0.00059259,0.00106199,-0.00161551,0.00174859,0.0010582,0.00152555
2019-17,0.00064809,0.00012008,0.0035363,0.00111857,0.00085886,-0.00012634,0.00198177,0.00071061,-0.00063839,0.00504639,0.00020182,0.00059294,0.00053128,0.0,0.00077851,0.00106157,0.00500578
2019-16,0.00595072,0.0066369,0.014039,0.00636545,0.00402183,0.00316696,0.0063745,0.00651204,0.00439279,0.01313198,0.00384615,0.00069232,0.00212964,-0.00514469,0.00547089,0.00461648,0.0113237
2019-15,-0.0005569,-0.0007228,-0.00199336,-0.00037392,-0.00047847,0.00025332,0.00238663,-0.00017809,0.00054875,-0.00423177,0.0,0.00059388,0.00053241,0.00064454,-0.00117028,-0.00035461,-0.00733308
2019-14,-0.00064917,-0.0001205,0.00055389,-0.00074748,0.00095785,-0.00075949,0.00119427,0.00017814,-0.00018287,-0.00065232,-0.00040445,0.00059429,0.00066596,0.00129032,-0.00039002,-0.00106308,0.00426357
2019-13,0.00074212,0.0010846,-0.00044238,0.00087195,0.00143802,0.00037979,-0.00318471,-0.00026714,0.00054885,0.00114044,0.0,0.00059471,0.0,0.00032289,0.00019501,0.00035448,-0.00309598
2019-12,0.00231396,0.0,0.00906378,0.00186451,0.00201111,0.00025284,0.00400481,0.00213295,0.0001825,0.0081248,0.00020206,0.00049593,-0.00066613,-0.00129534,0.00253115,0.00141443,0.00506033
2019-11,0.00879244,0.01179618,0.02299762,0.0096758,0.0064703,0.00419474,0.00240385,0.01016278,0.00727038,0.02065978,0.00406174,0.00049628,0.00146862,-0.00833601,0.00904977,0.00893815,0.01501383
2019-10,0.00243742,0.00365809,0.00341025,0.00289673,0.00232288,0.00140003,0.00442122,0.00027032,0.00295121,0.00569801,0.00223896,0.00059601,0.00066729,-0.00095969,0.00137931,0.00215054,-0.00627943
2019-09,0.00622642,0.00638193,0.00976338,0.00607903,0.00408401,0.00293555,-0.00321285,0.005619,0.00323774,0.00828122,0.00244798,0.00049702,-0.00053405,-0.00350207,0.00555005,0.00576369,0.00833003
2019-08,-0.00441979,-0.00428711,-0.01163985,-0.00479798,-0.00184699,-0.00063816,0.00443727,-0.00352909,-0.00203327,-0.01055807,-0.00061187,0.00079602,0.00147197,0.00479233,-0.00415266,-0.00359583,0.00879297
2019-07,0.00037619,0.0007352,-0.00306853,-0.0001262,0.00077829,0.00089388,0.00323625,-0.00045163,0.00027752,-0.00200501,0.00102062,0.00049781,0.00026759,-0.00063959,-0.00019763,0.0,0.00079808
2019-06,0.00065913,0.00036805,0.0003413,0.0005055,0.00068273,0.00038339,0.00365112,-0.00054269,0.00083341,0.00100452,0.00081733,9.959e-05,0.00080364,-0.00031949,0.00059394,-0.00035984,0.00401123
2019-05,0.00434577,0.00504988,0.00986578,0.00405885,0.00234535,0.00256082,0.00244101,0.00517429,0.00362151,0.00893309,0.00266066,0.00079769,0.00187793,-0.00446144,0.00556771,0.00542103,0.00242131
2019-04,0.00579132,0.00718088,0.01145833,0.00483892,0.00520475,0.00256608,0.004095,0.00592849,0.00391244,0.01036357,0.00390144,0.0011982,0.0020145,-0.00571247,0.00538707,0.00435098,0.00568182
2019-03,0.00228245,0.00186104,0.00499709,0.00204238,0.00187082,0.00077032,0.00825083,0.00182648,0.00027954,0.00580403,0.0006164,0.00089964,0.00215112,-0.00031746,0.00159808,0.00072622,0.01186579
2019-02,-0.00038055,-0.0017374,-0.00069914,-0.00127698,0.00108438,-0.00064201,0.00536968,-0.00128053,-9.329e-05,0.00360268,-0.00041102,0.00110099,0.00255892,-0.00063472,-0.00079904,-0.00218023,-0.00408163
2019-01,0.00038016,0.00186428,-0.00196942,0.0001276,0.0023692,0.00115726,0.00414938,0.00091491,0.0023347,0.0,0.00041169,0.0009018,0.0,-0.0022194,0.00039952,0.00036364,0.01199338
2019-00,0.00190114,0.0028639,0.00267007,0.00293892,0.00158009,0.00064259,0.00798319,0.00192255,0.00037327,0.0072314,0.00185644,0.00030066,-0.00040442,-0.00031817,0.00260156,0.00145507,0.02215594
2018-51,0.00344234,0.00338261,-0.00105079,0.00243965,0.00228107,0.00128833,0.00806109,0.00165593,0.0024356,0.0,0.00435053,0.00060162,0.00175557,-0.00126662,0.00180832,0.00182615,0.00256739
2018-50,0.00239785,0.00150716,0.00587751,0.00193025,0.00328816,0.0016785,-0.01172039,0.00147547,0.00234962,0.00052011,-0.00062099,-0.00010027,-0.00026951,-0.00692913,0.00383219,0.0029347,0.00127877
2018-49,9.609e-05,0.00037779,0.00355282,0.00077409,0.00019948,0.00090591,-0.0029191,0.00120215,0.00065901,0.00437675,0.0016601,0.0,0.00053937,0.00031486,-0.00121139,-0.00036738,-0.01503759
2018-48,0.00648408,0.00659146,0.01226109,0.0063686,0.00582446,0.00259707,-0.0041511,0.00605609,0.00330657,0.0122536,0.00166389,-0.00030069,-0.00040431,0.0015758,0.00590271,0.00628466,0.00632378
2018-47,0.00233759,0.00229153,-0.00012114,0.00221787,0.00221841,0.00142987,0.0020816,-0.0008394,0.00123083,0.00232143,0.00083299,-0.0002004,0.0004042,0.0,0.00204248,0.00259933,0.01465517
2018-46,0.0,0.00050891,0.00169944,0.00026079,-0.0016116,-0.00051941,-0.00372517,0.00168161,0.0007575,0.0014273,0.00041684,0.0,0.00026947,-0.00187091,-0.00163165,-0.00111276,-0.00855798
2018-45,0.00341964,0.00344696,-0.00532365,0.00261472,0.00414309,0.00221383,0.00750626,0.00187231,0.00199411,-0.00088873,0.00229549,0.00010021,-0.00040415,-0.00062344,0.00307125,0.00447427,0.0017116
2018-44,0.00039158,0.00076756,0.00683344,0.00157377,-0.00010116,-0.00039088,0.00704225,0.00168982,0.00057088,0.00753228,0.0004178,0.00030078,0.00040437,0.0,0.00328812,0.00112108,0.00954447
2018-43,-0.00477723,-0.00598117,-0.01388051,-0.00522193,-0.00563891,-0.00156189,0.00247831,-0.00717815,-0.0044554,-0.01171875,-0.00125183,0.00020054,0.0,0.00093809,-0.00551696,-0.00556793,-0.00565217
2018-42,0.00528686,0.00691421,0.00569421,0.0047176,0.00485633,0.00352434,-0.00246914,0.00581614,0.00456969,0.00730057,0.00313545,0.00040136,0.0006744,0.0,0.00451282,0.00522583,0.00043478
2018-41,-0.00292797,-0.00229944,-0.00696864,-0.00222193,-0.00333098,-0.00013048,-0.00574713,-0.00280741,-0.00133118,-0.00723487,-0.00104341,0.00010036,0.00067458,0.0,-0.00225087,-0.00223297,-0.00043365
2018-40,0.00440831,0.00423294,0.01152074,0.00380378,0.00314019,0.00091432,-0.00329354,0.00497699,0.0018097,0.01104185,0.00125418,0.00030117,-0.0013488,-0.00530256,0.00348861,0.00447761,0.0
2018-39,-0.00863994,-0.00813939,-0.02233251,-0.00767629,-0.00842359,-0.00182577,-0.01014199,-0.01003717,-0.00436474,-0.02067767,-0.00271059,0.00030124,-0.00053952,0.00849858,-0.00773301,-0.00776915,-0.0229837
2018-38,0.00155521,0.00280219,0.00473149,0.00247364,0.00050206,0.00104384,-0.00121951,0.00344763,0.00104394,0.00573614,0.00187931,0.00040185,0.0012154,0.00062992,0.00142566,0.00296406,0.00250941
2018-37,-0.00203508,-0.00317058,-0.00749678,-0.00194679,-0.0027046,-0.00078186,-0.00689935,-0.00417401,-0.00123223,-0.00758752,-0.00020868,0.00020101,0.0,0.00859599,-0.00263959,-0.00369004,-0.00909843
2018-36,-0.00222394,-0.00240445,-0.00210354,-0.00245955,-0.00289913,-0.0009117,0.00612495,-0.00166713,-0.00236653,-0.00068835,0.00020859,0.00030166,-0.00013512,-0.01206349,-0.00141901,-0.00220913,-0.00734394
2018-35,-0.00241383,-0.00189466,-0.00408449,-0.00142284,-0.00129741,-0.00104112,-0.00608766,-0.0029594,-0.00132463,-0.00189753,-0.00020846,0.00030178,0.00162382,0.00446429,-0.00222537,-0.00110375,-0.00122399
2018-34,-0.0017331,-0.00075643,-0.00554785,-0.00103212,-0.00249103,0.00026035,-0.00242915,-0.00129151,0.00037814,-0.00697398,-0.00062461,0.00020129,0.00054149,-0.00063735,-0.00100929,-0.00036711,-0.001628
2018-33,0.00048105,0.0003776,0.00230574,0.00064466,0.00119605,-0.00026018,0.00285016,0.00138274,0.0,0.00187075,-0.00041641,0.00060429,0.0,0.0,0.00141328,0.0,0.0004075
2018-32,0.00164156,0.00215054,0.00758283,0.00206986,0.00059988,0.00104289,-0.00162602,0.00092481,0.00141951,0.00705437,0.00104297,0.00020149,0.00027075,0.00063694,0.00060704,0.00110335,0.00204499
2018-31,0.00183895,0.00240872,0.00280112,0.00194452,0.00120228,0.00052178,-0.00040634,0.00166744,0.0020863,0.00017209,0.00020868,0.00060484,0.0009489,-0.00380711,0.00202963,0.00368868,-0.00040883
2018-30,0.00232987,0.00330957,0.00363636,0.00286272,0.00311683,0.0011757,0.00285249,0.00195294,0.00114025,0.00345363,0.00146321,0.00050429,0.00081378,0.0,0.00183225,0.00111029,0.00328677
2018-29,0.00174859,0.00152847,0.00765967,0.00130141,0.00070394,0.00026144,0.00163265,0.00158346,0.00104603,0.00642138,0.00020925,0.00050459,-0.00013565,0.00350207,0.00020354,0.00111111,-0.002456
2018-28,-0.00116032,-0.00025371,-0.00948635,-0.00116611,-0.00110121,0.00052247,-0.00040816,-0.00277726,0.0,-0.00769099,-0.00020916,0.00040392,0.00163066,0.0,-0.00060815,-0.0018423,0.00328812
2018-27,0.00174165,0.0031742,0.00626595,0.00155501,0.00120337,0.00052253,-0.00569337,0.00166914,0.00066433,0.00702897,0.00041841,0.000101,0.00081599,-0.00063694,0.00162272,0.00221321,0.00371747
2018-26,0.00407648,0.00496752,0.01492011,0.00455196,0.00170734,0.00104603,0.00820008,0.0043725,0.00294789,0.01302536,0.001886,0.00070757,0.0019045,-0.00380952,0.00284669,0.00332963,-0.00246914
2018-25,0.00418695,0.00357416,0.00875429,0.00299831,0.0026215,0.00065394,0.00329083,0.00279825,0.00171233,0.00926411,0.00062867,-0.00010109,0.00013609,-0.00126823,0.00264982,0.00259548,0.00330715
2018-24,0.00038941,0.00076677,-0.00353607,0.00052165,-0.00070593,0.00065462,-0.00041034,9.327e-05,-0.00028566,-0.00191838,0.00083875,0.00030346,0.00040839,-0.00094967,0.000408,-0.00111235,0.00539867
2018-23,0.00224456,0.00076717,0.0072292,0.0015674,0.00273113,0.00013094,0.0,0.00345762,0.0,0.00472441,0.0010491,0.00010118,0.00040872,-0.00126622,0.00081716,0.00222965,-0.00289376
2018-22,-0.00077935,0.00012788,-0.00106408,-0.00065206,0.00020204,0.00144149,-0.00327332,9.327e-05,0.00066711,-0.00745363,0.00083963,0.00030364,-0.00108932,0.00190355,-0.00020408,0.0,-0.00123711
2018-21,-0.00464351,-0.00620961,-0.01055929,-0.00504985,-0.00461569,-0.00378343,0.00617538,-0.00674365,-0.00445118,-0.00942265,-0.00188166,-0.00040465,-0.00054459,-0.01101668,-0.00243655,-0.00258398,0.00537412
2018-20,0.00765381,0.00914124,0.01664471,0.00748719,0.00680894,0.00328343,0.00574713,0.00657586,0.00517043,0.01762425,0.00357895,0.00070908,0.00027252,0.0,0.00595972,0.00672646,0.00752823
2018-19,-0.00429939,-0.00372177,-0.01289483,-0.00366444,-0.00506227,-0.00052514,-0.00368249,-0.00495698,-0.00114701,-0.01582609,-0.00084157,0.00030401,0.00204778,0.00792896,-0.00450543,-0.00446761,-0.00417014
2018-18,0.00048833,0.0,0.00545606,0.0011777,-0.00030352,-0.00026243,0.00206868,0.00131098,-0.00028645,0.01017009,0.0,0.00030417,0.00068213,0.00031726,0.00020471,-0.00037216,0.00208768
2018-17,0.00097714,0.00038457,-0.00306966,0.0001308,0.00070879,0.0002625,-0.0037037,0.0,9.551e-05,-0.0026087,0.00021035,0.00010142,0.00164069,-0.00095087,-0.00020462,-0.00111607,0.00630252
2018-16,0.00029328,0.0014117,0.00059074,0.00039277,0.00141916,0.00131423,0.00330306,9.359e-05,0.00076511,-0.00069553,0.00042096,0.00081218,-0.00040995,0.00605867,0.000205,0.00074488,0.00422297
2018-15,-0.00766023,-0.00750541,-0.01956698,-0.00779018,-0.00563607,-0.00275121,0.01498127,-0.00445517,-0.00352347,-0.01789366,-0.00167997,-0.0001015,0.00068399,0.00416266,-0.00671141,-0.00738552,-0.00586756
2018-14,-0.00183912,-0.00291545,-0.00161775,-0.00220264,-0.00271112,-0.00130856,0.00081599,-0.0009267,-0.00332226,-0.00102145,-0.00167574,0.00020313,0.00082113,-0.00159847,-0.00324544,-0.00184434,-0.0020903
2018-13,9.689e-05,-0.00038042,-0.00299954,0.0,-0.00060265,0.0,0.0045156,-0.0041605,0.00085511,-0.00034025,0.00062854,0.00030475,0.00027409,0.00675893,-0.00243408,-0.00110579,0.00505051
2018-12,0.00642899,0.00651175,0.01717445,0.00573888,0.0047379,0.00170537,0.00329489,0.00474595,0.00371889,0.0174801,0.00273224,0.00010165,0.00013693,-0.00383019,0.00489996,0.0055638,0.00634786
2018-11,0.00019478,0.00012755,-0.0041022,0.00052172,-0.0002018,0.000656,-0.00898326,-0.00074419,0.00209924,-0.00276291,0.00063025,0.0,0.0005478,-0.00095663,0.00020416,-0.00037078,-0.00211416
2018-10,0.00253584,0.00114825,0.00777385,0.00156658,0.00151439,0.0,0.00821693,0.00186463,-0.00057192,0.00466402,-0.00041955,-0.00010167,0.0,-0.00254777,0.00143032,0.00148478,-0.00335993
2018-09,-0.00029268,-0.00038304,-0.00235738,0.0,0.0,-0.00026236,0.01203819,0.00102737,-0.00019075,-0.00138456,0.00063025,0.00071218,0.00095943,0.00063776,0.0002045,0.0,0.0
2018-08,-0.00019499,-0.00216533,-0.00317572,-0.00104371,0.00010082,-0.00078668,-0.00938776,-0.00139691,-0.00076183,-0.00327586,0.0,0.00020346,0.0,0.00063816,-0.00040841,-0.00111276,-0.00460059
2018-07,-0.00058508,0.00191498,-0.00023549,0.00013055,-0.00050439,0.00091876,0.01201326,0.00130585,0.00190858,0.0,0.00105152,0.00030534,0.00041102,0.00031878,-0.00061312,0.00037161,-0.00334308
2018-06,9.742e-05,-0.00076414,0.00352858,0.00078309,-0.00191764,-0.00104808,0.00917049,0.00130305,-0.00114188,0.00344828,-0.00020995,-0.00040696,-0.00027386,0.00159439,0.00081716,-0.00111317,0.00797984
2018-05,-0.0080232,-0.00720971,-0.02395485,-0.00879917,-0.00690622,-0.00196002,-0.02201386,-0.00776412,-0.00473261,-0.02219963,-0.0027208,-0.00010172,0.00082181,0.00288184,-0.00770947,-0.00847145,0.00677392
2018-04,-0.00684337,-0.00831548,-0.01940095,-0.00735389,-0.004995,-0.00156965,-0.0097561,-0.00681337,-0.00369703,-0.01930759,-0.00188482,0.00040725,0.00041135,0.00774943,-0.00606551,-0.00697248,-0.01451078
2018-03,0.0021213,0.00050365,0.00625213,0.00245383,0.00179892,0.0,0.00818666,0.0008282,0.00028414,0.00667111,0.00146658,0.00030556,-0.00041113,-0.00129157,0.00060569,0.00036684,-0.01371521
2018-02,-0.00536861,-0.00638138,-0.01412714,-0.00513545,-0.00546774,-0.00208741,0.00611496,-0.00649469,-0.00245538,-0.01301054,-0.00146352,0.00020381,0.00068559,0.00519818,-0.0054206,-0.00583303,-0.00441235
2018-01,-0.00248685,-0.00299476,-0.0022414,-0.00294607,-0.00287556,-0.00026082,0.00406669,-0.00219459,-0.00169555,-0.00098912,-0.0006263,0.00040775,0.0005487,0.00097624,-0.00200481,-0.00254731,-0.00913786
2018-00,-0.00124164,-0.00024938,0.00235849,-0.00089594,-9.919e-05,-0.00052131,0.00203915,0.00118841,-0.00075301,0.00230795,-0.00104297,0.0,-0.00054847,0.00228311,-0.00060084,-0.00145402,0.00398406
