Week,EMIF,FXU,GII,IDU,IGF,INXX,JXI,PSCU,PUI,RYU,SDP,UPW,VPU,XLU
2019-21,0.0147656,-0.00880282,-0.00748179,-0.01579832,-0.00688583,-0.00175901,-0.01347112,-0.01557936,-0.02018634,-0.01474075,0.03450164,-0.0346492,-0.01588878,-0.01478335
2019-20,0.00636704,0.00523195,0.00946932,0.01422723,0.01202405,-0.02170139,0.01553254,-0.00730769,0.00710534,0.01252181,-0.02855574,0.02730082,0.01425957,0.01647978
2019-19,-0.01847746,0.00712251,0.00614592,0.0027628,0.00760116,0.01488372,0.0005569,0.00114504,0.00495663,0.00113192,-0.00382096,0.00362945,0.00252603,0.00341413
2019-18,-0.02107896,-0.00177054,-0.00118297,-0.00074871,-0.00155659,-0.05762712,0.00187161,-0.01042248,-0.00124922,-0.00187188,0.00534759,-0.00352299,-0.00015468,-0.00034495
2019-17,0.0042508,0.01492537,0.00471884,0.00990911,0.00199601,0.00592217,0.00825671,0.01043643,0.01196474,0.00992478,-0.01430843,0.01826241,0.0102596,0.00934903
2019-16,-0.00423729,-0.00600071,0.00789266,0.01574151,0.00690423,-0.00170213,0.00998493,0.00858943,0.01527689,0.01326316,-0.03120125,0.03105814,0.01593532,0.01502446
2019-15,-0.00385289,-0.01124385,-0.0082224,-0.01534388,-0.00642873,-0.00083963,-0.0124489,-0.01486436,-0.01534126,-0.01757469,0.02847931,-0.03149055,-0.01566721,-0.01563574
2019-14,-0.00659493,0.00635593,0.00452133,0.0093842,0.00155211,-0.00501672,0.00223256,0.0027819,0.00534255,0.00928534,-0.01531151,0.01526176,0.00911144,0.00901369
2019-13,0.00591099,0.00566372,0.00453738,0.00423439,0.00601202,0.00249169,0.00464598,0.01020976,0.00031182,0.00499584,-0.00425532,0.00830095,0.00489396,0.00571231
2019-12,0.00632467,-0.01256983,0.00476853,-0.0060054,0.00448229,0.01617021,-0.0091659,0.00279955,-0.00828221,-0.00717434,0.01581243,-0.01035197,-0.00544855,-0.00632046
