Month,SVXY,TVIX,UVXY,VIIX,VIXM,VIXY,XVZ,ZIV
2019-05,-0.06741161,0.13061997,0.12563263,0.10035524,0.0422666,0.09680365,-0.00596529,-0.0433608
2019-04,0.05396705,-0.22178374,-0.16010568,-0.10608553,-0.0065666,-0.10584251,0.02674095,0.00319107
2019-03,0.0034496,-0.07335223,-0.04843444,-0.02523659,0.02177,-0.02634779,0.01460674,-0.02444152
2019-02,0.05389222,-0.21822358,-0.15933116,-0.10391363,-0.07566638,-0.10533611,-0.03180593,0.08397278
2019-01,0.12095836,-0.40257794,-0.3212269,-0.22019781,-0.11064797,-0.22183663,-0.07707413,0.12168359
2018-12,-0.17959659,0.99521666,0.70983264,0.44436364,0.16159861,0.43959732,0.09301131,-0.14421306
2018-11,0.01478331,-0.12922943,-0.09117801,-0.04947917,-0.02338941,-0.05307076,-0.00549176,0.01100372
2018-10,-0.18060708,0.90431739,0.66749723,0.42549372,0.21226874,0.42561032,0.04322917,-0.1837517
2018-09,0.04325565,-0.17284727,-0.13309776,-0.08272506,-0.03092784,-0.08773389,-0.00157068,0.03256113
2018-08,0.02532562,-0.14834867,-0.10626993,-0.06549886,-0.00930233,-0.06666667,0.03131749,0.00556346
2018-07,0.08018868,-0.29273343,-0.22635408,-0.1532567,-0.05938448,-0.15617868,-0.02884111,0.06205846
2018-06,-0.03490137,0.0449505,0.05380017,0.04411765,0.02084257,0.04234973,0.00744285,-0.02425222
2018-05,0.03938907,-0.21459227,-0.15186441,-0.09565217,-0.05687398,-0.09665977,-0.01775457,0.05459021
2018-04,0.1058296,-0.35892857,-0.28800755,-0.19908676,-0.09287812,-0.1992069,-0.1030445,0.09747467
2018-03,-0.01095198,-0.04944501,-0.01645435,-0.00249377,0.02878257,-0.0007657,0.07131537,-0.03546634
2018-02,-0.89948221,0.47028862,0.58518519,0.52854812,0.17758784,0.52620632,-0.12728082,-0.22990444
2018-01,-0.10914165,0.21856867,0.22222222,0.11072056,0.02883229,0.11061352,-0.02532751,-0.02972823
2017-12,0.16809402,-0.28700129,-0.28047921,-0.15129683,-0.11209068,-0.15077036,-0.02548853,0.12571429
2017-11,0.0573517,-0.13238771,-0.12944984,-0.06323836,0.00905172,-0.06287531,0.02659111,-0.01204523
2017-10,0.12384841,-0.22785978,-0.22548028,-0.11426807,-0.06623586,-0.11557789,-0.01418135,0.06946265
2017-09,0.16735151,-0.28786926,-0.28818245,-0.15266393,-0.03857907,-0.1517601,0.02420775,0.03761062
