,Date,NAV
1,2019-03-21,37
2,2019-03-20,36.52
3,2019-03-19,36.66
4,2019-03-18,36.38
5,2019-03-15,36.16
6,2019-03-14,35.66
7,2019-03-13,35.89
8,2019-03-12,36.07
9,2019-03-11,36.38
10,2019-03-08,36.08
11,2019-03-07,36.45
12,2019-03-06,37.38
13,2019-03-05,37.52
14,2019-03-04,37.52
15,2019-03-01,37.7
16,2019-02-28,37.68
17,2019-02-27,38
18,2019-02-26,38.26
19,2019-02-25,38.14
20,2019-02-22,38.29
21,2019-02-21,38.1
22,2019-02-20,37.68
23,2019-02-19,37.34
24,2019-02-15,36.94
25,2019-02-14,37.09
26,2019-02-13,37.5
27,2019-02-12,37.38
28,2019-02-11,37.4
29,2019-02-08,37.39
30,2019-02-07,37.48
31,2019-02-06,38.15
32,2019-02-05,38.25
33,2019-02-04,37.93
34,2019-02-01,37.85
35,2019-01-31,37.63
36,2019-01-30,37.05
37,2019-01-29,36.45
38,2019-01-28,36.39
39,2019-01-25,36.67
40,2019-01-24,36.1
41,2019-01-23,36.07
42,2019-01-22,35.73
43,2019-01-18,36.4
44,2019-01-17,35.77
45,2019-01-16,35.73
46,2019-01-15,35.22
47,2019-01-14,35.17
48,2019-01-11,35.76
49,2019-01-10,35.84
50,2019-01-09,35.74
51,2019-01-08,34.89
52,2019-01-07,34.51
53,2019-01-04,34.18
54,2019-01-03,33.02
55,2019-01-02,33.47
56,2018-12-31,33.03
57,2018-12-28,32.9
58,2018-12-27,32.38
59,2018-12-26,32.62
60,2018-12-24,31.53
61,2018-12-21,32.1
62,2018-12-20,32.56
63,2018-12-19,34.37
64,2018-12-18,35.06
65,2018-12-17,35.14
66,2018-12-14,35.7
67,2018-12-13,35.93
68,2018-12-12,35.98
69,2018-12-11,35.36
70,2018-12-10,35.24
71,2018-12-07,35.45
72,2018-12-06,36.35
73,2018-12-04,36.88
74,2018-12-03,38.01
75,2018-11-30,36.45
76,2018-11-29,36.65
77,2018-11-28,37.19
78,2018-11-27,36.57
79,2018-11-26,36.72
80,2018-11-23,35.55
81,2018-11-21,35.6
82,2018-11-20,34.58
83,2018-11-19,35.58
84,2018-11-16,36.2
85,2018-11-15,35.9
86,2018-11-14,35.3
87,2018-11-13,34.92
88,2018-11-12,34.43
89,2018-11-09,35.12
90,2018-11-08,36.19
91,2018-11-07,37.3
92,2018-11-06,36.77
93,2018-11-05,37
94,2018-11-02,37.59
95,2018-11-01,37.21
96,2018-10-31,35.49
97,2018-10-30,34.37
98,2018-10-29,34.27
99,2018-10-26,34.89
100,2018-10-25,35.42
101,2018-10-24,35
102,2018-10-23,36.12
103,2018-10-22,37.42
104,2018-10-19,37.53
105,2018-10-18,37.65
106,2018-10-17,38.04
107,2018-10-16,37.9
108,2018-10-15,37.08
109,2018-10-12,37.2
110,2018-10-11,36.65
111,2018-10-10,36.91
112,2018-10-09,37.77
113,2018-10-08,37.6
114,2018-10-05,38.36
115,2018-10-04,38.9
116,2018-10-03,39.48
117,2018-10-02,39.01
118,2018-10-01,39.63
119,2018-09-28,39.7
120,2018-09-27,39.93
121,2018-09-26,40.38
122,2018-09-25,40.47
123,2018-09-24,40.44
124,2018-09-21,41.01
125,2018-09-20,40.91
126,2018-09-19,40.75
127,2018-09-18,40.34
128,2018-09-17,39.97
129,2018-09-14,40.04
130,2018-09-13,39.92
131,2018-09-12,39.24
132,2018-09-11,39.36
133,2018-09-10,39.74
134,2018-09-07,39.78
135,2018-09-06,40.4
136,2018-09-05,41.59
137,2018-09-04,42.03
138,2018-08-31,42.76
139,2018-08-30,42.85
140,2018-08-29,43.42
141,2018-08-28,43.2
142,2018-08-27,43.37
143,2018-08-24,42.7
144,2018-08-23,42.34
145,2018-08-22,42.78
146,2018-08-21,42.57
147,2018-08-20,42.2
148,2018-08-17,41.86
149,2018-08-16,41.46
150,2018-08-15,41.26
151,2018-08-14,42.47
152,2018-08-13,42.68
153,2018-08-10,43.35
154,2018-08-09,43.89
155,2018-08-08,43.75
156,2018-08-07,43.87
157,2018-08-06,43.59
158,2018-08-03,43.83
159,2018-08-02,44.25
160,2018-08-01,45
161,2018-07-31,46.09
162,2018-07-30,45.87
163,2018-07-27,45.96
164,2018-07-26,46.11
165,2018-07-25,47
166,2018-07-24,46.15
167,2018-07-23,45.9
168,2018-07-20,46.14
169,2018-07-19,45.87
170,2018-07-18,46.08
171,2018-07-17,46.14
172,2018-07-16,46.31
173,2018-07-13,46.09
174,2018-07-12,45.93
175,2018-07-11,45.19
176,2018-07-10,45.71
177,2018-07-09,45.44
178,2018-07-06,44.64
179,2018-07-05,44
180,2018-07-03,44
181,2018-07-02,44.36
182,2018-06-29,45.85
183,2018-06-28,45.39
184,2018-06-27,45.54
185,2018-06-26,46.11
186,2018-06-25,46.29
187,2018-06-22,47.52
188,2018-06-21,47.55
189,2018-06-20,47.72
190,2018-06-19,47.26
191,2018-06-18,47.9
192,2018-06-15,47.68
193,2018-06-14,48.52
194,2018-06-13,48.19
195,2018-06-12,49
196,2018-06-11,48.88
197,2018-06-08,48.22
198,2018-06-07,48.67
199,2018-06-06,48.8
200,2018-06-05,48.28
201,2018-06-04,49.12
202,2018-06-01,49.42
203,2018-05-31,49.84
204,2018-05-30,49.6
205,2018-05-29,49.35
206,2018-05-25,49.86
207,2018-05-24,49.71
208,2018-05-23,49.55
209,2018-05-22,50
210,2018-05-21,50.29
211,2018-05-18,49.35
212,2018-05-17,49.47
213,2018-05-16,49.31
214,2018-05-15,49
215,2018-05-14,49.52
216,2018-05-11,48.45
217,2018-05-10,48.39
218,2018-05-09,47.63
219,2018-05-08,47.46
220,2018-05-07,47.67
221,2018-05-04,47.75
222,2018-05-03,47.56
223,2018-05-02,47.73
224,2018-05-01,47.03
225,2018-04-30,46.83
226,2018-04-27,46.91
227,2018-04-26,46.73
