,Date,NAV
1,2019-03-21,31.89
2,2019-03-20,32.06
3,2019-03-19,31.90
4,2019-03-18,31.87
5,2019-03-15,31.78
6,2019-03-14,31.47
7,2019-03-13,31.57
8,2019-03-12,31.29
9,2019-03-11,31.30
10,2019-03-08,30.89
11,2019-03-07,31.11
12,2019-03-06,31.53
13,2019-03-05,31.64
14,2019-03-04,31.68
15,2019-03-01,31.69
16,2019-02-28,31.57
17,2019-02-27,31.55
18,2019-02-26,31.70
19,2019-02-25,31.65
20,2019-02-22,31.66
21,2019-02-21,31.48
22,2019-02-20,31.66
23,2019-02-19,31.63
24,2019-02-15,31.58
25,2019-02-14,31.39
26,2019-02-13,31.34
27,2019-02-12,31.35
28,2019-02-11,31.39
29,2019-02-08,31.31
30,2019-02-07,31.19
31,2019-02-06,31.38
32,2019-02-05,31.46
33,2019-02-04,31.31
34,2019-02-01,31.42
35,2019-01-31,31.36
36,2019-01-30,31.42
37,2019-01-29,31.32
38,2019-01-28,31.26
39,2019-01-25,31.29
40,2019-01-24,31.12
41,2019-01-23,31.22
42,2019-01-22,31.15
43,2019-01-18,31.28
44,2019-01-17,31.05
45,2019-01-16,31.22
46,2019-01-15,31.21
47,2019-01-14,31.18
48,2019-01-11,31.21
49,2019-01-10,31.21
50,2019-01-09,31.16
51,2019-01-08,30.90
52,2019-01-07,30.97
53,2019-01-04,30.83
54,2019-01-03,30.57
55,2019-01-02,30.62
56,2018-12-31,30.64
57,2018-12-28,30.75
58,2018-12-27,30.59
59,2018-12-26,30.67
60,2018-12-24,30.51
61,2018-12-21,30.42
62,2018-12-20,30.62
63,2018-12-19,30.77
64,2018-12-18,30.73
65,2018-12-17,30.72
66,2018-12-14,30.87
67,2018-12-13,30.85
68,2018-12-12,30.86
69,2018-12-11,30.87
70,2018-12-10,30.87
71,2018-12-07,30.84
72,2018-12-06,30.89
73,2018-12-04,30.93
74,2018-12-03,31.15
75,2018-11-30,31.03
76,2018-11-29,31.07
77,2018-11-28,31.20
78,2018-11-27,31.01
79,2018-11-26,31.21
80,2018-11-23,30.99
81,2018-11-21,31.06
82,2018-11-20,30.85
83,2018-11-19,30.98
84,2018-11-16,31.06
85,2018-11-15,31.11
86,2018-11-14,31.05
87,2018-11-13,31.12
88,2018-11-12,31.00
89,2018-11-09,31.25
90,2018-11-08,31.27
91,2018-11-07,31.19
92,2018-11-06,31.16
93,2018-11-05,30.96
94,2018-11-02,31.26
95,2018-11-01,31.39
96,2018-10-31,30.91
97,2018-10-30,30.59
98,2018-10-29,30.29
99,2018-10-26,30.52
100,2018-10-25,30.74
101,2018-10-24,30.39
102,2018-10-23,31.11
103,2018-10-22,31.48
104,2018-10-19,31.61
105,2018-10-18,31.41
106,2018-10-17,31.94
107,2018-10-16,32.08
108,2018-10-15,31.58
109,2018-10-12,31.57
110,2018-10-11,31.68
111,2018-10-10,32.07
112,2018-10-09,32.72
113,2018-10-08,32.69
114,2018-10-05,32.99
115,2018-10-04,33.29
116,2018-10-03,33.67
117,2018-10-02,33.62
118,2018-10-01,33.82
119,2018-09-28,33.78
120,2018-09-27,34.03
121,2018-09-26,34.21
122,2018-09-25,34.08
123,2018-09-24,33.96
124,2018-09-21,34.22
125,2018-09-20,34.23
126,2018-09-19,33.93
127,2018-09-18,33.73
128,2018-09-17,33.53
129,2018-09-14,33.25
130,2018-09-13,33.37
131,2018-09-12,33.26
132,2018-09-11,33.00
133,2018-09-10,32.94
134,2018-09-07,32.68
135,2018-09-06,33.09
136,2018-09-05,33.06
137,2018-09-04,33.29
138,2018-08-31,33.52
139,2018-08-30,33.92
140,2018-08-29,34.24
141,2018-08-28,34.04
142,2018-08-27,34.04
143,2018-08-24,33.61
144,2018-08-23,33.45
145,2018-08-22,33.67
146,2018-08-21,33.48
147,2018-08-20,33.45
148,2018-08-17,33.29
149,2018-08-16,33.10
150,2018-08-15,32.85
151,2018-08-14,33.34
152,2018-08-13,33.10
153,2018-08-10,33.30
154,2018-08-09,33.95
155,2018-08-08,33.93
156,2018-08-07,33.80
157,2018-08-06,33.82
158,2018-08-03,33.76
159,2018-08-02,33.75
160,2018-08-01,33.88
161,2018-07-31,34.01
162,2018-07-30,33.96
163,2018-07-27,33.95
164,2018-07-26,33.92
165,2018-07-25,34.07
166,2018-07-24,33.81
167,2018-07-23,33.69
168,2018-07-20,33.85
169,2018-07-19,33.60
170,2018-07-18,33.71
171,2018-07-17,33.71
172,2018-07-16,33.65
173,2018-07-13,33.66
174,2018-07-12,33.58
175,2018-07-11,33.29
176,2018-07-10,33.92
177,2018-07-09,33.74
178,2018-07-06,33.50
179,2018-07-05,33.30
180,2018-07-03,32.96
181,2018-07-02,32.90
182,2018-06-29,33.44
183,2018-06-28,33.17
184,2018-06-27,33.18
185,2018-06-26,33.47
186,2018-06-25,33.42
187,2018-06-22,33.91
188,2018-06-21,33.62
189,2018-06-20,33.73
190,2018-06-19,33.77
191,2018-06-18,34.09
192,2018-06-15,34.35
193,2018-06-14,34.56
194,2018-06-13,34.66
195,2018-06-12,34.63
196,2018-06-11,34.64
197,2018-06-08,34.56
198,2018-06-07,34.48
199,2018-06-06,34.67
200,2018-06-05,34.46
201,2018-06-04,34.50
202,2018-06-01,34.33
203,2018-05-31,34.12
204,2018-05-30,34.19
205,2018-05-29,33.72
206,2018-05-25,34.34
207,2018-05-24,34.53
208,2018-05-23,34.67
209,2018-05-22,34.96
210,2018-05-21,34.92
211,2018-05-18,34.81
212,2018-05-17,34.80
213,2018-05-16,34.80
214,2018-05-15,34.76
215,2018-05-14,34.94
216,2018-05-11,34.95
217,2018-05-10,34.87
218,2018-05-09,34.67
219,2018-05-08,34.58
220,2018-05-07,34.50
221,2018-05-04,34.45
222,2018-05-03,34.37
223,2018-05-02,34.36
224,2018-05-01,34.43
225,2018-04-30,34.50
226,2018-04-27,34.52
227,2018-04-26,34.58
228,2018-04-25,34.26
229,2018-04-24,34.39
230,2018-04-23,34.55
231,2018-04-20,34.49
232,2018-04-19,34.73
233,2018-04-18,34.87
234,2018-04-17,34.64
235,2018-04-16,34.65
236,2018-04-13,34.37
237,2018-04-12,34.49
238,2018-04-11,34.27
239,2018-04-10,34.41
240,2018-04-09,34.27
241,2018-04-06,33.80
242,2018-04-05,34.10
243,2018-04-04,33.90
244,2018-04-03,33.96
245,2018-04-02,33.64
246,2018-03-29,34.27
247,2018-03-28,34.00
248,2018-03-27,33.65
249,2018-03-26,33.97
250,2018-03-23,33.52
251,2018-03-22,33.65
252,2018-03-21,34.32
253,2018-03-20,34.29
254,2018-03-19,34.25
255,2018-03-16,34.41
256,2018-03-15,34.56
257,2018-03-14,34.35
258,2018-03-13,34.41
259,2018-03-12,34.69
260,2018-03-09,34.60
261,2018-03-08,34.36
262,2018-03-07,34.25
263,2018-03-06,34.22
264,2018-03-05,34.06
265,2018-03-02,33.93
266,2018-03-01,33.76
267,2018-02-28,34.44
268,2018-02-27,34.61
269,2018-02-26,35.05
270,2018-02-23,34.71
271,2018-02-22,34.34
272,2018-02-21,34.42
273,2018-02-20,34.47
274,2018-02-16,34.79
275,2018-02-15,34.50
276,2018-02-14,34.43
277,2018-02-13,33.87
278,2018-02-12,33.91
279,2018-02-09,33.48
280,2018-02-08,33.30
281,2018-02-07,34.17
282,2018-02-06,34.44
283,2018-02-05,33.85
284,2018-02-02,35.26
285,2018-02-01,35.98
286,2018-01-31,35.87
287,2018-01-30,35.94
288,2018-01-29,36.17
289,2018-01-26,36.45
290,2018-01-25,36.18
291,2018-01-24,36.29
292,2018-01-23,36.11
293,2018-01-22,36.03
294,2018-01-19,35.85
295,2018-01-18,35.69
296,2018-01-17,35.65
297,2018-01-16,35.53
298,2018-01-12,35.51
299,2018-01-11,35.20
300,2018-01-10,35.05
301,2018-01-09,35.10
302,2018-01-08,35.04
303,2018-01-05,35.12
304,2018-01-04,34.93
305,2018-01-03,34.61
306,2018-01-02,34.39
307,2017-12-29,34.16
308,2017-12-28,34.10
309,2017-12-27,34.08
310,2017-12-26,34.02
311,2017-12-22,33.96
312,2017-12-21,33.89
313,2017-12-20,33.72
314,2017-12-19,33.91
315,2017-12-18,33.96
316,2017-12-15,33.58
317,2017-12-14,33.61
318,2017-12-13,33.80
319,2017-12-12,33.68
320,2017-12-11,33.64
321,2017-12-08,33.67
322,2017-12-07,33.49
323,2017-12-06,33.43
324,2017-12-05,33.52
325,2017-12-04,33.62
326,2017-12-01,33.76
327,2017-11-30,33.80
328,2017-11-29,33.70
329,2017-11-28,33.76
330,2017-11-27,33.70
331,2017-11-24,33.90
332,2017-11-22,33.59
333,2017-11-21,33.55
334,2017-11-20,33.24
335,2017-11-17,33.32
336,2017-11-16,33.43
337,2017-11-15,33.10
338,2017-11-14,33.31
339,2017-11-13,33.25
340,2017-11-10,33.44
341,2017-11-09,33.50
342,2017-11-08,33.69
343,2017-11-07,33.60
344,2017-11-06,33.65
345,2017-11-03,33.65
346,2017-11-02,33.62
347,2017-11-01,33.61
348,2017-10-31,33.58
349,2017-10-30,33.46
350,2017-10-27,33.39
351,2017-10-26,33.44
352,2017-10-25,33.31
353,2017-10-24,33.14
354,2017-10-23,33.37
355,2017-10-20,33.44
356,2017-10-19,33.39
357,2017-10-18,33.48
358,2017-10-17,33.38
359,2017-10-16,33.46
360,2017-10-13,33.52
361,2017-10-12,33.38
362,2017-10-11,33.34
363,2017-10-10,33.27
364,2017-10-09,32.98
365,2017-10-06,32.96
366,2017-10-05,33.00
367,2017-10-04,33.07
368,2017-10-03,33.03
369,2017-10-02,32.88
370,2017-09-29,32.95
371,2017-09-28,32.81
372,2017-09-27,32.78
373,2017-09-26,32.65
374,2017-09-25,32.75
375,2017-09-22,32.92
376,2017-09-21,32.98
377,2017-09-20,33.06
378,2017-09-19,33.11
379,2017-09-18,33.01
380,2017-09-15,32.79
381,2017-09-14,32.74
382,2017-09-13,32.67
383,2017-09-12,32.82
384,2017-09-11,32.80
385,2017-09-08,32.60
386,2017-09-07,32.54
387,2017-09-06,32.21
388,2017-09-05,32.11
389,2017-09-01,32.33
390,2017-08-31,32.27
391,2017-08-30,32.01
392,2017-08-29,32.09
393,2017-08-28,32.14
394,2017-08-25,32.24
395,2017-08-24,31.96
396,2017-08-23,32.12
397,2017-08-22,32.12
398,2017-08-21,31.99
399,2017-08-18,31.87
400,2017-08-17,31.88
401,2017-08-16,32.20
402,2017-08-15,32.05
403,2017-08-14,32.09
404,2017-08-11,31.81
405,2017-08-10,31.85
406,2017-08-09,32.24
407,2017-08-08,32.28
408,2017-08-07,32.45
409,2017-08-04,32.42
410,2017-08-03,32.37
411,2017-08-02,32.33
412,2017-08-01,32.28
413,2017-07-31,32.11
414,2017-07-28,32.05
415,2017-07-27,32.00
416,2017-07-26,32.04
417,2017-07-25,31.85
418,2017-07-24,31.89
419,2017-07-21,31.97
420,2017-07-20,32.06
421,2017-07-19,31.99
422,2017-07-18,31.84
423,2017-07-17,31.78
424,2017-07-14,31.88
425,2017-07-13,31.59
426,2017-07-12,31.42
427,2017-07-11,31.14
428,2017-07-10,31.09
429,2017-07-07,31.02
430,2017-07-06,30.92
431,2017-07-05,31.13
432,2017-07-03,31.28
433,2017-06-30,31.37
434,2017-06-29,31.23
435,2017-06-28,31.63
436,2017-06-27,31.24
437,2017-06-26,31.39
438,2017-06-23,31.24
439,2017-06-22,31.28
440,2017-06-21,31.16
441,2017-06-20,31.28
442,2017-06-19,31.58
443,2017-06-16,31.42
444,2017-06-15,31.20
445,2017-06-14,31.40
446,2017-06-13,31.36
447,2017-06-12,31.08
448,2017-06-09,31.21
449,2017-06-08,31.32
450,2017-06-07,31.36
451,2017-06-06,31.48
452,2017-06-05,31.44
453,2017-06-02,31.57
454,2017-06-01,31.32
455,2017-05-31,31.05
456,2017-05-30,30.97
457,2017-05-26,30.96
458,2017-05-25,31.03
459,2017-05-24,31.00
460,2017-05-23,30.93
461,2017-05-22,30.97
462,2017-05-19,30.91
463,2017-05-18,30.34
464,2017-05-17,30.61
465,2017-05-16,30.80
466,2017-05-15,30.72
467,2017-05-12,30.55
468,2017-05-11,30.44
469,2017-05-10,30.52
470,2017-05-09,30.48
471,2017-05-08,30.48
472,2017-05-05,30.68
473,2017-05-04,30.41
474,2017-05-03,30.12
475,2017-05-02,30.19
476,2017-05-01,30.08
477,2017-04-28,30.01
478,2017-04-27,30.02
479,2017-04-26,29.95
480,2017-04-25,30.06
481,2017-04-24,29.89
482,2017-04-21,29.23
483,2017-04-20,29.34
484,2017-04-19,29.05
485,2017-04-18,29.13
486,2017-04-17,29.37
487,2017-04-13,29.11
488,2017-04-12,29.22
489,2017-04-11,29.26
490,2017-04-10,29.11
491,2017-04-07,29.10
492,2017-04-06,29.11
493,2017-04-05,29.11
494,2017-04-04,29.26
495,2017-04-03,29.17
496,2017-03-31,29.31
497,2017-03-30,29.29
498,2017-03-29,29.35
499,2017-03-28,29.43
500,2017-03-27,29.31
501,2017-03-24,29.17
502,2017-03-23,29.08
503,2017-03-22,29.03
504,2017-03-21,28.94
505,2017-03-20,29.16
506,2017-03-17,29.05
507,2017-03-16,29.04
508,2017-03-15,28.90
509,2017-03-14,28.50
510,2017-03-13,28.74
511,2017-03-10,28.67
512,2017-03-09,28.33
513,2017-03-08,28.28
514,2017-03-07,28.44
515,2017-03-06,28.53
516,2017-03-03,28.56
517,2017-03-02,28.45
518,2017-03-01,28.58
519,2017-02-28,28.33
520,2017-02-27,28.39
521,2017-02-24,28.34
522,2017-02-23,28.56
523,2017-02-22,28.52
524,2017-02-21,28.45
525,2017-02-17,28.53
526,2017-02-16,28.48
527,2017-02-15,28.38
528,2017-02-14,28.22
529,2017-02-13,28.10
530,2017-02-10,28.20
531,2017-02-09,28.15
532,2017-02-08,28.06
533,2017-02-07,27.96
534,2017-02-06,27.84
535,2017-02-03,28.13
536,2017-02-02,28.04
537,2017-02-01,27.89
538,2017-01-31,27.94
539,2017-01-30,27.74
540,2017-01-27,27.93
541,2017-01-26,28.00
542,2017-01-25,28.09
543,2017-01-24,27.85
544,2017-01-23,27.74
545,2017-01-20,27.58
546,2017-01-19,27.57
547,2017-01-18,27.50
548,2017-01-17,27.70
549,2017-01-13,27.71
550,2017-01-12,27.63
551,2017-01-11,27.57
552,2017-01-10,27.37
553,2017-01-09,27.36
554,2017-01-06,27.32
555,2017-01-05,27.64
556,2017-01-04,27.36
557,2017-01-03,27.21
558,2016-12-30,27.20
559,2016-12-29,27.19
560,2016-12-28,27.11
561,2016-12-27,27.12
562,2016-12-23,27.03
563,2016-12-22,27.23
564,2016-12-21,27.12
565,2016-12-20,27.24
566,2016-12-19,27.10
567,2016-12-16,27.11
568,2016-12-15,27.23
569,2016-12-14,27.25
570,2016-12-13,27.33
571,2016-12-12,27.11
572,2016-12-09,27.15
573,2016-12-08,27.18
574,2016-12-07,27.19
575,2016-12-06,27.09
576,2016-12-05,27.07
