,Date,NAV
1,2019-03-21,30.02
2,2019-03-20,29.89
3,2019-03-19,30.03
4,2019-03-18,29.95
5,2019-03-15,29.54
6,2019-03-14,29.35
7,2019-03-13,29.13
8,2019-03-12,29.09
9,2019-03-11,28.99
10,2019-03-08,28.60
11,2019-03-07,28.86
12,2019-03-06,29.35
13,2019-03-05,29.21
14,2019-03-04,29.14
15,2019-03-01,29.05
16,2019-02-28,28.91
17,2019-02-27,29.32
18,2019-02-26,29.43
19,2019-02-25,29.40
20,2019-02-22,29.51
21,2019-02-21,29.43
22,2019-02-20,29.89
23,2019-02-19,29.78
24,2019-02-15,29.42
25,2019-02-14,29.11
26,2019-02-13,28.90
27,2019-02-12,28.74
28,2019-02-11,28.68
29,2019-02-08,28.71
30,2019-02-07,28.91
31,2019-02-06,29.55
32,2019-02-05,29.46
33,2019-02-04,29.36
34,2019-02-01,29.09
35,2019-01-31,29.40
36,2019-01-30,29.02
37,2019-01-29,28.57
38,2019-01-28,28.51
39,2019-01-25,28.90
40,2019-01-24,28.42
41,2019-01-23,28.55
42,2019-01-22,28.75
43,2019-01-18,28.85
44,2019-01-17,28.45
45,2019-01-16,28.32
46,2019-01-15,28.28
47,2019-01-14,28.22
48,2019-01-11,28.20
49,2019-01-10,28.26
50,2019-01-09,28.28
51,2019-01-08,28.00
52,2019-01-07,27.88
53,2019-01-04,27.62
54,2019-01-03,26.54
55,2019-01-02,26.76
56,2018-12-31,26.84
57,2018-12-28,26.78
58,2018-12-27,26.85
59,2018-12-26,26.46
60,2018-12-24,25.55
61,2018-12-21,26.15
62,2018-12-20,26.60
63,2018-12-19,26.93
64,2018-12-18,27.10
65,2018-12-17,27.20
66,2018-12-14,27.52
67,2018-12-13,27.77
68,2018-12-12,28.03
69,2018-12-11,27.44
70,2018-12-10,27.66
71,2018-12-07,28.07
72,2018-12-06,28.55
73,2018-12-04,28.83
74,2018-12-03,29.66
75,2018-11-30,29.34
76,2018-11-29,29.29
77,2018-11-28,29.20
78,2018-11-27,28.68
79,2018-11-26,28.55
80,2018-11-23,28.32
81,2018-11-21,28.87
82,2018-11-20,28.56
83,2018-11-19,29.12
84,2018-11-16,29.58
85,2018-11-15,29.31
86,2018-11-14,29.06
87,2018-11-13,29.08
88,2018-11-12,29.44
89,2018-11-09,30.08
90,2018-11-08,30.69
91,2018-11-07,31.21
92,2018-11-06,30.92
93,2018-11-05,30.90
94,2018-11-02,30.85
95,2018-11-01,30.96
96,2018-10-31,30.95
97,2018-10-30,30.36
98,2018-10-29,29.85
99,2018-10-26,29.91
100,2018-10-25,30.26
101,2018-10-24,29.67
102,2018-10-23,30.69
103,2018-10-22,31.19
104,2018-10-19,31.48
105,2018-10-18,32.43
106,2018-10-17,33.07
107,2018-10-16,33.38
108,2018-10-15,32.79
109,2018-10-12,33.00
110,2018-10-11,32.50
111,2018-10-10,33.30
112,2018-10-09,34.20
113,2018-10-08,34.31
114,2018-10-05,34.22
115,2018-10-04,34.71
116,2018-10-03,35.22
117,2018-10-02,34.87
118,2018-10-01,34.93
119,2018-09-28,34.73
120,2018-09-27,35.05
121,2018-09-26,35.11
122,2018-09-25,35.07
123,2018-09-24,34.81
124,2018-09-21,34.20
125,2018-09-20,34.09
126,2018-09-19,33.88
127,2018-09-18,33.98
128,2018-09-17,33.66
129,2018-09-14,33.98
130,2018-09-13,34.07
131,2018-09-12,33.70
132,2018-09-11,33.48
133,2018-09-10,33.21
134,2018-09-07,33.21
135,2018-09-06,33.54
136,2018-09-05,33.58
137,2018-09-04,34.02
138,2018-08-31,33.95
139,2018-08-30,34.33
140,2018-08-29,34.61
141,2018-08-28,34.57
142,2018-08-27,34.60
143,2018-08-24,34.31
144,2018-08-23,33.87
145,2018-08-22,33.75
146,2018-08-21,33.38
147,2018-08-20,33.18
148,2018-08-17,32.72
149,2018-08-16,32.51
150,2018-08-15,32.44
151,2018-08-14,33.21
152,2018-08-13,32.96
153,2018-08-10,33.19
154,2018-08-09,33.39
155,2018-08-08,33.68
156,2018-08-07,33.75
157,2018-08-06,33.30
158,2018-08-03,33.19
159,2018-08-02,33.10
160,2018-08-01,33.61
161,2018-07-31,33.69
162,2018-07-30,33.66
163,2018-07-27,33.29
164,2018-07-26,33.20
165,2018-07-25,32.51
166,2018-07-24,32.06
167,2018-07-23,31.94
168,2018-07-20,31.83
169,2018-07-19,31.50
170,2018-07-18,31.28
171,2018-07-17,31.20
172,2018-07-16,31.18
173,2018-07-13,31.24
174,2018-07-12,31.11
175,2018-07-11,30.96
176,2018-07-10,31.46
177,2018-07-09,31.07
178,2018-07-06,30.71
179,2018-07-05,30.55
180,2018-07-03,30.70
181,2018-07-02,30.35
182,2018-06-29,30.92
183,2018-06-28,30.72
184,2018-06-27,30.67
185,2018-06-26,30.69
186,2018-06-25,30.53
187,2018-06-22,30.95
188,2018-06-21,30.91
189,2018-06-20,31.16
190,2018-06-19,31.26
191,2018-06-18,31.57
192,2018-06-15,31.53
193,2018-06-14,31.74
194,2018-06-13,31.99
195,2018-06-12,32.17
196,2018-06-11,32.55
197,2018-06-08,32.50
198,2018-06-07,32.70
199,2018-06-06,32.38
200,2018-06-05,32.38
201,2018-06-04,32.67
202,2018-06-01,32.55
203,2018-05-31,32.05
204,2018-05-30,32.02
205,2018-05-29,31.25
206,2018-05-25,31.56
207,2018-05-24,32.06
