,Date,NAV
1,2019-03-21,30.09
2,2019-03-20,30.12
3,2019-03-19,30.27
4,2019-03-18,30.20
5,2019-03-15,30.10
6,2019-03-14,29.80
7,2019-03-13,29.64
8,2019-03-12,29.45
9,2019-03-11,29.54
10,2019-03-08,29.35
11,2019-03-07,29.42
12,2019-03-06,29.64
13,2019-03-05,29.73
14,2019-03-04,29.64
15,2019-03-01,29.71
16,2019-02-28,29.40
17,2019-02-27,29.27
18,2019-02-26,29.35
19,2019-02-25,29.22
20,2019-02-22,29.21
21,2019-02-21,29.11
22,2019-02-20,29.21
23,2019-02-19,29.05
24,2019-02-15,28.99
25,2019-02-14,28.57
26,2019-02-13,28.61
27,2019-02-12,28.51
28,2019-02-11,28.25
29,2019-02-08,28.13
30,2019-02-07,28.28
31,2019-02-06,28.76
32,2019-02-05,28.74
33,2019-02-04,28.40
34,2019-02-01,28.29
35,2019-01-31,28.29
36,2019-01-30,28.38
37,2019-01-29,28.22
38,2019-01-28,28.16
39,2019-01-25,28.24
40,2019-01-24,28.03
41,2019-01-23,27.82
42,2019-01-22,27.66
43,2019-01-18,28.00
44,2019-01-17,27.56
45,2019-01-16,27.48
46,2019-01-15,27.34
47,2019-01-14,27.24
48,2019-01-11,27.33
49,2019-01-10,27.49
50,2019-01-09,27.38
51,2019-01-08,27.24
52,2019-01-07,26.98
53,2019-01-04,26.97
54,2019-01-03,26.17
55,2019-01-02,26.51
56,2018-12-31,26.46
57,2018-12-28,26.29
58,2018-12-27,26.16
59,2018-12-26,26.38
60,2018-12-24,25.66
61,2018-12-21,26.17
62,2018-12-20,26.25
63,2018-12-19,26.66
64,2018-12-18,26.93
65,2018-12-17,26.80
66,2018-12-14,27.24
67,2018-12-13,27.49
68,2018-12-12,27.49
69,2018-12-11,27.03
70,2018-12-10,26.94
71,2018-12-07,26.96
72,2018-12-06,27.27
73,2018-12-04,27.86
74,2018-12-03,28.50
75,2018-11-30,28.17
76,2018-11-29,28.27
77,2018-11-28,28.38
78,2018-11-27,28.12
79,2018-11-26,28.19
80,2018-11-23,27.80
81,2018-11-21,27.85
82,2018-11-20,27.61
83,2018-11-19,27.97
84,2018-11-16,28.31
85,2018-11-15,28.50
86,2018-11-14,28.53
87,2018-11-13,28.54
88,2018-11-12,28.39
89,2018-11-09,28.61
90,2018-11-08,28.68
91,2018-11-07,28.99
92,2018-11-06,28.53
93,2018-11-05,28.60
94,2018-11-02,28.54
95,2018-11-01,28.50
96,2018-10-31,28.41
97,2018-10-30,27.79
98,2018-10-29,27.70
99,2018-10-26,27.68
100,2018-10-25,28.01
101,2018-10-24,27.40
102,2018-10-23,27.82
103,2018-10-22,28.26
104,2018-10-19,28.45
105,2018-10-18,28.39
106,2018-10-17,28.77
107,2018-10-16,28.82
108,2018-10-15,28.35
109,2018-10-12,28.13
110,2018-10-11,28.26
111,2018-10-10,28.62
112,2018-10-09,29.41
113,2018-10-08,29.40
114,2018-10-05,29.64
115,2018-10-04,29.92
116,2018-10-03,30.34
117,2018-10-02,30.23
118,2018-10-01,30.23
119,2018-09-28,30.09
120,2018-09-27,30.55
121,2018-09-26,30.51
122,2018-09-25,30.40
123,2018-09-24,30.37
124,2018-09-21,30.52
125,2018-09-20,30.44
126,2018-09-19,30.19
127,2018-09-18,30.11
128,2018-09-17,30.00
129,2018-09-14,29.91
130,2018-09-13,29.84
131,2018-09-12,29.75
132,2018-09-11,29.72
133,2018-09-10,29.72
134,2018-09-07,29.46
135,2018-09-06,29.52
136,2018-09-05,29.75
137,2018-09-04,30.03
138,2018-08-31,30.24
139,2018-08-30,30.48
140,2018-08-29,30.76
141,2018-08-28,30.66
142,2018-08-27,30.75
143,2018-08-24,30.45
144,2018-08-23,30.35
145,2018-08-22,30.39
146,2018-08-21,30.37
147,2018-08-20,30.15
148,2018-08-17,30.09
149,2018-08-16,30.01
150,2018-08-15,29.86
151,2018-08-14,30.41
152,2018-08-13,30.29
153,2018-08-10,30.34
154,2018-08-09,30.88
155,2018-08-08,30.85
