,Date,NAV
1,2019-03-21,42.05
2,2019-03-20,42.07
3,2019-03-19,42.05
4,2019-03-18,41.89
5,2019-03-15,41.60
6,2019-03-14,41.27
7,2019-03-13,41.24
8,2019-03-12,40.91
9,2019-03-11,40.87
10,2019-03-08,40.50
11,2019-03-07,40.46
12,2019-03-06,40.78
13,2019-03-05,40.87
14,2019-03-04,40.64
15,2019-03-01,40.81
16,2019-02-28,40.80
17,2019-02-27,40.85
18,2019-02-26,41.07
19,2019-02-25,40.82
20,2019-02-22,40.87
21,2019-02-21,40.74
22,2019-02-20,40.91
23,2019-02-19,40.80
24,2019-02-15,40.55
25,2019-02-14,40.03
26,2019-02-13,39.95
27,2019-02-12,40.05
28,2019-02-11,39.68
29,2019-02-08,39.74
30,2019-02-07,39.96
31,2019-02-06,40.41
32,2019-02-05,40.66
33,2019-02-04,40.31
34,2019-02-01,40.29
35,2019-01-31,40.29
36,2019-01-30,40.17
37,2019-01-29,39.84
38,2019-01-28,39.54
39,2019-01-25,39.64
40,2019-01-24,39.30
41,2019-01-23,39.30
42,2019-01-22,39.05
43,2019-01-18,39.70
44,2019-01-17,39.33
45,2019-01-16,39.01
46,2019-01-15,39.12
47,2019-01-14,38.96
48,2019-01-11,39.16
49,2019-01-10,39.41
50,2019-01-09,39.23
51,2019-01-08,38.92
52,2019-01-07,38.79
53,2019-01-04,38.57
54,2019-01-03,37.69
55,2019-01-02,37.68
56,2018-12-31,37.90
57,2018-12-28,37.75
58,2018-12-27,37.50
59,2018-12-26,37.73
60,2018-12-24,36.91
61,2018-12-21,37.31
62,2018-12-20,37.80
63,2018-12-19,37.94
64,2018-12-18,38.16
65,2018-12-17,38.25
66,2018-12-14,38.50
67,2018-12-13,38.94
68,2018-12-12,38.94
69,2018-12-11,38.43
70,2018-12-10,38.32
71,2018-12-07,38.50
72,2018-12-06,38.73
73,2018-12-04,38.99
74,2018-12-03,39.67
75,2018-11-30,39.41
76,2018-11-29,39.57
77,2018-11-28,39.85
78,2018-11-27,39.29
79,2018-11-26,39.37
80,2018-11-23,38.92
81,2018-11-21,39.25
82,2018-11-20,38.88
83,2018-11-19,39.50
84,2018-11-16,39.70
85,2018-11-15,39.57
86,2018-11-14,39.65
87,2018-11-13,39.37
88,2018-11-12,39.44
89,2018-11-09,39.88
90,2018-11-08,40.11
91,2018-11-07,40.56
92,2018-11-06,39.95
93,2018-11-05,39.87
94,2018-11-02,39.76
95,2018-11-01,39.87
96,2018-10-31,39.32
97,2018-10-30,39.23
98,2018-10-29,38.63
99,2018-10-26,38.75
100,2018-10-25,38.98
101,2018-10-24,38.88
102,2018-10-23,39.80
103,2018-10-22,40.09
104,2018-10-19,40.32
105,2018-10-18,39.98
106,2018-10-17,40.38
107,2018-10-16,40.75
108,2018-10-15,40.13
109,2018-10-12,39.85
110,2018-10-11,39.90
111,2018-10-10,40.34
112,2018-10-09,40.83
113,2018-10-08,40.82
114,2018-10-05,40.98
115,2018-10-04,41.22
116,2018-10-03,41.62
117,2018-10-02,41.56
118,2018-10-01,41.64
119,2018-09-28,41.71
120,2018-09-27,42.02
121,2018-09-26,41.96
122,2018-09-25,41.94
123,2018-09-24,41.78
124,2018-09-21,41.95
125,2018-09-20,41.98
126,2018-09-19,41.50
127,2018-09-18,41.54
128,2018-09-17,41.27
129,2018-09-14,40.91
130,2018-09-13,40.97
131,2018-09-12,40.78
132,2018-09-11,40.51
133,2018-09-10,40.48
134,2018-09-07,40.18
135,2018-09-06,40.40
136,2018-09-05,40.50
137,2018-09-04,40.76
138,2018-08-31,41.16
139,2018-08-30,41.59
140,2018-08-29,42.07
141,2018-08-28,41.85
142,2018-08-27,41.97
143,2018-08-24,41.58
144,2018-08-23,41.30
145,2018-08-22,41.60
146,2018-08-21,41.41
147,2018-08-20,41.11
148,2018-08-17,41.01
149,2018-08-16,40.67
150,2018-08-15,40.38
151,2018-08-14,41.08
152,2018-08-13,41.10
153,2018-08-10,41.17
154,2018-08-09,41.98
155,2018-08-08,42.29
156,2018-08-07,42.35
157,2018-08-06,41.99
158,2018-08-03,42.16
159,2018-08-02,42.03
160,2018-08-01,42.27
161,2018-07-31,42.60
162,2018-07-30,42.46
163,2018-07-27,42.27
164,2018-07-26,42.06
165,2018-07-25,42.26
166,2018-07-24,41.89
167,2018-07-23,41.80
168,2018-07-20,41.74
169,2018-07-19,41.52
170,2018-07-18,41.73
171,2018-07-17,41.73
172,2018-07-16,41.73
173,2018-07-13,41.78
174,2018-07-12,41.77
175,2018-07-11,41.62
176,2018-07-10,42.48
177,2018-07-09,42.40
178,2018-07-06,42.16
179,2018-07-05,41.77
180,2018-07-03,41.11
181,2018-07-02,40.86
182,2018-06-29,41.13
183,2018-06-28,40.94
184,2018-06-27,40.66
185,2018-06-26,41.02
186,2018-06-25,41.08
187,2018-06-22,41.44
188,2018-06-21,40.99
189,2018-06-20,41.24
190,2018-06-19,41.26
191,2018-06-18,41.51
192,2018-06-15,41.93
193,2018-06-14,42.15
194,2018-06-13,42.21
195,2018-06-12,42.28
196,2018-06-11,42.48
197,2018-06-08,42.19
198,2018-06-07,42.31
199,2018-06-06,42.37
200,2018-06-05,41.94
