,Date,NAV
1,2019-03-21,21.39
2,2019-03-20,21.32
3,2019-03-19,21.26
4,2019-03-18,21.18
5,2019-03-15,20.93
6,2019-03-14,20.92
7,2019-03-13,20.87
8,2019-03-12,20.55
9,2019-03-11,20.50
10,2019-03-08,20.23
11,2019-03-07,20.59
12,2019-03-06,20.66
13,2019-03-05,20.84
14,2019-03-04,20.81
15,2019-03-01,20.77
16,2019-02-28,20.66
17,2019-02-27,20.77
18,2019-02-26,20.70
19,2019-02-25,20.71
20,2019-02-22,20.81
21,2019-02-21,20.71
22,2019-02-20,20.88
23,2019-02-19,20.85
24,2019-02-15,20.64
25,2019-02-14,20.42
26,2019-02-13,20.24
27,2019-02-12,20.18
28,2019-02-11,19.94
29,2019-02-08,19.88
30,2019-02-07,20.02
31,2019-02-06,20.43
32,2019-02-05,20.50
33,2019-02-04,20.41
34,2019-02-01,20.32
35,2019-01-31,20.13
36,2019-01-30,19.94
37,2019-01-29,19.73
38,2019-01-28,19.51
39,2019-01-25,19.93
40,2019-01-24,19.74
41,2019-01-23,19.65
42,2019-01-22,19.72
43,2019-01-18,20.19
44,2019-01-17,19.78
45,2019-01-16,19.77
46,2019-01-15,19.83
47,2019-01-14,19.77
48,2019-01-11,19.72
49,2019-01-10,19.85
50,2019-01-09,19.80
51,2019-01-08,19.63
52,2019-01-07,19.51
53,2019-01-04,19.33
54,2019-01-03,18.68
55,2019-01-02,18.80
56,2018-12-31,18.49
57,2018-12-28,18.47
58,2018-12-27,18.39
59,2018-12-26,18.23
60,2018-12-24,17.48
61,2018-12-21,18.01
62,2018-12-20,18.16
63,2018-12-19,18.59
64,2018-12-18,18.84
65,2018-12-17,19.12
66,2018-12-14,19.40
67,2018-12-13,19.80
68,2018-12-12,19.77
69,2018-12-11,19.67
70,2018-12-10,19.67
71,2018-12-07,19.91
72,2018-12-06,19.83
73,2018-12-04,20.46
74,2018-12-03,20.91
75,2018-11-30,20.45
76,2018-11-29,20.49
77,2018-11-28,20.29
78,2018-11-27,19.92
79,2018-11-26,20.03
80,2018-11-23,19.87
81,2018-11-21,20.58
82,2018-11-20,20.07
83,2018-11-19,20.71
84,2018-11-16,20.84
85,2018-11-15,20.64
86,2018-11-14,20.40
87,2018-11-13,20.44
88,2018-11-12,20.80
89,2018-11-09,21.19
90,2018-11-08,21.20
91,2018-11-07,21.76
92,2018-11-06,21.39
93,2018-11-05,21.45
94,2018-11-02,21.11
95,2018-11-01,21.07
96,2018-10-31,21.24
97,2018-10-30,20.77
98,2018-10-29,20.60
99,2018-10-26,20.75
100,2018-10-25,21.10
101,2018-10-24,20.85
102,2018-10-23,21.45
103,2018-10-22,21.90
104,2018-10-19,22.19
105,2018-10-18,22.17
106,2018-10-17,22.48
107,2018-10-16,22.72
108,2018-10-15,22.52
109,2018-10-12,22.56
110,2018-10-11,22.41
111,2018-10-10,23.07
112,2018-10-09,23.63
113,2018-10-08,23.30
114,2018-10-05,23.49
115,2018-10-04,23.69
116,2018-10-03,23.90
117,2018-10-02,23.67
118,2018-10-01,23.87
119,2018-09-28,23.48
120,2018-09-27,23.61
121,2018-09-26,23.61
122,2018-09-25,23.61
123,2018-09-24,23.39
124,2018-09-21,23.08
125,2018-09-20,22.90
126,2018-09-19,22.84
127,2018-09-18,22.79
128,2018-09-17,22.48
129,2018-09-14,22.49
130,2018-09-13,22.43
131,2018-09-12,22.44
132,2018-09-11,22.23
133,2018-09-10,21.96
134,2018-09-07,21.96
135,2018-09-06,22.03
136,2018-09-05,22.37
137,2018-09-04,22.50
138,2018-08-31,22.54
139,2018-08-30,22.72
140,2018-08-29,22.85
141,2018-08-28,22.72
142,2018-08-27,22.73
143,2018-08-24,22.68
144,2018-08-23,22.38
145,2018-08-22,22.36
146,2018-08-21,22.23
147,2018-08-20,22.07
148,2018-08-17,21.74
149,2018-08-16,21.65
150,2018-08-15,21.59
151,2018-08-14,22.26
152,2018-08-13,22.33
153,2018-08-10,22.53
154,2018-08-09,22.63
155,2018-08-08,22.81
156,2018-08-07,23.06
157,2018-08-06,22.79
158,2018-08-03,22.73
159,2018-08-02,22.85
160,2018-08-01,22.97
161,2018-07-31,23.25
162,2018-07-30,23.06
163,2018-07-27,23.02
164,2018-07-26,23.07
165,2018-07-25,22.98
166,2018-07-24,22.87
167,2018-07-23,22.63
168,2018-07-20,22.68
169,2018-07-19,22.60
170,2018-07-18,22.54
171,2018-07-17,22.48
172,2018-07-16,22.55
173,2018-07-13,23.04
174,2018-07-12,22.95
175,2018-07-11,22.82
176,2018-07-10,23.49
