,Date,NAV
1,2019-03-21,36.06
2,2019-03-20,35.91
3,2019-03-19,35.86
4,2019-03-18,35.80
5,2019-03-15,35.52
6,2019-03-14,35.45
7,2019-03-13,35.63
8,2019-03-12,35.32
9,2019-03-11,35.16
10,2019-03-08,34.75
11,2019-03-07,34.86
12,2019-03-06,35.20
13,2019-03-05,35.52
14,2019-03-04,35.60
15,2019-03-01,35.52
16,2019-02-28,35.50
17,2019-02-27,35.83
18,2019-02-26,35.90
19,2019-02-25,35.98
20,2019-02-22,35.94
21,2019-02-21,35.73
22,2019-02-20,35.88
23,2019-02-19,35.52
24,2019-02-15,35.22
25,2019-02-14,35.11
26,2019-02-13,35.01
27,2019-02-12,35.01
28,2019-02-11,34.55
29,2019-02-08,34.60
30,2019-02-07,34.71
31,2019-02-06,35.12
32,2019-02-05,35.23
33,2019-02-04,35.25
34,2019-02-01,35.22
35,2019-01-31,35.22
36,2019-01-30,35.06
37,2019-01-29,34.56
38,2019-01-28,34.21
39,2019-01-25,34.54
40,2019-01-24,34.01
41,2019-01-23,33.94
42,2019-01-22,33.92
43,2019-01-18,34.56
44,2019-01-17,34.15
45,2019-01-16,33.83
46,2019-01-15,33.87
47,2019-01-14,33.81
48,2019-01-11,33.93
49,2019-01-10,34.16
50,2019-01-09,33.88
51,2019-01-08,33.57
52,2019-01-07,33.27
53,2019-01-04,33.08
54,2019-01-03,31.85
55,2019-01-02,32.23
56,2018-12-31,32.23
57,2018-12-28,31.94
58,2018-12-27,31.99
59,2018-12-26,31.82
60,2018-12-24,30.80
61,2018-12-21,31.32
62,2018-12-20,31.64
63,2018-12-19,31.98
64,2018-12-18,32.47
65,2018-12-17,32.42
66,2018-12-14,32.83
67,2018-12-13,33.23
68,2018-12-12,33.22
69,2018-12-11,32.94
70,2018-12-10,32.99
71,2018-12-07,33.28
72,2018-12-06,33.42
73,2018-12-04,33.86
74,2018-12-03,34.84
75,2018-11-30,33.91
76,2018-11-29,33.88
77,2018-11-28,33.88
78,2018-11-27,33.42
79,2018-11-26,33.64
80,2018-11-23,33.28
81,2018-11-21,33.91
82,2018-11-20,33.36
83,2018-11-19,34.15
84,2018-11-16,34.50
85,2018-11-15,34.03
86,2018-11-14,33.97
87,2018-11-13,34.15
88,2018-11-12,34.48
89,2018-11-09,34.92
90,2018-11-08,35.25
91,2018-11-07,35.64
92,2018-11-06,35.09
93,2018-11-05,34.88
94,2018-11-02,34.71
95,2018-11-01,34.73
96,2018-10-31,34.09
97,2018-10-30,33.77
98,2018-10-29,33.23
99,2018-10-26,33.54
100,2018-10-25,33.66
101,2018-10-24,33.57
102,2018-10-23,34.51
103,2018-10-22,35.05
104,2018-10-19,35.20
105,2018-10-18,35.20
106,2018-10-17,35.76
107,2018-10-16,35.94
108,2018-10-15,35.61
109,2018-10-12,35.41
110,2018-10-11,35.46
111,2018-10-10,35.55
112,2018-10-09,36.47
113,2018-10-08,36.71
114,2018-10-05,36.58
115,2018-10-04,36.82
116,2018-10-03,36.99
117,2018-10-02,36.97
118,2018-10-01,36.76
119,2018-09-28,36.74
120,2018-09-27,36.60
121,2018-09-26,36.76
122,2018-09-25,36.76
123,2018-09-24,36.62
124,2018-09-21,36.65
125,2018-09-20,36.60
126,2018-09-19,36.36
127,2018-09-18,36.10
128,2018-09-17,35.77
129,2018-09-14,35.57
130,2018-09-13,35.58
131,2018-09-12,35.60
132,2018-09-11,35.26
133,2018-09-10,35.21
134,2018-09-07,35.00
135,2018-09-06,35.22
136,2018-09-05,35.30
137,2018-09-04,35.41
138,2018-08-31,35.75
139,2018-08-30,36.11
140,2018-08-29,36.29
141,2018-08-28,36.12
142,2018-08-27,36.22
143,2018-08-24,35.85
144,2018-08-23,35.39
145,2018-08-22,35.69
146,2018-08-21,35.55
147,2018-08-20,35.39
148,2018-08-17,35.21
149,2018-08-16,34.80
150,2018-08-15,34.60
151,2018-08-14,35.40
152,2018-08-13,35.30
153,2018-08-10,35.67
154,2018-08-09,36.14
155,2018-08-08,36.37
156,2018-08-07,36.41
157,2018-08-06,36.31
158,2018-08-03,36.21
159,2018-08-02,36.04
160,2018-08-01,36.02
161,2018-07-31,36.42
162,2018-07-30,35.97
163,2018-07-27,36.13
164,2018-07-26,36.24
165,2018-07-25,36.09
166,2018-07-24,35.76
167,2018-07-23,35.33
168,2018-07-20,35.48
169,2018-07-19,35.46
170,2018-07-18,35.68
171,2018-07-17,35.69
172,2018-07-16,35.50
173,2018-07-13,35.74
174,2018-07-12,35.93
175,2018-07-11,35.73
176,2018-07-10,36.50
177,2018-07-09,36.44
178,2018-07-06,36.02
179,2018-07-05,35.82
180,2018-07-03,35.57
181,2018-07-02,35.50
182,2018-06-29,36.09
183,2018-06-28,35.74
184,2018-06-27,35.67
185,2018-06-26,35.84
186,2018-06-25,35.61
187,2018-06-22,36.19
188,2018-06-21,35.67
189,2018-06-20,35.95
190,2018-06-19,35.95
191,2018-06-18,36.43
192,2018-06-15,36.40
193,2018-06-14,36.85
194,2018-06-13,36.97
195,2018-06-12,37.12
196,2018-06-11,37.29
197,2018-06-08,37.17
198,2018-06-07,37.19
199,2018-06-06,37.10
200,2018-06-05,36.78
201,2018-06-04,36.69
202,2018-06-01,36.71
203,2018-05-31,36.50
204,2018-05-30,36.72
205,2018-05-29,36.15
206,2018-05-25,36.57
207,2018-05-24,36.97
208,2018-05-23,37.06
209,2018-05-22,37.30
210,2018-05-21,37.51
211,2018-05-18,37.25
212,2018-05-17,37.22
213,2018-05-16,37.21
214,2018-05-15,36.93
215,2018-05-14,37.07
216,2018-05-11,36.86
217,2018-05-10,36.87
218,2018-05-09,36.50
219,2018-05-08,35.92
220,2018-05-07,36.08
221,2018-05-04,36.13
222,2018-05-03,35.87
223,2018-05-02,35.86
224,2018-05-01,35.90
225,2018-04-30,36.00
226,2018-04-27,36.33
227,2018-04-26,36.37
228,2018-04-25,36.13
229,2018-04-24,35.99
230,2018-04-23,36.35
231,2018-04-20,36.44
232,2018-04-19,36.75
233,2018-04-18,36.88
234,2018-04-17,36.41
235,2018-04-16,36.16
236,2018-04-13,36.10
237,2018-04-12,36.02
238,2018-04-11,35.82
239,2018-04-10,35.68
240,2018-04-09,35.11
241,2018-04-06,34.88
242,2018-04-05,35.42
243,2018-04-04,34.97
244,2018-04-03,34.93
245,2018-04-02,34.45
246,2018-03-29,35.24
247,2018-03-28,34.65
248,2018-03-27,34.85
249,2018-03-26,35.16
250,2018-03-23,34.65
251,2018-03-22,35.00
252,2018-03-21,35.60
253,2018-03-20,35.18
254,2018-03-19,34.97
255,2018-03-16,35.45
256,2018-03-15,35.29
257,2018-03-14,35.65
258,2018-03-13,35.71
259,2018-03-12,35.97
260,2018-03-09,36.00
261,2018-03-08,35.54
262,2018-03-07,35.59
263,2018-03-06,35.83
264,2018-03-05,35.56
265,2018-03-02,35.12
266,2018-03-01,35.30
267,2018-02-28,35.61
268,2018-02-27,36.10
269,2018-02-26,36.47
270,2018-02-23,36.24
271,2018-02-22,35.73
272,2018-02-21,35.76
273,2018-02-20,35.71
274,2018-02-16,36.08
275,2018-02-15,35.94
276,2018-02-14,35.76
277,2018-02-13,35.17
278,2018-02-12,35.13
279,2018-02-09,34.25
280,2018-02-08,34.38
281,2018-02-07,35.73
282,2018-02-06,35.86
283,2018-02-05,35.45
284,2018-02-02,36.61
285,2018-02-01,37.67
286,2018-01-31,37.54
287,2018-01-30,37.70
288,2018-01-29,38.16
