,Date,NAV
1,2019-03-21,26.00
2,2019-03-20,26.13
3,2019-03-19,25.92
4,2019-03-18,25.92
5,2019-03-15,25.93
6,2019-03-14,25.71
7,2019-03-13,25.62
8,2019-03-12,25.49
9,2019-03-11,25.32
10,2019-03-08,25.17
11,2019-03-07,25.10
12,2019-03-06,25.35
13,2019-03-05,25.50
14,2019-03-04,25.49
15,2019-03-01,25.45
16,2019-02-28,25.14
17,2019-02-27,25.19
18,2019-02-26,25.19
19,2019-02-25,25.06
20,2019-02-22,24.83
21,2019-02-21,24.80
22,2019-02-20,24.93
23,2019-02-19,25.04
24,2019-02-15,24.83
25,2019-02-14,24.57
26,2019-02-13,24.45
27,2019-02-12,24.41
28,2019-02-11,24.31
29,2019-02-08,24.30
30,2019-02-07,24.53
31,2019-02-06,24.94
32,2019-02-05,25.12
33,2019-02-04,24.99
34,2019-02-01,24.77
35,2019-01-31,24.88
36,2019-01-30,24.93
37,2019-01-29,24.96
38,2019-01-28,24.53
39,2019-01-25,24.66
40,2019-01-24,24.52
41,2019-01-23,24.46
42,2019-01-22,24.42
43,2019-01-18,24.87
44,2019-01-17,24.52
45,2019-01-16,24.43
46,2019-01-15,24.15
47,2019-01-14,24.03
48,2019-01-11,24.22
49,2019-01-10,24.55
50,2019-01-09,24.45
51,2019-01-08,23.97
52,2019-01-07,23.91
53,2019-01-04,23.73
54,2019-01-03,23.00
55,2019-01-02,23.16
56,2018-12-31,23.20
57,2018-12-28,23.15
58,2018-12-27,23.19
59,2018-12-26,22.97
60,2018-12-24,22.35
61,2018-12-21,22.62
62,2018-12-20,23.26
63,2018-12-19,23.57
64,2018-12-18,23.68
65,2018-12-17,23.91
66,2018-12-14,24.07
67,2018-12-13,24.45
68,2018-12-12,24.59
69,2018-12-11,24.20
70,2018-12-10,24.25
71,2018-12-07,24.50
72,2018-12-06,24.51
73,2018-12-04,24.67
74,2018-12-03,25.33
75,2018-11-30,24.86
76,2018-11-29,24.96
77,2018-11-28,24.75
78,2018-11-27,24.33
79,2018-11-26,24.47
80,2018-11-23,24.11
81,2018-11-21,24.08
82,2018-11-20,23.83
83,2018-11-19,24.55
84,2018-11-16,24.77
85,2018-11-15,24.68
86,2018-11-14,24.82
87,2018-11-13,24.86
88,2018-11-12,24.89
89,2018-11-09,25.51
90,2018-11-08,25.85
91,2018-11-07,26.00
92,2018-11-06,25.62
93,2018-11-05,25.22
94,2018-11-02,25.30
95,2018-11-01,25.13
96,2018-10-31,24.75
97,2018-10-30,24.31
98,2018-10-29,23.86
99,2018-10-26,24.32
100,2018-10-25,24.78
101,2018-10-24,24.58
102,2018-10-23,25.27
103,2018-10-22,25.75
104,2018-10-19,25.85
105,2018-10-18,25.60
106,2018-10-17,25.91
107,2018-10-16,26.16
108,2018-10-15,25.72
109,2018-10-12,25.73
110,2018-10-11,25.62
111,2018-10-10,25.93
112,2018-10-09,26.68
113,2018-10-08,26.84
114,2018-10-05,27.24
115,2018-10-04,27.80
116,2018-10-03,28.30
117,2018-10-02,28.26
118,2018-10-01,28.67
119,2018-09-28,28.42
120,2018-09-27,28.41
121,2018-09-26,28.61
122,2018-09-25,28.41
123,2018-09-24,28.09
124,2018-09-21,28.24
125,2018-09-20,28.25
126,2018-09-19,28.10
127,2018-09-18,28.11
128,2018-09-17,27.91
129,2018-09-14,27.81
130,2018-09-13,27.68
131,2018-09-12,27.43
132,2018-09-11,27.31
133,2018-09-10,27.11
134,2018-09-07,26.95
135,2018-09-06,27.13
136,2018-09-05,27.40
137,2018-09-04,27.93
138,2018-08-31,28.09
139,2018-08-30,28.06
140,2018-08-29,28.30
141,2018-08-28,28.30
142,2018-08-27,28.18
143,2018-08-24,27.67
144,2018-08-23,27.32
145,2018-08-22,27.43
146,2018-08-21,27.29
147,2018-08-20,26.89
148,2018-08-17,26.78
149,2018-08-16,26.69
150,2018-08-15,26.75
151,2018-08-14,27.72
152,2018-08-13,27.71
153,2018-08-10,28.18
154,2018-08-09,28.67
155,2018-08-08,28.72
156,2018-08-07,28.62
157,2018-08-06,28.35
158,2018-08-03,28.50
159,2018-08-02,28.66
160,2018-08-01,29.01
161,2018-07-31,29.12
162,2018-07-30,29.29
163,2018-07-27,29.57
164,2018-07-26,29.60
165,2018-07-25,29.49
166,2018-07-24,29.26
167,2018-07-23,28.98
168,2018-07-20,29.04
169,2018-07-19,29.10
170,2018-07-18,29.43
171,2018-07-17,29.60
172,2018-07-16,29.53
173,2018-07-13,29.53
174,2018-07-12,29.36
175,2018-07-11,29.13
176,2018-07-10,29.45
177,2018-07-09,29.38
178,2018-07-06,28.86
179,2018-07-05,28.58
180,2018-07-03,28.55
181,2018-07-02,28.43
182,2018-06-29,28.86
183,2018-06-28,28.63
184,2018-06-27,28.61
185,2018-06-26,28.82
186,2018-06-25,28.90
187,2018-06-22,29.67
188,2018-06-21,29.31
189,2018-06-20,29.30
190,2018-06-19,29.24
191,2018-06-18,29.84
192,2018-06-15,30.07
193,2018-06-14,30.39
194,2018-06-13,30.59
195,2018-06-12,30.42
196,2018-06-11,30.71
197,2018-06-08,30.51
198,2018-06-07,30.52
199,2018-06-06,30.63
200,2018-06-05,30.63
201,2018-06-04,30.62
202,2018-06-01,30.58
203,2018-05-31,30.62
204,2018-05-30,30.51
205,2018-05-29,30.11
206,2018-05-25,30.41
207,2018-05-24,30.21
208,2018-05-23,30.33
209,2018-05-22,30.48
210,2018-05-21,30.36
211,2018-05-18,30.09
212,2018-05-17,29.93
213,2018-05-16,30.11
