,Date,NAV
1,2019-03-21,31.95
2,2019-03-20,31.94
3,2019-03-19,31.95
4,2019-03-18,31.90
5,2019-03-15,31.82
6,2019-03-14,31.51
7,2019-03-13,31.58
8,2019-03-12,31.50
9,2019-03-11,31.43
10,2019-03-08,31.06
11,2019-03-07,31.14
12,2019-03-06,31.68
13,2019-03-05,31.72
14,2019-03-04,31.80
15,2019-03-01,31.84
16,2019-02-28,31.65
17,2019-02-27,31.76
18,2019-02-26,31.69
19,2019-02-25,31.62
20,2019-02-22,31.46
21,2019-02-21,31.18
22,2019-02-20,31.42
23,2019-02-19,31.30
24,2019-02-15,31.13
25,2019-02-14,30.76
26,2019-02-13,30.89
27,2019-02-12,30.89
28,2019-02-11,30.46
29,2019-02-08,30.61
30,2019-02-07,30.78
31,2019-02-06,31.34
32,2019-02-05,31.42
33,2019-02-04,31.35
34,2019-02-01,31.23
35,2019-01-31,31.15
36,2019-01-30,31.23
37,2019-01-29,30.90
38,2019-01-28,30.88
39,2019-01-25,31.04
40,2019-01-24,30.66
41,2019-01-23,30.52
42,2019-01-22,30.42
43,2019-01-18,30.92
44,2019-01-17,30.69
45,2019-01-16,30.61
46,2019-01-15,30.46
47,2019-01-14,30.25
48,2019-01-11,30.40
49,2019-01-10,30.46
50,2019-01-09,30.45
51,2019-01-08,30.14
52,2019-01-07,29.85
53,2019-01-04,29.55
54,2019-01-03,28.65
55,2019-01-02,28.93
56,2018-12-31,28.81
57,2018-12-28,28.83
58,2018-12-27,28.66
59,2018-12-26,28.58
60,2018-12-24,28.19
61,2018-12-21,28.35
62,2018-12-20,28.81
63,2018-12-19,29.09
64,2018-12-18,29.35
65,2018-12-17,29.23
66,2018-12-14,29.56
67,2018-12-13,29.90
68,2018-12-12,30.03
69,2018-12-11,29.62
70,2018-12-10,29.62
71,2018-12-07,30.12
72,2018-12-06,30.39
73,2018-12-04,30.55
74,2018-12-03,31.52
75,2018-11-30,31.12
76,2018-11-29,31.15
77,2018-11-28,31.45
78,2018-11-27,30.81
79,2018-11-26,31.05
80,2018-11-23,30.64
81,2018-11-21,30.72
82,2018-11-20,30.38
83,2018-11-19,30.87
84,2018-11-16,31.14
85,2018-11-15,31.07
86,2018-11-14,31.06
87,2018-11-13,30.93
88,2018-11-12,30.88
89,2018-11-09,31.43
90,2018-11-08,31.56
91,2018-11-07,31.63
92,2018-11-06,31.29
93,2018-11-05,31.11
94,2018-11-02,31.23
95,2018-11-01,31.21
96,2018-10-31,30.69
97,2018-10-30,30.19
98,2018-10-29,29.91
99,2018-10-26,30.18
100,2018-10-25,30.33
101,2018-10-24,30.15
102,2018-10-23,31.03
103,2018-10-22,31.38
104,2018-10-19,31.49
105,2018-10-18,31.53
106,2018-10-17,32.07
107,2018-10-16,32.23
108,2018-10-15,31.74
109,2018-10-12,31.55
110,2018-10-11,31.49
111,2018-10-10,31.77
112,2018-10-09,32.57
113,2018-10-08,32.83
114,2018-10-05,32.87
115,2018-10-04,33.14
116,2018-10-03,33.64
117,2018-10-02,33.78
118,2018-10-01,34.13
119,2018-09-28,34.06
120,2018-09-27,34.13
121,2018-09-26,34.27
122,2018-09-25,34.11
123,2018-09-24,33.93
124,2018-09-21,34.03
125,2018-09-20,34.22
126,2018-09-19,33.96
127,2018-09-18,33.91
128,2018-09-17,33.57
129,2018-09-14,33.56
130,2018-09-13,33.52
131,2018-09-12,33.15
132,2018-09-11,33.21
133,2018-09-10,33.19
134,2018-09-07,33.20
135,2018-09-06,33.58
136,2018-09-05,33.52
137,2018-09-04,33.69
138,2018-08-31,34.40
139,2018-08-30,34.46
140,2018-08-29,34.76
141,2018-08-28,34.66
142,2018-08-27,34.78
143,2018-08-24,34.21
144,2018-08-23,33.98
145,2018-08-22,34.51
146,2018-08-21,34.48
147,2018-08-20,34.36
148,2018-08-17,34.36
149,2018-08-16,34.13
150,2018-08-15,34.08
151,2018-08-14,34.55
152,2018-08-13,34.40
153,2018-08-10,34.68
154,2018-08-09,35.19
155,2018-08-08,35.42
156,2018-08-07,35.54
157,2018-08-06,35.62
158,2018-08-03,35.44
159,2018-08-02,35.35
160,2018-08-01,35.56
161,2018-07-31,35.88
162,2018-07-30,35.89
163,2018-07-27,35.87
164,2018-07-26,35.78
165,2018-07-25,36.19
166,2018-07-24,35.87
167,2018-07-23,35.79
168,2018-07-20,35.97
169,2018-07-19,35.93
170,2018-07-18,35.99
171,2018-07-17,35.98
172,2018-07-16,35.83
173,2018-07-13,35.90
174,2018-07-12,35.78
175,2018-07-11,35.29
176,2018-07-10,35.95
177,2018-07-09,35.75
178,2018-07-06,35.43
179,2018-07-05,35.19
180,2018-07-03,35.18
181,2018-07-02,35.13
182,2018-06-29,35.48
183,2018-06-28,35.25
184,2018-06-27,35.61
185,2018-06-26,35.89
186,2018-06-25,35.87
187,2018-06-22,36.70
188,2018-06-21,36.64
189,2018-06-20,36.59
190,2018-06-19,36.72
191,2018-06-18,37.23
192,2018-06-15,37.37
193,2018-06-14,37.69
194,2018-06-13,37.68
195,2018-06-12,37.74
196,2018-06-11,37.84
197,2018-06-08,37.57
198,2018-06-07,37.55
199,2018-06-06,37.74
200,2018-06-05,37.30
201,2018-06-04,37.61
202,2018-06-01,37.31
203,2018-05-31,36.99
204,2018-05-30,37.22
205,2018-05-29,36.87
206,2018-05-25,37.49
207,2018-05-24,37.60
208,2018-05-23,37.77
209,2018-05-22,38.01
210,2018-05-21,38.14
211,2018-05-18,37.80
212,2018-05-17,37.98
213,2018-05-16,38.03
214,2018-05-15,37.86
215,2018-05-14,38.26
216,2018-05-11,37.99
217,2018-05-10,37.67
218,2018-05-09,37.21
219,2018-05-08,37.22
220,2018-05-07,37.32
221,2018-05-04,37.23
222,2018-05-03,37.13
223,2018-05-02,37.10
224,2018-05-01,36.67
225,2018-04-30,36.74
226,2018-04-27,36.75
227,2018-04-26,36.79
228,2018-04-25,36.67
229,2018-04-24,36.79
230,2018-04-23,37.05
231,2018-04-20,37.13
232,2018-04-19,37.30
233,2018-04-18,37.37
234,2018-04-17,37.11
235,2018-04-16,36.95
236,2018-04-13,36.80
237,2018-04-12,36.84
238,2018-04-11,36.79
239,2018-04-10,36.95
240,2018-04-09,36.62
241,2018-04-06,36.54
242,2018-04-05,36.63
243,2018-04-04,36.46
244,2018-04-03,36.41
245,2018-04-02,35.97
246,2018-03-29,36.71
247,2018-03-28,36.25
248,2018-03-27,36.32
249,2018-03-26,36.48
250,2018-03-23,36.09
251,2018-03-22,36.47
252,2018-03-21,37.07
253,2018-03-20,36.94
254,2018-03-19,36.90
255,2018-03-16,37.30
256,2018-03-15,37.37
257,2018-03-14,37.42
258,2018-03-13,37.30
259,2018-03-12,37.42
260,2018-03-09,37.47
261,2018-03-08,37.19
262,2018-03-07,37.18
263,2018-03-06,37.11
264,2018-03-05,36.57
265,2018-03-02,36.51
266,2018-03-01,36.63
267,2018-02-28,37.25
268,2018-02-27,37.51
269,2018-02-26,38.12
270,2018-02-23,37.88
271,2018-02-22,37.43
272,2018-02-21,37.40
273,2018-02-20,37.29
274,2018-02-16,37.58
275,2018-02-15,37.54
276,2018-02-14,37.18
277,2018-02-13,36.56
278,2018-02-12,36.58
279,2018-02-09,35.99
280,2018-02-08,35.85
281,2018-02-07,37.03
282,2018-02-06,37.17
283,2018-02-05,36.37
284,2018-02-02,37.91
285,2018-02-01,38.78
286,2018-01-31,38.71
287,2018-01-30,38.68
288,2018-01-29,39.00
289,2018-01-26,39.22
290,2018-01-25,38.99
291,2018-01-24,38.97
292,2018-01-23,38.70
293,2018-01-22,38.59
294,2018-01-19,38.38
295,2018-01-18,38.06
296,2018-01-17,38.00
297,2018-01-16,37.94
298,2018-01-12,37.94
299,2018-01-11,37.72
300,2018-01-10,37.62
301,2018-01-09,37.59
302,2018-01-08,37.50
303,2018-01-05,37.41
304,2018-01-04,37.29
305,2018-01-03,37.11
306,2018-01-02,36.93
307,2017-12-29,36.74
308,2017-12-28,36.62
309,2017-12-27,36.57
310,2017-12-26,36.51
311,2017-12-22,36.41
312,2017-12-21,36.25
313,2017-12-20,36.18
314,2017-12-19,36.19
315,2017-12-18,36.03
316,2017-12-15,35.59
317,2017-12-14,35.58
318,2017-12-13,35.62
319,2017-12-12,35.41
320,2017-12-11,35.39
321,2017-12-08,35.16
322,2017-12-07,35.09
323,2017-12-06,34.86
324,2017-12-05,35.29
325,2017-12-04,35.31
326,2017-12-01,35.42
327,2017-11-30,35.62
328,2017-11-29,35.51
329,2017-11-28,35.72
330,2017-11-27,35.54
331,2017-11-24,35.80
332,2017-11-22,35.58
333,2017-11-21,35.51
334,2017-11-20,35.10
335,2017-11-17,34.81
336,2017-11-16,34.77
337,2017-11-15,34.24
338,2017-11-14,34.41
339,2017-11-13,34.38
340,2017-11-10,34.61
341,2017-11-09,34.71
342,2017-11-08,34.93
343,2017-11-07,34.77
344,2017-11-06,34.66
345,2017-11-03,34.62
346,2017-11-02,34.60
347,2017-11-01,34.61
348,2017-10-31,34.45
349,2017-10-30,34.25
350,2017-10-27,34.15
351,2017-10-26,34.15
352,2017-10-25,34.17
353,2017-10-24,34.48
354,2017-10-23,34.24
355,2017-10-20,34.35
356,2017-10-19,34.41
357,2017-10-18,34.56
358,2017-10-17,34.51
359,2017-10-16,34.50
360,2017-10-13,34.47
361,2017-10-12,34.20
362,2017-10-11,34.11
363,2017-10-10,33.95
364,2017-10-09,33.59
365,2017-10-06,33.67
366,2017-10-05,33.66
367,2017-10-04,33.73
368,2017-10-03,33.76
369,2017-10-02,33.72
370,2017-09-29,33.69
371,2017-09-28,33.47
372,2017-09-27,33.38
373,2017-09-26,33.52
374,2017-09-25,33.55
375,2017-09-22,33.73
376,2017-09-21,33.82
377,2017-09-20,33.97
378,2017-09-19,33.96
379,2017-09-18,33.83
380,2017-09-15,33.86
381,2017-09-14,33.95
382,2017-09-13,33.88
383,2017-09-12,33.99
384,2017-09-11,33.88
385,2017-09-08,33.75
386,2017-09-07,33.73
387,2017-09-06,33.40
388,2017-09-05,33.32
389,2017-09-01,33.76
390,2017-08-31,33.51
391,2017-08-30,33.26
392,2017-08-29,33.04
393,2017-08-28,33.26
394,2017-08-25,33.32
395,2017-08-24,33.02
396,2017-08-23,32.98
397,2017-08-22,32.95
398,2017-08-21,32.76
399,2017-08-18,32.75
400,2017-08-17,32.68
401,2017-08-16,32.82
402,2017-08-15,32.62
403,2017-08-14,32.63
404,2017-08-11,32.40
405,2017-08-10,32.35
406,2017-08-09,32.68
407,2017-08-08,32.85
408,2017-08-07,32.79
409,2017-08-04,32.73
410,2017-08-03,32.73
411,2017-08-02,32.78
412,2017-08-01,32.91
413,2017-07-31,32.88
414,2017-07-28,32.65
415,2017-07-27,32.91
416,2017-07-26,32.42
417,2017-07-25,32.20
418,2017-07-24,32.23
419,2017-07-21,32.17
420,2017-07-20,32.21
421,2017-07-19,31.90
422,2017-07-18,31.80
423,2017-07-17,31.72
424,2017-07-14,31.76
425,2017-07-13,31.53
426,2017-07-12,31.43
427,2017-07-11,31.10
428,2017-07-10,31.00
429,2017-07-07,30.95
430,2017-07-06,30.91
431,2017-07-05,31.23
432,2017-07-03,31.27
433,2017-06-30,31.17
434,2017-06-29,31.04
435,2017-06-28,31.30
436,2017-06-27,31.22
437,2017-06-26,31.35
438,2017-06-23,31.24
439,2017-06-22,31.12
440,2017-06-21,31.11
441,2017-06-20,31.33
442,2017-06-19,31.46
443,2017-06-16,31.15
444,2017-06-15,31.07
445,2017-06-14,31.27
446,2017-06-13,31.71
447,2017-06-12,31.45
448,2017-06-09,31.64
449,2017-06-08,31.79
450,2017-06-07,31.99
451,2017-06-06,32.09
452,2017-06-05,32.11
453,2017-06-02,31.99
454,2017-06-01,31.61
455,2017-05-31,31.31
456,2017-05-30,31.39
457,2017-05-26,31.33
458,2017-05-25,31.27
459,2017-05-24,31.11
460,2017-05-23,30.83
461,2017-05-22,30.84
462,2017-05-19,30.68
463,2017-05-18,30.20
464,2017-05-17,30.33
465,2017-05-16,30.76
466,2017-05-15,30.69
467,2017-05-12,30.63
468,2017-05-11,30.46
469,2017-05-10,31.10
470,2017-05-09,30.93
471,2017-05-08,30.99
472,2017-05-05,30.95
473,2017-05-04,30.68
474,2017-05-03,30.80
475,2017-05-02,30.94
476,2017-05-01,30.74
477,2017-04-28,30.41
478,2017-04-27,30.32
479,2017-04-26,30.38
480,2017-04-25,30.48
481,2017-04-24,30.29
482,2017-04-21,29.96
483,2017-04-20,30.02
484,2017-04-19,29.66
485,2017-04-18,29.77
486,2017-04-17,29.94
487,2017-04-13,29.65
488,2017-04-12,29.86
489,2017-04-11,29.94
490,2017-04-10,29.88
491,2017-04-07,29.90
492,2017-04-06,29.85
493,2017-04-05,29.90
494,2017-04-04,29.95
495,2017-04-03,29.85
496,2017-03-31,29.90
497,2017-03-30,29.88
498,2017-03-29,29.87
499,2017-03-28,29.88
500,2017-03-27,29.56
501,2017-03-24,29.48
502,2017-03-23,29.99
503,2017-03-22,29.97
504,2017-03-21,29.86
505,2017-03-20,30.06
506,2017-03-17,30.07
507,2017-03-16,30.07
508,2017-03-15,30.06
509,2017-03-14,29.62
510,2017-03-13,29.79
511,2017-03-10,29.59
512,2017-03-09,29.38
513,2017-03-08,29.34
514,2017-03-07,29.37
515,2017-03-06,29.50
516,2017-03-03,29.53
517,2017-03-02,29.40
518,2017-03-01,29.62
519,2017-02-28,29.25
520,2017-02-27,29.38
521,2017-02-24,29.43
522,2017-02-23,29.63
523,2017-02-22,29.55
524,2017-02-21,29.45
525,2017-02-17,29.42
526,2017-02-16,29.59
527,2017-02-15,29.61
528,2017-02-14,29.48
529,2017-02-13,29.52
530,2017-02-10,29.47
531,2017-02-09,29.27
532,2017-02-08,29.24
533,2017-02-07,29.18
534,2017-02-06,29.16
535,2017-02-03,29.39
536,2017-02-02,29.25
537,2017-02-01,29.31
538,2017-01-31,29.27
539,2017-01-30,29.20
540,2017-01-27,29.28
541,2017-01-26,29.20
542,2017-01-25,28.76
543,2017-01-24,28.46
544,2017-01-23,28.38
545,2017-01-20,28.21
546,2017-01-19,28.01
547,2017-01-18,28.06
548,2017-01-17,28.22
549,2017-01-13,28.33
550,2017-01-12,28.26
551,2017-01-11,28.03
552,2017-01-10,28.03
553,2017-01-09,27.95
554,2017-01-06,27.97
555,2017-01-05,28.06
556,2017-01-04,28.00
557,2017-01-03,27.56
558,2016-12-30,27.38
559,2016-12-29,27.35
560,2016-12-28,27.24
561,2016-12-27,27.32
562,2016-12-23,27.23
563,2016-12-22,27.10
564,2016-12-21,27.16
565,2016-12-20,27.01
566,2016-12-19,27.07
567,2016-12-16,27.04
568,2016-12-15,26.98
569,2016-12-14,26.85
570,2016-12-13,27.41
571,2016-12-12,27.16
572,2016-12-09,27.36
573,2016-12-08,27.10
574,2016-12-07,27.19
575,2016-12-06,26.84
576,2016-12-05,26.79
577,2016-12-02,26.53
578,2016-12-01,26.56
579,2016-11-30,26.68
580,2016-11-29,26.79
581,2016-11-28,26.54
582,2016-11-25,26.37
583,2016-11-23,26.23
584,2016-11-22,26.32
585,2016-11-21,26.39
586,2016-11-18,26.18
587,2016-11-17,26.24
588,2016-11-16,26.09
589,2016-11-15,26.06
590,2016-11-14,25.82
591,2016-11-11,25.98
592,2016-11-10,26.19
593,2016-11-09,26.44
594,2016-11-08,26.59
595,2016-11-07,26.45
596,2016-11-04,26.17
597,2016-11-03,26.61
598,2016-11-02,26.56
599,2016-11-01,26.91
600,2016-10-31,26.89
601,2016-10-28,26.84
602,2016-10-27,26.75
603,2016-10-26,26.89
604,2016-10-25,26.97
605,2016-10-24,26.90
606,2016-10-21,27.05
607,2016-10-20,26.94
608,2016-10-19,27.04
609,2016-10-18,27.06
610,2016-10-17,26.72
611,2016-10-14,26.70
612,2016-10-13,26.76
613,2016-10-12,26.88
614,2016-10-11,26.92
615,2016-10-10,27.38
616,2016-10-07,27.23
617,2016-10-06,27.27
618,2016-10-05,27.47
619,2016-10-04,27.16
620,2016-10-03,27.35
621,2016-09-30,27.34
622,2016-09-29,27.30
623,2016-09-28,27.44
624,2016-09-27,27.24
625,2016-09-26,27.15
626,2016-09-23,27.25
627,2016-09-22,27.58
