,Date,NAV
1,2019-03-21,22.42
2,2019-03-20,22.43
3,2019-03-19,22.45
4,2019-03-18,22.44
5,2019-03-15,22.30
6,2019-03-14,22.13
7,2019-03-13,22.13
8,2019-03-12,21.97
9,2019-03-11,21.94
10,2019-03-08,21.75
11,2019-03-07,21.77
12,2019-03-06,22.10
13,2019-03-05,22.20
14,2019-03-04,22.06
15,2019-03-01,22.13
16,2019-02-28,22.06
17,2019-02-27,22.25
18,2019-02-26,22.32
19,2019-02-25,22.19
20,2019-02-22,22.09
21,2019-02-21,22.00
22,2019-02-20,22.12
23,2019-02-19,22.10
24,2019-02-15,21.98
25,2019-02-14,21.83
26,2019-02-13,21.80
27,2019-02-12,21.88
28,2019-02-11,21.72
29,2019-02-08,21.77
30,2019-02-07,21.82
31,2019-02-06,22.00
32,2019-02-05,22.16
33,2019-02-04,21.93
34,2019-02-01,21.91
35,2019-01-31,21.95
36,2019-01-30,21.80
37,2019-01-29,21.55
38,2019-01-28,21.49
39,2019-01-25,21.59
40,2019-01-24,21.45
41,2019-01-23,21.32
42,2019-01-22,21.15
43,2019-01-18,21.47
44,2019-01-17,21.33
45,2019-01-16,21.21
46,2019-01-15,21.09
47,2019-01-14,21.02
48,2019-01-11,21.11
49,2019-01-10,21.22
50,2019-01-09,21.10
51,2019-01-08,20.77
52,2019-01-07,20.70
53,2019-01-04,20.68
54,2019-01-03,20.18
55,2019-01-02,20.36
56,2018-12-31,20.34
57,2018-12-28,20.34
58,2018-12-27,20.24
59,2018-12-26,20.24
60,2018-12-24,19.85
61,2018-12-21,19.99
62,2018-12-20,20.22
63,2018-12-19,20.29
64,2018-12-18,20.45
65,2018-12-17,20.36
66,2018-12-14,20.50
67,2018-12-13,20.74
68,2018-12-12,20.80
69,2018-12-11,20.56
70,2018-12-10,20.56
71,2018-12-07,20.61
72,2018-12-06,20.73
73,2018-12-04,20.90
74,2018-12-03,21.42
75,2018-11-30,21.23
76,2018-11-29,21.33
77,2018-11-28,21.45
78,2018-11-27,21.08
79,2018-11-26,21.10
80,2018-11-23,20.97
81,2018-11-21,21.16
82,2018-11-20,20.72
83,2018-11-19,21.13
84,2018-11-16,21.23
85,2018-11-15,21.20
86,2018-11-14,21.21
87,2018-11-13,21.05
88,2018-11-12,20.91
89,2018-11-09,21.22
90,2018-11-08,21.37
91,2018-11-07,21.67
92,2018-11-06,21.39
93,2018-11-05,21.39
94,2018-11-02,21.27
95,2018-11-01,21.23
96,2018-10-31,20.96
97,2018-10-30,20.74
98,2018-10-29,20.39
99,2018-10-26,20.58
100,2018-10-25,20.74
101,2018-10-24,20.94
102,2018-10-23,21.22
103,2018-10-22,21.35
104,2018-10-19,21.41
105,2018-10-18,21.21
106,2018-10-17,21.56
107,2018-10-16,21.69
108,2018-10-15,21.34
109,2018-10-12,21.22
110,2018-10-11,21.12
111,2018-10-10,21.49
112,2018-10-09,21.90
113,2018-10-08,21.83
114,2018-10-05,21.94
115,2018-10-04,22.04
116,2018-10-03,22.44
117,2018-10-02,22.45
118,2018-10-01,22.57
119,2018-09-28,22.52
120,2018-09-27,22.65
121,2018-09-26,22.89
122,2018-09-25,22.77
123,2018-09-24,22.64
