,Date,NAV
1,2019-03-21,28.06
2,2019-03-20,28.05
3,2019-03-19,28.18
4,2019-03-18,28.10
5,2019-03-15,28.02
6,2019-03-14,27.73
7,2019-03-13,28.00
8,2019-03-12,27.73
9,2019-03-11,27.75
10,2019-03-08,27.42
11,2019-03-07,27.74
12,2019-03-06,28.33
13,2019-03-05,28.40
14,2019-03-04,28.50
15,2019-03-01,28.59
16,2019-02-28,28.50
17,2019-02-27,28.66
18,2019-02-26,28.78
19,2019-02-25,28.52
20,2019-02-22,28.36
21,2019-02-21,28.21
22,2019-02-20,28.40
23,2019-02-19,28.30
24,2019-02-15,28.16
25,2019-02-14,27.71
26,2019-02-13,27.90
27,2019-02-12,27.71
28,2019-02-11,27.21
29,2019-02-08,27.12
30,2019-02-07,27.54
31,2019-02-06,28.00
32,2019-02-05,28.12
33,2019-02-04,28.08
34,2019-02-01,27.93
35,2019-01-31,27.95
36,2019-01-30,27.92
37,2019-01-29,27.60
38,2019-01-28,27.61
39,2019-01-25,27.83
40,2019-01-24,27.30
41,2019-01-23,26.93
42,2019-01-22,26.82
43,2019-01-18,27.35
44,2019-01-17,26.82
45,2019-01-16,26.79
46,2019-01-15,26.64
47,2019-01-14,26.40
48,2019-01-11,26.40
49,2019-01-10,26.50
50,2019-01-09,26.43
51,2019-01-08,26.09
52,2019-01-07,25.83
53,2019-01-04,25.60
54,2019-01-03,24.82
55,2019-01-02,24.91
56,2018-12-31,24.98
57,2018-12-28,24.99
58,2018-12-27,24.78
59,2018-12-26,24.62
60,2018-12-24,24.06
61,2018-12-21,24.34
62,2018-12-20,24.74
63,2018-12-19,25.01
64,2018-12-18,25.23
65,2018-12-17,24.88
66,2018-12-14,25.19
67,2018-12-13,25.70
68,2018-12-12,25.68
69,2018-12-11,25.21
70,2018-12-10,25.24
71,2018-12-07,25.51
72,2018-12-06,25.75
73,2018-12-04,25.97
74,2018-12-03,27.03
75,2018-11-30,26.62
76,2018-11-29,26.87
77,2018-11-28,26.86
78,2018-11-27,26.56
79,2018-11-26,26.76
80,2018-11-23,26.43
81,2018-11-21,26.50
82,2018-11-20,25.97
83,2018-11-19,26.57
84,2018-11-16,26.79
85,2018-11-15,26.88
86,2018-11-14,27.04
87,2018-11-13,26.80
88,2018-11-12,26.87
89,2018-11-09,27.41
90,2018-11-08,27.89
91,2018-11-07,28.16
92,2018-11-06,27.94
93,2018-11-05,27.92
94,2018-11-02,27.80
95,2018-11-01,27.71
96,2018-10-31,27.32
97,2018-10-30,26.98
98,2018-10-29,26.54
