,Date,NAV
1,2019-03-21,42.67
2,2019-03-20,42.57
3,2019-03-19,42.70
4,2019-03-18,42.57
5,2019-03-15,42.26
6,2019-03-14,42.02
7,2019-03-13,42.20
8,2019-03-12,41.95
9,2019-03-11,41.76
10,2019-03-08,41.35
11,2019-03-07,41.55
12,2019-03-06,42.08
13,2019-03-05,42.47
14,2019-03-04,42.67
15,2019-03-01,42.71
16,2019-02-28,42.53
17,2019-02-27,42.81
18,2019-02-26,42.83
19,2019-02-25,42.78
20,2019-02-22,42.72
21,2019-02-21,42.51
22,2019-02-20,42.77
23,2019-02-19,42.32
24,2019-02-15,42.14
25,2019-02-14,41.62
26,2019-02-13,41.56
27,2019-02-12,41.18
28,2019-02-11,40.48
29,2019-02-08,40.40
30,2019-02-07,40.69
31,2019-02-06,41.43
32,2019-02-05,41.30
33,2019-02-04,40.92
34,2019-02-01,40.81
35,2019-01-31,40.67
36,2019-01-30,40.48
37,2019-01-29,40.07
38,2019-01-28,39.66
39,2019-01-25,40.14
40,2019-01-24,39.42
41,2019-01-23,38.97
42,2019-01-22,39.03
43,2019-01-18,39.78
44,2019-01-17,38.93
45,2019-01-16,38.76
46,2019-01-15,38.50
47,2019-01-14,38.41
48,2019-01-11,38.83
49,2019-01-10,38.94
50,2019-01-09,38.72
51,2019-01-08,38.17
52,2019-01-07,37.64
53,2019-01-04,37.22
54,2019-01-03,35.93
55,2019-01-02,36.89
56,2018-12-31,36.80
57,2018-12-28,36.67
58,2018-12-27,36.36
59,2018-12-26,36.23
60,2018-12-24,35.15
61,2018-12-21,35.72
62,2018-12-20,36.15
63,2018-12-19,36.79
64,2018-12-18,37.38
65,2018-12-17,37.13
66,2018-12-14,37.80
67,2018-12-13,38.56
68,2018-12-12,38.83
69,2018-12-11,38.12
70,2018-12-10,38.08
71,2018-12-07,38.38
72,2018-12-06,39.03
73,2018-12-04,39.63
74,2018-12-03,41.30
75,2018-11-30,40.66
76,2018-11-29,40.71
77,2018-11-28,40.65
78,2018-11-27,39.65
79,2018-11-26,39.84
80,2018-11-23,39.33
81,2018-11-21,39.52
82,2018-11-20,38.70
83,2018-11-19,39.72
84,2018-11-16,40.20
85,2018-11-15,40.30
86,2018-11-14,39.67
87,2018-11-13,39.76
88,2018-11-12,39.93
89,2018-11-09,40.48
90,2018-11-08,41.22
91,2018-11-07,41.12
92,2018-11-06,40.23
93,2018-11-05,39.81
94,2018-11-02,39.89
95,2018-11-01,39.76
96,2018-10-31,38.94
97,2018-10-30,38.10
98,2018-10-29,37.68
99,2018-10-26,37.62
100,2018-10-25,37.70
101,2018-10-24,37.25
102,2018-10-23,38.48
103,2018-10-22,39.05
104,2018-10-19,38.97
105,2018-10-18,39.22
106,2018-10-17,39.96
107,2018-10-16,40.23
108,2018-10-15,39.15
109,2018-10-12,38.83
110,2018-10-11,38.89
111,2018-10-10,39.00
112,2018-10-09,40.87
113,2018-10-08,41.16
114,2018-10-05,41.69
115,2018-10-04,42.09
116,2018-10-03,42.89
117,2018-10-02,42.70
